"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"0500000US06039","Madera County, California","42723","729","null","null","3325","null","410","null","2173","null","283","null","2782","406","null","null","2810","null","397","null","2814","null","373","null","2489","null","340","null","2404","null","394","null","2382","317","null","null","1856","331","null","null","3657","null","433","null","4753","505","null","null","4253","489","null","null","3087","null","407","null","1775","260","null","null","1269","null","208","null","894","null","177","null",
"0500000US06041","Marin County, California","103034","765","null","null","3717","null","403","null","3858","null","459","null","3469","361","null","null","3453","null","489","null","2809","null","398","null","3220","null","421","null","3460","null","408","null","3196","440","null","null","2906","342","null","null","5694","null","553","null","7599","614","null","null","11418","749","null","null","10211","null","636","null","7063","560","null","null","10767","null","703","null","20194","null","654","null",
"0500000US06043","Mariposa County, California","7289","369","null","null","585","null","162","null","353","null","131","null","530","144","null","null","545","null","162","null","212","null","90","null","331","null","107","null","396","null","152","null","370","122","null","null","273","104","null","null","544","null","164","null","712","175","null","null","863","160","null","null","760","null","177","null","391","130","null","null","243","null","108","null","181","null","67","null",
"0500000US06045","Mendocino County, California","33693","573","null","null","2442","null","345","null","3097","null","376","null","2457","340","null","null","2151","null","298","null","2100","null","334","null","2365","null","323","null","1264","null","244","null","1578","254","null","null","1404","244","null","null","3121","null","408","null","3490","386","null","null","3151","381","null","null","1967","null","290","null","1383","277","null","null","913","null","196","null","810","null","192","null",
"0500000US06047","Merced County, California","76516","766","null","null","5278","null","490","null","5747","null","576","null","5239","502","null","null","5378","null","469","null","4988","null","549","null","4969","null","508","null","4162","null","444","null","3840","414","null","null","3234","392","null","null","6512","null","463","null","7444","562","null","null","7947","638","null","null","4486","null","463","null","2908","371","null","null","2234","null","284","null","2150","null","289","null",
"0500000US06049","Modoc County, California","3893","207","null","null","415","null","118","null","251","null","100","null","225","91","null","null","406","null","135","null","327","null","108","null","198","null","79","null","238","null","99","null","186","89","null","null","205","108","null","null","196","null","84","null","377","119","null","null","347","121","null","null","334","null","127","null","141","77","null","null","10","null","16","null","37","null","42","null",
"0500000US06051","Mono County, California","5160","408","null","null","84","null","57","null","309","null","150","null","175","91","null","null","115","null","71","null","222","null","128","null","295","null","138","null","466","null","169","null","164","78","null","null","214","129","null","null","409","null","138","null","698","191","null","null","969","277","null","null","469","null","213","null","343","138","null","null","115","null","64","null","113","null","107","null",
"0500000US06053","Monterey County, California","125115","1151","null","null","5823","null","596","null","5354","null","434","null","5619","485","null","null","6536","null","572","null","6095","null","504","null","6194","null","582","null","6364","null","523","null","5745","447","null","null","5330","425","null","null","10824","null","625","null","13054","668","null","null","16149","736","null","null","10746","null","679","null","6924","528","null","null","7272","null","543","null","7086","null","462","null",
"0500000US06055","Napa County, California","49631","460","null","null","1714","null","251","null","2105","null","297","null","1701","219","null","null","2433","null","271","null","1762","null","262","null","1965","null","263","null","1915","null","279","null","2071","309","null","null","2264","287","null","null","3602","null","341","null","4597","419","null","null","6723","533","null","null","5417","null","480","null","3307","355","null","null","3690","null","358","null","4365","null","358","null",
"0500000US06057","Nevada County, California","40838","676","null","null","1682","null","303","null","2139","null","396","null","2019","343","null","null","2121","null","302","null","2074","null","329","null","2475","null","341","null","1729","null","269","null","1942","278","null","null","1876","352","null","null","3308","null","349","null","4080","476","null","null","5333","452","null","null","3669","null","484","null","2208","316","null","null","2390","null","304","null","1793","null","293","null",
"0500000US06059","Orange County, California","1002285","1889","null","null","43966","null","1392","null","34301","null","1134","null","35442","1290","null","null","37223","null","1217","null","37513","null","1206","null","37418","null","1209","null","36582","null","1277","null","36469","1335","null","null","34608","1196","null","null","70171","null","1660","null","91405","1948","null","null","131486","2638","null","null","103122","null","1838","null","74465","1907","null","null","91544","null","2184","null","106570","null","2040","null",
"0500000US06061","Placer County, California","134111","835","null","null","5508","null","557","null","4755","null","452","null","5231","499","null","null","5104","null","551","null","5137","null","537","null","5423","null","535","null","5313","null","453","null","5289","526","null","null","4156","447","null","null","9199","null","678","null","13028","695","null","null","18259","898","null","null","15034","null","804","null","10404","765","null","null","11885","null","810","null","10386","null","612","null",
"0500000US06063","Plumas County, California","8529","357","null","null","588","null","160","null","774","null","200","null","500","154","null","null","636","null","168","null","308","null","98","null","647","null","176","null","336","null","107","null","280","106","null","null","323","124","null","null","845","null","200","null","821","159","null","null","1115","194","null","null","596","null","162","null","190","85","null","null","283","null","92","null","287","null","120","null",
"0500000US06065","Riverside County, California","690388","2505","null","null","37929","null","1385","null","35007","null","1296","null","35445","1287","null","null","37094","null","1268","null","33798","null","1348","null","35455","null","1134","null","32305","null","1326","null","31714","1266","null","null","29591","1032","null","null","53786","null","1528","null","71060","1854","null","null","90661","2025","null","null","59966","null","1911","null","38559","1398","null","null","39405","null","1240","null","28613","null","1150","null",
"0500000US06067","Sacramento County, California","519460","2016","null","null","32088","null","1392","null","30852","null","1117","null","25597","1024","null","null","25401","null","1111","null","25221","null","1061","null","25604","null","1075","null","25258","null","923","null","23802","1044","null","null","21727","906","null","null","40960","null","1320","null","53142","1654","null","null","66096","1819","null","null","45611","null","1415","null","26796","1108","null","null","29789","null","1017","null","21516","null","1022","null",
"0500000US06069","San Benito County, California","17121","201","null","null","600","null","147","null","723","null","194","null","711","144","null","null","780","null","181","null","531","null","160","null","662","null","152","null","937","null","238","null","688","158","null","null","614","129","null","null","1178","null","219","null","2110","254","null","null","2308","267","null","null","1965","null","252","null","1070","164","null","null","1292","null","218","null","952","null","193","null",
"0500000US06071","San Bernardino County, California","607604","2111","null","null","41056","null","1494","null","31580","null","1234","null","32562","1306","null","null","31968","null","1392","null","31042","null","1428","null","28573","null","1206","null","29323","null","1303","null","29226","1045","null","null","24792","1268","null","null","51362","null","1680","null","64413","1974","null","null","77983","1790","null","null","52301","null","1557","null","30952","1174","null","null","29655","null","1075","null","20816","null","885","null",
"0500000US06073","San Diego County, California","1083811","3426","null","null","66671","null","2297","null","46262","null","1399","null","43408","1471","null","null","47942","null","1692","null","46610","null","1568","null","49264","null","1732","null","44949","null","1381","null","44568","1368","null","null","42881","1576","null","null","80523","null","1970","null","102683","2375","null","null","140525","2537","null","null","101855","null","2231","null","68329","1887","null","null","79141","null","1923","null","78200","null","1641","null",
"0500000US06075","San Francisco County, California","348832","1610","null","null","22652","null","1135","null","21338","null","1071","null","13689","830","null","null","13494","null","765","null","11228","null","834","null","10987","null","699","null","10583","null","821","null","10114","830","null","null","9166","646","null","null","19378","null","981","null","26305","1024","null","null","36924","1434","null","null","33524","null","1121","null","24087","1090","null","null","32934","null","1368","null","52429","null","1491","null",
"0500000US06077","San Joaquin County, California","217343","1188","null","null","13339","null","895","null","12295","null","776","null","11901","729","null","null","12827","null","789","null","10526","null","717","null","11179","null","722","null","10793","null","776","null","10016","721","null","null","9277","618","null","null","17345","null","991","null","21987","915","null","null","26368","998","null","null","19465","null","842","null","10274","789","null","null","12231","null","920","null","7520","null","624","null",
"0500000US06079","San Luis Obispo County, California","102350","1060","null","null","6523","null","593","null","5437","null","512","null","3947","451","null","null","4763","null","541","null","4631","null","540","null","5194","null","559","null","4309","null","478","null","5091","481","null","null","3956","448","null","null","7727","null","625","null","9560","664","null","null","13946","725","null","null","9893","null","670","null","6132","585","null","null","5986","null","506","null","5255","null","480","null",
"0500000US06081","San Mateo County, California","258683","1087","null","null","8197","null","604","null","6465","null","589","null","6736","578","null","null","7667","null","561","null","7926","null","590","null","7814","null","603","null","7525","null","567","null","8775","603","null","null","7201","573","null","null","15831","null","807","null","22999","1103","null","null","31868","1150","null","null","27328","null","1082","null","20592","934","null","null","26150","null","894","null","45609","null","1144","null",
"0500000US06083","Santa Barbara County, California","142028","875","null","null","7641","null","582","null","6693","null","587","null","6588","611","null","null","6213","null","489","null","6521","null","540","null","6431","null","563","null","6210","null","534","null","5682","521","null","null","5383","513","null","null","10346","null","705","null","14320","743","null","null","17854","873","null","null","12401","null","681","null","8692","613","null","null","10263","null","629","null","10790","null","614","null",
"0500000US06085","Santa Clara County, California","614714","1474","null","null","23162","null","947","null","19090","null","806","null","18306","945","null","null","18509","null","842","null","18678","null","878","null","18738","null","886","null","16946","null","847","null","18932","987","null","null","17398","813","null","null","33307","null","1258","null","48255","1660","null","null","72428","1619","null","null","65244","null","1399","null","49456","1450","null","null","70785","null","1413","null","105480","null","1627","null",
"0500000US06087","Santa Cruz County, California","94219","836","null","null","5975","null","582","null","3974","null","416","null","3608","403","null","null","4407","null","499","null","3497","null","420","null","3850","null","413","null","3885","null","456","null","3891","397","null","null","3421","391","null","null","6264","null","518","null","8964","497","null","null","11802","736","null","null","8715","null","551","null","6049","520","null","null","7834","null","596","null","8083","null","496","null",
