"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"0500000US06047","Merced County, California","78270","664","null","null","5776","453","null","null","5496","null","527","null","4951","504","null","null","5400","null","621","null","4444","null","484","null","4668","493","null","null","4779","449","null","null","4085","386","null","null","3165","null","434","null","6861","null","507","null","7642","621","null","null","8253","629","null","null","4750","453","null","null","2856","null","327","null","2946","null","347","null","2198","null","345","null",
"0500000US06049","Modoc County, California","3670","176","null","null","419","159","null","null","150","null","71","null","244","81","null","null","273","null","106","null","341","null","116","null","166","77","null","null","178","65","null","null","236","104","null","null","205","null","77","null","239","null","88","null","442","135","null","null","406","108","null","null","142","55","null","null","166","null","77","null","40","null","41","null","23","null","33","null",
"0500000US06051","Mono County, California","4950","411","null","null","92","53","null","null","168","null","98","null","164","94","null","null","149","null","80","null","201","null","116","null","310","151","null","null","362","152","null","null","232","133","null","null","213","null","113","null","621","null","192","null","572","201","null","null","713","210","null","null","499","174","null","null","267","null","131","null","176","null","108","null","211","null","141","null",
"0500000US06053","Monterey County, California","125916","701","null","null","5577","475","null","null","4947","null","463","null","4999","414","null","null","6204","null","489","null","5933","null","513","null","5964","531","null","null","6096","478","null","null","5725","471","null","null","5672","null","470","null","10848","null","653","null","13517","769","null","null","16312","835","null","null","11289","670","null","null","7173","null","528","null","7959","null","558","null","7701","null","534","null",
"0500000US06055","Napa County, California","49375","570","null","null","1739","229","null","null","1973","null","274","null","1410","217","null","null","2121","null","303","null","1750","null","268","null","1728","238","null","null","1752","258","null","null","1991","304","null","null","2036","null","260","null","3386","null","315","null","4930","406","null","null","6413","379","null","null","5115","362","null","null","3613","null","293","null","4245","null","337","null","5173","null","347","null",
"0500000US06057","Nevada County, California","40587","664","null","null","1870","310","null","null","1912","null","337","null","1611","279","null","null","2038","null","315","null","2416","null","369","null","2262","403","null","null","1626","323","null","null","2161","316","null","null","2062","null","351","null","3013","null","409","null","3931","438","null","null","5122","453","null","null","3904","395","null","null","2339","null","318","null","2329","null","257","null","1991","null","290","null",
"0500000US06059","Orange County, California","1017012","2328","null","null","45635","1821","null","null","32680","null","1248","null","33261","1274","null","null","37032","null","1440","null","35701","null","1233","null","37019","1316","null","null","34741","1304","null","null","36168","1351","null","null","34949","null","1169","null","69344","null","1986","null","93421","2281","null","null","131384","2251","null","null","104640","2124","null","null","75565","null","1923","null","95223","null","2003","null","120249","null","1717","null",
"0500000US06061","Placer County, California","136730","754","null","null","5487","437","null","null","5155","null","517","null","4766","455","null","null","4715","null","457","null","4953","null","496","null","4996","506","null","null","5070","421","null","null","4506","422","null","null","4158","null","423","null","9361","null","569","null","13428","704","null","null","18050","814","null","null","15305","697","null","null","11281","null","600","null","13342","null","731","null","12157","null","633","null",
"0500000US06063","Plumas County, California","8376","321","null","null","442","127","null","null","682","null","187","null","448","133","null","null","726","null","205","null","322","null","83","null","466","156","null","null","349","119","null","null","395","121","null","null","341","null","118","null","669","null","181","null","985","198","null","null","1205","226","null","null","565","142","null","null","238","null","87","null","276","null","93","null","267","null","103","null",
"0500000US06065","Riverside County, California","705716","2381","null","null","39681","1348","null","null","34014","null","1230","null","33999","1321","null","null","36407","null","1100","null","34338","null","1259","null","35405","1061","null","null","32153","1190","null","null","31947","1235","null","null","29497","null","1105","null","55047","null","1395","null","73337","1917","null","null","91864","2002","null","null","63128","1754","null","null","40153","null","1235","null","42190","null","1359","null","32556","null","1008","null",
