"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"0500000US06039","Madera County, California","44479","505","null","null","2204","429","null","null","1923","374","null","null","1756","null","288","null","1751","327","null","null","2219","null","350","null","2164","null","412","null","2380","363","null","null","1912","366","null","null","2209","null","521","null","3182","null","480","null","4797","568","null","null","6365","652","null","null","4433","null","550","null","2960","null","386","null","2346","null","366","null","1878","315","null","null",
"0500000US06041","Marin County, California","104900","669","null","null","3250","420","null","null","2404","396","null","null","2256","null","386","null","2570","402","null","null","2382","null","397","null","2347","null","353","null","2253","335","null","null","2893","427","null","null","2038","null","398","null","4941","null","640","null","7053","763","null","null","10007","794","null","null","9223","null","787","null","7944","null","662","null","12115","null","744","null","31224","1081","null","null",
"0500000US06043","Mariposa County, California","7846","409","null","null","436","148","null","null","475","180","null","null","361","null","116","null","544","186","null","null","764","null","287","null","370","null","130","null","404","144","null","null","177","77","null","null","286","null","106","null","876","null","249","null","681","173","null","null","1047","208","null","null","420","null","115","null","369","null","137","null","410","null","123","null","226","111","null","null",
"0500000US06045","Mendocino County, California","34164","680","null","null","1735","360","null","null","2366","368","null","null","1924","null","345","null","1669","335","null","null","1839","null","342","null","1892","null","376","null","1517","264","null","null","1762","303","null","null","1339","null","293","null","3080","null","453","null","3293","415","null","null","3682","447","null","null","3400","null","395","null","1211","null","214","null","1768","null","314","null","1687","294","null","null",
"0500000US06047","Merced County, California","81306","615","null","null","4443","495","null","null","4205","465","null","null","3514","null","482","null","3973","566","null","null","4172","null","654","null","3675","null","528","null","4140","558","null","null","4427","475","null","null","3840","null","488","null","6365","null","612","null","9781","790","null","null","9826","665","null","null","6980","null","603","null","4192","null","498","null","3992","null","465","null","3781","369","null","null",
"0500000US06049","Modoc County, California","3594","237","null","null","225","80","null","null","130","56","null","null","227","null","79","null","173","73","null","null","207","null","96","null","414","null","189","null","124","54","null","null","130","48","null","null","118","null","52","null","380","null","103","null","468","140","null","null","484","132","null","null","212","null","91","null","162","null","68","null","115","null","58","null","25","24","null","null",
"0500000US06051","Mono County, California","5196","538","null","null","151","86","null","null","141","86","null","null","22","null","18","null","253","158","null","null","177","null","103","null","75","null","64","null","144","98","null","null","204","126","null","null","371","null","217","null","748","null","288","null","678","222","null","null","1008","324","null","null","468","null","237","null","191","null","94","null","266","null","123","null","299","144","null","null",
"0500000US06053","Monterey County, California","128003","965","null","null","4157","488","null","null","3110","411","null","null","3517","null","422","null","5278","555","null","null","4277","null","519","null","5480","null","617","null","4635","505","null","null","5021","564","null","null","4533","null","588","null","9694","null","735","null","12721","830","null","null","18828","966","null","null","12760","null","785","null","9148","null","764","null","10688","null","676","null","14156","855","null","null",
"0500000US06055","Napa County, California","48484","532","null","null","1588","308","null","null","1302","227","null","null","1235","null","272","null","1281","216","null","null","1566","null","310","null","1405","null","293","null","1196","226","null","null","1634","274","null","null","1810","null","302","null","3102","null","373","null","3872","372","null","null","5788","505","null","null","5479","null","515","null","3523","null","385","null","5745","null","450","null","7958","521","null","null",
"0500000US06057","Nevada County, California","40917","714","null","null","1725","319","null","null","1617","369","null","null","1388","null","303","null","1989","325","null","null","1625","null","352","null","1846","null","335","null","1679","336","null","null","1631","408","null","null","1605","null","312","null","2776","null","438","null","3989","565","null","null","5363","569","null","null","4117","null","516","null","2445","null","278","null","3125","null","393","null","3997","415","null","null",
