"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016M","B19001_016MA","B19001_016EA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"0500000US06075","San Francisco County, California","338366","null","1947","null","21561","null","896","null","20258","null","954","null","14301","821","null","null","13851","904","null","null","12113","null","755","null","11749","null","744","null","10424","null","677","null","11816","938","null","null","9425","658","null","null","20404","null","1061","null","26856","null","1120","null","37965","null","1412","null","32749","1213","null","null","22488","1018","null","null","29848","1176","null","null","42558","null","1192","null",
"0500000US06077","San Joaquin County, California","212902","null","1240","null","10973","null","654","null","12192","null","777","null","11629","794","null","null","11074","688","null","null","10227","null","730","null","11553","null","773","null","11492","null","757","null","9767","687","null","null","9942","574","null","null","17703","null","986","null","21514","null","954","null","26905","null","1124","null","18835","807","null","null","10780","647","null","null","10902","768","null","null","7414","null","587","null",
"0500000US06079","San Luis Obispo County, California","101993","null","968","null","5901","null","559","null","5260","null","594","null","4988","560","null","null","4961","527","null","null","5061","null","560","null","5129","null","518","null","4463","null","491","null","4531","443","null","null","3801","400","null","null","7766","null","711","null","10706","null","769","null","13257","null","832","null","9366","598","null","null","6051","388","null","null","5802","464","null","null","4950","null","427","null",
"0500000US06081","San Mateo County, California","256423","null","1000","null","8047","null","624","null","6828","null","595","null","6972","562","null","null","7026","584","null","null","8107","null","784","null","7843","null","622","null","8243","null","705","null","8187","623","null","null","7730","666","null","null","17233","null","1043","null","24058","null","1074","null","32464","null","1156","null","27597","1113","null","null","20822","788","null","null","26687","933","null","null","38579","null","967","null",
"0500000US06083","Santa Barbara County, California","141635","null","983","null","7114","null","586","null","6315","null","536","null","6584","574","null","null","6379","504","null","null","6110","null","590","null","6735","null","574","null","5681","null","549","null","6646","540","null","null","5785","509","null","null","11573","null","710","null","14790","null","688","null","17141","null","898","null","12784","717","null","null","9038","535","null","null","9446","603","null","null","9514","null","595","null",
"0500000US06085","Santa Clara County, California","599652","null","1905","null","22776","null","1044","null","18722","null","983","null","18281","924","null","null","19278","1126","null","null","18917","null","1056","null","17365","null","837","null","17563","null","979","null","20080","985","null","null","16102","831","null","null","34273","null","1220","null","50323","null","1403","null","75974","null","2105","null","64644","1928","null","null","49986","1269","null","null","67269","1682","null","null","88099","null","1635","null",
"0500000US06087","Santa Cruz County, California","93834","null","758","null","5061","null","487","null","4903","null","500","null","3630","398","null","null","4079","415","null","null","3701","null","475","null","4262","null","459","null","3851","null","467","null","3648","398","null","null","2947","383","null","null","6639","null","568","null","9207","null","641","null","12568","null","692","null","8744","527","null","null","5687","446","null","null","7402","494","null","null","7505","null","533","null",
"0500000US06089","Shasta County, California","69147","null","817","null","4747","null","444","null","6151","null","530","null","4294","431","null","null","4305","423","null","null","3998","null","414","null","4309","null","435","null","3841","null","445","null","3573","432","null","null","3154","321","null","null","5701","null","556","null","7373","null","573","null","7437","null","560","null","4007","375","null","null","2090","306","null","null","2298","310","null","null","1869","null","293","null",
"0500000US06091","Sierra County, California","1328","null","129","null","115","null","93","null","154","null","84","null","56","45","null","null","17","18","null","null","109","null","82","null","29","null","26","null","86","null","54","null","50","36","null","null","40","41","null","null","124","null","75","null","119","null","68","null","197","null","100","null","162","90","null","null","32","33","null","null","24","29","null","null","14","null","16","null",
"0500000US06093","Siskiyou County, California","19782","null","418","null","1501","null","233","null","2393","null","308","null","1667","242","null","null","1430","175","null","null","1145","null","190","null","1056","null","162","null","1295","null","214","null","1079","191","null","null","845","144","null","null","1756","null","225","null","1666","null","226","null","1973","null","253","null","895","200","null","null","430","117","null","null","412","104","null","null","239","null","82","null",
"0500000US06095","Solano County, California","139312","null","1037","null","6341","null","538","null","5043","null","423","null","4716","526","null","null","5296","560","null","null","5329","null","478","null","5449","null","492","null","5099","null","541","null","5434","495","null","null","5648","461","null","null","11074","null","756","null","15906","null","823","null","20769","null","907","null","15139","895","null","null","10017","736","null","null","10709","624","null","null","7343","null","507","null",
"0500000US06097","Sonoma County, California","184170","null","1049","null","7866","null","637","null","7747","null","600","null","8196","635","null","null","8798","746","null","null","7563","null","551","null","8004","null","620","null","7915","null","587","null","8840","549","null","null","7255","556","null","null","13912","null","797","null","19722","null","1031","null","25234","null","1015","null","17727","789","null","null","12074","698","null","null","11930","747","null","null","11387","null","730","null",
"0500000US06099","Stanislaus County, California","164933","null","1039","null","9773","null","643","null","10422","null","698","null","10227","626","null","null","9440","696","null","null","9344","null","705","null","8379","null","674","null","8596","null","683","null","7718","688","null","null","7458","582","null","null","13643","null","834","null","17428","null","827","null","21003","null","1032","null","12443","749","null","null","8221","548","null","null","6399","429","null","null","4439","null","423","null",
"0500000US06101","Sutter County, California","31668","null","347","null","1295","null","221","null","1997","null","274","null","2202","340","null","null","1750","273","null","null","1673","null","264","null","1836","null","304","null","1678","null","297","null","1872","324","null","null","1528","301","null","null","2865","null","362","null","3179","null","332","null","3846","null","405","null","2661","357","null","null","1218","233","null","null","1261","184","null","null","807","null","179","null",
"0500000US06103","Tehama County, California","23810","null","383","null","1561","null","244","null","2181","null","329","null","1895","275","null","null","1764","250","null","null","1608","null","248","null","1747","null","285","null","1545","null","250","null","1285","246","null","null","1137","194","null","null","2085","null","276","null","2076","null","289","null","2071","null","318","null","1319","247","null","null","607","168","null","null","537","146","null","null","392","null","141","null",
"0500000US06105","Trinity County, California","5731","null","251","null","325","null","92","null","484","null","131","null","507","145","null","null","434","136","null","null","468","null","114","null","394","null","120","null","382","null","156","null","311","147","null","null","243","117","null","null","405","null","144","null","618","null","164","null","442","null","111","null","319","121","null","null","186","99","null","null","133","74","null","null","80","null","67","null",
"0500000US06107","Tulare County, California","128324","null","761","null","9304","null","691","null","8415","null","611","null","8330","558","null","null","9295","699","null","null","8732","null","554","null","8038","null","672","null","7269","null","553","null","6514","499","null","null","5743","490","null","null","10588","null","753","null","11976","null","712","null","14101","null","843","null","8017","561","null","null","4883","454","null","null","4211","391","null","null","2908","null","340","null",
"0500000US06109","Tuolumne County, California","22157","null","512","null","1109","null","239","null","1532","null","267","null","1334","292","null","null","1569","278","null","null","1262","null","297","null","1448","null","255","null","1181","null","261","null","850","217","null","null","1336","270","null","null","1829","null","306","null","2158","null","321","null","2448","null","349","null","1796","274","null","null","802","179","null","null","740","182","null","null","763","null","194","null",
"0500000US06111","Ventura County, California","264982","null","1014","null","9154","null","605","null","9697","null","708","null","9067","523","null","null","9734","709","null","null","9701","null","689","null","9757","null","678","null","8976","null","653","null","10796","768","null","null","9357","611","null","null","18340","null","911","null","25439","null","1036","null","36292","null","1152","null","30914","1020","null","null","20797","941","null","null","23684","953","null","null","23277","null","848","null",
"0500000US06113","Yolo County, California","69860","null","764","null","4524","null","551","null","4153","null","458","null","3697","434","null","null","4069","475","null","null","3568","null","407","null","2320","null","341","null","2809","null","393","null","2927","403","null","null","2879","469","null","null","4961","null","456","null","6633","null","500","null","8273","null","630","null","6122","507","null","null","4403","372","null","null","4712","414","null","null","3810","null","372","null",
"0500000US06115","Yuba County, California","23885","null","492","null","1248","null","236","null","1548","null","240","null","1570","252","null","null","1477","230","null","null","1807","null","344","null","1282","null","218","null","1296","null","231","null","1426","318","null","null","935","206","null","null","2242","null","325","null","2634","null","338","null","2882","null","309","null","1667","288","null","null","745","185","null","null","691","158","null","null","435","null","159","null",
