"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"0500000US06097","Sonoma County, California","184033","1187","null","null","8152","578","null","null","7891","562","null","null","7938","null","679","null","8679","null","653","null","7818","null","706","null","8590","null","662","null","7726","null","576","null","8847","null","677","null","7038","null","593","null","14186","815","null","null","19793","1022","null","null","25851","null","985","null","18318","null","1054","null","11534","656","null","null","11215","null","696","null","10457","626","null","null",
"0500000US06099","Stanislaus County, California","163841","1175","null","null","9373","716","null","null","10013","675","null","null","9954","null","666","null","9895","null","756","null","8790","null","785","null","8129","null","660","null","8281","null","602","null","7868","null","619","null","7829","null","600","null","14513","676","null","null","17206","1063","null","null","20872","null","918","null","12845","null","630","null","7642","612","null","null","6116","null","506","null","4515","427","null","null",
"0500000US06101","Sutter County, California","31373","390","null","null","1397","245","null","null","2122","300","null","null","2005","null","272","null","1486","null","248","null","1877","null","304","null","1864","null","310","null","1466","null","232","null","1536","null","261","null","1670","null","300","null","2753","356","null","null","3476","343","null","null","4032","null","385","null","2330","null","290","null","1277","209","null","null","1243","null","214","null","839","178","null","null",
"0500000US06103","Tehama County, California","23510","513","null","null","1659","330","null","null","2298","326","null","null","1710","null","274","null","1683","null","250","null","1614","null","229","null","1583","null","247","null","1916","null","277","null","1148","null","201","null","1098","null","212","null","1945","258","null","null","2123","253","null","null","2077","null","337","null","1243","null","233","null","576","130","null","null","498","null","122","null","339","97","null","null",
"0500000US06105","Trinity County, California","5889","388","null","null","301","93","null","null","493","134","null","null","518","null","126","null","410","null","122","null","413","null","154","null","596","null","189","null","265","null","83","null","324","null","119","null","391","null","165","null","353","120","null","null","688","159","null","null","449","null","122","null","367","null","133","null","208","118","null","null","75","null","36","null","38","21","null","null",
"0500000US06107","Tulare County, California","126664","827","null","null","8979","606","null","null","8408","669","null","null","8579","null","599","null","9159","null","784","null","8592","null","548","null","8210","null","678","null","6522","null","617","null","6402","null","600","null","5675","null","472","null","10916","709","null","null","11861","705","null","null","14170","null","729","null","7689","null","545","null","4792","440","null","null","3976","null","405","null","2734","371","null","null",
"0500000US06109","Tuolumne County, California","22192","599","null","null","1054","262","null","null","1493","255","null","null","1375","null","293","null","1596","null","277","null","1317","null","309","null","1244","null","228","null","1327","null","274","null","1042","null","263","null","1071","null","249","null","1750","282","null","null","2485","366","null","null","2530","null","315","null","1745","null","228","null","788","170","null","null","656","null","169","null","719","185","null","null",
"0500000US06111","Ventura County, California","264305","1055","null","null","9002","814","null","null","9452","662","null","null","9353","null","682","null","9960","null","595","null","9740","null","734","null","9669","null","603","null","9078","null","541","null","11200","null","660","null","8774","null","694","null","19162","983","null","null","26130","1067","null","null","37267","null","1259","null","30705","null","1113","null","19782","963","null","null","22779","null","1142","null","22252","918","null","null",
"0500000US06113","Yolo County, California","69386","1103","null","null","4728","547","null","null","3788","473","null","null","3737","null","495","null","3510","null","348","null","3530","null","427","null","2538","null","327","null","3100","null","358","null","3307","null","436","null","2470","null","377","null","5289","484","null","null","6854","531","null","null","8202","null","499","null","6640","null","552","null","4324","456","null","null","4077","null","348","null","3292","260","null","null",
"0500000US06115","Yuba County, California","23750","494","null","null","1341","253","null","null","1610","316","null","null","1563","null","286","null","1501","null","263","null","1678","null","299","null","1359","null","247","null","1364","null","236","null","1133","null","226","null","1015","null","221","null","2329","322","null","null","2359","326","null","null","2872","null","327","null","1660","null","281","null","823","169","null","null","759","null","190","null","384","131","null","null",
