"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"0500000US06055","Napa County, California","48745","null","544","null","1701","null","249","null","1230","225","null","null","994","null","269","null","984","null","201","null","1642","null","299","null","1503","null","342","null","1140","259","null","null","1543","null","279","null","1623","null","328","null","2735","306","null","null","3600","null","377","null","6182","null","422","null","5302","null","449","null","3861","null","407","null","5960","null","517","null","8745","592","null","null",
"0500000US06057","Nevada County, California","40877","null","653","null","1836","null","309","null","1545","310","null","null","1464","null","298","null","1485","null","309","null","1889","null","349","null","1598","null","307","null","1372","273","null","null","1652","null","387","null","1490","null","291","null","2653","471","null","null","3537","null","425","null","5187","null","511","null","3942","null","492","null","2836","null","387","null","3338","null","464","null","5053","435","null","null",
"0500000US06059","Orange County, California","1057592","null","2642","null","44735","null","1819","null","27205","1348","null","null","22906","null","1204","null","25553","null","1207","null","28249","null","1440","null","28638","null","1201","null","27112","1292","null","null","28160","null","1382","null","26061","null","1277","null","56606","1682","null","null","82900","null","2331","null","128247","null","2494","null","112610","null","2480","null","91636","null","2256","null","127014","null","2486","null","199960","2599","null","null",
"0500000US06061","Placer County, California","149714","null","709","null","5501","null","719","null","3586","474","null","null","3343","null","442","null","3927","null","432","null","4274","null","569","null","4106","null","504","null","4338","501","null","null","3579","null","548","null","3421","null","421","null","8121","686","null","null","12093","null","801","null","18808","null","978","null","16665","null","993","null","12433","null","655","null","18747","null","944","null","26772","1157","null","null",
"0500000US06063","Plumas County, California","8231","null","291","null","458","null","170","null","441","117","null","null","303","null","139","null","454","null","134","null","207","null","97","null","449","null","195","null","400","132","null","null","498","null","138","null","362","null","126","null","678","203","null","null","840","null","196","null","964","null","201","null","665","null","176","null","493","null","164","null","466","null","139","null","553","184","null","null",
"0500000US06065","Riverside County, California","740506","null","2031","null","35222","null","1479","null","24545","1346","null","null","25601","null","1463","null","26521","null","1357","null","27726","null","1601","null","27681","null","1338","null","25116","1281","null","null","28047","null","1240","null","25041","null","1489","null","47694","1601","null","null","72706","null","2504","null","97538","null","2141","null","77165","null","2128","null","60013","null","1839","null","66196","null","1937","null","73694","2086","null","null",
"0500000US06067","Sacramento County, California","559036","null","1538","null","25809","null","1245","null","22207","1520","null","null","17504","null","960","null","18288","null","1116","null","18545","null","1146","null","20907","null","1342","null","19575","958","null","null","20914","null","1278","null","17536","null","977","null","41271","1574","null","null","52033","null","1789","null","76313","null","2344","null","58622","null","1659","null","42928","null","1430","null","51653","null","1696","null","54931","1618","null","null",
"0500000US06069","San Benito County, California","19144","null","201","null","405","null","127","null","466","161","null","null","380","null","120","null","278","null","106","null","500","null","165","null","437","null","145","null","548","145","null","null","741","null","196","null","500","null","169","null","1074","216","null","null","2283","null","373","null","2358","null","326","null","2125","null","321","null","2082","null","347","null","2284","null","321","null","2683","344","null","null",
"0500000US06071","San Bernardino County, California","651743","null","2010","null","29656","null","1341","null","24604","1352","null","null","21888","null","1029","null","25622","null","1529","null","25223","null","1473","null","27579","null","1416","null","24339","1453","null","null","25476","null","1511","null","22217","null","1210","null","49578","1599","null","null","68068","null","2178","null","90279","null","1808","null","66716","null","1901","null","46127","null","1665","null","54902","null","1897","null","49469","1802","null","null",
"0500000US06073","San Diego County, California","1139899","null","3376","null","46029","null","1905","null","33022","1533","null","null","31376","null","1403","null","33644","null","1460","null","35316","null","1617","null","36160","null","1609","null","35041","1606","null","null","35975","null","1807","null","32520","null","1411","null","71624","2206","null","null","99339","null","2711","null","143673","null","3087","null","121474","null","2949","null","94356","null","2095","null","123048","null","3266","null","167302","3296","null","null",
"0500000US06075","San Francisco County, California","361222","null","2202","null","16285","null","1212","null","16864","1322","null","null","8806","null","860","null","9052","null","720","null","9441","null","916","null","6781","null","602","null","7490","627","null","null","7246","null","703","null","6890","null","605","null","13756","904","null","null","19085","null","1175","null","29837","null","1290","null","27583","null","1635","null","26290","null","1490","null","42132","null","1577","null","113684","2250","null","null",
"0500000US06077","San Joaquin County, California","234662","null","982","null","11581","null","890","null","7779","600","null","null","7765","null","626","null","8885","null","740","null","8797","null","653","null","9439","null","802","null","7682","757","null","null","8226","null","666","null","6986","null","638","null","17015","972","null","null","23239","null","1242","null","32116","null","1467","null","24976","null","1212","null","17862","null","1190","null","21120","null","1100","null","21194","1009","null","null",
"0500000US06079","San Luis Obispo County, California","106790","null","1211","null","4970","null","573","null","3304","511","null","null","3330","null","499","null","3074","null","439","null","3920","null","515","null","3819","null","462","null","3202","519","null","null","3748","null","463","null","3603","null","485","null","6879","657","null","null","9464","null","838","null","13007","null","939","null","12410","null","848","null","8740","null","747","null","10866","null","761","null","12454","898","null","null",
"0500000US06081","San Mateo County, California","264892","null","1199","null","6911","null","716","null","5123","537","null","null","4483","null","540","null","5094","null","710","null","4471","null","500","null","5381","null","519","null","5585","690","null","null","5650","null","616","null","4258","null","489","null","9890","802","null","null","15925","null","959","null","25325","null","1190","null","23629","null","1324","null","21240","null","1080","null","33649","null","1146","null","88278","1863","null","null",
"0500000US06083","Santa Barbara County, California","147446","null","845","null","6806","null","577","null","4939","606","null","null","3932","null","511","null","4338","null","491","null","3966","null","492","null","4339","null","464","null","4828","664","null","null","5860","null","615","null","4184","null","548","null","9623","839","null","null","13109","null","860","null","19372","null","925","null","14030","null","862","null","11853","null","876","null","14302","null","980","null","21965","1015","null","null",
"0500000US06085","Santa Clara County, California","646847","null","2058","null","18197","null","1093","null","13297","891","null","null","11130","null","826","null","11865","null","848","null","11372","null","813","null","12466","null","883","null","11916","817","null","null","12467","null","940","null","10502","null","758","null","25234","1362","null","null","37159","null","1533","null","58863","null","1888","null","55003","null","1802","null","52361","null","1764","null","85975","null","1931","null","219040","2812","null","null",
"0500000US06087","Santa Cruz County, California","96476","null","987","null","3990","null","485","null","2615","425","null","null","3125","null","571","null","2572","null","459","null","2624","null","432","null","2697","null","392","null","2258","424","null","null","2932","null","499","null","2217","null","357","null","5115","563","null","null","7633","null","792","null","11972","null","823","null","9162","null","653","null","7197","null","603","null","11290","null","886","null","19077","936","null","null",
"0500000US06089","Shasta County, California","71314","null","640","null","3689","null","447","null","3871","445","null","null","3150","null","358","null","3208","null","442","null","3172","null","504","null","3027","null","333","null","3184","461","null","null","3070","null","356","null","2950","null","443","null","5473","487","null","null","6711","null","587","null","9679","null","653","null","5959","null","466","null","4669","null","426","null","5070","null","432","null","4432","475","null","null",
"0500000US06091","Sierra County, California","1151","null","153","null","42","null","40","null","95","73","null","null","60","null","55","null","27","null","26","null","42","null","26","null","65","null","62","null","40","36","null","null","20","null","21","null","94","null","101","null","164","83","null","null","53","null","40","null","161","null","78","null","73","null","41","null","70","null","46","null","87","null","71","null","58","49","null","null",
"0500000US06093","Siskiyou County, California","18598","null","345","null","1362","null","206","null","1105","228","null","null","1071","null","190","null","1086","null","182","null","1024","null","172","null","910","null","176","null","864","194","null","null","938","null","129","null","962","null","244","null","1601","286","null","null","2023","null","257","null","1870","null","248","null","1292","null","202","null","1201","null","231","null","782","null","186","null","507","140","null","null",
"0500000US06095","Solano County, California","153632","null","844","null","5616","null","592","null","3551","485","null","null","3575","null","393","null","3969","null","454","null","4291","null","583","null","3979","null","438","null","4429","569","null","null","5436","null","729","null","4780","null","469","null","9524","758","null","null","14045","null","875","null","21914","null","963","null","19295","null","964","null","13304","null","910","null","17146","null","873","null","18778","961","null","null",
"0500000US06097","Sonoma County, California","188841","null","973","null","6949","null","643","null","5217","591","null","null","4596","null","505","null","4858","null","558","null","5322","null","529","null","5866","null","564","null","5400","669","null","null","6403","null","688","null","5278","null","620","null","10696","699","null","null","16294","null","1009","null","25239","null","994","null","20743","null","913","null","16358","null","895","null","22319","null","1008","null","27303","1229","null","null",
"0500000US06099","Stanislaus County, California","175067","null","752","null","7215","null","710","null","7256","787","null","null","6550","null","636","null","6489","null","766","null","7177","null","682","null","6957","null","739","null","7849","860","null","null","7671","null","692","null","6406","null","752","null","13848","964","null","null","17771","null","1128","null","24029","null","1224","null","18199","null","1023","null","11769","null","715","null","13751","null","1109","null","12130","886","null","null",
"0500000US06101","Sutter County, California","32703","null","347","null","1428","null","234","null","1384","250","null","null","1018","null","231","null","1246","null","275","null","1298","null","222","null","1096","null","226","null","1418","249","null","null","1362","null","267","null","1682","null","346","null","2642","364","null","null","3287","null","417","null","4644","null","381","null","3259","null","406","null","2206","null","330","null","2115","null","301","null","2618","372","null","null",
"0500000US06103","Tehama County, California","24551","null","399","null","1594","null","316","null","1868","308","null","null","996","null","272","null","1331","null","283","null","1395","null","286","null","1342","null","377","null","1175","256","null","null","1011","null","236","null","987","null","244","null","1855","281","null","null","2420","null","463","null","2890","null","501","null","2198","null","403","null","1096","null","235","null","1208","null","252","null","1185","293","null","null",
"0500000US06105","Trinity County, California","5492","null","221","null","505","null","169","null","249","119","null","null","386","null","185","null","449","null","156","null","345","null","146","null","305","null","109","null","237","107","null","null","458","null","158","null","206","null","85","null","579","172","null","null","483","null","151","null","354","null","127","null","294","null","118","null","182","null","90","null","206","null","96","null","254","119","null","null",
"0500000US06107","Tulare County, California","139631","null","703","null","8552","null","728","null","6295","508","null","null","6182","null","593","null","7352","null","754","null","6447","null","622","null","7416","null","843","null","6096","738","null","null","7229","null","938","null","5632","null","624","null","11260","855","null","null","14645","null","1152","null","17927","null","1104","null","11087","null","852","null","8075","null","754","null","8358","null","767","null","7078","651","null","null",
"0500000US06109","Tuolumne County, California","23103","null","533","null","768","null","179","null","1411","283","null","null","1064","null","318","null","706","null","220","null","1064","null","293","null","873","null","271","null","1063","274","null","null","914","null","257","null","879","null","266","null","1958","356","null","null","1810","null","314","null","3351","null","520","null","2440","null","390","null","1441","null","287","null","1749","null","327","null","1612","348","null","null",
"0500000US06111","Ventura County, California","274471","null","963","null","8982","null","739","null","6462","670","null","null","6235","null","705","null","6911","null","531","null","8148","null","779","null","8553","null","658","null","8397","811","null","null","8368","null","819","null","7997","null","781","null","15154","968","null","null","22576","null","1243","null","37307","null","1348","null","31283","null","1191","null","23246","null","1167","null","31783","null","1337","null","43069","1385","null","null",
"0500000US06113","Yolo County, California","75471","null","570","null","5283","null","489","null","3349","465","null","null","2034","null","334","null","2605","null","408","null","2700","null","472","null","2238","null","405","null","2320","395","null","null","2041","null","350","null","1834","null","339","null","5373","615","null","null","6337","null","614","null","9378","null","647","null","7160","null","539","null","5322","null","575","null","7533","null","610","null","9964","640","null","null",
"0500000US06115","Yuba County, California","26888","null","492","null","1627","null","359","null","1398","298","null","null","1044","null","244","null","1292","null","283","null","1209","null","308","null","995","null","281","null","1201","349","null","null","936","null","227","null","1157","null","272","null","2050","385","null","null","2698","null","436","null","3557","null","538","null","3217","null","443","null","1463","null","308","null","2015","null","373","null","1029","240","null","null",
