"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"0500000US06083","Santa Barbara County, California","142713","null","752","null","7285","null","539","null","6485","null","545","null","6670","null","551","null","5891","null","503","null","6870","null","500","null","6944","null","555","null","6099","null","610","null","5813","null","609","null","5117","412","null","null","10086","547","null","null","14002","null","840","null","18134","871","null","null","12997","null","704","null","9011","628","null","null","10122","null","662","null","11187","null","593","null",
"0500000US06085","Santa Clara County, California","621463","null","1599","null","22926","null","1119","null","19543","null","868","null","17382","null","885","null","18286","null","867","null","18369","null","871","null","18901","null","842","null","16475","null","944","null","18247","null","921","null","17358","969","null","null","33260","1136","null","null","48328","null","1181","null","71291","1785","null","null","65518","null","1722","null","49614","1612","null","null","72758","null","1635","null","113207","null","1640","null",
"0500000US06087","Santa Cruz County, California","94802","null","713","null","5839","null","596","null","3796","null","443","null","3745","null","452","null","4424","null","535","null","3526","null","408","null","3877","null","480","null","4012","null","517","null","3769","null","408","null","3400","381","null","null","6563","504","null","null","9091","null","672","null","11462","629","null","null","9017","null","551","null","5907","533","null","null","7692","null","572","null","8682","null","476","null",
"0500000US06089","Shasta County, California","69375","null","726","null","5115","null","501","null","5135","null","503","null","4346","null","402","null","4723","null","422","null","4118","null","398","null","3962","null","434","null","3809","null","399","null","3722","null","349","null","3071","351","null","null","5588","447","null","null","7297","null","498","null","7051","474","null","null","4638","null","401","null","2333","277","null","null","2729","null","312","null","1738","null","234","null",
"0500000US06091","Sierra County, California","1252","null","134","null","71","null","55","null","82","null","56","null","151","null","81","null","45","null","32","null","68","null","48","null","60","null","51","null","85","null","46","null","90","null","49","null","39","33","null","null","86","46","null","null","73","null","50","null","128","62","null","null","145","null","73","null","34","29","null","null","41","null","26","null","54","null","47","null",
"0500000US06093","Siskiyou County, California","19133","null","383","null","1714","null","237","null","1743","null","251","null","1567","null","181","null","1638","null","204","null","1194","null","173","null","1168","null","164","null","1035","null","178","null","981","null","133","null","854","156","null","null","1674","246","null","null","1750","null","237","null","1863","229","null","null","641","null","124","null","570","122","null","null","402","null","109","null","339","null","100","null",
"0500000US06095","Solano County, California","143612","null","823","null","7100","null","499","null","6366","null","562","null","5602","null","559","null","5768","null","490","null","5452","null","481","null","5884","null","464","null","5580","null","449","null","6221","null","493","null","5175","446","null","null","11056","678","null","null","14579","null","655","null","20844","962","null","null","15354","null","752","null","9902","579","null","null","10594","null","641","null","8135","null","623","null",
"0500000US06097","Sonoma County, California","187782","null","1212","null","7825","null","618","null","7943","null","489","null","7966","null","652","null","8733","null","628","null","7837","null","671","null","7688","null","574","null","8448","null","609","null","7637","null","611","null","7989","546","null","null","15473","826","null","null","18807","null","884","null","25119","1149","null","null","18030","null","966","null","11888","645","null","null","13505","null","818","null","12894","null","710","null",
"0500000US06099","Stanislaus County, California","169196","null","975","null","10547","null","791","null","11339","null","724","null","9729","null","659","null","9031","null","685","null","9746","null","669","null","9597","null","658","null","8441","null","609","null","8689","null","695","null","7245","685","null","null","14461","872","null","null","17514","null","914","null","20182","1011","null","null","13173","null","773","null","7630","570","null","null","6606","null","514","null","5266","null","511","null",
"0500000US06101","Sutter County, California","31917","null","334","null","1672","null","241","null","2070","null","311","null","2060","null","261","null","1727","null","257","null","1710","null","233","null","1624","null","279","null","1543","null","232","null","1633","null","248","null","1140","191","null","null","2748","304","null","null","3585","null","354","null","3688","302","null","null","2691","null","346","null","1485","251","null","null","1618","null","241","null","923","null","160","null",
"0500000US06103","Tehama County, California","23704","null","442","null","1554","null","226","null","1849","null","309","null","1716","null","276","null","1732","null","319","null","1588","null","225","null","1767","null","269","null","1451","null","285","null","1065","null","232","null","1126","279","null","null","1926","300","null","null","2219","null","327","null","2512","270","null","null","1391","null","240","null","704","152","null","null","513","null","167","null","591","null","169","null",
"0500000US06105","Trinity County, California","5484","null","254","null","458","null","137","null","496","null","139","null","564","null","150","null","468","null","149","null","299","null","95","null","459","null","165","null","175","null","62","null","258","null","113","null","245","106","null","null","328","96","null","null","544","null","142","null","577","151","null","null","237","null","81","null","123","69","null","null","95","null","66","null","158","null","83","null",
"0500000US06107","Tulare County, California","133570","null","781","null","10235","null","711","null","9715","null","532","null","10189","null","710","null","9419","null","678","null","8326","null","689","null","8512","null","734","null","7541","null","616","null","6366","null","611","null","6187","541","null","null","10560","701","null","null","12287","null","811","null","13274","845","null","null","8255","null","734","null","4885","538","null","null","4584","null","562","null","3235","null","390","null",
"0500000US06109","Tuolumne County, California","22133","null","641","null","1314","null","286","null","1368","null","314","null","1299","null","277","null","1055","null","192","null","1492","null","280","null","1328","null","273","null","1215","null","266","null","879","null","182","null","1044","190","null","null","2304","325","null","null","2191","null","290","null","2628","375","null","null","1563","null","251","null","857","199","null","null","822","null","173","null","774","null","179","null",
"0500000US06111","Ventura County, California","268969","null","898","null","9437","null","643","null","9027","null","635","null","9004","null","588","null","9835","null","555","null","8939","null","641","null","10493","null","678","null","9251","null","707","null","10158","null","686","null","9488","519","null","null","18336","937","null","null","26125","null","1050","null","37724","1299","null","null","29473","null","1094","null","20661","811","null","null","24429","null","966","null","26589","null","915","null",
"0500000US06113","Yolo County, California","71997","null","602","null","5336","null","432","null","4509","null","439","null","4110","null","454","null","3674","null","420","null","3290","null","421","null","2850","null","430","null","3133","null","416","null","2903","null","343","null","2939","387","null","null","5537","534","null","null","6056","null","494","null","7744","587","null","null","6477","null","472","null","4179","407","null","null","4832","null","418","null","4428","null","386","null",
"0500000US06115","Yuba County, California","25139","null","409","null","1423","null","266","null","1765","null","227","null","1807","null","261","null","1750","null","284","null","1541","null","276","null","1365","null","224","null","1205","null","214","null","1102","null","268","null","1486","291","null","null","2127","338","null","null","2727","null","374","null","3187","337","null","null","1679","null","288","null","837","217","null","null","677","null","186","null","461","null","170","null",
