"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016M","B19001_016MA","B19001_016EA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"0500000US06041","Marin County, California","103152","null","769","null","3608","null","413","null","3674","null","435","null","3289","null","418","null","3402","352","null","null","2819","400","null","null","3758","480","null","null","3339","null","428","null","3453","null","503","null","2939","428","null","null","5976","516","null","null","7578","551","null","null","11570","null","763","null","11017","null","682","null","7668","null","489","null","10815","668","null","null","18247","820","null","null",
"0500000US06043","Mariposa County, California","7256","null","368","null","432","null","173","null","409","null","164","null","518","null","143","null","478","138","null","null","272","114","null","null","414","150","null","null","444","null","155","null","219","null","95","null","276","112","null","null","541","166","null","null","600","122","null","null","1203","null","279","null","660","null","186","null","366","null","168","null","282","162","null","null","142","67","null","null",
"0500000US06045","Mendocino County, California","34228","null","484","null","2377","null","351","null","3041","null","367","null","2236","null","364","null","2559","359","null","null","2027","284","null","null","2027","310","null","null","1775","null","326","null","1450","null","259","null","1761","295","null","null","2936","375","null","null","3509","360","null","null","3377","null","382","null","2440","null","307","null","1056","null","241","null","1001","198","null","null","656","141","null","null",
"0500000US06047","Merced County, California","74496","null","748","null","5644","null","450","null","5505","null","550","null","5051","null","450","null","4998","541","null","null","5045","463","null","null","4564","480","null","null","3655","null","419","null","3773","null","362","null","3442","348","null","null","5823","539","null","null","7563","626","null","null","7879","null","623","null","4940","null","469","null","2580","null","339","null","2010","319","null","null","2024","282","null","null",
"0500000US06049","Modoc County, California","3903","null","201","null","326","null","107","null","279","null","92","null","239","null","93","null","460","148","null","null","228","81","null","null","210","94","null","null","409","null","125","null","126","null","72","null","168","83","null","null","256","107","null","null","313","89","null","null","433","null","122","null","314","null","94","null","81","null","56","null","36","35","null","null","25","20","null","null",
"0500000US06051","Mono County, California","5056","null","493","null","146","null","105","null","257","null","148","null","191","null","98","null","258","132","null","null","309","172","null","null","298","154","null","null","333","null","144","null","257","null","120","null","220","118","null","null","188","106","null","null","596","177","null","null","942","null","320","null","433","null","178","null","363","null","169","null","188","91","null","null","77","67","null","null",
"0500000US06053","Monterey County, California","125123","null","1069","null","5294","null","467","null","5498","null","487","null","5975","null","563","null","6058","520","null","null","6238","572","null","null","5812","533","null","null","5698","null","466","null","5493","null","569","null","5550","518","null","null","10807","709","null","null","13661","796","null","null","15925","null","878","null","11592","null","627","null","7823","null","447","null","6857","511","null","null","6842","532","null","null",
"0500000US06055","Napa County, California","49209","null","596","null","1696","null","248","null","2023","null","345","null","1771","null","303","null","1993","274","null","null","1785","310","null","null","2278","376","null","null","1995","null","307","null","2197","null","316","null","1925","255","null","null","3659","379","null","null","5091","472","null","null","6189","null","420","null","5428","null","519","null","3195","null","380","null","3821","432","null","null","4163","387","null","null",
"0500000US06057","Nevada County, California","41626","null","622","null","2061","null","284","null","2253","null","316","null","2003","null","347","null","2173","342","null","null","2216","366","null","null","2109","321","null","null","1878","null","307","null","1903","null","316","null","1738","284","null","null","3328","391","null","null","4266","454","null","null","5568","null","501","null","3956","null","397","null","2181","null","299","null","2102","298","null","null","1891","335","null","null",
"0500000US06059","Orange County, California","990266","null","2072","null","40527","null","1415","null","33302","null","1209","null","34670","null","1418","null","36422","1221","null","null","36924","1284","null","null","36422","1285","null","null","36009","null","1337","null","36449","null","1338","null","35649","1455","null","null","70617","1915","null","null","94446","1918","null","null","132919","null","2318","null","103768","null","1809","null","74765","null","1897","null","88066","1968","null","null","99311","1963","null","null",
