"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"0500000US06073","San Diego County, California","1111739","2983","null","null","56482","null","1674","null","41917","null","1481","null","40117","1177","null","null","44131","1492","null","null","43701","1763","null","null","45158","null","1404","null","42326","null","1722","null","44568","1379","null","null","39434","1323","null","null","80491","null","2273","null","106795","null","2549","null","143133","null","2863","null","113278","2584","null","null","75532","1963","null","null","90788","null","2024","null","103888","null","1892","null",
"0500000US06075","San Francisco County, California","358772","1742","null","null","20267","null","1059","null","19987","null","999","null","11875","672","null","null","11951","912","null","null","9528","736","null","null","9881","null","666","null","8437","null","621","null","9095","641","null","null","8116","710","null","null","15351","null","791","null","24578","null","1026","null","34819","null","1190","null","33742","1186","null","null","26156","1044","null","null","38914","null","1377","null","76075","null","1732","null",
"0500000US06077","San Joaquin County, California","223808","1054","null","null","12972","null","825","null","12469","null","765","null","10615","725","null","null","12229","770","null","null","10487","628","null","null","10476","null","735","null","10120","null","692","null","9829","643","null","null","8079","551","null","null","17678","null","955","null","23123","null","1062","null","27923","null","1160","null","20102","977","null","null","13176","752","null","null","13516","null","666","null","11014","null","849","null",
"0500000US06079","San Luis Obispo County, California","105044","886","null","null","6203","null","612","null","4644","null","449","null","3632","432","null","null","4178","445","null","null","4402","419","null","null","3812","null","402","null","4118","null","508","null","4352","463","null","null","3754","436","null","null","7800","null","559","null","10857","null","760","null","13937","null","806","null","11072","674","null","null","7173","466","null","null","7394","null","573","null","7716","null","527","null",
"0500000US06081","San Mateo County, California","261796","1009","null","null","7547","null","639","null","6168","null","539","null","6147","537","null","null","6965","596","null","null","6161","524","null","null","6915","null","537","null","6741","null","546","null","7224","570","null","null","6334","423","null","null","13327","null","788","null","19492","null","862","null","30263","null","1011","null","26501","995","null","null","21619","1002","null","null","31418","null","1187","null","58974","null","1165","null",
"0500000US06083","Santa Barbara County, California","144015","864","null","null","6900","null","625","null","5862","null","472","null","6222","488","null","null","5396","486","null","null","5403","528","null","null","6538","null","626","null","5902","null","549","null","6225","563","null","null","5776","562","null","null","10002","null","760","null","13524","null","924","null","18640","null","991","null","13158","692","null","null","9236","548","null","null","11399","null","742","null","13832","null","737","null",
"0500000US06085","Santa Clara County, California","630451","1707","null","null","21711","null","971","null","18023","null","936","null","15626","806","null","null","15862","815","null","null","15482","807","null","null","16283","null","900","null","16058","null","893","null","16121","923","null","null","15062","770","null","null","30823","null","1186","null","45521","null","1311","null","67153","null","1626","null","63541","1721","null","null","51912","1317","null","null","80001","null","1995","null","141272","null","2358","null",
"0500000US06087","Santa Cruz County, California","95536","702","null","null","5466","null","572","null","4132","null","454","null","3261","477","null","null","4096","522","null","null","3543","430","null","null","3319","null","417","null","3443","null","438","null","3654","489","null","null","3061","437","null","null","6517","null","555","null","8065","null","594","null","11867","null","755","null","9054","655","null","null","6430","461","null","null","8424","null","570","null","11204","null","638","null",
"0500000US06089","Shasta County, California","70486","734","null","null","4722","null","428","null","5103","null","461","null","4203","380","null","null","4429","361","null","null","4118","388","null","null","3889","null","394","null","4047","null","446","null","3330","397","null","null","3166","406","null","null","5200","null","405","null","7525","null","563","null","7683","null","582","null","4945","435","null","null","2567","294","null","null","3284","null","309","null","2275","null","269","null",
"0500000US06091","Sierra County, California","1208","156","null","null","93","null","78","null","112","null","64","null","89","65","null","null","45","32","null","null","44","25","null","null","59","null","46","null","82","null","66","null","103","75","null","null","24","22","null","null","52","null","36","null","71","null","39","null","103","null","63","null","155","84","null","null","65","40","null","null","56","null","33","null","55","null","50","null",
