"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)",
"1500000US060014001001","Block Group 1, Census Tract 4001, Alameda County, California","208393","null","46352","null",
"1500000US060014002001","Block Group 1, Census Tract 4002, Alameda County, California","169167","null","35602","null",
"1500000US060014002002","Block Group 2, Census Tract 4002, Alameda County, California","119722","null","45188","null",
"1500000US060014003001","Block Group 1, Census Tract 4003, Alameda County, California","142569","null","65521","null",
"1500000US060014003002","Block Group 2, Census Tract 4003, Alameda County, California","85673","null","40482","null",
"1500000US060014003003","Block Group 3, Census Tract 4003, Alameda County, California","-","-","**","**",
"1500000US060014003004","Block Group 4, Census Tract 4003, Alameda County, California","93833","null","42626","null",
"1500000US060014004001","Block Group 1, Census Tract 4004, Alameda County, California","103654","null","25677","null",
"1500000US060014004002","Block Group 2, Census Tract 4004, Alameda County, California","86389","null","28581","null",
"1500000US060014004003","Block Group 3, Census Tract 4004, Alameda County, California","112500","null","33419","null",
"1500000US060014005001","Block Group 1, Census Tract 4005, Alameda County, California","100568","null","10911","null",
"1500000US060014005002","Block Group 2, Census Tract 4005, Alameda County, California","74702","null","30368","null",
"1500000US060014005003","Block Group 3, Census Tract 4005, Alameda County, California","80804","null","31128","null",
"1500000US060014006001","Block Group 1, Census Tract 4006, Alameda County, California","77857","null","36272","null",
"1500000US060014006002","Block Group 2, Census Tract 4006, Alameda County, California","106094","null","33910","null",
"1500000US060014007001","Block Group 1, Census Tract 4007, Alameda County, California","64306","null","16309","null",
"1500000US060014007002","Block Group 2, Census Tract 4007, Alameda County, California","48403","null","27987","null",
"1500000US060014007003","Block Group 3, Census Tract 4007, Alameda County, California","73056","null","46946","null",
"1500000US060014007004","Block Group 4, Census Tract 4007, Alameda County, California","40875","null","33839","null",
"1500000US060014008001","Block Group 1, Census Tract 4008, Alameda County, California","65481","null","25927","null",
"1500000US060014008002","Block Group 2, Census Tract 4008, Alameda County, California","66806","null","21351","null",
"1500000US060014008003","Block Group 3, Census Tract 4008, Alameda County, California","59539","null","21545","null",
"1500000US060014009001","Block Group 1, Census Tract 4009, Alameda County, California","51111","null","7951","null",
"1500000US060014009002","Block Group 2, Census Tract 4009, Alameda County, California","85833","null","28874","null",
"1500000US060014010001","Block Group 1, Census Tract 4010, Alameda County, California","-","-","**","**",
"1500000US060014010002","Block Group 2, Census Tract 4010, Alameda County, California","62218","null","17482","null",
"1500000US060014010003","Block Group 3, Census Tract 4010, Alameda County, California","77625","null","33835","null",
"1500000US060014010004","Block Group 4, Census Tract 4010, Alameda County, California","82054","null","60965","null",
"1500000US060014010005","Block Group 5, Census Tract 4010, Alameda County, California","-","-","**","**",
"1500000US060014010006","Block Group 6, Census Tract 4010, Alameda County, California","-","-","**","**",
"1500000US060014011001","Block Group 1, Census Tract 4011, Alameda County, California","111652","null","59444","null",
"1500000US060014011002","Block Group 2, Census Tract 4011, Alameda County, California","68482","null","17396","null",
"1500000US060014011003","Block Group 3, Census Tract 4011, Alameda County, California","75167","null","41306","null",
"1500000US060014011004","Block Group 4, Census Tract 4011, Alameda County, California","89688","null","39562","null",
"1500000US060014012001","Block Group 1, Census Tract 4012, Alameda County, California","91250","null","35600","null",
"1500000US060014012002","Block Group 2, Census Tract 4012, Alameda County, California","123875","null","58037","null",
"1500000US060014012003","Block Group 3, Census Tract 4012, Alameda County, California","58750","null","31358","null",
"1500000US060014013001","Block Group 1, Census Tract 4013, Alameda County, California","50313","null","21278","null",
"1500000US060014013002","Block Group 2, Census Tract 4013, Alameda County, California","29375","null","6585","null",
"1500000US060014013003","Block Group 3, Census Tract 4013, Alameda County, California","70833","null","18621","null",
"1500000US060014014001","Block Group 1, Census Tract 4014, Alameda County, California","23266","null","10465","null",
"1500000US060014014002","Block Group 2, Census Tract 4014, Alameda County, California","32917","null","17715","null",
"1500000US060014014003","Block Group 3, Census Tract 4014, Alameda County, California","31392","null","7457","null",
"1500000US060014015001","Block Group 1, Census Tract 4015, Alameda County, California","-","-","**","**",
"1500000US060014015002","Block Group 2, Census Tract 4015, Alameda County, California","76875","null","26750","null",
"1500000US060014015003","Block Group 3, Census Tract 4015, Alameda County, California","58036","null","22189","null",
"1500000US060014016001","Block Group 1, Census Tract 4016, Alameda County, California","43654","null","9989","null",
"1500000US060014016002","Block Group 2, Census Tract 4016, Alameda County, California","46250","null","17026","null",
"1500000US060014017001","Block Group 1, Census Tract 4017, Alameda County, California","102135","null","46938","null",
"1500000US060014017002","Block Group 2, Census Tract 4017, Alameda County, California","80125","null","34313","null",
"1500000US060014017003","Block Group 3, Census Tract 4017, Alameda County, California","-","-","**","**",
"1500000US060014018001","Block Group 1, Census Tract 4018, Alameda County, California","73088","null","13459","null",
"1500000US060014018002","Block Group 2, Census Tract 4018, Alameda County, California","19940","null","5658","null",
"1500000US060014022001","Block Group 1, Census Tract 4022, Alameda County, California","45306","null","11863","null",
"1500000US060014022002","Block Group 2, Census Tract 4022, Alameda County, California","35673","null","10888","null",
"1500000US060014022003","Block Group 3, Census Tract 4022, Alameda County, California","70000","null","32745","null",
"1500000US060014024001","Block Group 1, Census Tract 4024, Alameda County, California","49417","null","21122","null",
"1500000US060014024002","Block Group 2, Census Tract 4024, Alameda County, California","24583","null","16563","null",
"1500000US060014025001","Block Group 1, Census Tract 4025, Alameda County, California","34135","null","5250","null",
"1500000US060014025002","Block Group 2, Census Tract 4025, Alameda County, California","14766","null","5971","null",
"1500000US060014026001","Block Group 1, Census Tract 4026, Alameda County, California","21250","null","5748","null",
"1500000US060014027001","Block Group 1, Census Tract 4027, Alameda County, California","55250","null","14385","null",
"1500000US060014027002","Block Group 2, Census Tract 4027, Alameda County, California","76000","null","33802","null",
"1500000US060014028001","Block Group 1, Census Tract 4028, Alameda County, California","14663","null","4371","null",
"1500000US060014028002","Block Group 2, Census Tract 4028, Alameda County, California","49194","null","18713","null",
"1500000US060014029001","Block Group 1, Census Tract 4029, Alameda County, California","26786","null","6844","null",
"1500000US060014030001","Block Group 1, Census Tract 4030, Alameda County, California","26971","null","5503","null",
"1500000US060014030002","Block Group 2, Census Tract 4030, Alameda County, California","18143","null","4489","null",
