"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"1400000US06013336201","Census Tract 3362.01, Contra Costa County, California","1209","null","54","null","0","null","12","null","50","null","28","null","116","null","67","null","60","null","33","null","0","null","12","null","69","null","51","null","41","null","50","null","99","null","61","null","70","48","null","null","105","64","null","null","143","null","85","null","243","104","null","null","107","null","73","null","20","22","null","null","51","null","43","null","35","null","33","null",
"1400000US06013336202","Census Tract 3362.02, Contra Costa County, California","1734","null","65","null","63","null","52","null","63","null","59","null","249","null","96","null","213","null","106","null","106","null","89","null","115","null","84","null","93","null","62","null","163","null","105","null","145","84","null","null","234","116","null","null","97","null","62","null","103","61","null","null","21","null","27","null","16","14","null","null","42","null","31","null","11","null","20","null",
"1400000US06013337100","Census Tract 3371, Contra Costa County, California","1235","null","34","null","40","null","37","null","9","null","14","null","10","null","16","null","59","null","53","null","23","null","39","null","37","null","45","null","6","null","11","null","8","null","12","null","40","42","null","null","85","44","null","null","123","null","69","null","231","73","null","null","120","null","56","null","165","64","null","null","183","null","67","null","96","null","51","null",
"1400000US06013337200","Census Tract 3372, Contra Costa County, California","3005","null","103","null","55","null","36","null","82","null","61","null","132","null","91","null","104","null","111","null","71","null","65","null","206","null","123","null","169","null","95","null","111","null","73","null","101","61","null","null","314","153","null","null","381","null","130","null","516","181","null","null","211","null","113","null","258","111","null","null","234","null","105","null","60","null","57","null",
"1400000US06013337300","Census Tract 3373, Contra Costa County, California","2188","null","131","null","0","null","17","null","30","null","34","null","14","null","22","null","0","null","17","null","25","null","29","null","31","null","35","null","20","null","27","null","88","null","90","null","62","54","null","null","142","95","null","null","155","null","79","null","283","97","null","null","224","null","97","null","303","117","null","null","315","null","103","null","496","null","136","null",
"1400000US06013338101","Census Tract 3381.01, Contra Costa County, California","1788","null","80","null","104","null","74","null","161","null","114","null","90","null","64","null","105","null","77","null","163","null","94","null","65","null","49","null","89","null","79","null","67","null","52","null","72","51","null","null","161","79","null","null","203","null","89","null","157","94","null","null","112","null","59","null","68","58","null","null","132","null","75","null","39","null","45","null",
"1400000US06013338102","Census Tract 3381.02, Contra Costa County, California","1372","null","71","null","15","null","17","null","41","null","29","null","12","null","17","null","19","null","15","null","17","null","21","null","57","null","39","null","69","null","50","null","48","null","51","null","44","33","null","null","75","57","null","null","98","null","56","null","278","109","null","null","156","null","63","null","153","71","null","null","217","null","76","null","73","null","44","null",
"1400000US06013338201","Census Tract 3382.01, Contra Costa County, California","1385","null","59","null","19","null","22","null","57","null","38","null","34","null","31","null","0","null","12","null","20","null","22","null","33","null","30","null","17","null","18","null","8","null","13","null","56","42","null","null","111","59","null","null","177","null","69","null","128","55","null","null","165","null","61","null","117","52","null","null","241","null","49","null","202","null","75","null",
"1400000US06013338203","Census Tract 3382.03, Contra Costa County, California","2503","null","153","null","90","null","103","null","74","null","91","null","83","null","73","null","0","null","12","null","42","null","39","null","86","null","69","null","101","null","85","null","60","null","57","null","30","36","null","null","80","56","null","null","393","null","155","null","346","134","null","null","362","null","142","null","245","122","null","null","167","null","92","null","344","null","137","null",
"1400000US06013338204","Census Tract 3382.04, Contra Costa County, California","2677","null","136","null","60","null","49","null","2","null","11","null","16","null","25","null","76","null","55","null","41","null","45","null","98","null","85","null","157","null","98","null","129","null","96","null","52","49","null","null","105","66","null","null","268","null","115","null","424","160","null","null","282","null","113","null","214","102","null","null","480","null","175","null","273","null","124","null",
