"GEO_ID","NAME","B19013_001E","B19013_001M","B19013_001MA","B19013_001EA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2011 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2011 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2011 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2011 inflation-adjusted dollars)",
"0500000US06001","Alameda County, California","70821","789","null","null",
"0500000US06003","Alpine County, California","59018","12900","null","null",
"0500000US06005","Amador County, California","56180","3453","null","null",
"0500000US06007","Butte County, California","42971","1388","null","null",
"0500000US06009","Calaveras County, California","55256","3711","null","null",
"0500000US06011","Colusa County, California","49558","3938","null","null",
"0500000US06013","Contra Costa County, California","79135","1017","null","null",
"0500000US06015","Del Norte County, California","37588","5360","null","null",
"0500000US06017","El Dorado County, California","68815","2021","null","null",
"0500000US06019","Fresno County, California","46903","702","null","null",
"0500000US06021","Glenn County, California","43239","2432","null","null",
"0500000US06023","Humboldt County, California","40376","1196","null","null",
"0500000US06025","Imperial County, California","39402","1479","null","null",
"0500000US06027","Inyo County, California","49571","4690","null","null",
"0500000US06029","Kern County, California","48021","800","null","null",
"0500000US06031","Kings County, California","48838","1893","null","null",
"0500000US06033","Lake County, California","39525","2054","null","null",
"0500000US06035","Lassen County, California","52484","5291","null","null",
"0500000US06037","Los Angeles County, California","56266","237","null","null",
"0500000US06039","Madera County, California","47724","2125","null","null",
"0500000US06041","Marin County, California","89605","2172","null","null",
"0500000US06043","Mariposa County, California","49174","5558","null","null",
"0500000US06045","Mendocino County, California","44527","2035","null","null",
"0500000US06047","Merced County, California","43945","1460","null","null",
"0500000US06049","Modoc County, California","35402","3033","null","null",
"0500000US06051","Mono County, California","60469","9445","null","null",
"0500000US06053","Monterey County, California","59737","1114","null","null",
"0500000US06055","Napa County, California","68641","1817","null","null",
"0500000US06057","Nevada County, California","58077","2189","null","null",
"0500000US06059","Orange County, California","75762","473","null","null",
"0500000US06061","Placer County, California","74645","1419","null","null",
"0500000US06063","Plumas County, California","44151","2775","null","null",
"0500000US06065","Riverside County, California","58365","610","null","null",
"0500000US06067","Sacramento County, California","56553","589","null","null",
"0500000US06069","San Benito County, California","65570","3553","null","null",
"0500000US06071","San Bernardino County, California","55853","481","null","null",
"0500000US06073","San Diego County, California","63857","476","null","null",
"0500000US06075","San Francisco County, California","72947","1028","null","null",
"0500000US06077","San Joaquin County, California","53764","749","null","null",
"0500000US06079","San Luis Obispo County, California","58630","1863","null","null",
"0500000US06081","San Mateo County, California","87633","1124","null","null",
"0500000US06083","Santa Barbara County, California","61896","1260","null","null",
"0500000US06085","Santa Clara County, California","89064","855","null","null",
"0500000US06087","Santa Cruz County, California","66030","1605","null","null",
"0500000US06089","Shasta County, California","44058","1192","null","null",
"0500000US06091","Sierra County, California","50308","11057","null","null",
"0500000US06093","Siskiyou County, California","37865","1404","null","null",
"0500000US06095","Solano County, California","69914","1178","null","null",
"0500000US06097","Sonoma County, California","64343","835","null","null",
"0500000US06099","Stanislaus County, California","50671","871","null","null",
"0500000US06101","Sutter County, California","50010","1836","null","null",
"0500000US06103","Tehama County, California","38753","1238","null","null",
"0500000US06105","Trinity County, California","37672","3632","null","null",
"0500000US06107","Tulare County, California","43550","1003","null","null",
"0500000US06109","Tuolumne County, California","47359","1995","null","null",
"0500000US06111","Ventura County, California","76728","1121","null","null",
"0500000US06113","Yolo County, California","57920","1553","null","null",
"0500000US06115","Yuba County, California","46617","2762","null","null",
