"GEO_ID","NAME","P004001","P004002","P004003","P004004","P004005","P004006","P004007","P004008","P004009","P004010","P004011","P004012","P004013","P004014","P004015","P004016","P004017","P004018","P004019","P004020","P004021","P004022","P004023","P004024","P004025","P004026","P004027","P004028","P004029","P004030","P004031","P004032","P004033","P004034","P004035","P004036","P004037","P004038","P004039","P004040","P004041","P004042","P004043","P004044","P004045","P004046","P004047","P004048","P004049","P004050","P004051","P004052","P004053","P004054","P004055","P004056","P004057","P004058","P004059","P004060","P004061","P004062","P004063","P004064","P004065","P004066","P004067","P004068","P004069","P004070","P004071","P004072","P004073",
"1400000US06037460302","Census Tract 4603.02, Los Angeles County, California","4303","1322","2981","2837","480","2251","7","91","2","6","144","129","45","4","20","1","8","22","13","0","11","0","0","0","0","5","0","13","7","0","0","0","0","0","0","2","0","0","4","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037460400","Census Tract 4604, Los Angeles County, California","886","223","663","635","125","439","2","64","0","5","28","20","10","1","4","0","0","2","3","0","0","0","0","0","0","0","0","7","2","0","0","0","0","0","0","0","0","0","0","0","3","0","2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037460501","Census Tract 4605.01, Los Angeles County, California","5560","217","5343","5175","3779","22","7","1355","2","10","168","155","9","13","71","5","48","0","3","0","0","1","0","0","1","4","0","11","6","0","0","0","2","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037460502","Census Tract 4605.02, Los Angeles County, California","4430","187","4243","4145","3122","0","5","1010","3","5","98","98","0","18","62","0","6","0","0","0","0","8","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037460600","Census Tract 4606, Los Angeles County, California","4320","182","4138","4016","3249","17","11","728","2","9","122","115","0","7","66","1","33","1","0","0","1","0","0","0","5","1","0","7","0","1","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037460700","Census Tract 4607, Los Angeles County, California","5202","325","4877","4715","3797","28","1","867","1","21","162","153","2","7","83","0","46","0","4","0","0","1","0","2","2","6","0","9","3","3","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037460800","Census Tract 4608, Los Angeles County, California","3112","211","2901","2809","2433","72","3","292","2","7","92","80","7","6","39","0","16","8","1","0","0","0","0","0","2","1","0","12","5","2","0","0","1","0","0","2","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037460900","Census Tract 4609, Los Angeles County, California","7009","3395","3614","3483","429","2764","17","259","1","13","131","105","26","2","9","0","10","27","5","0","18","1","1","0","0","6","0","22","13","0","0","5","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","2","2","0","0","0","0","0","0","0",
"1400000US06037461000","Census Tract 4610, Los Angeles County, California","6000","2512","3488","3326","458","2636","27","191","0","14","162","136","34","10","13","2","2","30","14","2","23","1","0","0","0","5","0","21","9","1","1","4","1","0","0","1","0","0","0","0","4","0","0","0","0","0","0","0","4","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",
"1400000US06037461100","Census Tract 4611, Los Angeles County, California","4840","1390","3450","3292","1406","1696","10","162","6","12","158","125","44","20","11","0","13","9","10","0","8","3","0","0","2","5","0","22","17","0","0","0","0","0","1","3","0","0","0","0","0","1","0","0","0","0","0","0","6","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0",
