"GEO_ID","NAME","P002001","P002001ERR","P002002","P002003","P002004","P002005","P002006","P002007","P002008","P002009","P002010","P002011","P002012","P002013","P002014","P002015","P002016","P002017","P002018","P002019","P002020","P002021","P002022","P002023","P002024","P002025","P002026","P002027","P002028","P002029","P002030","P002031","P002032","P002033","P002034","P002035","P002036","P002037","P002038","P002039","P002040","P002041","P002042","P002043","P002044","P002045","P002046","P002047","P002048","P002049","P002050","P002051","P002052","P002053","P002054","P002055","P002056","P002057","P002058","P002059","P002060","P002061","P002062","P002063","P002064","P002065","P002066","P002067","P002068","P002069","P002070","P002071","P002072","P002073",
"1400000US06093000701","Census Tract 7.01, Siskiyou County, California","3755(r39336)","T1_POP$1400000US06093000701","214","3541","3399","3272","15","82","24","6","0","142","136","8","98","17","6","0","4","0","0","0","0","2","1","0","0","0","6","3","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06093000702","Census Tract 7.02, Siskiyou County, California","4406","null","489","3917","3697","3307","24","316","41","5","4","220","191","11","137","25","2","2","4","0","0","0","3","5","0","1","1","0","25","12","0","1","0","8","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","4","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06093000703","Census Tract 7.03, Siskiyou County, California","3362","null","280","3082","2941","2762","22","108","43","3","3","141","128","11","91","15","2","1","2","0","0","0","2","0","0","0","0","4","13","3","0","0","0","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06093000800","Census Tract 8, Siskiyou County, California","3412","null","182","3230","3030","2788","10","202","18","6","6","200","197","5","167","12","2","4","3","1","0","0","2","0","0","1","0","0","3","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06093000900","Census Tract 9, Siskiyou County, California","7231","null","804","6427","6171","5535","265","122","202","29","18","256","238","43","125","41","3","2","7","8","1","0","1","0","0","4","3","0","17","8","0","0","0","1","0","1","2","0","0","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06093001000","Census Tract 10, Siskiyou County, California","6991","null","490","6501","6284","6028","75","44","116","10","11","217","194","29","100","32","13","5","6","0","0","0","0","1","0","1","7","0","21","13","0","0","0","2","0","1","2","0","0","3","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06093001100","Census Tract 11, Siskiyou County, California","2175","null","231","1944","1849","1759","46","22","16","2","4","95","85","16","49","13","5","0","0","0","0","0","1","1","0","0","0","0","10","7","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06093001200","Census Tract 12, Siskiyou County, California","1409","null","87","1322","1290","1259","9","16","6","0","0","32","30","8","20","2","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06095250103","Census Tract 2501.03, Solano County, California","4292","null","744","3548","3337","1154","864","22","1237","58","2","211","177","44","20","48","12","0","12","11","8","0","2","0","0","16","1","3","29","11","2","0","0","0","1","1","8","0","0","4","0","0","2","0","0","0","0","0","0","5","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06095250104","Census Tract 2501.04, Solano County, California","2280","null","299","1981","1896","701","327","6","856","6","0","85","79","8","2","39","1","2","1","9","3","0","0","0","0","12","2","0","6","3","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06095250105","Census Tract 2501.05, Solano County, California","6678","null","689","5989","5644","862","1158","12","3520","81","11","345","312","58","13","126","6","1","13","31","7","1","5","1","0","34","16","0","32","6","5","0","1","8","0","0","6","0","0","1","5","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06095250106","Census Tract 2501.06, Solano County, California","4412","null","397","4015","3803","1020","633","5","2078","48","19","212","194","19","2","87","13","0","5","24","0","0","4","0","0","33","2","5","17","5","4","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06095250200","Census Tract 2502, Solano County, California","4000","null","893","3107","2896","1429","728","34","655","35","15","211","173","43","19","49","10","4","9","14","8","7","0","1","1","4","4","0","37","8","4","1","2","3","0","0","14","0","0","3","0","0","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06095250300","Census Tract 2503, Solano County, California","3206","null","764","2442","2291","996","613","20","592","58","12","151","132","36","12","23","14","1","13","8","3","4","6","0","0","6","4","2","19","3","5","1","0","0","1","1","2","0","0","3","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06095250400","Census Tract 2504, Solano County, California","3087","null","832","2255","2079","1277","457","29","273","32","11","176","163","42","25","55","5","3","7","5","5","5","1","1","2","4","3","0","13","3","3","1","0","1","0","0","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06095250501","Census Tract 2505.01, Solano County, California","2071","null","547","1524","1437","912","249","21","208","41","6","87","78","21","16","26","5","1","4","3","0","0","0","0","0","1","0","1","8","0","1","2","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
