"GEO_ID","NAME","B25064_001E","B25064_001M","B25064_001MA","B25064_001EA",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent","Annotation of Margin of Error!!Median gross rent","Annotation of Estimate!!Median gross rent",
"0500000US06001","Alameda County, California","1547","12","null","null",
"0500000US06003","Alpine County, California","1083","442","null","null",
"0500000US06005","Amador County, California","1056","55","null","null",
"0500000US06007","Butte County, California","970","17","null","null",
"0500000US06009","Calaveras County, California","1195","124","null","null",
"0500000US06011","Colusa County, California","896","62","null","null",
"0500000US06013","Contra Costa County, California","1600","14","null","null",
"0500000US06015","Del Norte County, California","826","42","null","null",
"0500000US06017","El Dorado County, California","1122","28","null","null",
"0500000US06019","Fresno County, California","931","9","null","null",
"0500000US06021","Glenn County, California","775","29","null","null",
"0500000US06023","Humboldt County, California","914","23","null","null",
"0500000US06025","Imperial County, California","805","18","null","null",
"0500000US06027","Inyo County, California","875","70","null","null",
"0500000US06029","Kern County, California","933","10","null","null",
"0500000US06031","Kings County, California","918","27","null","null",
"0500000US06033","Lake County, California","914","44","null","null",
"0500000US06035","Lassen County, California","942","55","null","null",
"0500000US06037","Los Angeles County, California","1322","4","null","null",
"0500000US06039","Madera County, California","980","23","null","null",
"0500000US06041","Marin County, California","1863","32","null","null",
"0500000US06043","Mariposa County, California","869","131","null","null",
"0500000US06045","Mendocino County, California","1048","39","null","null",
"0500000US06047","Merced County, California","934","15","null","null",
"0500000US06049","Modoc County, California","739","70","null","null",
"0500000US06051","Mono County, California","1103","74","null","null",
"0500000US06053","Monterey County, California","1338","20","null","null",
"0500000US06055","Napa County, California","1541","43","null","null",
"0500000US06057","Nevada County, California","1217","53","null","null",
"0500000US06059","Orange County, California","1693","7","null","null",
"0500000US06061","Placer County, California","1398","24","null","null",
"0500000US06063","Plumas County, California","840","49","null","null",
"0500000US06065","Riverside County, California","1251","11","null","null",
"0500000US06067","Sacramento County, California","1122","8","null","null",
"0500000US06069","San Benito County, California","1369","67","null","null",
"0500000US06071","San Bernardino County, California","1182","7","null","null",
"0500000US06073","San Diego County, California","1467","6","null","null",
"0500000US06075","San Francisco County, California","1709","19","null","null",
"0500000US06077","San Joaquin County, California","1100","13","null","null",
"0500000US06079","San Luis Obispo County, California","1326","27","null","null",
"0500000US06081","San Mateo County, California","1973","20","null","null",
"0500000US06083","Santa Barbara County, California","1496","25","null","null",
"0500000US06085","Santa Clara County, California","1955","15","null","null",
"0500000US06087","Santa Cruz County, California","1552","34","null","null",
"0500000US06089","Shasta County, California","966","16","null","null",
"0500000US06091","Sierra County, California","919","151","null","null",
"0500000US06093","Siskiyou County, California","829","32","null","null",
"0500000US06095","Solano County, California","1407","23","null","null",
"0500000US06097","Sonoma County, California","1456","20","null","null",
"0500000US06099","Stanislaus County, California","1049","12","null","null",
"0500000US06101","Sutter County, California","980","23","null","null",
"0500000US06103","Tehama County, California","812","28","null","null",
"0500000US06105","Trinity County, California","803","68","null","null",
"0500000US06107","Tulare County, California","877","13","null","null",
"0500000US06109","Tuolumne County, California","961","49","null","null",
"0500000US06111","Ventura County, California","1643","17","null","null",
"0500000US06113","Yolo County, California","1204","23","null","null",
"0500000US06115","Yuba County, California","923","39","null","null",
