"GEO_ID","NAME","P2_001N","P2_001NA","P2_002N","P2_002NA","P2_003N","P2_003NA","P2_004N","P2_004NA","P2_005N","P2_005NA","P2_006N","P2_006NA","P2_007N","P2_007NA","P2_008N","P2_008NA","P2_009N","P2_009NA","P2_010N","P2_010NA","P2_011N","P2_011NA","P2_012N","P2_012NA","P2_013N","P2_013NA","P2_014N","P2_014NA","P2_015N","P2_015NA","P2_016N","P2_016NA","P2_017N","P2_017NA","P2_018N","P2_018NA","P2_019N","P2_019NA","P2_020N","P2_020NA","P2_021N","P2_021NA","P2_022N","P2_022NA","P2_023N","P2_023NA","P2_024N","P2_024NA","P2_025N","P2_025NA","P2_026N","P2_026NA","P2_027N","P2_027NA","P2_028N","P2_028NA","P2_029N","P2_029NA","P2_030N","P2_030NA","P2_031N","P2_031NA","P2_032N","P2_032NA","P2_033N","P2_033NA","P2_034N","P2_034NA","P2_035N","P2_035NA","P2_036N","P2_036NA","P2_037N","P2_037NA","P2_038N","P2_038NA","P2_039N","P2_039NA","P2_040N","P2_040NA","P2_041N","P2_041NA","P2_042N","P2_042NA","P2_043N","P2_043NA","P2_044N","P2_044NA","P2_045N","P2_045NA","P2_046N","P2_046NA","P2_047N","P2_047NA","P2_048N","P2_048NA","P2_049N","P2_049NA","P2_050N","P2_050NA","P2_051N","P2_051NA","P2_052N","P2_052NA","P2_053N","P2_053NA","P2_054N","P2_054NA","P2_055N","P2_055NA","P2_056N","P2_056NA","P2_057N","P2_057NA","P2_058N","P2_058NA","P2_059N","P2_059NA","P2_060N","P2_060NA","P2_061N","P2_061NA","P2_062N","P2_062NA","P2_063N","P2_063NA","P2_064N","P2_064NA","P2_065N","P2_065NA","P2_066N","P2_066NA","P2_067N","P2_067NA","P2_068N","P2_068NA","P2_069N","P2_069NA","P2_070N","P2_070NA","P2_071N","P2_071NA","P2_072N","P2_072NA","P2_073N","P2_073NA",
"0500000US06019","Fresno County, California","1008654","null","540743","null","467911","null","438365","null","271889","null","44295","null","6074","null","109665","null","1233","null","5209","null","29546","null","27487","null","4522","null","7841","null","7192","null","535","null","4073","null","679","null","754","null","91","null","342","null","317","null","30","null","36","null","746","null","294","null","35","null","1875","null","581","null","282","null","23","null","110","null","311","null","47","null","56","null","300","null","39","null","2","null","20","null","13","null","25","null","47","null","7","null","0","null","2","null","0","null","0","null","10","null","163","null","107","null","2","null","16","null","9","null","1","null","0","null","7","null","10","null","2","null","2","null","7","null","0","null","0","null","0","null","0","null","21","null","19","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US06021","Glenn County, California","28917","null","12541","null","16376","null","15377","null","13897","null","140","null","531","null","626","null","39","null","144","null","999","null","941","null","90","null","496","null","117","null","3","null","196","null","0","null","6","null","1","null","4","null","10","null","0","null","1","null","17","null","0","null","0","null","38","null","19","null","1","null","0","null","2","null","2","null","3","null","0","null","4","null","0","null","1","null","1","null","0","null","3","null","0","null","0","null","1","null","0","null","1","null","0","null","0","null","18","null","0","null","0","null","1","null","4","null","6","null","0","null","0","null","0","null","2","null","5","null","0","null","0","null","0","null","0","null","0","null","2","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US06023","Humboldt County, California","136463","null","18535","null","117928","null","107521","null","93316","null","1729","null","7454","null","3495","null","436","null","1091","null","10407","null","9618","null","963","null","4857","null","1376","null","281","null","1750","null","109","null","40","null","13","null","35","null","50","null","22","null","20","null","86","null","14","null","2","null","696","null","252","null","47","null","6","null","34","null","124","null","37","null","28","null","120","null","17","null","3","null","7","null","0","null","4","null","10","null","1","null","0","null","0","null","2","null","2","null","2","null","91","null","17","null","2","null","25","null","0","null","3","null","0","null","35","null","0","null","0","null","0","null","6","null","2","null","1","null","0","null","0","null","2","null","0","null","1","null","1","null","0","null","0","null","0","null","0","null","0","null",
"0500000US06025","Imperial County, California","179702","null","153027","null","26675","null","25088","null","16813","null","3846","null","1584","null","2244","null","82","null","519","null","1587","null","1439","null","177","null","481","null","270","null","16","null","239","null","62","null","43","null","7","null","17","null","4","null","6","null","3","null","95","null","17","null","2","null","129","null","30","null","14","null","1","null","2","null","18","null","10","null","8","null","9","null","3","null","0","null","5","null","1","null","12","null","8","null","0","null","0","null","0","null","0","null","0","null","8","null","17","null","3","null","3","null","5","null","0","null","1","null","0","null","2","null","1","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","1","null","0","null","1","null","0","null","0","null","0","null",
"0500000US06027","Inyo County, California","19016","null","4399","null","14617","null","13682","null","11035","null","85","null","2189","null","273","null","13","null","87","null","935","null","889","null","43","null","503","null","113","null","28","null","172","null","15","null","1","null","0","null","1","null","0","null","2","null","9","null","2","null","0","null","0","null","36","null","12","null","1","null","2","null","0","null","4","null","3","null","0","null","9","null","0","null","0","null","1","null","1","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","9","null","0","null","0","null","5","null","0","null","3","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null",
"0500000US06029","Kern County, California","909235","null","499158","null","410077","null","381514","null","279600","null","46776","null","5197","null","44257","null","1127","null","4557","null","28563","null","26624","null","4721","null","9884","null","4991","null","492","null","3770","null","669","null","507","null","95","null","354","null","151","null","20","null","43","null","675","null","233","null","19","null","1724","null","613","null","206","null","33","null","106","null","256","null","46","null","64","null","288","null","34","null","8","null","19","null","9","null","7","null","20","null","4","null","3","null","3","null","1","null","0","null","4","null","196","null","47","null","25","null","37","null","8","null","14","null","12","null","34","null","1","null","0","null","0","null","0","null","1","null","0","null","17","null","0","null","18","null","5","null","8","null","2","null","3","null","0","null","0","null","1","null","1","null",
"0500000US06031","Kings County, California","152486","null","86607","null","65879","null","60906","null","44361","null","8300","null","1690","null","5511","null","331","null","713","null","4973","null","4611","null","919","null","1130","null","1163","null","118","null","629","null","95","null","173","null","26","null","53","null","18","null","4","null","10","null","238","null","32","null","3","null","322","null","90","null","73","null","14","null","16","null","33","null","9","null","5","null","51","null","6","null","0","null","4","null","0","null","4","null","10","null","0","null","0","null","3","null","0","null","0","null","4","null","37","null","1","null","4","null","2","null","0","null","5","null","0","null","9","null","3","null","2","null","7","null","2","null","1","null","1","null","0","null","0","null","1","null","0","null","1","null","0","null","0","null","0","null","0","null","2","null","2","null",
"0500000US06033","Lake County, California","68163","null","15442","null","52721","null","48512","null","44202","null","1158","null","1737","null","940","null","89","null","386","null","4209","null","3936","null","466","null","1748","null","486","null","122","null","963","null","42","null","9","null","6","null","20","null","28","null","16","null","1","null","23","null","6","null","0","null","242","null","80","null","24","null","7","null","7","null","34","null","15","null","13","null","33","null","6","null","1","null","3","null","3","null","0","null","0","null","5","null","1","null","5","null","4","null","1","null","0","null","28","null","8","null","4","null","5","null","5","null","1","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","3","null","0","null","0","null","3","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US06035","Lassen County, California","32730","null","7531","null","25199","null","23614","null","19534","null","2244","null","939","null","472","null","283","null","142","null","1585","null","1488","null","125","null","724","null","183","null","37","null","244","null","6","null","13","null","1","null","9","null","3","null","8","null","2","null","130","null","1","null","2","null","78","null","9","null","5","null","0","null","5","null","8","null","9","null","3","null","15","null","9","null","3","null","0","null","2","null","1","null","1","null","0","null","1","null","2","null","0","null","0","null","5","null","18","null","0","null","0","null","0","null","13","null","0","null","3","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US06037","Los Angeles County, California","10014009","null","4804763","null","5209246","null","4896193","null","2563609","null","760689","null","18453","null","1474237","null","20522","null","58683","null","313053","null","286849","null","49101","null","30759","null","113826","null","5077","null","38233","null","9023","null","10717","null","1640","null","13793","null","1341","null","166","null","562","null","9064","null","3186","null","361","null","23325","null","6880","null","4033","null","441","null","2209","null","2067","null","204","null","400","null","4374","null","836","null","65","null","408","null","113","null","373","null","391","null","312","null","87","null","71","null","12","null","0","null","49","null","2591","null","1061","null","125","null","565","null","236","null","197","null","9","null","233","null","41","null","0","null","52","null","34","null","22","null","11","null","5","null","0","null","257","null","125","null","111","null","9","null","6","null","6","null","0","null","31","null","31","null",
"0500000US06039","Madera County, California","156255","null","93178","null","63077","null","58694","null","48399","null","4131","null","1738","null","3581","null","122","null","723","null","4383","null","4143","null","479","null","1815","null","648","null","83","null","831","null","39","null","29","null","0","null","22","null","26","null","8","null","5","null","138","null","17","null","3","null","200","null","64","null","17","null","9","null","17","null","39","null","8","null","3","null","23","null","8","null","1","null","6","null","0","null","0","null","0","null","2","null","2","null","0","null","1","null","0","null","0","null","34","null","5","null","0","null","8","null","5","null","0","null","0","null","6","null","0","null","0","null","4","null","0","null","6","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","6","null","6","null",
"0500000US06041","Marin County, California","262321","null","49410","null","212911","null","198496","null","173149","null","6120","null","555","null","16175","null","457","null","2040","null","14415","null","13599","null","1546","null","1809","null","5981","null","313","null","3254","null","98","null","133","null","24","null","75","null","19","null","8","null","9","null","235","null","87","null","8","null","747","null","204","null","114","null","5","null","49","null","95","null","24","null","11","null","185","null","43","null","0","null","4","null","0","null","1","null","1","null","1","null","0","null","9","null","0","null","0","null","1","null","55","null","21","null","4","null","6","null","9","null","1","null","2","null","11","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","10","null","9","null","1","null","0","null","0","null","0","null","0","null","4","null","4","null",
"0500000US06043","Mariposa County, California","17131","null","2140","null","14991","null","13769","null","12838","null","105","null","410","null","287","null","15","null","114","null","1222","null","1175","null","53","null","608","null","110","null","18","null","332","null","5","null","9","null","2","null","8","null","4","null","8","null","0","null","13","null","5","null","0","null","38","null","18","null","0","null","3","null","0","null","1","null","0","null","1","null","10","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","0","null","3","null","0","null","0","null","0","null","4","null","2","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","5","null","3","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US06045","Mendocino County, California","91601","null","23933","null","67668","null","62772","null","56205","null","607","null","3528","null","1730","null","110","null","592","null","4896","null","4633","null","468","null","2196","null","603","null","75","null","1089","null","34","null","13","null","4","null","7","null","51","null","14","null","16","null","49","null","8","null","6","null","236","null","60","null","25","null","8","null","4","null","55","null","11","null","7","null","32","null","4","null","8","null","4","null","0","null","3","null","0","null","2","null","2","null","3","null","2","null","0","null","6","null","19","null","9","null","0","null","1","null","2","null","1","null","0","null","0","null","0","null","0","null","3","null","1","null","2","null","0","null","0","null","0","null","8","null","0","null","7","null","0","null","1","null","0","null","0","null","0","null","0","null",
"0500000US06047","Merced County, California","281202","null","173857","null","107345","null","99767","null","68729","null","8191","null","1164","null","19824","null","617","null","1242","null","7578","null","6986","null","1298","null","2088","null","1523","null","226","null","1100","null","126","null","215","null","21","null","59","null","64","null","6","null","8","null","175","null","67","null","10","null","513","null","173","null","75","null","21","null","17","null","61","null","17","null","15","null","85","null","13","null","7","null","16","null","1","null","2","null","5","null","2","null","0","null","1","null","0","null","2","null","0","null","71","null","28","null","8","null","6","null","3","null","9","null","0","null","6","null","8","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","8","null","2","null","6","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US06049","Modoc County, California","8700","null","1259","null","7441","null","7029","null","6446","null","66","null","387","null","61","null","13","null","56","null","412","null","385","null","40","null","218","null","25","null","8","null","73","null","0","null","4","null","0","null","4","null","0","null","3","null","0","null","5","null","5","null","0","null","21","null","1","null","0","null","0","null","0","null","4","null","1","null","3","null","4","null","0","null","4","null","3","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","5","null","0","null","3","null","0","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null",
"0500000US06051","Mono County, California","13195","null","3507","null","9688","null","9187","null","8679","null","68","null","177","null","159","null","26","null","78","null","501","null","464","null","30","null","171","null","112","null","14","null","118","null","1","null","2","null","2","null","1","null","6","null","0","null","0","null","5","null","2","null","0","null","30","null","7","null","0","null","0","null","3","null","1","null","1","null","0","null","7","null","0","null","1","null","0","null","6","null","0","null","4","null","0","null","0","null","0","null","0","null","0","null","0","null","7","null","1","null","3","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US06053","Monterey County, California","439035","null","265321","null","173714","null","159594","null","120077","null","9051","null","1314","null","25123","null","1859","null","2170","null","14120","null","12786","null","1556","null","2458","null","4742","null","390","null","1929","null","126","null","497","null","74","null","85","null","62","null","16","null","34","null","665","null","83","null","69","null","1185","null","194","null","281","null","34","null","21","null","190","null","14","null","14","null","316","null","18","null","6","null","47","null","3","null","2","null","27","null","3","null","0","null","11","null","0","null","0","null","4","null","121","null","40","null","9","null","15","null","26","null","9","null","2","null","11","null","1","null","0","null","3","null","0","null","1","null","0","null","4","null","0","null","24","null","17","null","5","null","1","null","1","null","0","null","0","null","4","null","4","null",
"0500000US06055","Napa County, California","138019","null","48829","null","89190","null","83462","null","68909","null","2300","null","507","null","10520","null","316","null","910","null","5728","null","5346","null","595","null","1427","null","1687","null","178","null","1065","null","41","null","111","null","6","null","27","null","9","null","0","null","3","null","151","null","36","null","10","null","349","null","76","null","60","null","0","null","19","null","42","null","1","null","7","null","95","null","18","null","4","null","0","null","0","null","10","null","7","null","0","null","0","null","9","null","0","null","0","null","1","null","26","null","13","null","0","null","7","null","0","null","0","null","0","null","0","null","0","null","0","null","3","null","0","null","0","null","0","null","0","null","3","null","6","null","0","null","2","null","0","null","4","null","0","null","0","null","1","null","1","null",
"0500000US06057","Nevada County, California","102241","null","10416","null","91825","null","86028","null","82810","null","416","null","695","null","1371","null","119","null","617","null","5797","null","5519","null","417","null","2294","null","1052","null","153","null","1472","null","16","null","10","null","0","null","4","null","13","null","14","null","1","null","61","null","10","null","2","null","241","null","57","null","20","null","0","null","0","null","64","null","15","null","13","null","60","null","8","null","0","null","1","null","0","null","1","null","0","null","1","null","1","null","0","null","0","null","0","null","0","null","34","null","5","null","0","null","7","null","9","null","2","null","0","null","0","null","3","null","0","null","2","null","5","null","0","null","0","null","1","null","0","null","3","null","0","null","0","null","0","null","3","null","0","null","0","null","0","null","0","null",
"0500000US06059","Orange County, California","3186989","null","1086834","null","2100155","null","1974913","null","1198655","null","49304","null","5298","null","699124","null","7714","null","14818","null","125242","null","117308","null","11920","null","17006","null","57943","null","3302","null","18038","null","678","null","2293","null","287","null","807","null","432","null","75","null","78","null","3324","null","1068","null","57","null","7283","null","1178","null","1058","null","164","null","385","null","1061","null","137","null","128","null","2544","null","306","null","30","null","69","null","12","null","33","null","68","null","57","null","6","null","24","null","8","null","0","null","15","null","606","null","193","null","21","null","76","null","86","null","53","null","0","null","138","null","13","null","0","null","22","null","0","null","1","null","0","null","3","null","0","null","37","null","8","null","20","null","2","null","6","null","1","null","0","null","8","null","8","null",
"0500000US06061","Placer County, California","404739","null","60628","null","344111","null","318755","null","272471","null","6440","null","2010","null","34776","null","967","null","2091","null","25356","null","23685","null","2533","null","6250","null","8227","null","817","null","4615","null","107","null","282","null","25","null","115","null","86","null","14","null","13","null","403","null","146","null","52","null","1532","null","342","null","253","null","43","null","59","null","257","null","42","null","39","null","419","null","36","null","1","null","15","null","4","null","3","null","12","null","4","null","0","null","1","null","0","null","0","null","2","null","130","null","50","null","14","null","6","null","17","null","15","null","0","null","27","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","9","null","5","null","3","null","0","null","1","null","0","null","0","null","0","null","0","null",
"0500000US06063","Plumas County, California","19790","null","1897","null","17893","null","16782","null","15999","null","102","null","382","null","145","null","40","null","114","null","1111","null","1047","null","88","null","591","null","112","null","14","null","202","null","4","null","4","null","0","null","2","null","4","null","0","null","5","null","13","null","2","null","6","null","46","null","14","null","0","null","0","null","0","null","4","null","0","null","0","null","13","null","2","null","0","null","10","null","2","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","15","null","6","null","0","null","0","null","4","null","0","null","0","null","0","null","0","null","0","null","0","null","5","null","0","null","0","null","0","null","0","null","1","null","1","null","0","null","0","null","0","null","0","null","0","null","2","null","2","null",
"0500000US06065","Riverside County, California","2418185","null","1202295","null","1215890","null","1130978","null","788235","null","146762","null","11960","null","164889","null","6767","null","12365","null","84912","null","77641","null","14949","null","16153","null","22390","null","2514","null","10957","null","2016","null","2904","null","513","null","1943","null","293","null","51","null","106","null","2268","null","474","null","110","null","6501","null","1921","null","1090","null","163","null","380","null","662","null","119","null","113","null","1441","null","158","null","11","null","115","null","27","null","84","null","121","null","52","null","12","null","17","null","0","null","0","null","15","null","701","null","230","null","51","null","130","null","111","null","51","null","2","null","89","null","5","null","2","null","5","null","9","null","7","null","5","null","4","null","0","null","62","null","33","null","28","null","0","null","1","null","0","null","0","null","7","null","7","null",
"0500000US06067","Sacramento County, California","1585055","null","374434","null","1210621","null","1107837","null","650271","null","145724","null","7432","null","276295","null","18011","null","10104","null","102784","null","93094","null","18467","null","16728","null","29670","null","2289","null","11103","null","2728","null","3812","null","736","null","1253","null","608","null","153","null","77","null","3592","null","766","null","1112","null","8695","null","2676","null","1736","null","273","null","504","null","907","null","155","null","123","null","1262","null","195","null","49","null","214","null","55","null","77","null","236","null","57","null","36","null","32","null","5","null","0","null","103","null","915","null","385","null","67","null","135","null","115","null","46","null","3","null","124","null","12","null","0","null","12","null","11","null","3","null","1","null","1","null","0","null","74","null","56","null","11","null","6","null","1","null","0","null","0","null","6","null","6","null",
"0500000US06069","San Benito County, California","64209","null","39241","null","24968","null","23133","null","19785","null","479","null","221","null","2189","null","127","null","332","null","1835","null","1680","null","172","null","452","null","542","null","58","null","323","null","14","null","15","null","1","null","5","null","13","null","7","null","3","null","62","null","10","null","3","null","138","null","32","null","5","null","1","null","14","null","18","null","0","null","6","null","49","null","3","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","8","null","0","null","0","null","0","null","15","null","6","null","0","null","0","null","0","null","0","null","0","null","4","null","1","null","0","null","0","null","0","null","4","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","1","null","0","null","0","null","1","null","1","null",
"0500000US06071","San Bernardino County, California","2181654","null","1170913","null","1010741","null","942341","null","566113","null","173322","null","8412","null","176204","null","6173","null","12117","null","68400","null","62387","null","13381","null","13645","null","15445","null","1624","null","8299","null","2308","null","2270","null","556","null","2089","null","260","null","90","null","158","null","1757","null","448","null","57","null","5433","null","1832","null","932","null","171","null","444","null","463","null","91","null","111","null","880","null","109","null","26","null","74","null","20","null","60","null","97","null","55","null","34","null","9","null","3","null","1","null","21","null","539","null","196","null","18","null","155","null","56","null","31","null","1","null","51","null","5","null","0","null","13","null","5","null","7","null","0","null","0","null","1","null","41","null","25","null","15","null","1","null","0","null","0","null","0","null","0","null","0","null",
"0500000US06073","San Diego County, California","3298634","null","1119629","null","2179005","null","2011765","null","1422205","null","145014","null","12841","null","400589","null","12991","null","18125","null","167240","null","153872","null","22557","null","22144","null","64317","null","5018","null","23463","null","2005","null","5375","null","884","null","1525","null","522","null","120","null","101","null","4725","null","1036","null","80","null","12110","null","2404","null","2319","null","332","null","653","null","1493","null","197","null","155","null","3423","null","436","null","27","null","173","null","19","null","36","null","273","null","74","null","13","null","40","null","14","null","0","null","29","null","1121","null","369","null","54","null","117","null","232","null","86","null","9","null","166","null","19","null","7","null","25","null","25","null","1","null","11","null","0","null","0","null","131","null","81","null","29","null","8","null","13","null","0","null","0","null","6","null","6","null",
"0500000US06075","San Francisco County, California","873965","null","136761","null","737204","null","691758","null","341306","null","45071","null","1570","null","294220","null","3244","null","6347","null","45446","null","42194","null","5087","null","3270","null","22187","null","625","null","6064","null","762","null","1363","null","279","null","517","null","180","null","32","null","45","null","1214","null","541","null","28","null","2879","null","696","null","495","null","28","null","216","null","346","null","23","null","62","null","601","null","171","null","15","null","64","null","11","null","23","null","70","null","34","null","6","null","8","null","0","null","0","null","10","null","314","null","136","null","18","null","80","null","8","null","42","null","0","null","17","null","7","null","0","null","4","null","0","null","2","null","0","null","0","null","0","null","49","null","24","null","18","null","4","null","0","null","3","null","0","null","10","null","10","null",
"0500000US06077","San Joaquin County, California","779233","null","325725","null","453508","null","419416","null","215530","null","56898","null","3135","null","134684","null","4977","null","4192","null","34092","null","30898","null","5067","null","6422","null","9489","null","916","null","3532","null","869","null","1496","null","261","null","404","null","405","null","20","null","61","null","1354","null","425","null","177","null","2816","null","743","null","478","null","66","null","121","null","369","null","66","null","43","null","605","null","47","null","12","null","74","null","29","null","28","null","83","null","22","null","9","null","14","null","0","null","0","null","7","null","338","null","160","null","38","null","47","null","51","null","9","null","0","null","23","null","8","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","40","null","33","null","7","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US06079","San Luis Obispo County, California","282424","null","67921","null","214503","null","200889","null","183468","null","4330","null","1136","null","10001","null","340","null","1614","null","13614","null","12822","null","1268","null","3897","null","3861","null","372","null","2915","null","54","null","72","null","1","null","96","null","34","null","0","null","9","null","197","null","46","null","0","null","691","null","151","null","86","null","10","null","18","null","133","null","19","null","5","null","216","null","12","null","6","null","7","null","0","null","0","null","5","null","0","null","3","null","15","null","2","null","0","null","3","null","94","null","7","null","2","null","14","null","7","null","7","null","1","null","35","null","2","null","0","null","9","null","0","null","1","null","0","null","9","null","0","null","7","null","0","null","7","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US06081","San Mateo County, California","764442","null","191386","null","573056","null","534087","null","275902","null","14701","null","1021","null","227783","null","8840","null","5840","null","38969","null","36430","null","2909","null","2703","null","19617","null","956","null","6118","null","254","null","988","null","132","null","285","null","139","null","40","null","17","null","1562","null","394","null","316","null","2339","null","391","null","406","null","61","null","143","null","261","null","30","null","32","null","714","null","158","null","11","null","42","null","0","null","8","null","23","null","17","null","1","null","8","null","0","null","0","null","33","null","181","null","72","null","5","null","23","null","18","null","2","null","0","null","35","null","7","null","0","null","9","null","0","null","8","null","0","null","0","null","2","null","19","null","10","null","7","null","2","null","0","null","0","null","0","null","0","null","0","null",
"0500000US06083","Santa Barbara County, California","448229","null","210584","null","237645","null","221242","null","184746","null","6467","null","1731","null","25378","null","542","null","2378","null","16403","null","15259","null","2048","null","3270","null","5461","null","428","null","3121","null","123","null","186","null","25","null","133","null","50","null","16","null","14","null","304","null","79","null","1","null","1035","null","216","null","146","null","6","null","59","null","181","null","26","null","25","null","280","null","49","null","5","null","6","null","7","null","0","null","0","null","0","null","5","null","3","null","11","null","3","null","7","null","92","null","43","null","1","null","16","null","5","null","10","null","0","null","9","null","2","null","5","null","0","null","0","null","1","null","0","null","0","null","0","null","17","null","15","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null",
"0500000US06085","Santa Clara County, California","1936259","null","487357","null","1448902","null","1370635","null","555708","null","42148","null","3240","null","753399","null","5945","null","10195","null","78267","null","73088","null","6773","null","7319","null","40358","null","1561","null","9683","null","525","null","1787","null","235","null","534","null","483","null","45","null","73","null","2608","null","1002","null","102","null","4729","null","733","null","880","null","81","null","218","null","710","null","41","null","70","null","1548","null","243","null","8","null","43","null","13","null","7","null","63","null","24","null","0","null","19","null","1","null","0","null","27","null","402","null","128","null","9","null","50","null","67","null","25","null","6","null","74","null","13","null","1","null","23","null","3","null","0","null","0","null","3","null","0","null","42","null","28","null","11","null","2","null","0","null","0","null","1","null","6","null","6","null",
"0500000US06087","Santa Cruz County, California","270861","null","94299","null","176562","null","163252","null","145551","null","2850","null","853","null","12072","null","277","null","1649","null","13310","null","12453","null","1443","null","2818","null","4356","null","362","null","2887","null","72","null","81","null","16","null","59","null","56","null","0","null","25","null","191","null","78","null","9","null","767","null","161","null","83","null","6","null","41","null","137","null","24","null","18","null","243","null","29","null","6","null","5","null","0","null","0","null","4","null","5","null","2","null","0","null","3","null","0","null","0","null","82","null","17","null","9","null","10","null","8","null","1","null","0","null","28","null","2","null","0","null","4","null","0","null","3","null","0","null","0","null","0","null","8","null","5","null","0","null","0","null","3","null","0","null","0","null","0","null","0","null",
"0500000US06089","Shasta County, California","182155","null","19730","null","162425","null","149901","null","136894","null","1761","null","4047","null","5839","null","323","null","1037","null","12524","null","11897","null","1269","null","6294","null","1655","null","283","null","2107","null","74","null","29","null","0","null","31","null","36","null","6","null","25","null","65","null","18","null","5","null","550","null","151","null","57","null","14","null","15","null","133","null","40","null","17","null","90","null","15","null","8","null","1","null","0","null","6","null","0","null","0","null","0","null","0","null","0","null","0","null","3","null","73","null","14","null","4","null","16","null","6","null","10","null","0","null","4","null","1","null","0","null","9","null","0","null","5","null","0","null","2","null","2","null","4","null","4","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US06091","Sierra County, California","3236","null","377","null","2859","null","2673","null","2615","null","7","null","18","null","7","null","1","null","25","null","186","null","171","null","5","null","73","null","17","null","5","null","58","null","2","null","0","null","3","null","0","null","0","null","3","null","0","null","5","null","0","null","0","null","12","null","5","null","0","null","0","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","2","null","3","null","0","null","0","null","0","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"0500000US06093","Siskiyou County, California","44076","null","5527","null","38549","null","35454","null","32057","null","471","null","1757","null","866","null","38","null","265","null","3095","null","2894","null","262","null","1708","null","277","null","79","null","466","null","32","null","2","null","3","null","8","null","9","null","6","null","7","null","23","null","4","null","8","null","173","null","85","null","2","null","0","null","1","null","36","null","19","null","3","null","12","null","4","null","2","null","2","null","0","null","4","null","1","null","2","null","0","null","0","null","0","null","0","null","0","null","23","null","9","null","0","null","3","null","3","null","0","null","0","null","0","null","3","null","1","null","3","null","1","null","0","null","0","null","0","null","0","null","5","null","2","null","0","null","0","null","2","null","1","null","0","null","0","null","0","null",
"0500000US06095","Solano County, California","453491","null","128155","null","325336","null","294516","null","155125","null","60051","null","1624","null","70953","null","3775","null","2988","null","30820","null","27198","null","5245","null","4226","null","8702","null","952","null","2677","null","867","null","1805","null","295","null","477","null","135","null","43","null","24","null","1413","null","210","null","127","null","3223","null","694","null","705","null","135","null","160","null","323","null","80","null","47","null","758","null","42","null","0","null","52","null","12","null","9","null","137","null","28","null","7","null","3","null","0","null","0","null","31","null","369","null","136","null","28","null","36","null","68","null","22","null","5","null","45","null","0","null","0","null","16","null","3","null","4","null","1","null","5","null","0","null","24","null","7","null","15","null","0","null","2","null","0","null","0","null","6","null","6","null",
"0500000US06097","Sonoma County, California","488863","null","141438","null","347425","null","322826","null","285792","null","7125","null","3053","null","22239","null","1708","null","2909","null","24599","null","22886","null","2820","null","6289","null","6642","null","836","null","5174","null","165","null","227","null","54","null","111","null","130","null","24","null","22","null","317","null","52","null","23","null","1580","null","416","null","194","null","25","null","85","null","241","null","54","null","53","null","371","null","60","null","1","null","39","null","4","null","0","null","4","null","5","null","0","null","26","null","0","null","1","null","1","null","111","null","32","null","12","null","14","null","9","null","2","null","0","null","27","null","0","null","0","null","9","null","4","null","0","null","0","null","0","null","2","null","22","null","12","null","10","null","0","null","0","null","0","null","0","null","0","null","0","null",
