"GEO_ID","NAME","P052001","P052002","P052003","P052004","P052005","P052006","P052007","P052008","P052009","P052010","P052011","P052012","P052013","P052014","P052015","P052016","P052017",
"1500000US060014013003","Block Group 3, Census Tract 4013, Alameda County, California","344","78","46","21","37","58","21","15","14","0","19","11","9","0","11","4","0",
"1500000US060014014001","Block Group 1, Census Tract 4014, Alameda County, California","433","157","50","15","59","24","23","23","27","0","2","43","5","5","0","0","0",
"1500000US060014014002","Block Group 2, Census Tract 4014, Alameda County, California","633","195","82","65","55","48","25","64","9","3","23","27","9","10","6","0","12",
"1500000US060014014003","Block Group 3, Census Tract 4014, Alameda County, California","408","97","45","37","67","45","32","26","12","16","0","0","4","13","0","14","0",
"1500000US060014015001","Block Group 1, Census Tract 4015, Alameda County, California","330","110","31","35","23","26","7","0","36","7","16","0","18","6","9","0","6",
"1500000US060014015002","Block Group 2, Census Tract 4015, Alameda County, California","257","34","7","36","33","13","18","0","17","0","40","19","5","13","0","22","0",
"1500000US060014015003","Block Group 3, Census Tract 4015, Alameda County, California","343","31","24","64","24","22","41","48","28","27","9","25","0","0","0","0","0",
"1500000US060014016001","Block Group 1, Census Tract 4016, Alameda County, California","310","78","42","4","32","33","23","21","15","4","7","25","25","0","1","0","0",
"1500000US060014016002","Block Group 2, Census Tract 4016, Alameda County, California","208","40","5","14","12","18","38","18","0","17","5","5","18","6","0","0","12",
"1500000US060014017001","Block Group 1, Census Tract 4017, Alameda County, California","288","49","44","17","42","0","20","18","7","23","25","9","24","10","0","0","0",
"1500000US060014017002","Block Group 2, Census Tract 4017, Alameda County, California","253","75","26","0","23","11","0","5","13","8","12","52","16","6","0","0","6",
"1500000US060014017003","Block Group 3, Census Tract 4017, Alameda County, California","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US060014018001","Block Group 1, Census Tract 4018, Alameda County, California","349","70","87","25","13","22","13","0","14","13","18","25","16","22","9","2","0",
"1500000US060014018002","Block Group 2, Census Tract 4018, Alameda County, California","316","99","23","44","13","57","6","10","10","0","13","16","6","0","0","0","19",
"1500000US060014019001","Block Group 1, Census Tract 4019, Alameda County, California","227","4","6","17","11","35","0","9","6","25","20","53","30","0","6","0","5",
"1500000US060014019002","Block Group 2, Census Tract 4019, Alameda County, California","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US060014020001","Block Group 1, Census Tract 4020, Alameda County, California","6","2","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0",
"1500000US060014021001","Block Group 1, Census Tract 4021, Alameda County, California","506","232","37","42","27","32","35","10","19","26","16","6","16","8","0","0","0",
"1500000US060014022001","Block Group 1, Census Tract 4022, Alameda County, California","278","68","47","12","28","29","28","0","7","0","5","30","24","0","0","0","0",
"1500000US060014022002","Block Group 2, Census Tract 4022, Alameda County, California","247","36","24","28","9","55","4","34","12","13","0","8","20","4","0","0","0",
"1500000US060014023001","Block Group 1, Census Tract 4023, Alameda County, California","172","33","9","0","0","9","0","25","12","14","22","18","14","10","4","2","0",
"1500000US060014024001","Block Group 1, Census Tract 4024, Alameda County, California","520","127","46","48","59","41","29","13","6","36","38","20","37","0","20","0","0",
"1500000US060014024002","Block Group 2, Census Tract 4024, Alameda County, California","517","221","82","44","28","6","5","21","6","0","53","8","27","5","3","0","8",
"1500000US060014025001","Block Group 1, Census Tract 4025, Alameda County, California","105","0","20","9","0","14","15","0","0","0","10","14","9","7","0","7","0",
"1500000US060014025002","Block Group 2, Census Tract 4025, Alameda County, California","257","146","24","5","32","4","0","6","0","0","4","22","14","0","0","0","0",
"1500000US060014025003","Block Group 3, Census Tract 4025, Alameda County, California","229","54","37","36","30","13","7","4","14","14","9","7","0","0","4","0","0",
"1500000US060014026001","Block Group 1, Census Tract 4026, Alameda County, California","240","96","54","19","13","0","7","6","17","0","16","12","0","0","0","0","0",
"1500000US060014026002","Block Group 2, Census Tract 4026, Alameda County, California","290","120","41","8","0","16","23","7","12","9","19","15","17","0","0","0","3",
"1500000US060014027001","Block Group 1, Census Tract 4027, Alameda County, California","291","83","38","4","17","19","53","13","7","0","9","11","6","14","17","0","0",
"1500000US060014027002","Block Group 2, Census Tract 4027, Alameda County, California","368","62","20","18","43","13","55","21","25","0","55","7","30","10","0","9","0",
"1500000US060014028001","Block Group 1, Census Tract 4028, Alameda County, California","1220","595","237","61","62","74","34","32","23","10","9","23","11","27","9","0","13",
"1500000US060014029001","Block Group 1, Census Tract 4029, Alameda County, California","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US060014029002","Block Group 2, Census Tract 4029, Alameda County, California","885","284","104","67","85","63","65","34","24","29","63","38","23","0","0","6","0",
"1500000US060014030001","Block Group 1, Census Tract 4030, Alameda County, California","756","262","114","47","25","23","52","43","35","19","66","46","0","7","12","0","5",
"1500000US060014030002","Block Group 2, Census Tract 4030, Alameda County, California","630","299","96","44","48","49","19","18","11","0","0","7","12","23","4","0","0",
"1500000US060014031001","Block Group 1, Census Tract 4031, Alameda County, California","498","148","95","64","10","35","22","7","10","16","21","0","41","12","9","0","8",
"1500000US060014032001","Block Group 1, Census Tract 4032, Alameda County, California","34","0","0","0","0","0","0","0","0","0","0","8","5","14","0","7","0",
"1500000US060014033001","Block Group 1, Census Tract 4033, Alameda County, California","337","42","27","36","7","14","21","25","33","14","19","30","43","26","0","0","0",
"1500000US060014033002","Block Group 2, Census Tract 4033, Alameda County, California","581","168","53","72","62","56","28","16","43","24","18","6","17","0","5","0","13",
"1500000US060014034001","Block Group 1, Census Tract 4034, Alameda County, California","396","15","16","51","19","11","61","29","17","13","18","6","96","15","21","0","8",
"1500000US060014034002","Block Group 2, Census Tract 4034, Alameda County, California","829","89","98","45","71","108","86","33","81","35","77","76","30","0","0","0","0",
"1500000US060014034003","Block Group 3, Census Tract 4034, Alameda County, California","1160","241","157","64","104","80","118","100","91","9","84","50","28","15","8","0","11",
"1500000US060014035001","Block Group 1, Census Tract 4035, Alameda County, California","1207","137","80","73","46","73","67","157","50","56","167","118","134","42","0","0","7",
"1500000US060014035002","Block Group 2, Census Tract 4035, Alameda County, California","1502","384","134","152","141","100","92","54","116","26","108","69","63","40","23","0","0",
"1500000US060014035003","Block Group 3, Census Tract 4035, Alameda County, California","1004","154","65","57","66","85","44","109","65","53","36","108","73","67","13","0","9",
"1500000US060014036001","Block Group 1, Census Tract 4036, Alameda County, California","1205","134","59","36","129","77","93","71","114","40","120","126","115","16","22","27","26",
"1500000US060014036002","Block Group 2, Census Tract 4036, Alameda County, California","1374","136","65","26","64","56","129","194","85","89","148","148","87","87","27","23","10",
"1500000US060014037001","Block Group 1, Census Tract 4037, Alameda County, California","1187","89","69","70","64","64","79","103","78","81","114","181","99","57","6","22","11",
"1500000US060014037002","Block Group 2, Census Tract 4037, Alameda County, California","1931","204","137","91","98","116","139","105","116","156","202","200","204","89","24","26","24",
"1500000US060014038001","Block Group 1, Census Tract 4038, Alameda County, California","223","8","0","0","19","7","0","6","0","0","15","22","26","30","32","24","34",
"1500000US060014038002","Block Group 2, Census Tract 4038, Alameda County, California","494","4","13","22","41","41","30","27","28","51","36","53","29","59","25","23","12",
"1500000US060014038003","Block Group 3, Census Tract 4038, Alameda County, California","458","40","0","45","20","34","49","12","22","18","86","15","52","18","30","12","5",
"1500000US060014038004","Block Group 4, Census Tract 4038, Alameda County, California","717","23","13","18","42","26","23","65","60","70","76","103","82","55","26","17","18",
"1500000US060014039001","Block Group 1, Census Tract 4039, Alameda County, California","821","39","10","25","42","54","77","48","90","58","107","127","82","18","22","22","0",
"1500000US060014039002","Block Group 2, Census Tract 4039, Alameda County, California","373","0","0","35","9","54","19","44","20","35","25","20","72","9","12","11","8",
"1500000US060014039003","Block Group 3, Census Tract 4039, Alameda County, California","990","99","33","81","18","45","86","79","122","30","107","116","84","22","31","26","11",
"1500000US060014040001","Block Group 1, Census Tract 4040, Alameda County, California","1255","82","57","46","52","74","121","108","87","63","166","130","105","69","31","45","19",
