bgp2000gj,bg2010gj,bg2010ge,wt_pop,wt_fam,wt_hh,wt_hu
G06000109002000562428400U1,G06000104284002,060014284002,0.3831013473,0.4085423519,0.3836441395,0.3873601118
G06000109002000562428400U2,G06000104284003,060014284003,1.0,1.0,1.0,1.0
G06000109002000562428500R1,G06000104285001,060014285001,0.0,0.0,0.0,0.0
G06000109002000562428500R1,G06000109900000,060019900000,0.0,0.0,0.0,0.0
G06000109002000562428500U1,G06000104285001,060014285001,0.7637962401,0.7528809219,0.7633136095,0.7626683772
G06000109002000562428500U1,G06000104285002,060014285002,0.2362037599,0.2471190781,0.2366863905,0.2373316228
G06000109002000562428600R2,G06000104286002,060014286002,0.0,0.0,0.0,0.0
G06000109002000562428600R2,G06000109900000,060019900000,0.0,0.0,0.0,0.0
G06000109002000562428600U1,G06000104286001,060014286001,0.562159772,0.5309775977,0.5782127167,0.5794184236
G06000109002000562428600U1,G06000104286003,060014286003,0.437840228,0.4690224023,0.4217872833,0.4205815764
G06000109002000562428600U2,G06000104286002,060014286002,1.0,1.0,1.0,1.0
G06000109020000674420100U1,G06000104201001,060014201001,1.0,1.0,1.0,1.0
G06000109020000674420100U2,G06000104201002,060014201002,1.0,1.0,1.0,1.0
G06000109020000674420100U3,G06000104201003,060014201003,1.0,1.0,1.0,1.0
G06000109020000674420200U1,G06000104202001,060014202001,1.0,1.0,1.0,1.0
G06000109020000674420200U2,G06000104202002,060014202002,1.0,1.0,1.0,1.0
G06000109020000674420200U3,G06000104202003,060014202003,1.0,1.0,1.0,1.0
G06000109020000674420300R3,G06000104203003,060014203003,0.0,0.0,0.0,0.0
G06000109020000674420300R3,G06000109900000,060019900000,0.0,0.0,0.0,0.0
G06000109020000674420300U1,G06000104203001,060014203001,0.1147859922,0.1229773463,0.1051752922,0.1028340081
G06000109020000674420300U1,G06000104203002,060014203002,0.8852140078,0.8770226537,0.8948247078,0.8971659919
G06000109020000674420300U2,G06000104203001,060014203001,1.0,1.0,1.0,1.0
G06000109020000674420300U3,G06000104203003,060014203003,1.0,1.0,1.0,1.0
G06000109020000674420400R1,G06000104204001,060014204001,0.0,0.0,0.0,0.0
G06000109020000674420400R1,G06000109900000,060019900000,0.0,0.0,0.0,0.0
G06000109020000674420400U1,G06000104203003,060014203003,0.0,0.0,0.0,0.0
G06000109020000674420400U1,G06000104204001,060014204001,1.0,1.0,1.0,1.0
G06000109020000674420500U1,G06000104205001,060014205001,1.0,1.0,1.0,1.0
G06000109020000674420500U2,G06000104205002,060014205002,1.0,1.0,1.0,1.0
G06000109020000674420600U1,G06000104206001,060014206001,1.0,1.0,1.0,1.0
G06000109020000674420600U2,G06000104206002,060014206002,1.0,1.0,1.0,1.0
G06000109020000674420600U3,G06000104206003,060014206003,1.0,1.0,1.0,1.0
G06000109020006000421100U1,G06000104211001,060014211001,0.7644512962,0.780524494,0.753980841,0.7586402948
G06000109020006000421100U1,G06000104211002,060014211002,0.2355487038,0.219475506,0.246019159,0.2413597052
G06000109020006000421100U2,G06000104211001,060014211001,0.3852941176,0.3719806763,0.3869863014,0.3866666667
G06000109020006000421100U2,G06000104211002,060014211002,0.6147058824,0.6280193237,0.6130136986,0.6133333333
G06000109020006000421100U3,G06000104211002,060014211002,1.0,1.0,1.0,1.0
G06000109020006000421200U1,G06000104212001,060014212001,1.0,1.0,1.0,1.0
G06000109020006000421200U2,G06000104212001,060014212001,0.1335356601,0.1450777202,0.1456692913,0.1472868217
G06000109020006000421200U2,G06000104212002,060014212002,0.8664643399,0.8549222798,0.8543307087,0.8527131783
G06000109020006000421200U3,G06000104212002,060014212002,0.856238822,0.8424735521,0.848601105,0.8511629447
