bg2010gj,bg2010ge,bg2020gj,bg2020ge,wt_pop,wt_adult,wt_hh,wt_fam,wt_hu,parea
G06008300022062,060830022062,G06008300022062,060830022062,1,1,1,1,1,1
G06008300022063,060830022063,G06008300022063,060830022063,1,1,1,1,1,1
G06008300022091,060830022091,G06008300022091,060830022091,1,1,1,1,1,1
G06008300022092,060830022092,G06008300022092,060830022092,1,1,1,1,1,1
G06008300022101,060830022101,G06008300022101,060830022101,0.901591054628,0.893713139804,0.888725015819,0.899541593343,0.888458194465,0.839056216085
G06008300022101,060830022101,G06008300022103,060830022103,0.098408945372,0.106286860196,0.111274984181,0.100458406657,0.111541805535,0.160943783915
G06008300022102,060830022102,G06008300022102,060830022102,1,1,1,1,1,1
G06008300022103,060830022103,G06008300022103,060830022103,1,1,1,1,1,1
G06008300022111,060830022111,G06008300022111,060830022111,1,1,1,1,1,1
G06008300022112,060830022112,G06008300022112,060830022112,1,1,1,1,1,1
G06008300022113,060830022113,G06008300022113,060830022113,1,1,1,1,1,1
G06008300022114,060830022114,G06008300022114,060830022114,1,1,1,1,1,1
G06008300023031,060830023031,G06008300023031,060830023031,1,1,1,1,1,1
G06008300023032,060830023032,G06008300023032,060830023032,1,1,1,1,1,1
G06008300023033,060830023033,G06008300023033,060830023033,0.695419393218,0.700171821306,0.709779179811,0.705263157895,0.691842900302,0.73368137211
G06008300023033,060830023033,G06008300023035,060830023035,0.304580606782,0.299828178694,0.290220820189,0.294736842105,0.308157099698,0.26631862789
G06008300023034,060830023034,G06008300023034,060830023034,1,1,1,1,1,1
G06008300023035,060830023035,G06008300023035,060830023035,1,1,1,1,1,1
G06008300023041,060830023041,G06008300023041,060830023041,0.889635316699,0.901388888889,0.926174496644,0.907608695652,0.931888544892,0.82771966309
G06008300023041,060830023041,G06008300023042,060830023042,0.110364683301,0.098611111111,0.073825503356,0.092391304348,0.068111455108,0.17228033691
G06008300023042,060830023042,G06008300023042,060830023042,1,1,1,1,1,1
G06008300023043,060830023043,G06008300023043,060830023043,1,1,1,1,1,1
G06008300023044,060830023044,G06008300023044,060830023044,1,1,1,1,1,1
G06008300023051,060830023051,G06008300023101,060830023101,1,1,1,1,1,1
G06008300023052,060830023052,G06008300023102,060830023102,1,1,1,1,1,1
G06008300023053,060830023053,G06008300023091,060830023091,1,1,1,1,1,1
G06008300023054,060830023054,G06008300023092,060830023092,1,1,1,1,1,1
G06008300023061,060830023061,G06008300023081,060830023081,1,1,1,1,1,1
G06008300023062,060830023062,G06008300023081,060830023081,0.971337171232,0.971873083924,0.972039374585,0.971460479649,0.971961172988,0.982476663029
G06008300023062,060830023062,G06008300023082,060830023082,0.028662828768,0.028126916076,0.027960625415,0.028539520351,0.028038827012,0.017523336971
G06008300023063,060830023063,G06008300023081,060830023081,0.001367275265,0.001368873534,0.001385578996,0.001301968286,0.001376017609,0.00279133263
G06008300023063,060830023063,G06008300023082,060830023082,0.678148143237,0.678940860979,0.687226520648,0.645756855244,0.682484215336,0.702708383717
G06008300023063,060830023063,G06008300023072,060830023072,0.320484581498,0.319690265487,0.311387900356,0.352941176471,0.316139767055,0.294500283654
G06008300023064,060830023064,G06008300023081,060830023081,0,0,0,0,0,4.32187202e-4
G06008300023064,060830023064,G06008300023073,060830023073,0.258195140764,0.257765830346,0.270319634703,0.261044176707,0.273684210526,0.011152763748
G06008300023064,060830023064,G06008300023071,060830023071,0.373891245661,0.35633213859,0.379908675799,0.386546184739,0.380701754386,0.967111926001
G06008300023064,060830023064,G06008300023072,060830023072,0.367913613575,0.385902031063,0.349771689498,0.352409638554,0.345614035088,0.021303123048
G06008300024021,060830024021,G06008300024101,060830024101,1,1,1,1,1,1
G06008300024022,060830024022,G06008300024101,060830024101,0.048827833358,0.046917497733,0.049573560768,0.050938337802,0.049692622951,0.50159405883
G06008300024022,060830024022,G06008300024093,060830024093,0.319695385994,0.327062556664,0.294776119403,0.320375335121,0.287909836066,0.398940229352
G06008300024022,060830024022,G06008300024092,060830024092,0.260415111244,0.245920217588,0.250533049041,0.257372654155,0.254098360656,0.045158035592
G06008300024022,060830024022,G06008300024091,060830024091,0.254442287591,0.262466001813,0.300106609808,0.260053619303,0.300204918033,0.033394296664
G06008300024022,060830024022,G06008300024103,060830024103,0.116619381813,0.117633726201,0.105010660981,0.111260053619,0.108094262295,0.020913379562
G06008300024023,060830024023,G06008300024102,060830024102,1,1,1,1,1,1
G06008300024024,060830024024,G06008300024102,060830024102,0.177358490566,0.172619047619,0.113043478261,0.128415300546,0.113402061856,0.261463139499
G06008300024024,060830024024,G06008300024103,060830024103,0.822641509434,0.827380952381,0.886956521739,0.871584699454,0.886597938144,0.738536860501
G06008300024031,060830024031,G06008300024081,060830024081,1,1,1,1,1,1
G06008300024032,060830024032,G06008300024071,060830024071,1,1,1,1,1,1
G06008300024033,060830024033,G06008300024071,060830024071,0.164887743835,0.183872938302,0.157608695652,0.148979591837,0.161001788909,0.20920345323
G06008300024033,060830024033,G06008300024072,060830024072,0.835112256165,0.816127061698,0.842391304348,0.851020408163,0.838998211091,0.79079654677
G06008300024041,060830024041,G06008300024061,060830024061,0.585047468354,0.594221105528,0.547568710359,0.542997542998,0.540650406504,0.378932296249
G06008300024041,060830024041,G06008300024051,060830024051,0.414952531646,0.405778894472,0.452431289641,0.457002457002,0.459349593496,0.621067703751
G06008300024042,060830024042,G06008300024062,060830024062,1,1,1,1,1,1
G06008300024043,060830024043,G06008300024051,060830024051,1,1,1,1,1,1
G06008300024044,060830024044,G06008300024052,060830024052,1,1,1,1,1,1
G06008300025021,060830025021,G06008300025041,060830025041,1,1,1,1,1,1
G06008300025022,060830025022,G06008300025043,060830025043,0.565794953974,0.56677947754,0.55368289632,0.555663201922,0.557380458774,0.782681749167
G06008300025022,060830025022,G06008300025031,060830025031,0,0,0,0,0,0
G06008300025022,060830025022,G06008300025042,060830025042,0.434205046026,0.43322052246,0.44631710368,0.444336798078,0.442619541226,0.217318250833
