"GEO_ID","NAME","B19013_001E","B19013_001M","B19013_001MA","B19013_001EA",
"1400000US06001407300","Census Tract 4073, Alameda County, California","43224","19664","null","null",
"1400000US06001407400","Census Tract 4074, Alameda County, California","36552","8027","null","null",
"1400000US06001407500","Census Tract 4075, Alameda County, California","26848","10064","null","null",
"1400000US06001407600","Census Tract 4076, Alameda County, California","47388","9944","null","null",
"1400000US06001407700","Census Tract 4077, Alameda County, California","69637","12571","null","null",
"1400000US06001407800","Census Tract 4078, Alameda County, California","60469","12252","null","null",
"1400000US06001407900","Census Tract 4079, Alameda County, California","90408","20930","null","null",
"1400000US06001408000","Census Tract 4080, Alameda County, California","115729","13329","null","null",
"1400000US06001408100","Census Tract 4081, Alameda County, California","108468","10416","null","null",
"1400000US06001408200","Census Tract 4082, Alameda County, California","50186","9782","null","null",
"1400000US06001408300","Census Tract 4083, Alameda County, California","52075","7993","null","null",
"1400000US06001408400","Census Tract 4084, Alameda County, California","35781","12288","null","null",
"1400000US06001408500","Census Tract 4085, Alameda County, California","36429","7301","null","null",
"1400000US06001408600","Census Tract 4086, Alameda County, California","33539","7496","null","null",
"1400000US06001408700","Census Tract 4087, Alameda County, California","40680","6555","null","null",
"1400000US06001408800","Census Tract 4088, Alameda County, California","22587","4310","null","null",
"1400000US06001408900","Census Tract 4089, Alameda County, California","21216","3834","null","null",
"1400000US06001409000","Census Tract 4090, Alameda County, California","35357","7281","null","null",
"1400000US06001409100","Census Tract 4091, Alameda County, California","59655","13722","null","null",
"1400000US06001409200","Census Tract 4092, Alameda County, California","40766","10055","null","null",
"1400000US06001409300","Census Tract 4093, Alameda County, California","33934","5741","null","null",
"1400000US06001409400","Census Tract 4094, Alameda County, California","49083","13825","null","null",
"1400000US06001409500","Census Tract 4095, Alameda County, California","34167","7246","null","null",
"1400000US06001409600","Census Tract 4096, Alameda County, California","41778","8277","null","null",
"1400000US06001409700","Census Tract 4097, Alameda County, California","35658","10167","null","null",
"1400000US06001409800","Census Tract 4098, Alameda County, California","40189","20013","null","null",
"1400000US06001409900","Census Tract 4099, Alameda County, California","108214","18722","null","null",
"1400000US06001410000","Census Tract 4100, Alameda County, California","77000","21466","null","null",
"1400000US06001410100","Census Tract 4101, Alameda County, California","41250","20202","null","null",
"1400000US06001410200","Census Tract 4102, Alameda County, California","40474","13304","null","null",
"1400000US06001410300","Census Tract 4103, Alameda County, California","32829","6414","null","null",
"1400000US06001410400","Census Tract 4104, Alameda County, California","44746","16430","null","null",
"1400000US06001410500","Census Tract 4105, Alameda County, California","19351","3968","null","null",
"1400000US06001420100","Census Tract 4201, Alameda County, California","117000","31419","null","null",
"1400000US06001420200","Census Tract 4202, Alameda County, California","73665","12185","null","null",
"1400000US06001420300","Census Tract 4203, Alameda County, California","70242","14745","null","null",
"1400000US06001420400","Census Tract 4204, Alameda County, California","38972","8186","null","null",
"1400000US06001420500","Census Tract 4205, Alameda County, California","65726","5653","null","null",
"1400000US06001420600","Census Tract 4206, Alameda County, California","107455","11544","null","null",
"1400000US06001421100","Census Tract 4211, Alameda County, California","168750","59836","null","null",
"1400000US06001421200","Census Tract 4212, Alameda County, California","157500","12466","null","null",
"1400000US06001421300","Census Tract 4213, Alameda County, California","116200","14650","null","null",
"1400000US06001421400","Census Tract 4214, Alameda County, California","132258","26936","null","null",
"1400000US06001421500","Census Tract 4215, Alameda County, California","134875","25945","null","null",
"1400000US06001421600","Census Tract 4216, Alameda County, California","121111","17010","null","null",
"1400000US06001421700","Census Tract 4217, Alameda County, California","80491","21070","null","null",
"1400000US06001421800","Census Tract 4218, Alameda County, California","82917","10483","null","null",
"1400000US06001421900","Census Tract 4219, Alameda County, California","91774","14190","null","null",
"1400000US06001422000","Census Tract 4220, Alameda County, California","49773","11598","null","null",
"1400000US06001422100","Census Tract 4221, Alameda County, California","43771","4507","null","null",
"1400000US06001422200","Census Tract 4222, Alameda County, California","54083","9622","null","null",
"1400000US06001422300","Census Tract 4223, Alameda County, California","48776","8703","null","null",
"1400000US06001422400","Census Tract 4224, Alameda County, California","39083","7924","null","null",
"1400000US06001422500","Census Tract 4225, Alameda County, California","45875","8480","null","null",
"1400000US06001422600","Census Tract 4226, Alameda County, California","7273","513260","null","null",
"1400000US06001422700","Census Tract 4227, Alameda County, California","35352","14794","null","null",
"1400000US06001422800","Census Tract 4228, Alameda County, California","25145","9643","null","null",
"1400000US06001422900","Census Tract 4229, Alameda County, California","30944","10687","null","null",
"1400000US06001423000","Census Tract 4230, Alameda County, California","75030","6341","null","null",
"1400000US06001423100","Census Tract 4231, Alameda County, California","48956","7491","null","null",
"1400000US06001423200","Census Tract 4232, Alameda County, California","48906","31157","null","null",
"1400000US06001423300","Census Tract 4233, Alameda County, California","53587","12779","null","null",
"1400000US06001423400","Census Tract 4234, Alameda County, California","38860","8564","null","null",
"1400000US06001423500","Census Tract 4235, Alameda County, California","70863","8712","null","null",
"1400000US06001423601","Census Tract 4236.01, Alameda County, California","67865","18208","null","null",
"1400000US06001423602","Census Tract 4236.02, Alameda County, California","35589","8453","null","null",
"1400000US06001423700","Census Tract 4237, Alameda County, California","57875","31383","null","null",
"1400000US06001423800","Census Tract 4238, Alameda County, California","139750","36790","null","null",
"1400000US06001423901","Census Tract 4239.01, Alameda County, California","52962","12683","null","null",
"1400000US06001423902","Census Tract 4239.02, Alameda County, California","76528","23277","null","null",
"1400000US06001424001","Census Tract 4240.01, Alameda County, California","43810","7045","null","null",
"1400000US06001424002","Census Tract 4240.02, Alameda County, California","34565","10994","null","null",
"1400000US06001425101","Census Tract 4251.01, Alameda County, California","75778","15532","null","null",
"1400000US06001425102","Census Tract 4251.02, Alameda County, California","69352","16838","null","null",
"1400000US06001425103","Census Tract 4251.03, Alameda County, California","92174","14549","null","null",
"1400000US06001425104","Census Tract 4251.04, Alameda County, California","50682","5777","null","null",
"1400000US06001426100","Census Tract 4261, Alameda County, California","215000","57745","null","null",
"1400000US06001426200","Census Tract 4262, Alameda County, California","178388","13942","null","null",
"1400000US06001427100","Census Tract 4271, Alameda County, California","99000","10714","null","null",
"1400000US06001427200","Census Tract 4272, Alameda County, California","73482","20419","null","null",
"1400000US06001427300","Census Tract 4273, Alameda County, California","64390","9858","null","null",
"1400000US06001427600","Census Tract 4276, Alameda County, California","47460","11336","null","null",
"1400000US06001427700","Census Tract 4277, Alameda County, California","60291","8020","null","null",
"1400000US06001427800","Census Tract 4278, Alameda County, California","77287","15189","null","null",
"1400000US06001427900","Census Tract 4279, Alameda County, California","72366","19478","null","null",
"1400000US06001428000","Census Tract 4280, Alameda County, California","53565","9811","null","null",
