"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"1400000US06001407300","Census Tract 4073, Alameda County, California","51042","null","13268","null",
"1400000US06001407400","Census Tract 4074, Alameda County, California","39953","null","8598","null",
"1400000US06001407500","Census Tract 4075, Alameda County, California","28816","null","6552","null",
"1400000US06001407600","Census Tract 4076, Alameda County, California","46818","null","12433","null",
"1400000US06001407700","Census Tract 4077, Alameda County, California","69493","null","8451","null",
"1400000US06001407800","Census Tract 4078, Alameda County, California","75781","null","13897","null",
"1400000US06001407900","Census Tract 4079, Alameda County, California","99107","null","16624","null",
"1400000US06001408000","Census Tract 4080, Alameda County, California","139706","null","18518","null",
"1400000US06001408100","Census Tract 4081, Alameda County, California","103117","null","9476","null",
"1400000US06001408200","Census Tract 4082, Alameda County, California","49474","null","12417","null",
"1400000US06001408300","Census Tract 4083, Alameda County, California","81648","null","8955","null",
"1400000US06001408400","Census Tract 4084, Alameda County, California","32283","null","6624","null",
"1400000US06001408500","Census Tract 4085, Alameda County, California","43729","null","6762","null",
"1400000US06001408600","Census Tract 4086, Alameda County, California","30453","null","3704","null",
"1400000US06001408700","Census Tract 4087, Alameda County, California","40859","null","6140","null",
"1400000US06001408800","Census Tract 4088, Alameda County, California","27625","null","3868","null",
"1400000US06001408900","Census Tract 4089, Alameda County, California","23081","null","4297","null",
"1400000US06001409000","Census Tract 4090, Alameda County, California","47717","null","7888","null",
"1400000US06001409100","Census Tract 4091, Alameda County, California","35431","null","5973","null",
"1400000US06001409200","Census Tract 4092, Alameda County, California","52381","null","7254","null",
"1400000US06001409300","Census Tract 4093, Alameda County, California","34988","null","6350","null",
"1400000US06001409400","Census Tract 4094, Alameda County, California","37264","null","6000","null",
"1400000US06001409500","Census Tract 4095, Alameda County, California","30913","null","3456","null",
"1400000US06001409600","Census Tract 4096, Alameda County, California","35833","null","4655","null",
"1400000US06001409700","Census Tract 4097, Alameda County, California","36899","null","4834","null",
"1400000US06001409800","Census Tract 4098, Alameda County, California","63819","null","15463","null",
"1400000US06001409900","Census Tract 4099, Alameda County, California","90625","null","23713","null",
