"GEO_ID","NAME","B19013_001M","B19013_001MA","B19013_001E","B19013_001EA",
"1400000US06001407300","Census Tract 4073, Alameda County, California","9999","null","39583","null",
"1400000US06001407400","Census Tract 4074, Alameda County, California","5899","null","28551","null",
"1400000US06001407500","Census Tract 4075, Alameda County, California","8898","null","29350","null",
"1400000US06001407600","Census Tract 4076, Alameda County, California","10299","null","44338","null",
"1400000US06001407700","Census Tract 4077, Alameda County, California","8535","null","67829","null",
"1400000US06001407800","Census Tract 4078, Alameda County, California","19249","null","53750","null",
"1400000US06001407900","Census Tract 4079, Alameda County, California","22774","null","90263","null",
"1400000US06001408000","Census Tract 4080, Alameda County, California","31152","null","118526","null",
"1400000US06001408100","Census Tract 4081, Alameda County, California","13587","null","105032","null",
"1400000US06001408200","Census Tract 4082, Alameda County, California","14090","null","57011","null",
"1400000US06001408300","Census Tract 4083, Alameda County, California","13766","null","55601","null",
"1400000US06001408400","Census Tract 4084, Alameda County, California","10745","null","43447","null",
"1400000US06001408500","Census Tract 4085, Alameda County, California","8146","null","35920","null",
"1400000US06001408600","Census Tract 4086, Alameda County, California","5252","null","33395","null",
"1400000US06001408700","Census Tract 4087, Alameda County, California","8134","null","40017","null",
"1400000US06001408800","Census Tract 4088, Alameda County, California","3927","null","21917","null",
"1400000US06001408900","Census Tract 4089, Alameda County, California","5900","null","21512","null",
"1400000US06001409000","Census Tract 4090, Alameda County, California","9119","null","37526","null",
"1400000US06001409100","Census Tract 4091, Alameda County, California","35082","null","58106","null",
"1400000US06001409200","Census Tract 4092, Alameda County, California","8177","null","39605","null",
"1400000US06001409300","Census Tract 4093, Alameda County, California","3857","null","33772","null",
"1400000US06001409400","Census Tract 4094, Alameda County, California","10347","null","47115","null",
"1400000US06001409500","Census Tract 4095, Alameda County, California","15547","null","42845","null",
"1400000US06001409600","Census Tract 4096, Alameda County, California","9921","null","39779","null",
"1400000US06001409700","Census Tract 4097, Alameda County, California","6873","null","33327","null",
"1400000US06001409800","Census Tract 4098, Alameda County, California","24688","null","45100","null",
"1400000US06001409900","Census Tract 4099, Alameda County, California","22097","null","106382","null",
"1400000US06001410000","Census Tract 4100, Alameda County, California","15629","null","73382","null",
"1400000US06001410100","Census Tract 4101, Alameda County, California","27243","null","52656","null",
"1400000US06001410200","Census Tract 4102, Alameda County, California","4607","null","41331","null",
"1400000US06001410300","Census Tract 4103, Alameda County, California","6410","null","31951","null",
"1400000US06001410400","Census Tract 4104, Alameda County, California","18013","null","50281","null",
"1400000US06001410500","Census Tract 4105, Alameda County, California","7374","null","21843","null",
"1400000US06001420100","Census Tract 4201, Alameda County, California","24676","null","107009","null",
"1400000US06001420200","Census Tract 4202, Alameda County, California","15486","null","70125","null",
"1400000US06001420300","Census Tract 4203, Alameda County, California","14403","null","71397","null",
"1400000US06001420400","Census Tract 4204, Alameda County, California","9940","null","38500","null",
"1400000US06001420500","Census Tract 4205, Alameda County, California","17577","null","64627","null",
"1400000US06001420600","Census Tract 4206, Alameda County, California","18789","null","103315","null",
"1400000US06001421100","Census Tract 4211, Alameda County, California","27642","null","146053","null",
"1400000US06001421200","Census Tract 4212, Alameda County, California","19120","null","158988","null",
"1400000US06001421300","Census Tract 4213, Alameda County, California","13912","null","117930","null",
"1400000US06001421400","Census Tract 4214, Alameda County, California","34089","null","125268","null",
"1400000US06001421500","Census Tract 4215, Alameda County, California","22949","null","138523","null",
"1400000US06001421600","Census Tract 4216, Alameda County, California","12450","null","109018","null",
"1400000US06001421700","Census Tract 4217, Alameda County, California","18524","null","78397","null",
"1400000US06001421800","Census Tract 4218, Alameda County, California","16860","null","85645","null",
"1400000US06001421900","Census Tract 4219, Alameda County, California","9709","null","89491","null",
"1400000US06001422000","Census Tract 4220, Alameda County, California","11188","null","49688","null",
"1400000US06001422100","Census Tract 4221, Alameda County, California","8096","null","43029","null",
"1400000US06001422200","Census Tract 4222, Alameda County, California","6425","null","51064","null",
"1400000US06001422300","Census Tract 4223, Alameda County, California","8072","null","48079","null",
"1400000US06001422400","Census Tract 4224, Alameda County, California","3835","null","36547","null",
"1400000US06001422500","Census Tract 4225, Alameda County, California","11635","null","35481","null",
"1400000US06001422600","Census Tract 4226, Alameda County, California","188911","null","6125","null",
"1400000US06001422700","Census Tract 4227, Alameda County, California","15000","null","34778","null",
"1400000US06001422800","Census Tract 4228, Alameda County, California","6871","null","20586","null",
"1400000US06001422900","Census Tract 4229, Alameda County, California","13497","null","24263","null",
"1400000US06001423000","Census Tract 4230, Alameda County, California","6640","null","71031","null",
"1400000US06001423100","Census Tract 4231, Alameda County, California","7107","null","46530","null",
"1400000US06001423200","Census Tract 4232, Alameda County, California","4470","null","42289","null",
"1400000US06001423300","Census Tract 4233, Alameda County, California","13976","null","57824","null",
"1400000US06001423400","Census Tract 4234, Alameda County, California","6086","null","43212","null",
"1400000US06001423500","Census Tract 4235, Alameda County, California","8046","null","54318","null",
"1400000US06001423601","Census Tract 4236.01, Alameda County, California","24276","null","80598","null",
"1400000US06001423602","Census Tract 4236.02, Alameda County, California","11550","null","35316","null",
"1400000US06001423700","Census Tract 4237, Alameda County, California","27174","null","52407","null",
"1400000US06001423800","Census Tract 4238, Alameda County, California","30577","null","140924","null",
"1400000US06001423901","Census Tract 4239.01, Alameda County, California","9784","null","57986","null",
"1400000US06001423902","Census Tract 4239.02, Alameda County, California","22063","null","67457","null",
"1400000US06001424001","Census Tract 4240.01, Alameda County, California","11914","null","52500","null",
"1400000US06001424002","Census Tract 4240.02, Alameda County, California","11040","null","40273","null",
"1400000US06001425101","Census Tract 4251.01, Alameda County, California","16776","null","61542","null",
"1400000US06001425102","Census Tract 4251.02, Alameda County, California","14422","null","65827","null",
"1400000US06001425103","Census Tract 4251.03, Alameda County, California","25153","null","71494","null",
