"GEO_ID","NAME","B19013_001E","B19013_001M","B19013_001MA","B19013_001EA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)",
"1400000US06001400100","Census Tract 4001, Alameda County, California","165625","30598","null","null",
"1400000US06001400200","Census Tract 4002, Alameda County, California","134531","15310","null","null",
"1400000US06001400300","Census Tract 4003, Alameda County, California","71618","22805","null","null",
"1400000US06001400400","Census Tract 4004, Alameda County, California","98824","12941","null","null",
"1400000US06001400500","Census Tract 4005, Alameda County, California","73837","5174","null","null",
"1400000US06001400600","Census Tract 4006, Alameda County, California","57639","8753","null","null",
"1400000US06001400700","Census Tract 4007, Alameda County, California","41023","6010","null","null",
"1400000US06001400800","Census Tract 4008, Alameda County, California","59018","7255","null","null",
"1400000US06001400900","Census Tract 4009, Alameda County, California","60089","7403","null","null",
"1400000US06001401000","Census Tract 4010, Alameda County, California","38403","12254","null","null",
"1400000US06001401100","Census Tract 4011, Alameda County, California","56401","7636","null","null",
"1400000US06001401200","Census Tract 4012, Alameda County, California","76897","11278","null","null",
"1400000US06001401300","Census Tract 4013, Alameda County, California","36782","3375","null","null",
"1400000US06001401400","Census Tract 4014, Alameda County, California","30023","9642","null","null",
"1400000US06001401500","Census Tract 4015, Alameda County, California","44728","8740","null","null",
"1400000US06001401600","Census Tract 4016, Alameda County, California","31280","9701","null","null",
"1400000US06001401700","Census Tract 4017, Alameda County, California","61563","30368","null","null",
"1400000US06001401800","Census Tract 4018, Alameda County, California","31125","4773","null","null",
"1400000US06001402200","Census Tract 4022, Alameda County, California","36224","6534","null","null",
"1400000US06001402400","Census Tract 4024, Alameda County, California","28606","2687","null","null",
"1400000US06001402500","Census Tract 4025, Alameda County, California","18967","6031","null","null",
"1400000US06001402600","Census Tract 4026, Alameda County, California","20259","2077","null","null",
"1400000US06001402700","Census Tract 4027, Alameda County, California","33125","29100","null","null",
"1400000US06001402800","Census Tract 4028, Alameda County, California","20534","7167","null","null",
"1400000US06001402900","Census Tract 4029, Alameda County, California","23825","2789","null","null",
"1400000US06001403000","Census Tract 4030, Alameda County, California","16469","3146","null","null",
"1400000US06001403100","Census Tract 4031, Alameda County, California","53750","24480","null","null",
"1400000US06001403300","Census Tract 4033, Alameda County, California","60893","19845","null","null",
"1400000US06001403400","Census Tract 4034, Alameda County, California","38109","5817","null","null",
"1400000US06001403501","Census Tract 4035.01, Alameda County, California","37454","9656","null","null",
"1400000US06001403502","Census Tract 4035.02, Alameda County, California","52054","8594","null","null",
"1400000US06001403600","Census Tract 4036, Alameda County, California","62617","9762","null","null",
"1400000US06001403701","Census Tract 4037.01, Alameda County, California","59564","8988","null","null",
"1400000US06001403702","Census Tract 4037.02, Alameda County, California","73636","19937","null","null",
"1400000US06001403800","Census Tract 4038, Alameda County, California","85819","10203","null","null",
"1400000US06001403900","Census Tract 4039, Alameda County, California","57333","8085","null","null",
"1400000US06001404000","Census Tract 4040, Alameda County, California","72059","10916","null","null",
"1400000US06001404101","Census Tract 4041.01, Alameda County, California","68403","13212","null","null",
"1400000US06001404102","Census Tract 4041.02, Alameda County, California","57482","10486","null","null",
"1400000US06001404200","Census Tract 4042, Alameda County, California","150391","12715","null","null",
"1400000US06001404300","Census Tract 4043, Alameda County, California","176406","18331","null","null",
"1400000US06001404400","Census Tract 4044, Alameda County, California","135318","21095","null","null",
"1400000US06001404501","Census Tract 4045.01, Alameda County, California","172500","15277","null","null",
"1400000US06001404502","Census Tract 4045.02, Alameda County, California","126278","13983","null","null",
"1400000US06001404600","Census Tract 4046, Alameda County, California","155982","12447","null","null",
"1400000US06001404700","Census Tract 4047, Alameda County, California","145500","26979","null","null",
"1400000US06001404800","Census Tract 4048, Alameda County, California","49167","7660","null","null",
"1400000US06001404900","Census Tract 4049, Alameda County, California","69046","6838","null","null",
"1400000US06001405000","Census Tract 4050, Alameda County, California","106964","25143","null","null",
"1400000US06001405100","Census Tract 4051, Alameda County, California","188726","9800","null","null",
"1400000US06001405200","Census Tract 4052, Alameda County, California","65404","4585","null","null",
"1400000US06001405301","Census Tract 4053.01, Alameda County, California","51341","10444","null","null",
"1400000US06001405302","Census Tract 4053.02, Alameda County, California","29671","8072","null","null",
"1400000US06001405401","Census Tract 4054.01, Alameda County, California","31599","4197","null","null",
"1400000US06001405402","Census Tract 4054.02, Alameda County, California","27899","4059","null","null",
"1400000US06001405500","Census Tract 4055, Alameda County, California","38603","7867","null","null",
"1400000US06001405600","Census Tract 4056, Alameda County, California","49146","9202","null","null",
"1400000US06001405700","Census Tract 4057, Alameda County, California","42089","4420","null","null",
"1400000US06001405800","Census Tract 4058, Alameda County, California","47452","8720","null","null",
"1400000US06001405901","Census Tract 4059.01, Alameda County, California","32548","7865","null","null",
"1400000US06001405902","Census Tract 4059.02, Alameda County, California","39542","8318","null","null",
"1400000US06001406000","Census Tract 4060, Alameda County, California","19528","3314","null","null",
"1400000US06001406100","Census Tract 4061, Alameda County, California","56250","11705","null","null",
"1400000US06001406201","Census Tract 4062.01, Alameda County, California","34176","5932","null","null",
"1400000US06001406202","Census Tract 4062.02, Alameda County, California","30205","6585","null","null",
"1400000US06001406300","Census Tract 4063, Alameda County, California","39458","6514","null","null",
"1400000US06001406400","Census Tract 4064, Alameda County, California","55563","10259","null","null",
"1400000US06001406500","Census Tract 4065, Alameda County, California","44926","5766","null","null",
"1400000US06001406601","Census Tract 4066.01, Alameda County, California","49856","9305","null","null",
"1400000US06001406602","Census Tract 4066.02, Alameda County, California","51601","12170","null","null",
"1400000US06001406700","Census Tract 4067, Alameda County, California","83884","19834","null","null",
"1400000US06001406800","Census Tract 4068, Alameda County, California","86307","15657","null","null",
"1400000US06001406900","Census Tract 4069, Alameda County, California","68566","9137","null","null",
"1400000US06001407000","Census Tract 4070, Alameda County, California","40217","15540","null","null",
"1400000US06001407101","Census Tract 4071.01, Alameda County, California","31280","11960","null","null",
"1400000US06001407102","Census Tract 4071.02, Alameda County, California","47315","9184","null","null",
"1400000US06001407200","Census Tract 4072, Alameda County, California","36359","3964","null","null",
"1400000US06001407300","Census Tract 4073, Alameda County, California","57411","15729","null","null",
"1400000US06001407400","Census Tract 4074, Alameda County, California","38716","5454","null","null",
"1400000US06001407500","Census Tract 4075, Alameda County, California","21654","4522","null","null",
"1400000US06001407600","Census Tract 4076, Alameda County, California","53605","7477","null","null",
"1400000US06001407700","Census Tract 4077, Alameda County, California","72585","8033","null","null",
"1400000US06001407800","Census Tract 4078, Alameda County, California","67148","14474","null","null",
"1400000US06001407900","Census Tract 4079, Alameda County, California","83806","11328","null","null",
"1400000US06001408000","Census Tract 4080, Alameda County, California","125515","21421","null","null",
"1400000US06001408100","Census Tract 4081, Alameda County, California","104451","13188","null","null",
"1400000US06001408200","Census Tract 4082, Alameda County, California","50417","9556","null","null",
"1400000US06001408300","Census Tract 4083, Alameda County, California","78534","18944","null","null",
"1400000US06001408400","Census Tract 4084, Alameda County, California","26056","2471","null","null",
"1400000US06001408500","Census Tract 4085, Alameda County, California","40573","6464","null","null",
"1400000US06001408600","Census Tract 4086, Alameda County, California","30612","7575","null","null",
"1400000US06001408700","Census Tract 4087, Alameda County, California","39368","9191","null","null",
"1400000US06001408800","Census Tract 4088, Alameda County, California","26926","4011","null","null",
"1400000US06001408900","Census Tract 4089, Alameda County, California","22925","3997","null","null",
"1400000US06001409000","Census Tract 4090, Alameda County, California","47805","10861","null","null",
"1400000US06001409100","Census Tract 4091, Alameda County, California","35000","10072","null","null",
"1400000US06001409200","Census Tract 4092, Alameda County, California","43750","10293","null","null",
"1400000US06001409300","Census Tract 4093, Alameda County, California","34788","4927","null","null",
"1400000US06001409400","Census Tract 4094, Alameda County, California","37377","8905","null","null",
"1400000US06001409500","Census Tract 4095, Alameda County, California","30019","3341","null","null",
"1400000US06001409600","Census Tract 4096, Alameda County, California","34112","5481","null","null",
"1400000US06001409700","Census Tract 4097, Alameda County, California","36472","3796","null","null",
"1400000US06001409800","Census Tract 4098, Alameda County, California","61667","9973","null","null",
"1400000US06001409900","Census Tract 4099, Alameda County, California","104410","21393","null","null",
"1400000US06001410000","Census Tract 4100, Alameda County, California","107113","18122","null","null",
"1400000US06001410100","Census Tract 4101, Alameda County, California","39256","14319","null","null",
"1400000US06001410200","Census Tract 4102, Alameda County, California","47155","11621","null","null",
"1400000US06001410300","Census Tract 4103, Alameda County, California","36012","6140","null","null",
"1400000US06001410400","Census Tract 4104, Alameda County, California","64432","9824","null","null",
"1400000US06001410500","Census Tract 4105, Alameda County, California","21389","4203","null","null",
"1400000US06001420100","Census Tract 4201, Alameda County, California","109318","24440","null","null",
"1400000US06001420200","Census Tract 4202, Alameda County, California","90388","22038","null","null",
"1400000US06001420300","Census Tract 4203, Alameda County, California","84835","5732","null","null",
"1400000US06001420400","Census Tract 4204, Alameda County, California","42061","6394","null","null",
"1400000US06001420500","Census Tract 4205, Alameda County, California","78194","16412","null","null",
"1400000US06001420600","Census Tract 4206, Alameda County, California","110152","7999","null","null",
"1400000US06001421100","Census Tract 4211, Alameda County, California","157250","38228","null","null",
"1400000US06001421200","Census Tract 4212, Alameda County, California","151806","21994","null","null",
"1400000US06001421300","Census Tract 4213, Alameda County, California","124688","21955","null","null",
"1400000US06001421400","Census Tract 4214, Alameda County, California","139073","16786","null","null",
"1400000US06001421500","Census Tract 4215, Alameda County, California","141726","24102","null","null",
"1400000US06001421600","Census Tract 4216, Alameda County, California","125250","25327","null","null",
"1400000US06001421700","Census Tract 4217, Alameda County, California","75568","9488","null","null",
"1400000US06001421800","Census Tract 4218, Alameda County, California","101250","22832","null","null",
"1400000US06001421900","Census Tract 4219, Alameda County, California","105128","15047","null","null",
"1400000US06001422000","Census Tract 4220, Alameda County, California","51283","11548","null","null",
"1400000US06001422100","Census Tract 4221, Alameda County, California","57850","12119","null","null",
"1400000US06001422200","Census Tract 4222, Alameda County, California","66061","8319","null","null",
"1400000US06001422300","Census Tract 4223, Alameda County, California","53576","7875","null","null",
"1400000US06001422400","Census Tract 4224, Alameda County, California","45723","10663","null","null",
"1400000US06001422500","Census Tract 4225, Alameda County, California","45882","12325","null","null",
"1400000US06001422600","Census Tract 4226, Alameda County, California","-","**","**","-",
"1400000US06001422700","Census Tract 4227, Alameda County, California","32500","10828","null","null",
"1400000US06001422800","Census Tract 4228, Alameda County, California","23281","10556","null","null",
"1400000US06001422900","Census Tract 4229, Alameda County, California","30165","13107","null","null",
"1400000US06001423000","Census Tract 4230, Alameda County, California","66540","13639","null","null",
"1400000US06001423100","Census Tract 4231, Alameda County, California","48849","8982","null","null",
"1400000US06001423200","Census Tract 4232, Alameda County, California","76696","24129","null","null",
"1400000US06001423300","Census Tract 4233, Alameda County, California","65486","14161","null","null",
"1400000US06001423400","Census Tract 4234, Alameda County, California","57865","16831","null","null",
"1400000US06001423500","Census Tract 4235, Alameda County, California","41125","12235","null","null",
"1400000US06001423601","Census Tract 4236.01, Alameda County, California","70729","6688","null","null",
"1400000US06001423602","Census Tract 4236.02, Alameda County, California","28859","7073","null","null",
"1400000US06001423700","Census Tract 4237, Alameda County, California","54750","34648","null","null",
"1400000US06001423800","Census Tract 4238, Alameda County, California","154934","36022","null","null",
"1400000US06001423901","Census Tract 4239.01, Alameda County, California","56833","8291","null","null",
"1400000US06001423902","Census Tract 4239.02, Alameda County, California","74554","23365","null","null",
"1400000US06001424001","Census Tract 4240.01, Alameda County, California","42292","8413","null","null",
"1400000US06001424002","Census Tract 4240.02, Alameda County, California","40431","12914","null","null",
"1400000US06001425101","Census Tract 4251.01, Alameda County, California","69318","18544","null","null",
"1400000US06001425102","Census Tract 4251.02, Alameda County, California","76042","30942","null","null",
"1400000US06001425103","Census Tract 4251.03, Alameda County, California","89347","13652","null","null",
"1400000US06001425104","Census Tract 4251.04, Alameda County, California","55379","11144","null","null",
"1400000US06001426100","Census Tract 4261, Alameda County, California","224531","55818","null","null",
"1400000US06001426200","Census Tract 4262, Alameda County, California","188241","27576","null","null",
"1400000US06001427100","Census Tract 4271, Alameda County, California","101125","7114","null","null",
"1400000US06001427200","Census Tract 4272, Alameda County, California","54354","20236","null","null",
"1400000US06001427300","Census Tract 4273, Alameda County, California","61557","12080","null","null",
"1400000US06001427600","Census Tract 4276, Alameda County, California","39597","10374","null","null",
"1400000US06001427700","Census Tract 4277, Alameda County, California","70036","7015","null","null",
"1400000US06001427800","Census Tract 4278, Alameda County, California","88750","16137","null","null",
"1400000US06001427900","Census Tract 4279, Alameda County, California","73571","14346","null","null",
"1400000US06001428000","Census Tract 4280, Alameda County, California","67530","8390","null","null",
"1400000US06001428100","Census Tract 4281, Alameda County, California","86492","12128","null","null",
"1400000US06001428200","Census Tract 4282, Alameda County, California","83656","11225","null","null",
"1400000US06001428301","Census Tract 4283.01, Alameda County, California","95347","13152","null","null",
"1400000US06001428302","Census Tract 4283.02, Alameda County, California","127476","12997","null","null",
"1400000US06001428400","Census Tract 4284, Alameda County, California","69219","6095","null","null",
"1400000US06001428500","Census Tract 4285, Alameda County, California","64017","10807","null","null",
"1400000US06001428600","Census Tract 4286, Alameda County, California","72071","9190","null","null",
"1400000US06001428700","Census Tract 4287, Alameda County, California","51607","13439","null","null",
"1400000US06001430101","Census Tract 4301.01, Alameda County, California","123681","13045","null","null",
"1400000US06001430102","Census Tract 4301.02, Alameda County, California","102353","36335","null","null",
"1400000US06001430200","Census Tract 4302, Alameda County, California","110885","13278","null","null",
"1400000US06001430300","Census Tract 4303, Alameda County, California","88259","19398","null","null",
"1400000US06001430400","Census Tract 4304, Alameda County, California","105714","21397","null","null",
"1400000US06001430500","Census Tract 4305, Alameda County, California","56336","13099","null","null",
"1400000US06001430600","Census Tract 4306, Alameda County, California","95750","14343","null","null",
"1400000US06001430700","Census Tract 4307, Alameda County, California","99554","15176","null","null",
"1400000US06001430800","Census Tract 4308, Alameda County, California","75486","18495","null","null",
"1400000US06001430900","Census Tract 4309, Alameda County, California","57132","7467","null","null",
"1400000US06001431000","Census Tract 4310, Alameda County, California","60300","16557","null","null",
"1400000US06001431100","Census Tract 4311, Alameda County, California","53651","11765","null","null",
"1400000US06001431200","Census Tract 4312, Alameda County, California","50250","15291","null","null",
"1400000US06001432100","Census Tract 4321, Alameda County, California","103281","25601","null","null",
"1400000US06001432200","Census Tract 4322, Alameda County, California","60411","5970","null","null",
"1400000US06001432300","Census Tract 4323, Alameda County, California","73226","11849","null","null",
