"GEO_ID","NAME","B19013_001E","B19013_001M","B19013_001MA","B19013_001EA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)",
"1400000US06001400100","Census Tract 4001, Alameda County, California","147292","26652","null","null",
"1400000US06001400200","Census Tract 4002, Alameda County, California","131250","15681","null","null",
"1400000US06001400300","Census Tract 4003, Alameda County, California","75266","25074","null","null",
"1400000US06001400400","Census Tract 4004, Alameda County, California","93203","12732","null","null",
"1400000US06001400500","Census Tract 4005, Alameda County, California","73261","4786","null","null",
"1400000US06001400600","Census Tract 4006, Alameda County, California","53614","8093","null","null",
"1400000US06001400700","Census Tract 4007, Alameda County, California","38836","5956","null","null",
"1400000US06001400800","Census Tract 4008, Alameda County, California","56993","15272","null","null",
"1400000US06001400900","Census Tract 4009, Alameda County, California","55205","4770","null","null",
"1400000US06001401000","Census Tract 4010, Alameda County, California","40488","10363","null","null",
"1400000US06001401100","Census Tract 4011, Alameda County, California","53438","9363","null","null",
"1400000US06001401200","Census Tract 4012, Alameda County, California","62064","14598","null","null",
"1400000US06001401300","Census Tract 4013, Alameda County, California","35030","6917","null","null",
"1400000US06001401400","Census Tract 4014, Alameda County, California","28264","5802","null","null",
"1400000US06001401500","Census Tract 4015, Alameda County, California","38684","12077","null","null",
"1400000US06001401600","Census Tract 4016, Alameda County, California","32663","16290","null","null",
"1400000US06001401700","Census Tract 4017, Alameda County, California","63052","19070","null","null",
"1400000US06001401800","Census Tract 4018, Alameda County, California","30449","5214","null","null",
"1400000US06001402200","Census Tract 4022, Alameda County, California","36600","9933","null","null",
"1400000US06001402400","Census Tract 4024, Alameda County, California","24818","7877","null","null",
"1400000US06001402500","Census Tract 4025, Alameda County, California","21974","6458","null","null",
"1400000US06001402600","Census Tract 4026, Alameda County, California","21250","3598","null","null",
