"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)",
"1400000US06001400100","Census Tract 4001, Alameda County, California","208393","null","46352","null",
"1400000US06001400200","Census Tract 4002, Alameda County, California","147500","null","34827","null",
"1400000US06001400300","Census Tract 4003, Alameda County, California","88173","null","11036","null",
"1400000US06001400400","Census Tract 4004, Alameda County, California","102821","null","13517","null",
"1400000US06001400500","Census Tract 4005, Alameda County, California","92375","null","18444","null",
"1400000US06001400600","Census Tract 4006, Alameda County, California","86458","null","30610","null",
"1400000US06001400700","Census Tract 4007, Alameda County, California","55066","null","14299","null",
"1400000US06001400800","Census Tract 4008, Alameda County, California","64788","null","11888","null",
"1400000US06001400900","Census Tract 4009, Alameda County, California","57011","null","6231","null",
"1400000US06001401000","Census Tract 4010, Alameda County, California","60443","null","9537","null",
"1400000US06001401100","Census Tract 4011, Alameda County, California","78258","null","7067","null",
"1400000US06001401200","Census Tract 4012, Alameda County, California","86824","null","22612","null",
"1400000US06001401300","Census Tract 4013, Alameda County, California","43476","null","7893","null",
"1400000US06001401400","Census Tract 4014, Alameda County, California","30479","null","3935","null",
"1400000US06001401500","Census Tract 4015, Alameda County, California","54464","null","10612","null",
"1400000US06001401600","Census Tract 4016, Alameda County, California","45240","null","9732","null",
"1400000US06001401700","Census Tract 4017, Alameda County, California","86313","null","21841","null",
"1400000US06001401800","Census Tract 4018, Alameda County, California","31042","null","19351","null",
"1400000US06001402200","Census Tract 4022, Alameda County, California","47000","null","7472","null",
"1400000US06001402400","Census Tract 4024, Alameda County, California","36867","null","5190","null",
"1400000US06001402500","Census Tract 4025, Alameda County, California","19931","null","6342","null",
"1400000US06001402600","Census Tract 4026, Alameda County, California","21250","null","5748","null",
"1400000US06001402700","Census Tract 4027, Alameda County, California","59688","null","22423","null",
"1400000US06001402800","Census Tract 4028, Alameda County, California","37250","null","12378","null",
"1400000US06001402900","Census Tract 4029, Alameda County, California","26786","null","6844","null",
"1400000US06001403000","Census Tract 4030, Alameda County, California","22711","null","6335","null",
"1400000US06001403100","Census Tract 4031, Alameda County, California","72813","null","29062","null",
"1400000US06001403300","Census Tract 4033, Alameda County, California","56673","null","23453","null",
"1400000US06001403400","Census Tract 4034, Alameda County, California","59730","null","10616","null",
"1400000US06001403501","Census Tract 4035.01, Alameda County, California","41348","null","10561","null",
"1400000US06001403502","Census Tract 4035.02, Alameda County, California","63678","null","8784","null",
"1400000US06001403600","Census Tract 4036, Alameda County, California","73513","null","11029","null",
"1400000US06001403701","Census Tract 4037.01, Alameda County, California","69421","null","6382","null",
"1400000US06001403702","Census Tract 4037.02, Alameda County, California","83603","null","7881","null",
"1400000US06001403800","Census Tract 4038, Alameda County, California","84815","null","13270","null",
"1400000US06001403900","Census Tract 4039, Alameda County, California","85571","null","11937","null",
"1400000US06001404000","Census Tract 4040, Alameda County, California","79398","null","6202","null",
"1400000US06001404101","Census Tract 4041.01, Alameda County, California","95288","null","18368","null",
"1400000US06001404102","Census Tract 4041.02, Alameda County, California","81438","null","12683","null",
"1400000US06001404200","Census Tract 4042, Alameda County, California","156364","null","17594","null",
"1400000US06001404300","Census Tract 4043, Alameda County, California","194500","null","24126","null",
"1400000US06001404400","Census Tract 4044, Alameda County, California","163464","null","27440","null",
"1400000US06001404501","Census Tract 4045.01, Alameda County, California","185313","null","9347","null",
"1400000US06001404502","Census Tract 4045.02, Alameda County, California","153169","null","19937","null",
"1400000US06001404600","Census Tract 4046, Alameda County, California","158867","null","17449","null",
"1400000US06001404700","Census Tract 4047, Alameda County, California","159856","null","13640","null",
"1400000US06001404800","Census Tract 4048, Alameda County, California","72833","null","17545","null",
"1400000US06001404900","Census Tract 4049, Alameda County, California","100625","null","17946","null",
"1400000US06001405000","Census Tract 4050, Alameda County, California","128125","null","11778","null",
"1400000US06001405100","Census Tract 4051, Alameda County, California","191705","null","32591","null",
"1400000US06001405200","Census Tract 4052, Alameda County, California","77688","null","6835","null",
"1400000US06001405301","Census Tract 4053.01, Alameda County, California","62500","null","5594","null",
"1400000US06001405302","Census Tract 4053.02, Alameda County, California","41111","null","9162","null",
"1400000US06001405401","Census Tract 4054.01, Alameda County, California","46790","null","5101","null",
"1400000US06001405402","Census Tract 4054.02, Alameda County, California","41521","null","8908","null",
"1400000US06001405500","Census Tract 4055, Alameda County, California","56005","null","5060","null",
"1400000US06001405600","Census Tract 4056, Alameda County, California","58138","null","5293","null",
"1400000US06001405700","Census Tract 4057, Alameda County, California","50344","null","8233","null",
"1400000US06001405800","Census Tract 4058, Alameda County, California","38794","null","9148","null",
"1400000US06001405901","Census Tract 4059.01, Alameda County, California","36214","null","9086","null",
"1400000US06001405902","Census Tract 4059.02, Alameda County, California","36000","null","9401","null",
"1400000US06001406000","Census Tract 4060, Alameda County, California","35457","null","16304","null",
"1400000US06001406100","Census Tract 4061, Alameda County, California","44298","null","20275","null",
"1400000US06001406201","Census Tract 4062.01, Alameda County, California","41563","null","9846","null",
"1400000US06001406202","Census Tract 4062.02, Alameda County, California","34351","null","6921","null",
"1400000US06001406300","Census Tract 4063, Alameda County, California","45015","null","6799","null",
"1400000US06001406400","Census Tract 4064, Alameda County, California","67102","null","12257","null",
"1400000US06001406500","Census Tract 4065, Alameda County, California","40989","null","5497","null",
"1400000US06001406601","Census Tract 4066.01, Alameda County, California","48407","null","4762","null",
"1400000US06001406602","Census Tract 4066.02, Alameda County, California","47182","null","13469","null",
"1400000US06001406700","Census Tract 4067, Alameda County, California","93133","null","15126","null",
"1400000US06001406800","Census Tract 4068, Alameda County, California","91050","null","16891","null",
"1400000US06001406900","Census Tract 4069, Alameda County, California","75721","null","15296","null",
"1400000US06001407000","Census Tract 4070, Alameda County, California","52087","null","6142","null",
"1400000US06001407101","Census Tract 4071.01, Alameda County, California","52068","null","9998","null",
"1400000US06001407102","Census Tract 4071.02, Alameda County, California","52383","null","7595","null",
"1400000US06001407200","Census Tract 4072, Alameda County, California","38660","null","2804","null",
"1400000US06001407300","Census Tract 4073, Alameda County, California","54150","null","13798","null",
"1400000US06001407400","Census Tract 4074, Alameda County, California","49722","null","9290","null",
"1400000US06001407500","Census Tract 4075, Alameda County, California","31516","null","4078","null",
"1400000US06001407600","Census Tract 4076, Alameda County, California","58619","null","12418","null",
"1400000US06001407700","Census Tract 4077, Alameda County, California","74402","null","5430","null",
"1400000US06001407800","Census Tract 4078, Alameda County, California","89583","null","18580","null",
"1400000US06001407900","Census Tract 4079, Alameda County, California","115563","null","21011","null",
"1400000US06001408000","Census Tract 4080, Alameda County, California","151667","null","16419","null",
"1400000US06001408100","Census Tract 4081, Alameda County, California","121484","null","20458","null",
"1400000US06001408200","Census Tract 4082, Alameda County, California","58207","null","6829","null",
"1400000US06001408300","Census Tract 4083, Alameda County, California","83917","null","12660","null",
"1400000US06001408400","Census Tract 4084, Alameda County, California","36133","null","8290","null",
"1400000US06001408500","Census Tract 4085, Alameda County, California","47333","null","9173","null",
"1400000US06001408600","Census Tract 4086, Alameda County, California","32185","null","4917","null",
"1400000US06001408700","Census Tract 4087, Alameda County, California","47228","null","14508","null",
"1400000US06001408800","Census Tract 4088, Alameda County, California","26156","null","6509","null",
"1400000US06001408900","Census Tract 4089, Alameda County, California","31318","null","6014","null",
"1400000US06001409000","Census Tract 4090, Alameda County, California","44474","null","7295","null",
"1400000US06001409100","Census Tract 4091, Alameda County, California","48065","null","17991","null",
"1400000US06001409200","Census Tract 4092, Alameda County, California","49783","null","8641","null",
"1400000US06001409300","Census Tract 4093, Alameda County, California","37490","null","6719","null",
"1400000US06001409400","Census Tract 4094, Alameda County, California","42344","null","12267","null",
"1400000US06001409500","Census Tract 4095, Alameda County, California","33963","null","6522","null",
"1400000US06001409600","Census Tract 4096, Alameda County, California","44542","null","10371","null",
"1400000US06001409700","Census Tract 4097, Alameda County, California","45163","null","9452","null",
"1400000US06001409800","Census Tract 4098, Alameda County, California","73125","null","19719","null",
"1400000US06001409900","Census Tract 4099, Alameda County, California","105833","null","16246","null",
"1400000US06001410000","Census Tract 4100, Alameda County, California","111688","null","8861","null",
"1400000US06001410100","Census Tract 4101, Alameda County, California","60089","null","6950","null",
"1400000US06001410200","Census Tract 4102, Alameda County, California","56534","null","16538","null",
"1400000US06001410300","Census Tract 4103, Alameda County, California","51034","null","6329","null",
"1400000US06001410400","Census Tract 4104, Alameda County, California","69258","null","5318","null",
