"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003EA","B25063_003M","B25063_003MA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005M","B25063_005MA","B25063_005EA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007M","B25063_007MA","B25063_007EA","B25063_008E","B25063_008M","B25063_008MA","B25063_008EA","B25063_009E","B25063_009EA","B25063_009M","B25063_009MA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013M","B25063_013MA","B25063_013EA","B25063_014E","B25063_014EA","B25063_014M","B25063_014MA","B25063_015E","B25063_015EA","B25063_015M","B25063_015MA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017M","B25063_017MA","B25063_017EA","B25063_018E","B25063_018M","B25063_018MA","B25063_018EA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020EA","B25063_020M","B25063_020MA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022M","B25063_022MA","B25063_022EA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA","B25063_025E","B25063_025EA","B25063_025M","B25063_025MA","B25063_026E","B25063_026EA","B25063_026M","B25063_026MA","B25063_027E","B25063_027M","B25063_027MA","B25063_027EA",
"0500000US06093","Siskiyou County, California","6731","389","null","null","6166","null","402","null","6","null","9","null","0","26","null","null","74","65","null","null","79","53","null","null","162","88","null","null","138","74","null","null","117","null","61","null","244","null","95","null","100","null","54","null","221","71","null","null","330","87","null","null","302","null","106","null","264","null","73","null","284","null","100","null","330","113","null","null","774","159","null","null","674","null","172","null","1027","null","183","null","492","null","146","null","374","150","null","null","122","112","null","null","21","null","19","null","31","null","48","null","0","null","26","null","565","134","null","null",
"0500000US06095","Solano County, California","57716","1262","null","null","55864","null","1311","null","49","null","52","null","21","34","null","null","115","75","null","null","313","153","null","null","400","132","null","null","518","166","null","null","312","null","122","null","192","null","107","null","397","null","164","null","255","126","null","null","367","199","null","null","396","null","148","null","390","null","143","null","528","null","146","null","593","192","null","null","1587","260","null","null","2919","null","374","null","8029","null","634","null","7582","null","658","null","16071","855","null","null","9802","694","null","null","3804","null","477","null","870","null","228","null","354","null","100","null","1852","315","null","null",
"0500000US06097","Sonoma County, California","72981","1567","null","null","69602","null","1561","null","18","null","19","null","155","96","null","null","70","46","null","null","261","113","null","null","1054","229","null","null","561","177","null","null","505","null","163","null","421","null","162","null","551","null","169","null","507","159","null","null","344","143","null","null","565","null","197","null","379","null","140","null","528","null","181","null","814","201","null","null","1848","361","null","null","2374","null","325","null","9398","null","697","null","9906","null","701","null","18802","911","null","null","12063","813","null","null","5323","null","575","null","1937","null","290","null","1218","null","230","null","3379","346","null","null",
"0500000US06099","Stanislaus County, California","73322","1575","null","null","69398","null","1496","null","42","null","29","null","120","98","null","null","138","97","null","null","260","91","null","null","697","196","null","null","548","186","null","null","610","null","240","null","509","null","142","null","416","null","118","null","993","259","null","null","801","221","null","null","1122","null","242","null","1651","null","314","null","2037","null","421","null","2230","363","null","null","4898","514","null","null","7060","null","611","null","16991","null","957","null","11461","null","813","null","12939","948","null","null","2675","447","null","null","555","null","193","null","483","null","202","null","162","null","92","null","3924","495","null","null",
"0500000US06101","Sutter County, California","13797","635","null","null","13079","null","625","null","0","null","29","null","67","54","null","null","65","54","null","null","203","119","null","null","128","72","null","null","89","58","null","null","87","null","62","null","157","null","81","null","134","null","77","null","156","84","null","null","152","50","null","null","309","null","98","null","490","null","138","null","709","null","184","null","889","239","null","null","1177","225","null","null","1412","null","234","null","2397","null","274","null","2023","null","363","null","1856","283","null","null","467","138","null","null","51","null","45","null","61","null","54","null","0","null","29","null","718","183","null","null",
"0500000US06103","Tehama County, California","8376","480","null","null","7699","null","485","null","0","null","29","null","47","71","null","null","0","29","null","null","88","60","null","null","352","181","null","null","146","89","null","null","175","null","95","null","85","null","75","null","101","null","87","null","218","108","null","null","294","124","null","null","422","null","193","null","322","null","138","null","269","null","141","null","650","241","null","null","945","298","null","null","634","null","215","null","1405","null","284","null","992","null","265","null","404","156","null","null","117","110","null","null","33","null","43","null","0","null","29","null","0","null","29","null","677","153","null","null",
"0500000US06105","Trinity County, California","1846","223","null","null","1709","null","221","null","0","null","19","null","0","19","null","null","11","18","null","null","28","43","null","null","39","43","null","null","52","41","null","null","47","null","50","null","59","null","57","null","52","null","62","null","56","55","null","null","121","85","null","null","53","null","79","null","93","null","89","null","145","null","112","null","101","52","null","null","210","103","null","null","230","null","106","null","197","null","84","null","114","null","72","null","84","57","null","null","10","12","null","null","7","null","12","null","0","null","19","null","0","null","19","null","137","73","null","null",
"0500000US06107","Tulare County, California","59372","1188","null","null","55744","null","1259","null","13","null","14","null","126","78","null","null","221","106","null","null","204","79","null","null","772","164","null","null","603","190","null","null","597","null","181","null","1263","null","250","null","1366","null","286","null","1374","262","null","null","2401","469","null","null","2154","null","379","null","2662","null","424","null","2661","null","393","null","2713","424","null","null","6293","581","null","null","5894","null","540","null","11655","null","822","null","6039","null","642","null","5238","625","null","null","1108","301","null","null","239","null","110","null","72","null","64","null","76","null","75","null","3628","371","null","null",
"0500000US06109","Tuolumne County, California","6463","536","null","null","5836","null","495","null","0","null","29","null","17","23","null","null","24","24","null","null","24","20","null","null","138","58","null","null","99","61","null","null","70","null","67","null","73","null","76","null","142","null","109","null","101","81","null","null","253","140","null","null","276","null","157","null","391","null","186","null","184","null","96","null","170","93","null","null","496","206","null","null","413","null","121","null","1331","null","283","null","651","null","191","null","653","215","null","null","174","97","null","null","125","null","87","null","16","null","24","null","15","null","24","null","627","196","null","null",
"0500000US06111","Ventura County, California","99866","1847","null","null","96400","null","1880","null","113","null","72","null","23","21","null","null","172","85","null","null","458","139","null","null","1218","255","null","null","613","160","null","null","445","null","153","null","515","null","168","null","587","null","183","null","639","181","null","null","499","177","null","null","937","null","216","null","306","null","120","null","637","null","201","null","631","176","null","null","1605","259","null","null","2629","null","315","null","8761","null","583","null","12802","null","866","null","26483","1123","null","null","19916","992","null","null","9906","null","702","null","3949","null","430","null","2556","null","318","null","3466","456","null","null",
"0500000US06113","Yolo County, California","35981","977","null","null","34440","null","986","null","105","null","89","null","67","69","null","null","80","96","null","null","329","155","null","null","295","131","null","null","201","111","null","null","164","null","94","null","359","null","151","null","279","null","138","null","457","200","null","null","411","148","null","null","623","null","261","null","468","null","174","null","562","null","176","null","859","215","null","null","1960","293","null","null","2431","null","438","null","5765","null","564","null","6111","null","550","null","7555","502","null","null","3539","450","null","null","1068","null","218","null","437","null","139","null","315","null","121","null","1541","327","null","null",
"0500000US06115","Yuba County, California","10406","529","null","null","9913","null","549","null","12","null","18","null","27","41","null","null","42","38","null","null","6","8","null","null","266","121","null","null","146","120","null","null","64","null","41","null","97","null","60","null","104","null","53","null","239","120","null","null","215","77","null","null","396","null","142","null","623","null","195","null","447","null","176","null","370","133","null","null","923","257","null","null","964","null","222","null","1870","null","324","null","999","null","224","null","1467","327","null","null","468","151","null","null","146","null","112","null","22","null","25","null","0","null","29","null","493","195","null","null",
