"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003EA","B25063_003M","B25063_003MA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005M","B25063_005MA","B25063_005EA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007M","B25063_007MA","B25063_007EA","B25063_008E","B25063_008M","B25063_008MA","B25063_008EA","B25063_009E","B25063_009EA","B25063_009M","B25063_009MA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013M","B25063_013MA","B25063_013EA","B25063_014E","B25063_014EA","B25063_014M","B25063_014MA","B25063_015E","B25063_015EA","B25063_015M","B25063_015MA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017M","B25063_017MA","B25063_017EA","B25063_018E","B25063_018M","B25063_018MA","B25063_018EA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020EA","B25063_020M","B25063_020MA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022M","B25063_022MA","B25063_022EA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA","B25063_025E","B25063_025EA","B25063_025M","B25063_025MA","B25063_026E","B25063_026EA","B25063_026M","B25063_026MA","B25063_027E","B25063_027M","B25063_027MA","B25063_027EA",
"0500000US06019","Fresno County, California","143782","1814","null","null","137714","null","1758","null","485","null","155","null","437","151","null","null","652","238","null","null","1131","243","null","null","1861","264","null","null","1495","264","null","null","1588","null","296","null","1791","null","301","null","2206","null","322","null","2692","332","null","null","3198","409","null","null","4400","null","500","null","4221","null","451","null","5731","null","623","null","7195","673","null","null","14529","1025","null","null","15612","null","853","null","29739","null","1224","null","17006","null","848","null","15737","1020","null","null","4047","511","null","null","998","null","216","null","555","null","168","null","408","null","166","null","6068","532","null","null",
"0500000US06021","Glenn County, California","4097","356","null","null","3740","null","345","null","2","null","4","null","0","23","null","null","41","57","null","null","50","57","null","null","73","76","null","null","61","72","null","null","80","null","54","null","29","null","25","null","96","null","77","null","235","103","null","null","125","63","null","null","114","null","67","null","159","null","76","null","258","null","138","null","362","163","null","null","524","196","null","null","523","null","188","null","539","null","174","null","319","null","161","null","132","75","null","null","0","23","null","null","1","null","3","null","17","null","20","null","0","null","23","null","357","106","null","null",
"0500000US06023","Humboldt County, California","23601","960","null","null","22185","null","1037","null","21","null","30","null","59","70","null","null","72","51","null","null","165","81","null","null","300","101","null","null","260","88","null","null","255","null","121","null","227","null","105","null","236","null","111","null","307","100","null","null","515","200","null","null","652","null","206","null","856","null","263","null","1075","null","305","null","936","228","null","null","3055","459","null","null","2584","null","348","null","4014","null","476","null","2203","null","372","null","2934","424","null","null","1034","296","null","null","271","null","146","null","125","null","110","null","29","null","29","null","1416","269","null","null",
"0500000US06025","Imperial County, California","18673","766","null","null","17631","null","752","null","52","null","54","null","24","22","null","null","262","136","null","null","191","118","null","null","762","254","null","null","239","111","null","null","428","null","201","null","531","null","174","null","603","null","181","null","572","185","null","null","582","178","null","null","904","null","253","null","936","null","235","null","1077","null","258","null","1133","267","null","null","1757","284","null","null","1965","null","363","null","2144","null","359","null","1677","null","274","null","1612","380","null","null","128","83","null","null","32","null","48","null","5","null","8","null","15","null","23","null","1042","239","null","null",
"0500000US06027","Inyo County, California","2746","255","null","null","2431","null","249","null","26","null","28","null","5","8","null","null","37","35","null","null","45","38","null","null","37","32","null","null","18","21","null","null","58","null","48","null","53","null","45","null","75","null","66","null","80","65","null","null","129","88","null","null","109","null","77","null","61","null","42","null","77","null","64","null","77","71","null","null","283","121","null","null","235","null","118","null","437","null","129","null","218","null","96","null","307","128","null","null","32","27","null","null","9","null","17","null","0","null","19","null","23","null","37","null","315","81","null","null",
"0500000US06029","Kern County, California","112728","1949","null","null","108142","null","2002","null","161","null","86","null","223","117","null","null","326","140","null","null","641","222","null","null","625","177","null","null","903","204","null","null","954","null","249","null","1360","null","336","null","1936","null","349","null","2167","367","null","null","3643","525","null","null","3892","null","470","null","4487","null","480","null","5702","null","662","null","5794","527","null","null","11961","852","null","null","11884","null","881","null","20749","null","1190","null","13967","null","991","null","12109","933","null","null","3581","583","null","null","583","null","207","null","278","null","180","null","216","null","76","null","4586","517","null","null",
"0500000US06031","Kings County, California","20719","722","null","null","19540","null","700","null","46","null","50","null","64","58","null","null","73","55","null","null","120","66","null","null","363","117","null","null","222","109","null","null","207","null","101","null","167","null","87","null","484","null","143","null","412","189","null","null","467","171","null","null","495","null","151","null","807","null","249","null","873","null","251","null","798","206","null","null","2145","377","null","null","2245","null","417","null","4102","null","492","null","2719","null","379","null","2305","355","null","null","292","122","null","null","37","null","47","null","86","null","85","null","11","null","17","null","1179","194","null","null",
"0500000US06033","Lake County, California","8626","716","null","null","8006","null","715","null","43","null","54","null","65","63","null","null","162","88","null","null","166","110","null","null","172","116","null","null","89","59","null","null","136","null","84","null","82","null","69","null","158","null","100","null","128","68","null","null","266","140","null","null","303","null","132","null","334","null","137","null","304","null","124","null","207","101","null","null","943","273","null","null","567","null","163","null","1163","null","297","null","1088","null","252","null","1310","288","null","null","295","155","null","null","25","null","29","null","0","null","29","null","0","null","29","null","620","186","null","null",
"0500000US06035","Lassen County, California","3010","286","null","null","2735","null","254","null","0","null","26","null","23","24","null","null","11","13","null","null","33","31","null","null","18","14","null","null","48","30","null","null","33","null","27","null","53","null","44","null","52","null","38","null","144","74","null","null","79","60","null","null","128","null","61","null","119","null","72","null","91","null","53","null","63","42","null","null","296","103","null","null","317","null","104","null","572","null","124","null","259","null","104","null","305","92","null","null","33","33","null","null","0","null","26","null","0","null","26","null","58","null","38","null","275","111","null","null",
"0500000US06037","Los Angeles County, California","1797279","7074","null","null","1751711","null","7146","null","3519","null","377","null","1828","291","null","null","2460","339","null","null","6007","565","null","null","24208","1049","null","null","12601","761","null","null","9617","null","745","null","8399","null","649","null","11190","null","763","null","11364","760","null","null","12756","778","null","null","13998","null","801","null","16007","null","862","null","18790","null","924","null","23272","936","null","null","66529","1722","null","null","94404","null","2124","null","298268","null","3508","null","286377","null","3509","null","425144","4254","null","null","214039","3687","null","null","99969","null","2385","null","50537","null","1655","null","40428","null","1400","null","45568","1480","null","null",
"0500000US06039","Madera County, California","16109","802","null","null","14857","null","759","null","22","null","36","null","149","121","null","null","15","25","null","null","27","30","null","null","352","181","null","null","243","111","null","null","316","null","211","null","145","null","103","null","288","null","140","null","199","100","null","null","207","101","null","null","255","null","116","null","643","null","214","null","609","null","205","null","644","220","null","null","1277","297","null","null","1850","null","393","null","3318","null","392","null","2434","null","437","null","1633","357","null","null","135","102","null","null","26","null","28","null","60","null","66","null","10","null","20","null","1252","254","null","null",
"0500000US06041","Marin County, California","38317","1113","null","null","36675","null","1085","null","25","null","30","null","40","39","null","null","57","53","null","null","254","98","null","null","442","153","null","null","293","108","null","null","368","null","180","null","303","null","140","null","263","null","136","null","208","91","null","null","203","149","null","null","275","null","138","null","134","null","74","null","271","null","130","null","319","128","null","null","310","106","null","null","317","null","123","null","1750","null","353","null","2819","null","409","null","8622","558","null","null","7761","641","null","null","4845","null","563","null","3456","null","453","null","3340","null","411","null","1642","362","null","null",
"0500000US06043","Mariposa County, California","2413","323","null","null","2136","null","312","null","48","null","34","null","58","51","null","null","8","12","null","null","36","47","null","null","20","20","null","null","33","33","null","null","43","null","34","null","40","null","36","null","58","null","60","null","0","19","null","null","63","60","null","null","96","null","74","null","88","null","67","null","71","null","52","null","135","89","null","null","214","101","null","null","199","null","113","null","387","null","131","null","146","null","88","null","257","110","null","null","115","77","null","null","13","null","23","null","0","null","19","null","8","null","15","null","277","125","null","null",
"0500000US06045","Mendocino County, California","13797","758","null","null","12533","null","723","null","5","null","7","null","14","11","null","null","91","62","null","null","245","133","null","null","280","133","null","null","178","78","null","null","232","null","106","null","158","null","85","null","289","null","126","null","123","74","null","null","281","117","null","null","183","null","81","null","173","null","106","null","396","null","159","null","279","130","null","null","779","206","null","null","933","null","210","null","2786","null","397","null","1963","null","309","null","2321","374","null","null","537","148","null","null","199","null","113","null","40","null","38","null","48","null","59","null","1264","263","null","null",
"0500000US06047","Merced County, California","38213","939","null","null","35361","null","938","null","27","null","30","null","50","56","null","null","94","59","null","null","285","155","null","null","300","124","null","null","385","139","null","null","348","null","124","null","503","null","187","null","496","null","126","null","656","174","null","null","1365","258","null","null","1090","null","268","null","1568","null","262","null","1642","null","301","null","1541","241","null","null","3096","357","null","null","3563","null","451","null","7816","null","506","null","4971","null","563","null","4555","480","null","null","776","277","null","null","97","null","76","null","15","null","18","null","122","null","100","null","2852","430","null","null",
"0500000US06049","Modoc County, California","908","164","null","null","777","null","152","null","0","null","17","null","12","20","null","null","0","17","null","null","8","7","null","null","19","20","null","null","42","29","null","null","0","null","17","null","14","null","19","null","63","null","44","null","35","31","null","null","71","48","null","null","30","null","37","null","58","null","54","null","107","null","58","null","51","37","null","null","88","54","null","null","69","null","47","null","87","null","58","null","15","null","15","null","8","15","null","null","0","17","null","null","0","null","17","null","0","null","17","null","0","null","17","null","131","59","null","null",
"0500000US06051","Mono County, California","1697","324","null","null","1514","null","303","null","1","null","2","null","0","19","null","null","0","19","null","null","0","19","null","null","22","32","null","null","0","19","null","null","19","null","24","null","0","null","19","null","20","null","24","null","30","50","null","null","13","22","null","null","41","null","58","null","0","null","19","null","20","null","29","null","21","38","null","null","145","107","null","null","192","null","120","null","283","null","128","null","400","null","165","null","167","114","null","null","118","94","null","null","0","null","19","null","7","null","15","null","15","null","27","null","183","102","null","null",
"0500000US06053","Monterey County, California","62255","1425","null","null","60427","null","1466","null","85","null","62","null","27","35","null","null","95","66","null","null","246","117","null","null","529","129","null","null","325","104","null","null","203","null","94","null","366","null","143","null","397","null","139","null","427","129","null","null","612","202","null","null","600","null","190","null","545","null","180","null","928","null","217","null","853","214","null","null","2407","349","null","null","2774","null","349","null","9571","null","666","null","9419","null","571","null","16242","763","null","null","7711","590","null","null","2945","null","433","null","1776","null","282","null","1344","null","276","null","1828","301","null","null",
"0500000US06055","Napa County, California","17429","606","null","null","16550","null","594","null","41","null","38","null","0","29","null","null","29","31","null","null","85","43","null","null","158","63","null","null","183","97","null","null","171","null","73","null","109","null","77","null","82","null","43","null","81","58","null","null","138","75","null","null","104","null","65","null","101","null","51","null","128","null","99","null","212","83","null","null","439","128","null","null","554","null","167","null","1683","null","243","null","2193","null","284","null","4463","423","null","null","2978","339","null","null","1401","null","197","null","797","null","156","null","420","null","131","null","879","202","null","null",
"0500000US06057","Nevada County, California","10539","637","null","null","9735","null","602","null","30","null","35","null","23","29","null","null","19","30","null","null","93","70","null","null","66","79","null","null","156","102","null","null","76","null","63","null","102","null","97","null","74","null","64","null","104","104","null","null","79","65","null","null","130","null","98","null","251","null","144","null","225","null","136","null","249","170","null","null","433","148","null","null","591","null","212","null","2052","null","329","null","1252","null","304","null","2179","379","null","null","1100","289","null","null","338","null","127","null","90","null","82","null","23","null","25","null","804","204","null","null",
"0500000US06059","Orange County, California","442220","3657","null","null","431999","null","3666","null","317","null","98","null","380","191","null","null","461","207","null","null","707","162","null","null","3356","483","null","null","1781","330","null","null","1851","null","369","null","1586","null","289","null","1781","null","232","null","1653","246","null","null","1341","258","null","null","1395","null","288","null","1594","null","290","null","1542","null","305","null","1937","436","null","null","3787","458","null","null","7010","null","593","null","34120","null","1305","null","53349","null","1605","null","135753","2175","null","null","91163","2189","null","null","46404","null","1646","null","22988","null","1014","null","15743","null","936","null","10221","657","null","null",
"0500000US06061","Placer County, California","40205","1028","null","null","38731","null","1042","null","31","null","34","null","120","90","null","null","12","20","null","null","117","68","null","null","303","116","null","null","247","107","null","null","138","null","69","null","188","null","95","null","150","null","98","null","449","212","null","null","217","99","null","null","165","null","70","null","405","null","162","null","448","null","143","null","606","160","null","null","1415","299","null","null","1976","null","293","null","5537","null","502","null","5926","null","516","null","10828","630","null","null","6005","528","null","null","2112","null","350","null","921","null","196","null","415","null","161","null","1474","301","null","null",
"0500000US06063","Plumas County, California","2294","280","null","null","2077","null","271","null","0","null","19","null","21","25","null","null","12","22","null","null","24","26","null","null","84","55","null","null","80","73","null","null","21","null","19","null","60","null","39","null","71","null","69","null","24","33","null","null","34","33","null","null","57","null","45","null","70","null","53","null","126","null","79","null","181","122","null","null","120","81","null","null","337","null","145","null","404","null","147","null","200","null","80","null","73","55","null","null","36","59","null","null","34","null","56","null","8","null","13","null","0","null","19","null","217","115","null","null",
"0500000US06065","Riverside County, California","243949","2315","null","null","235544","null","2413","null","402","null","169","null","201","112","null","null","285","119","null","null","902","244","null","null","1946","348","null","null","1426","275","null","null","1147","null","242","null","1579","null","326","null","1860","null","294","null","2433","364","null","null","2608","370","null","null","3356","null","394","null","3701","null","446","null","4336","null","574","null","5263","628","null","null","12815","772","null","null","14367","null","895","null","40738","null","1384","null","36820","null","1487","null","58289","1588","null","null","25829","1058","null","null","10326","null","780","null","3565","null","504","null","1350","null","237","null","8405","685","null","null",
"0500000US06067","Sacramento County, California","236701","2352","null","null","229946","null","2346","null","223","null","112","null","329","160","null","null","438","147","null","null","1453","279","null","null","2391","366","null","null","1478","241","null","null","1475","null","339","null","1404","null","249","null","1602","null","313","null","1349","301","null","null","2193","366","null","null","2695","null","373","null","3149","null","389","null","4673","null","493","null","5847","611","null","null","16181","809","null","null","18554","null","952","null","49183","null","1769","null","42217","null","1415","null","52460","1536","null","null","15123","889","null","null","3618","null","436","null","1118","null","212","null","793","null","193","null","6755","533","null","null",
"0500000US06069","San Benito County, California","6581","408","null","null","6275","null","398","null","0","null","29","null","11","18","null","null","24","28","null","null","7","13","null","null","12","14","null","null","56","83","null","null","59","null","55","null","98","null","66","null","27","null","24","null","19","24","null","null","45","42","null","null","93","null","73","null","64","null","70","null","116","null","62","null","223","103","null","null","326","180","null","null","317","null","157","null","735","null","161","null","776","null","187","null","1856","293","null","null","889","192","null","null","294","null","120","null","149","null","85","null","79","null","55","null","306","89","null","null",
"0500000US06071","San Bernardino County, California","255760","2743","null","null","247325","null","2743","null","267","null","115","null","229","115","null","null","587","177","null","null","813","227","null","null","2044","317","null","null","1611","324","null","null","1291","null","280","null","1756","null","355","null","2064","null","356","null","2202","359","null","null","2960","457","null","null","3692","null","522","null","4867","null","472","null","4951","null","499","null","6707","636","null","null","15789","1065","null","null","19100","null","1068","null","47061","null","1603","null","42851","null","1459","null","55010","1748","null","null","21777","1203","null","null","7300","null","662","null","1588","null","326","null","808","null","208","null","8435","624","null","null",
