"GEO_ID","NAME","B25063_001E","B25063_001EA","B25063_001M","B25063_001MA","B25063_002E","B25063_002M","B25063_002MA","B25063_002EA","B25063_003E","B25063_003M","B25063_003MA","B25063_003EA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005M","B25063_005MA","B25063_005EA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007EA","B25063_007M","B25063_007MA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009M","B25063_009MA","B25063_009EA","B25063_010E","B25063_010M","B25063_010MA","B25063_010EA","B25063_011E","B25063_011M","B25063_011MA","B25063_011EA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013M","B25063_013MA","B25063_013EA","B25063_014E","B25063_014M","B25063_014MA","B25063_014EA","B25063_015E","B25063_015M","B25063_015MA","B25063_015EA","B25063_016E","B25063_016M","B25063_016MA","B25063_016EA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018EA","B25063_018M","B25063_018MA","B25063_019E","B25063_019M","B25063_019MA","B25063_019EA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022M","B25063_022MA","B25063_022EA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024M","B25063_024MA","B25063_024EA","B25063_025E","B25063_025M","B25063_025MA","B25063_025EA","B25063_026E","B25063_026EA","B25063_026M","B25063_026MA","B25063_027E","B25063_027M","B25063_027MA","B25063_027EA",
"0500000US06019","Fresno County, California","144386","null","2094","null","138421","1992","null","null","388","158","null","null","190","97","null","null","587","190","null","null","801","289","null","null","2011","null","431","null","1682","null","355","null","1063","237","null","null","1649","366","null","null","2007","497","null","null","1963","367","null","null","2971","490","null","null","2966","409","null","null","3387","467","null","null","4858","648","null","null","4517","null","460","null","12693","null","891","null","13043","935","null","null","31770","1740","null","null","20346","null","1093","null","20110","1216","null","null","6722","712","null","null","1588","326","null","null","539","180","null","null","570","null","181","null","5965","586","null","null",
"0500000US06021","Glenn County, California","3817","null","329","null","3365","334","null","null","0","25","null","null","0","25","null","null","0","25","null","null","17","15","null","null","76","null","81","null","4","null","7","null","68","46","null","null","3","7","null","null","29","22","null","null","107","69","null","null","250","164","null","null","74","51","null","null","40","30","null","null","138","79","null","null","405","null","148","null","294","null","142","null","328","161","null","null","798","253","null","null","363","null","117","null","324","138","null","null","22","29","null","null","0","25","null","null","25","23","null","null","0","null","25","null","452","127","null","null",
"0500000US06023","Humboldt County, California","22798","null","843","null","21543","847","null","null","21","31","null","null","34","55","null","null","72","57","null","null","164","90","null","null","214","null","86","null","147","null","76","null","182","90","null","null","200","117","null","null","186","113","null","null","208","136","null","null","470","245","null","null","422","139","null","null","613","213","null","null","881","333","null","null","893","null","211","null","1966","null","341","null","2753","461","null","null","4236","472","null","null","2515","null","389","null","3170","423","null","null","1546","354","null","null","491","176","null","null","68","66","null","null","91","null","77","null","1255","210","null","null",
"0500000US06025","Imperial County, California","19149","null","1008","null","18408","991","null","null","25","38","null","null","30","24","null","null","110","75","null","null","169","117","null","null","555","null","216","null","562","null","219","null","393","166","null","null","401","150","null","null","490","230","null","null","372","129","null","null","581","231","null","null","933","256","null","null","673","209","null","null","1001","291","null","null","991","null","263","null","2082","null","346","null","1886","469","null","null","3509","608","null","null","1848","null","427","null","1491","358","null","null","247","141","null","null","39","65","null","null","0","31","null","null","20","null","30","null","741","180","null","null",
"0500000US06027","Inyo County, California","2789","null","320","null","2439","306","null","null","37","35","null","null","8","14","null","null","15","24","null","null","49","39","null","null","58","null","43","null","13","null","17","null","9","11","null","null","79","101","null","null","69","70","null","null","40","32","null","null","24","36","null","null","74","66","null","null","170","120","null","null","115","86","null","null","38","null","33","null","97","null","54","null","367","145","null","null","448","166","null","null","273","null","93","null","246","116","null","null","171","78","null","null","9","11","null","null","0","21","null","null","30","null","36","null","350","87","null","null",
"0500000US06029","Kern County, California","111889","null","2619","null","106730","2456","null","null","149","92","null","null","140","105","null","null","168","102","null","null","554","223","null","null","594","null","183","null","927","null","287","null","777","333","null","null","853","256","null","null","1767","488","null","null","2140","453","null","null","1834","332","null","null","2688","425","null","null","3017","479","null","null","4740","742","null","null","4867","null","557","null","10861","null","1008","null","11627","1193","null","null","22373","1382","null","null","14681","null","1127","null","15380","1096","null","null","4767","637","null","null","1079","288","null","null","328","155","null","null","419","null","179","null","5159","643","null","null",
"0500000US06031","Kings County, California","19676","null","841","null","18712","849","null","null","7","10","null","null","62","81","null","null","209","166","null","null","95","58","null","null","161","null","94","null","263","null","106","null","156","97","null","null","85","52","null","null","208","100","null","null","479","184","null","null","440","283","null","null","527","235","null","null","503","200","null","null","651","220","null","null","671","null","214","null","1386","null","304","null","1826","310","null","null","4169","593","null","null","3081","null","429","null","2917","441","null","null","652","205","null","null","109","111","null","null","19","38","null","null","36","null","41","null","964","169","null","null",
"0500000US06033","Lake County, California","8133","null","497","null","7679","510","null","null","39","60","null","null","0","31","null","null","99","89","null","null","56","49","null","null","110","null","69","null","168","null","106","null","58","46","null","null","279","184","null","null","68","61","null","null","104","74","null","null","185","107","null","null","222","131","null","null","308","180","null","null","350","133","null","null","125","null","93","null","563","null","227","null","629","210","null","null","1030","228","null","null","1042","null","298","null","1487","309","null","null","689","265","null","null","68","43","null","null","0","31","null","null","0","null","31","null","454","144","null","null",
"0500000US06035","Lassen County, California","2674","null","351","null","2448","340","null","null","1","2","null","null","3","5","null","null","4","7","null","null","26","21","null","null","7","null","9","null","54","null","42","null","58","38","null","null","50","42","null","null","34","41","null","null","52","39","null","null","91","48","null","null","123","80","null","null","75","39","null","null","81","47","null","null","243","null","111","null","109","null","54","null","309","116","null","null","566","221","null","null","224","null","88","null","261","95","null","null","50","49","null","null","0","28","null","null","4","10","null","null","23","null","37","null","226","94","null","null",
"0500000US06037","Los Angeles County, California","1796882","null","6391","null","1750485","6381","null","null","3650","502","null","null","1596","305","null","null","1963","377","null","null","3850","448","null","null","22724","null","1324","null","13173","null","917","null","8643","760","null","null","7863","832","null","null","8782","800","null","null","9428","833","null","null","9177","842","null","null","11261","851","null","null","11699","891","null","null","14575","925","null","null","15239","null","1022","null","43691","null","1719","null","61527","2249","null","null","227543","3677","null","null","256261","null","3844","null","465431","4598","null","null","272440","3541","null","null","134972","3260","null","null","72554","2046","null","null","72443","null","2233","null","46397","1734","null","null",
"0500000US06039","Madera County, California","14736","null","847","null","13675","793","null","null","0","31","null","null","130","111","null","null","85","72","null","null","0","31","null","null","132","null","90","null","155","null","81","null","186","109","null","null","272","372","null","null","217","110","null","null","260","133","null","null","272","136","null","null","88","74","null","null","360","171","null","null","423","188","null","null","546","null","188","null","1207","null","329","null","880","255","null","null","3389","500","null","null","2269","null","411","null","2373","374","null","null","330","184","null","null","28","24","null","null","15","20","null","null","58","null","60","null","1061","257","null","null",
"0500000US06041","Marin County, California","37608","null","1059","null","36202","993","null","null","37","38","null","null","17","27","null","null","259","248","null","null","331","271","null","null","434","null","168","null","116","null","65","null","361","209","null","null","134","84","null","null","152","98","null","null","159","95","null","null","61","57","null","null","214","126","null","null","233","128","null","null","145","97","null","null","160","null","81","null","465","null","176","null","222","109","null","null","1330","299","null","null","1733","null","293","null","7297","694","null","null","6915","581","null","null","4869","513","null","null","4114","513","null","null","6444","null","677","null","1406","266","null","null",
"0500000US06043","Mariposa County, California","2159","null","324","null","1928","303","null","null","60","50","null","null","53","45","null","null","0","21","null","null","51","52","null","null","16","null","19","null","50","null","40","null","29","38","null","null","38","38","null","null","12","18","null","null","49","49","null","null","13","20","null","null","25","31","null","null","82","85","null","null","19","31","null","null","77","null","53","null","171","null","97","null","128","76","null","null","393","153","null","null","200","null","96","null","271","152","null","null","102","71","null","null","17","27","null","null","0","21","null","null","72","null","87","null","231","158","null","null",
"0500000US06045","Mendocino County, California","13580","null","740","null","12468","680","null","null","24","27","null","null","3","5","null","null","105","63","null","null","202","93","null","null","566","null","267","null","205","null","101","null","208","94","null","null","179","83","null","null","353","168","null","null","186","88","null","null","248","209","null","null","187","89","null","null","85","61","null","null","348","183","null","null","218","null","121","null","619","null","175","null","782","201","null","null","2432","370","null","null","1784","null","376","null","2570","364","null","null","889","209","null","null","169","90","null","null","54","49","null","null","52","null","68","null","1112","265","null","null",
"0500000US06047","Merced County, California","39472","null","1221","null","36964","1219","null","null","47","54","null","null","75","61","null","null","8","13","null","null","166","105","null","null","321","null","138","null","398","null","164","null","314","121","null","null","333","141","null","null","416","158","null","null","487","141","null","null","743","210","null","null","987","249","null","null","906","230","null","null","1467","318","null","null","1787","null","397","null","2235","null","341","null","3373","570","null","null","8818","750","null","null","5768","null","683","null","6249","687","null","null","1719","404","null","null","245","115","null","null","24","36","null","null","78","null","81","null","2508","419","null","null",
"0500000US06049","Modoc County, California","870","null","209","null","681","179","null","null","0","19","null","null","17","29","null","null","4","7","null","null","25","26","null","null","30","null","38","null","35","null","27","null","0","19","null","null","2","4","null","null","18","21","null","null","50","34","null","null","29","31","null","null","51","58","null","null","5","7","null","null","77","65","null","null","91","null","54","null","56","null","37","null","63","48","null","null","56","46","null","null","16","null","19","null","9","15","null","null","47","57","null","null","0","19","null","null","0","19","null","null","0","null","19","null","189","93","null","null",
