"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003EA","B25063_003M","B25063_003MA","B25063_004E","B25063_004EA","B25063_004M","B25063_004MA","B25063_005E","B25063_005EA","B25063_005M","B25063_005MA","B25063_006E","B25063_006EA","B25063_006M","B25063_006MA","B25063_007E","B25063_007M","B25063_007MA","B25063_007EA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009EA","B25063_009M","B25063_009MA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014EA","B25063_014M","B25063_014MA","B25063_015E","B25063_015EA","B25063_015M","B25063_015MA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018M","B25063_018MA","B25063_018EA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020EA","B25063_020M","B25063_020MA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA",
"0500000US06059","Orange County, California","403056","3744","null","null","393722","null","3788","null","295","null","107","null","257","null","127","null","615","null","180","null","2230","null","316","null","2850","401","null","null","1782","null","280","null","1773","null","308","null","1969","null","286","null","1853","null","282","null","1984","283","null","null","1652","null","317","null","2382","null","376","null","1983","null","308","null","2365","null","316","null","2810","null","393","null","9258","648","null","null","17650","null","918","null","64675","null","1653","null","84444","null","1452","null","110806","null","2515","null","80089","2204","null","null","9334","null","601","null",
"0500000US06061","Placer County, California","37643","1133","null","null","36306","null","1119","null","9","null","14","null","14","null","23","null","60","null","47","null","267","null","117","null","185","80","null","null","217","null","84","null","292","null","124","null","246","null","127","null","151","null","69","null","263","126","null","null","328","null","118","null","505","null","172","null","698","null","228","null","980","null","252","null","1161","null","307","null","2622","382","null","null","3465","null","369","null","7602","null","625","null","5885","null","612","null","7189","null","581","null","4167","469","null","null","1337","null","275","null",
"0500000US06063","Plumas County, California","2683","331","null","null","2457","null","318","null","0","null","20","null","0","null","20","null","53","null","47","null","54","null","51","null","25","22","null","null","8","null","9","null","51","null","45","null","79","null","75","null","122","null","92","null","105","78","null","null","34","null","28","null","67","null","66","null","143","null","84","null","169","null","104","null","224","null","123","null","215","91","null","null","290","null","63","null","366","null","139","null","198","null","103","null","190","null","87","null","64","62","null","null","226","null","95","null",
"0500000US06065","Riverside County, California","219637","2970","null","null","211108","null","2727","null","275","null","137","null","341","null","137","null","590","null","164","null","1503","null","255","null","2236","324","null","null","1687","null","294","null","1899","null","301","null","2047","null","280","null","2402","null","399","null","2805","417","null","null","3447","null","449","null","4161","null","443","null","4997","null","439","null","5935","null","485","null","6667","null","604","null","17481","918","null","null","19578","null","905","null","42216","null","1432","null","30851","null","1487","null","37338","null","1572","null","22652","993","null","null","8529","null","698","null",
"0500000US06067","Sacramento County, California","217306","2302","null","null","211343","null","2277","null","396","null","139","null","638","null","182","null","852","null","219","null","2476","null","355","null","2337","321","null","null","1203","null","246","null","1489","null","285","null","1787","null","274","null","1908","null","348","null","2504","319","null","null","3527","null","428","null","5390","null","570","null","8235","null","612","null","9722","null","682","null","10895","null","775","null","26726","1191","null","null","22317","null","1033","null","44063","null","1635","null","28516","null","944","null","27394","null","1039","null","8968","758","null","null","5963","null","498","null",
"0500000US06069","San Benito County, California","6012","444","null","null","5691","null","434","null","9","null","14","null","12","null","16","null","0","null","30","null","85","null","74","null","100","76","null","null","14","null","16","null","95","null","65","null","115","null","77","null","22","null","22","null","25","26","null","null","77","null","63","null","53","null","35","null","109","null","56","null","106","null","82","null","162","null","119","null","303","105","null","null","521","null","158","null","979","null","237","null","931","null","220","null","1321","null","235","null","652","165","null","null","321","null","105","null",
"0500000US06071","San Bernardino County, California","221939","2627","null","null","214307","null","2716","null","265","null","124","null","535","null","206","null","734","null","205","null","1257","null","243","null","2019","342","null","null","1172","null","230","null","1730","null","286","null","2018","null","438","null","2425","null","360","null","2892","375","null","null","3661","null","439","null","5210","null","580","null","6938","null","670","null","6819","null","669","null","9580","null","835","null","18380","1053","null","null","22461","null","1149","null","48073","null","1742","null","31750","null","1399","null","33205","null","1382","null","13183","796","null","null","7632","null","598","null",
"0500000US06073","San Diego County, California","485425","3368","null","null","472775","null","3347","null","443","null","145","null","460","null","152","null","885","null","212","null","2708","null","335","null","4567","472","null","null","3161","null","424","null","2126","null","341","null","2535","null","332","null","3312","null","440","null","3188","362","null","null","4060","null","434","null","4715","null","522","null","5614","null","553","null","8039","null","575","null","11261","null","667","null","33444","1217","null","null","37755","null","1172","null","98442","null","1978","null","75228","null","1986","null","99730","null","1808","null","71102","1959","null","null","12650","null","822","null",
"0500000US06075","San Francisco County, California","214979","2116","null","null","209210","null","2081","null","576","null","199","null","1019","null","232","null","710","null","172","null","3413","null","410","null","5168","510","null","null","2351","null","376","null","1994","null","364","null","2914","null","427","null","3758","null","555","null","3753","459","null","null","3598","null","478","null","3283","null","391","null","3694","null","519","null","3793","null","441","null","3514","null","437","null","8270","711","null","null","8320","null","651","null","25275","null","1173","null","24350","null","1059","null","44121","null","1335","null","55336","1548","null","null","5769","null","596","null",
"0500000US06077","San Joaquin County, California","87364","1629","null","null","83291","null","1570","null","101","null","79","null","76","null","69","null","249","null","84","null","555","null","141","null","667","169","null","null","604","null","169","null","867","null","198","null","875","null","202","null","1177","null","263","null","1768","299","null","null","2216","null","309","null","2967","null","402","null","3188","null","330","null","4366","null","422","null","3952","null","502","null","8363","611","null","null","8315","null","713","null","16286","null","951","null","10157","null","716","null","11875","null","803","null","4667","560","null","null","4073","null","479","null",
"0500000US06079","San Luis Obispo County, California","40980","1020","null","null","38801","null","1016","null","0","null","30","null","11","null","18","null","75","null","87","null","199","null","88","null","261","92","null","null","368","null","160","null","129","null","81","null","239","null","140","null","430","null","154","null","513","169","null","null","537","null","205","null","737","null","197","null","825","null","257","null","952","null","244","null","1048","null","216","null","3239","396","null","null","3145","null","372","null","8495","null","610","null","5967","null","558","null","7580","null","588","null","4051","415","null","null","2179","null","371","null",
"0500000US06081","San Mateo County, California","103713","1703","null","null","100702","null","1667","null","49","null","30","null","35","null","43","null","231","null","100","null","335","null","115","null","424","117","null","null","333","null","122","null","270","null","101","null","590","null","203","null","592","null","181","null","517","182","null","null","315","null","131","null","369","null","135","null","653","null","219","null","831","null","174","null","600","null","162","null","2639","382","null","null","3280","null","468","null","15582","null","888","null","20488","null","1213","null","26930","null","1156","null","25639","1246","null","null","3011","null","398","null",
"0500000US06083","Santa Barbara County, California","66033","1108","null","null","63413","null","1056","null","69","null","54","null","183","null","99","null","214","null","97","null","477","null","130","null","550","140","null","null","485","null","154","null","396","null","163","null","382","null","138","null","469","null","134","null","623","197","null","null","869","null","261","null","818","null","167","null","943","null","238","null","1081","null","221","null","1404","null","251","null","4311","434","null","null","4277","null","463","null","11295","null","794","null","9418","null","718","null","14186","null","766","null","10963","665","null","null","2620","null","328","null",
"0500000US06085","Santa Clara County, California","252995","2343","null","null","246809","null","2343","null","403","null","145","null","367","null","137","null","560","null","184","null","2011","null","294","null","2534","355","null","null","1471","null","254","null","1167","null","231","null","1939","null","329","null","1689","null","255","null","1672","285","null","null","1871","null","313","null","2223","null","335","null","1778","null","309","null","2169","null","315","null","2173","null","297","null","6570","534","null","null","11501","null","747","null","35899","null","1284","null","44401","null","1265","null","66446","null","1516","null","57965","1529","null","null","6186","null","471","null",
"0500000US06087","Santa Cruz County, California","38413","1046","null","null","37080","null","1064","null","10","null","16","null","97","null","77","null","84","null","45","null","565","null","170","null","684","183","null","null","522","null","187","null","379","null","161","null","378","null","152","null","302","null","112","null","326","120","null","null","366","null","140","null","604","null","175","null","654","null","188","null","693","null","231","null","449","null","156","null","1658","296","null","null","2168","null","403","null","5578","null","488","null","5795","null","572","null","9311","null","719","null","6457","517","null","null","1333","null","274","null",
"0500000US06089","Shasta County, California","24088","956","null","null","22578","null","946","null","44","null","57","null","11","null","18","null","200","null","132","null","176","null","78","null","476","144","null","null","231","null","81","null","453","null","137","null","420","null","145","null","516","null","184","null","650","181","null","null","712","null","225","null","1054","null","241","null","1046","null","229","null","1348","null","286","null","1281","null","274","null","2382","340","null","null","1838","null","311","null","4454","null","512","null","2398","null","353","null","1824","null","332","null","1064","223","null","null","1510","null","341","null",
"0500000US06091","Sierra County, California","320","122","null","null","266","null","104","null","0","null","13","null","0","null","13","null","0","null","13","null","0","null","13","null","52","48","null","null","0","null","13","null","0","null","13","null","5","null","8","null","0","null","13","null","0","13","null","null","0","null","13","null","0","null","13","null","0","null","13","null","9","null","12","null","6","null","10","null","3","5","null","null","47","null","36","null","106","null","79","null","21","null","33","null","0","null","13","null","17","29","null","null","54","null","53","null",
"0500000US06093","Siskiyou County, California","6983","346","null","null","6341","null","358","null","9","null","14","null","35","null","43","null","62","null","46","null","143","null","82","null","153","59","null","null","93","null","46","null","155","null","84","null","242","null","81","null","133","null","48","null","350","118","null","null","362","null","132","null","352","null","117","null","416","null","154","null","375","null","121","null","344","null","108","null","602","154","null","null","691","null","186","null","919","null","203","null","319","null","110","null","260","null","116","null","326","120","null","null","642","null","127","null",
"0500000US06095","Solano County, California","51621","1370","null","null","49827","null","1359","null","0","null","30","null","48","null","72","null","257","null","124","null","387","null","114","null","441","136","null","null","348","null","119","null","233","null","105","null","476","null","139","null","603","null","170","null","392","160","null","null","605","null","159","null","484","null","159","null","602","null","174","null","927","null","202","null","1009","null","208","null","3130","404","null","null","4516","null","478","null","10487","null","672","null","8205","null","766","null","10545","null","698","null","6132","574","null","null","1794","null","355","null",
"0500000US06097","Sonoma County, California","71406","1510","null","null","68080","null","1496","null","60","null","49","null","238","null","139","null","470","null","181","null","543","null","161","null","719","177","null","null","655","null","189","null","288","null","124","null","508","null","141","null","536","null","167","null","461","141","null","null","837","null","242","null","655","null","186","null","617","null","159","null","1488","null","270","null","1116","null","243","null","4123","530","null","null","5901","null","450","null","15278","null","813","null","11599","null","841","null","13717","null","866","null","8271","759","null","null","3326","null","366","null",
"0500000US06099","Stanislaus County, California","67972","1578","null","null","64713","null","1561","null","69","null","46","null","156","null","111","null","132","null","81","null","626","null","180","null","779","236","null","null","737","null","194","null","592","null","149","null","700","null","208","null","920","null","214","null","1214","233","null","null","1403","null","281","null","2501","null","308","null","2211","null","312","null","3121","null","417","null","3280","null","439","null","7668","738","null","null","8014","null","638","null","13918","null","956","null","8012","null","694","null","6945","null","632","null","1715","228","null","null","3259","null","416","null",
"0500000US06101","Sutter County, California","12487","523","null","null","11691","null","549","null","64","null","62","null","25","null","22","null","33","null","38","null","114","null","79","null","211","96","null","null","123","null","72","null","127","null","64","null","196","null","118","null","193","null","99","null","238","97","null","null","739","null","183","null","603","null","185","null","579","null","167","null","958","null","257","null","766","null","196","null","1269","234","null","null","991","null","208","null","1933","null","272","null","1227","null","253","null","1055","null","251","null","247","104","null","null","796","null","188","null",
"0500000US06103","Tehama County, California","8167","493","null","null","7543","null","494","null","16","null","26","null","43","null","31","null","81","null","86","null","76","null","46","null","165","66","null","null","213","null","84","null","108","null","69","null","218","null","111","null","293","null","117","null","175","84","null","null","404","null","138","null","436","null","154","null","382","null","154","null","472","null","183","null","473","null","141","null","887","200","null","null","796","null","232","null","1354","null","289","null","466","null","144","null","408","null","158","null","77","48","null","null","624","null","162","null",
"0500000US06105","Trinity County, California","1560","235","null","null","1364","null","233","null","12","null","19","null","2","null","3","null","0","null","20","null","24","null","32","null","8","10","null","null","6","null","11","null","119","null","114","null","14","null","17","null","25","null","26","null","38","37","null","null","94","null","62","null","76","null","55","null","153","null","112","null","134","null","76","null","36","null","28","null","135","99","null","null","118","null","61","null","191","null","98","null","108","null","84","null","57","null","63","null","14","20","null","null","196","null","72","null",
"0500000US06107","Tulare County, California","53867","1386","null","null","50569","null","1416","null","88","null","63","null","146","null","107","null","130","null","70","null","486","null","153","null","962","199","null","null","629","null","153","null","1131","null","199","null","1613","null","331","null","1895","null","302","null","2425","335","null","null","3012","null","434","null","2751","null","364","null","3751","null","462","null","3040","null","387","null","2965","null","403","null","5582","686","null","null","4706","null","514","null","7533","null","670","null","4220","null","458","null","2791","null","458","null","713","186","null","null","3298","null","352","null",
"0500000US06109","Tuolumne County, California","6716","619","null","null","6251","null","601","null","63","null","73","null","64","null","71","null","25","null","26","null","53","null","39","null","148","84","null","null","53","null","39","null","150","null","100","null","235","null","154","null","145","null","91","null","191","78","null","null","223","null","128","null","253","null","175","null","305","null","141","null","217","null","122","null","234","null","120","null","620","188","null","null","672","null","234","null","1316","null","280","null","713","null","197","null","423","null","141","null","148","104","null","null","465","null","160","null",
"0500000US06111","Ventura County, California","92149","1676","null","null","89279","null","1642","null","246","null","111","null","248","null","138","null","478","null","186","null","904","null","216","null","960","223","null","null","958","null","240","null","540","null","204","null","493","null","132","null","871","null","205","null","715","202","null","null","617","null","162","null","925","null","233","null","1447","null","270","null","1132","null","236","null","1274","null","303","null","3374","424","null","null","3834","null","395","null","14102","null","810","null","14585","null","719","null","22234","null","934","null","19342","1046","null","null","2870","null","391","null",
"0500000US06113","Yolo County, California","32528","880","null","null","31447","null","906","null","21","null","23","null","34","null","31","null","73","null","57","null","280","null","119","null","448","140","null","null","378","null","156","null","446","null","176","null","418","null","161","null","287","null","108","null","566","179","null","null","703","null","211","null","817","null","242","null","1036","null","223","null","1050","null","266","null","1292","null","282","null","2715","356","null","null","2971","null","383","null","6460","null","532","null","4179","null","495","null","4824","null","444","null","2449","348","null","null","1081","null","205","null",
"0500000US06115","Yuba County, California","9683","583","null","null","8875","null","573","null","65","null","71","null","84","null","51","null","0","null","30","null","106","null","67","null","154","80","null","null","122","null","72","null","103","null","66","null","145","null","84","null","173","null","87","null","235","109","null","null","558","null","189","null","411","null","143","null","479","null","155","null","493","null","189","null","625","null","211","null","980","218","null","null","710","null","193","null","1403","null","256","null","1005","null","233","null","852","null","206","null","172","78","null","null","808","null","204","null",
