"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003EA","B25063_003M","B25063_003MA","B25063_004E","B25063_004EA","B25063_004M","B25063_004MA","B25063_005E","B25063_005EA","B25063_005M","B25063_005MA","B25063_006E","B25063_006EA","B25063_006M","B25063_006MA","B25063_007E","B25063_007M","B25063_007MA","B25063_007EA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009EA","B25063_009M","B25063_009MA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014EA","B25063_014M","B25063_014MA","B25063_015E","B25063_015EA","B25063_015M","B25063_015MA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018M","B25063_018MA","B25063_018EA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020EA","B25063_020M","B25063_020MA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA",
"0500000US06019","Fresno County, California","131497","1750","null","null","125712","null","1809","null","369","null","144","null","627","null","200","null","648","null","202","null","1784","null","332","null","1915","336","null","null","1662","null","324","null","1887","null","285","null","2589","null","364","null","2778","null","361","null","4277","478","null","null","4505","null","506","null","6464","null","638","null","6720","null","540","null","8271","null","614","null","7646","null","705","null","16623","934","null","null","11853","null","984","null","20751","null","1039","null","12096","null","727","null","9306","null","732","null","2941","335","null","null","5785","null","503","null",
"0500000US06021","Glenn County, California","3298","340","null","null","3011","null","325","null","23","null","34","null","0","null","24","null","30","null","36","null","91","null","63","null","89","58","null","null","41","null","41","null","90","null","75","null","103","null","40","null","145","null","93","null","114","72","null","null","137","null","77","null","223","null","105","null","162","null","87","null","323","null","146","null","106","null","81","null","323","117","null","null","244","null","126","null","382","null","127","null","234","null","156","null","75","null","52","null","76","70","null","null","287","null","101","null",
"0500000US06023","Humboldt County, California","23525","629","null","null","22168","null","626","null","10","null","16","null","55","null","42","null","73","null","43","null","193","null","108","null","522","189","null","null","256","null","151","null","411","null","125","null","389","null","106","null","418","null","105","null","685","187","null","null","1239","null","258","null","1281","null","232","null","1579","null","303","null","1108","null","230","null","1088","null","239","null","2564","380","null","null","2040","null","349","null","3280","null","393","null","2307","null","375","null","2008","null","304","null","662","175","null","null","1357","null","228","null",
"0500000US06025","Imperial County, California","20629","683","null","null","19299","null","720","null","11","null","17","null","62","null","51","null","338","null","136","null","399","null","126","null","508","180","null","null","751","null","199","null","511","null","130","null","606","null","190","null","833","null","199","null","973","239","null","null","1128","null","247","null","1365","null","273","null","1423","null","256","null","1473","null","305","null","1041","null","240","null","1743","340","null","null","1718","null","314","null","2270","null","352","null","1178","null","213","null","842","null","176","null","126","81","null","null","1330","null","220","null",
"0500000US06027","Inyo County, California","2930","261","null","null","2379","null","232","null","0","null","20","null","0","null","20","null","0","null","20","null","5","null","8","null","26","23","null","null","82","null","96","null","39","null","32","null","9","null","12","null","70","null","48","null","73","48","null","null","55","null","39","null","62","null","43","null","140","null","93","null","182","null","97","null","160","null","64","null","321","139","null","null","192","null","87","null","526","null","125","null","176","null","83","null","157","null","64","null","104","89","null","null","551","null","127","null",
"0500000US06029","Kern County, California","103521","1766","null","null","98793","null","1718","null","140","null","92","null","276","null","135","null","377","null","144","null","673","null","206","null","1378","300","null","null","1269","null","306","null","1508","null","333","null","2035","null","331","null","2670","null","374","null","3236","390","null","null","4262","null","479","null","5859","null","559","null","5526","null","522","null","6297","null","594","null","6092","null","672","null","11249","790","null","null","9948","null","807","null","16431","null","951","null","9022","null","743","null","7927","null","686","null","2618","360","null","null","4728","null","446","null",
"0500000US06031","Kings County, California","19255","713","null","null","17813","null","737","null","34","null","41","null","31","null","29","null","93","null","90","null","189","null","82","null","245","106","null","null","318","null","120","null","212","null","87","null","283","null","129","null","507","null","161","null","711","166","null","null","442","null","146","null","779","null","186","null","959","null","232","null","1191","null","261","null","1223","null","238","null","2292","388","null","null","1520","null","279","null","3270","null","409","null","1860","null","316","null","1280","null","245","null","374","136","null","null","1442","null","173","null",
"0500000US06033","Lake County, California","9573","764","null","null","8984","null","697","null","13","null","21","null","8","null","13","null","79","null","64","null","143","null","101","null","130","108","null","null","282","null","145","null","194","null","132","null","72","null","51","null","463","null","197","null","194","117","null","null","408","null","175","null","608","null","211","null","470","null","180","null","382","null","174","null","549","null","212","null","773","207","null","null","682","null","205","null","1448","null","315","null","1353","null","260","null","622","null","143","null","111","81","null","null","589","null","207","null",
"0500000US06035","Lassen County, California","3766","416","null","null","3468","null","397","null","0","null","27","null","26","null","40","null","59","null","75","null","106","null","68","null","52","51","null","null","64","null","69","null","102","null","60","null","82","null","70","null","125","null","85","null","32","27","null","null","199","null","98","null","66","null","47","null","288","null","135","null","120","null","75","null","165","null","108","null","340","165","null","null","315","null","120","null","739","null","174","null","259","null","101","null","173","null","80","null","156","89","null","null","298","null","119","null",
"0500000US06037","Los Angeles County, California","1695180","6297","null","null","1652924","null","5955","null","3328","null","386","null","2022","null","309","null","3761","null","404","null","15122","null","904","null","20749","824","null","null","10667","null","659","null","9538","null","691","null","13380","null","787","null","14187","null","806","null","17641","871","null","null","20928","null","913","null","26443","null","1051","null","32969","null","1206","null","43679","null","1280","null","51216","null","1709","null","125526","2570","null","null","154755","null","2526","null","348613","null","3306","null","262741","null","3160","null","285638","null","3323","null","190021","3337","null","null","42256","null","1435","null",
