"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002M","B25063_002MA","B25063_002EA","B25063_003E","B25063_003EA","B25063_003M","B25063_003MA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005M","B25063_005MA","B25063_005EA","B25063_006E","B25063_006EA","B25063_006M","B25063_006MA","B25063_007E","B25063_007M","B25063_007MA","B25063_007EA","B25063_008E","B25063_008M","B25063_008MA","B25063_008EA","B25063_009E","B25063_009EA","B25063_009M","B25063_009MA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014EA","B25063_014M","B25063_014MA","B25063_015E","B25063_015EA","B25063_015M","B25063_015MA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017M","B25063_017MA","B25063_017EA","B25063_018E","B25063_018EA","B25063_018M","B25063_018MA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA","B25063_025E","B25063_025EA","B25063_025M","B25063_025MA","B25063_026E","B25063_026EA","B25063_026M","B25063_026MA","B25063_027E","B25063_027EA","B25063_027M","B25063_027MA",
"0500000US06073","San Diego County, California","515078","4081","null","null","501285","4068","null","null","630","null","172","null","881","239","null","null","979","214","null","null","2548","null","351","null","4723","431","null","null","2351","328","null","null","2952","null","505","null","2695","null","443","null","2606","null","362","null","3010","334","null","null","3557","null","410","null","5071","null","557","null","5321","null","549","null","6869","null","531","null","10358","783","null","null","29870","null","1332","null","36965","null","1344","null","98484","2059","null","null","81968","null","1968","null","109845","null","2130","null","57207","1994","null","null","18998","null","1047","null","7352","null","525","null","6045","null","657","null","13793","null","892","null",
"0500000US06075","San Francisco County, California","224589","2055","null","null","218885","2002","null","null","996","null","255","null","1141","306","null","null","635","171","null","null","2943","null","366","null","6282","652","null","null","2500","391","null","null","2084","null","383","null","3561","null","423","null","3015","null","449","null","3392","432","null","null","2753","null","362","null","3152","null","452","null","3314","null","462","null","3496","null","443","null","3217","404","null","null","8042","null","704","null","7223","null","590","null","23207","1050","null","null","23480","null","1095","null","42929","null","1216","null","30257","1296","null","null","19293","null","1067","null","12550","null","781","null","9423","null","645","null","5704","null","548","null",
"0500000US06077","San Joaquin County, California","94986","1600","null","null","90360","1520","null","null","138","null","62","null","98","64","null","null","259","95","null","null","396","null","114","null","748","161","null","null","623","175","null","null","904","null","180","null","973","null","202","null","1473","null","223","null","1550","264","null","null","2509","null","347","null","2808","null","350","null","3863","null","454","null","3987","null","469","null","4619","425","null","null","9038","null","637","null","9557","null","727","null","16896","862","null","null","12088","null","775","null","13045","null","845","null","3797","495","null","null","710","null","173","null","207","null","102","null","74","null","43","null","4626","null","494","null",
"0500000US06079","San Luis Obispo County, California","43862","1261","null","null","41683","1215","null","null","0","null","28","null","32","38","null","null","27","22","null","null","323","null","159","null","435","143","null","null","348","127","null","null","320","null","134","null","231","null","121","null","233","null","139","null","579","191","null","null","337","null","139","null","495","null","163","null","987","null","272","null","922","null","284","null","1248","266","null","null","2389","null","313","null","3628","null","453","null","8843","644","null","null","6741","null","672","null","8380","null","639","null","3816","450","null","null","654","null","170","null","371","null","127","null","344","null","147","null","2179","null","388","null",
"0500000US06081","San Mateo County, California","106289","1589","null","null","103250","1544","null","null","112","null","57","null","61","64","null","null","417","202","null","null","473","null","158","null","386","136","null","null","282","92","null","null","250","null","121","null","526","null","190","null","483","null","159","null","357","126","null","null","423","null","168","null","441","null","148","null","699","null","229","null","462","null","130","null","764","201","null","null","2489","null","384","null","2069","null","303","null","10763","777","null","null","16934","null","858","null","29079","null","1061","null","17967","904","null","null","9575","null","601","null","4834","null","429","null","3404","null","397","null","3039","null","353","null",
"0500000US06083","Santa Barbara County, California","68630","1243","null","null","66389","1214","null","null","82","null","52","null","226","105","null","null","189","113","null","null","603","null","153","null","583","160","null","null","414","107","null","null","310","null","126","null","541","null","147","null","498","null","191","null","571","144","null","null","747","null","203","null","1078","null","221","null","785","null","222","null","1031","null","222","null","1307","247","null","null","3707","null","399","null","4612","null","473","null","11151","701","null","null","10007","null","672","null","15651","null","892","null","6583","565","null","null","3080","null","384","null","1350","null","259","null","1283","null","253","null","2241","null","285","null",
"0500000US06085","Santa Clara County, California","268627","2100","null","null","262403","1931","null","null","354","null","153","null","455","144","null","null","597","190","null","null","1402","null","228","null","2255","359","null","null","1824","295","null","null","1207","null","223","null","2218","null","229","null","1355","null","258","null","1555","245","null","null","2216","null","362","null","1931","null","287","null","1670","null","244","null","1897","null","381","null","1896","337","null","null","4793","null","480","null","7951","null","613","null","27494","1213","null","null","38912","null","1286","null","71370","null","1727","null","46768","1197","null","null","24504","null","1116","null","10453","null","736","null","7326","null","505","null","6224","null","566","null",
"0500000US06087","Santa Cruz County, California","40174","816","null","null","38903","831","null","null","74","null","50","null","105","121","null","null","70","51","null","null","405","null","143","null","338","118","null","null","387","172","null","null","415","null","175","null","221","null","113","null","457","null","145","null","362","133","null","null","568","null","173","null","446","null","150","null","461","null","186","null","770","null","218","null","645","198","null","null","1441","null","315","null","1910","null","348","null","5560","624","null","null","6303","null","533","null","9607","null","698","null","5184","443","null","null","1815","null","294","null","980","null","236","null","379","null","153","null","1271","null","245","null",
"0500000US06089","Shasta County, California","26044","812","null","null","24911","823","null","null","11","null","17","null","72","68","null","null","130","82","null","null","231","null","90","null","396","118","null","null","258","99","null","null","429","null","140","null","460","null","133","null","459","null","164","null","702","219","null","null","713","null","173","null","851","null","187","null","1339","null","275","null","1653","null","300","null","1308","282","null","null","2792","null","364","null","2500","null","337","null","4752","494","null","null","2622","null","347","null","2440","null","309","null","511","142","null","null","207","null","100","null","25","null","39","null","50","null","44","null","1133","null","213","null",
"0500000US06091","Sierra County, California","271","100","null","null","230","92","null","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","26","40","null","null","0","12","null","null","0","null","12","null","40","null","46","null","0","null","12","null","0","12","null","null","0","null","12","null","0","null","12","null","0","null","12","null","16","null","16","null","14","20","null","null","9","null","9","null","26","null","35","null","55","51","null","null","26","null","39","null","6","null","10","null","0","12","null","null","0","null","12","null","12","null","19","null","0","null","12","null","41","null","42","null",
