"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002M","B25063_002MA","B25063_002EA","B25063_003E","B25063_003M","B25063_003MA","B25063_003EA","B25063_004E","B25063_004EA","B25063_004M","B25063_004MA","B25063_005E","B25063_005EA","B25063_005M","B25063_005MA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007M","B25063_007MA","B25063_007EA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009EA","B25063_009M","B25063_009MA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011M","B25063_011MA","B25063_011EA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013M","B25063_013MA","B25063_013EA","B25063_014E","B25063_014M","B25063_014MA","B25063_014EA","B25063_015E","B25063_015M","B25063_015MA","B25063_015EA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018M","B25063_018MA","B25063_018EA","B25063_019E","B25063_019M","B25063_019MA","B25063_019EA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024M","B25063_024MA","B25063_024EA","B25063_025E","B25063_025M","B25063_025MA","B25063_025EA","B25063_026E","B25063_026EA","B25063_026M","B25063_026MA","B25063_027E","B25063_027EA","B25063_027M","B25063_027MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!With cash rent","Margin of Error!!Total!!With cash rent","Annotation of Margin of Error!!Total!!With cash rent","Annotation of Estimate!!Total!!With cash rent","Estimate!!Total!!With cash rent!!Less than $100","Margin of Error!!Total!!With cash rent!!Less than $100","Annotation of Margin of Error!!Total!!With cash rent!!Less than $100","Annotation of Estimate!!Total!!With cash rent!!Less than $100","Estimate!!Total!!With cash rent!!$100 to $149","Annotation of Estimate!!Total!!With cash rent!!$100 to $149","Margin of Error!!Total!!With cash rent!!$100 to $149","Annotation of Margin of Error!!Total!!With cash rent!!$100 to $149","Estimate!!Total!!With cash rent!!$150 to $199","Annotation of Estimate!!Total!!With cash rent!!$150 to $199","Margin of Error!!Total!!With cash rent!!$150 to $199","Annotation of Margin of Error!!Total!!With cash rent!!$150 to $199","Estimate!!Total!!With cash rent!!$200 to $249","Margin of Error!!Total!!With cash rent!!$200 to $249","Annotation of Margin of Error!!Total!!With cash rent!!$200 to $249","Annotation of Estimate!!Total!!With cash rent!!$200 to $249","Estimate!!Total!!With cash rent!!$250 to $299","Margin of Error!!Total!!With cash rent!!$250 to $299","Annotation of Margin of Error!!Total!!With cash rent!!$250 to $299","Annotation of Estimate!!Total!!With cash rent!!$250 to $299","Estimate!!Total!!With cash rent!!$300 to $349","Annotation of Estimate!!Total!!With cash rent!!$300 to $349","Margin of Error!!Total!!With cash rent!!$300 to $349","Annotation of Margin of Error!!Total!!With cash rent!!$300 to $349","Estimate!!Total!!With cash rent!!$350 to $399","Annotation of Estimate!!Total!!With cash rent!!$350 to $399","Margin of Error!!Total!!With cash rent!!$350 to $399","Annotation of Margin of Error!!Total!!With cash rent!!$350 to $399","Estimate!!Total!!With cash rent!!$400 to $449","Annotation of Estimate!!Total!!With cash rent!!$400 to $449","Margin of Error!!Total!!With cash rent!!$400 to $449","Annotation of Margin of Error!!Total!!With cash rent!!$400 to $449","Estimate!!Total!!With cash rent!!$450 to $499","Margin of Error!!Total!!With cash rent!!$450 to $499","Annotation of Margin of Error!!Total!!With cash rent!!$450 to $499","Annotation of Estimate!!Total!!With cash rent!!$450 to $499","Estimate!!Total!!With cash rent!!$500 to $549","Margin of Error!!Total!!With cash rent!!$500 to $549","Annotation of Margin of Error!!Total!!With cash rent!!$500 to $549","Annotation of Estimate!!Total!!With cash rent!!$500 to $549","Estimate!!Total!!With cash rent!!$550 to $599","Margin of Error!!Total!!With cash rent!!$550 to $599","Annotation of Margin of Error!!Total!!With cash rent!!$550 to $599","Annotation of Estimate!!Total!!With cash rent!!$550 to $599","Estimate!!Total!!With cash rent!!$600 to $649","Margin of Error!!Total!!With cash rent!!$600 to $649","Annotation of Margin of Error!!Total!!With cash rent!!$600 to $649","Annotation of Estimate!!Total!!With cash rent!!$600 to $649","Estimate!!Total!!With cash rent!!$650 to $699","Margin of Error!!Total!!With cash rent!!$650 to $699","Annotation of Margin of Error!!Total!!With cash rent!!$650 to $699","Annotation of Estimate!!Total!!With cash rent!!$650 to $699","Estimate!!Total!!With cash rent!!$700 to $749","Annotation of Estimate!!Total!!With cash rent!!$700 to $749","Margin of Error!!Total!!With cash rent!!$700 to $749","Annotation of Margin of Error!!Total!!With cash rent!!$700 to $749","Estimate!!Total!!With cash rent!!$750 to $799","Annotation of Estimate!!Total!!With cash rent!!$750 to $799","Margin of Error!!Total!!With cash rent!!$750 to $799","Annotation of Margin of Error!!Total!!With cash rent!!$750 to $799","Estimate!!Total!!With cash rent!!$800 to $899","Margin of Error!!Total!!With cash rent!!$800 to $899","Annotation of Margin of Error!!Total!!With cash rent!!$800 to $899","Annotation of Estimate!!Total!!With cash rent!!$800 to $899","Estimate!!Total!!With cash rent!!$900 to $999","Margin of Error!!Total!!With cash rent!!$900 to $999","Annotation of Margin of Error!!Total!!With cash rent!!$900 to $999","Annotation of Estimate!!Total!!With cash rent!!$900 to $999","Estimate!!Total!!With cash rent!!$1,000 to $1,249","Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Annotation of Margin of Error!!Total!!With cash rent!!$1,000 to $1,249","Annotation of Estimate!!Total!!With cash rent!!$1,000 to $1,249","Estimate!!Total!!With cash rent!!$1,250 to $1,499","Annotation of Estimate!!Total!!With cash rent!!$1,250 to $1,499","Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Annotation of Margin of Error!!Total!!With cash rent!!$1,250 to $1,499","Estimate!!Total!!With cash rent!!$1,500 to $1,999","Annotation of Estimate!!Total!!With cash rent!!$1,500 to $1,999","Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Annotation of Margin of Error!!Total!!With cash rent!!$1,500 to $1,999","Estimate!!Total!!With cash rent!!$2,000 to $2,499","Margin of Error!!Total!!With cash rent!!$2,000 to $2,499","Annotation of Margin of Error!!Total!!With cash rent!!$2,000 to $2,499","Annotation of Estimate!!Total!!With cash rent!!$2,000 to $2,499","Estimate!!Total!!With cash rent!!$2,500 to $2,999","Margin of Error!!Total!!With cash rent!!$2,500 to $2,999","Annotation of Margin of Error!!Total!!With cash rent!!$2,500 to $2,999","Annotation of Estimate!!Total!!With cash rent!!$2,500 to $2,999","Estimate!!Total!!With cash rent!!$3,000 to $3,499","Margin of Error!!Total!!With cash rent!!$3,000 to $3,499","Annotation of Margin of Error!!Total!!With cash rent!!$3,000 to $3,499","Annotation of Estimate!!Total!!With cash rent!!$3,000 to $3,499","Estimate!!Total!!With cash rent!!$3,500 or more","Annotation of Estimate!!Total!!With cash rent!!$3,500 or more","Margin of Error!!Total!!With cash rent!!$3,500 or more","Annotation of Margin of Error!!Total!!With cash rent!!$3,500 or more","Estimate!!Total!!No cash rent","Annotation of Estimate!!Total!!No cash rent","Margin of Error!!Total!!No cash rent","Annotation of Margin of Error!!Total!!No cash rent",
"0500000US06001","Alameda County, California","267736","2179","null","null","260559","2134","null","null","643","190","null","null","453","null","132","null","854","null","208","null","1350","259","null","null","3857","404","null","null","1757","null","266","null","2047","null","300","null","1696","null","313","null","1740","238","null","null","1637","326","null","null","2160","338","null","null","1680","293","null","null","2245","352","null","null","2700","null","361","null","2538","null","313","null","6886","621","null","null","9625","700","null","null","30755","905","null","null","33270","null","1126","null","64426","null","1693","null","45200","1455","null","null","23837","1003","null","null","11755","689","null","null","7448","null","596","null","7177","null","573","null",
"0500000US06003","Alpine County, California","48","26","null","null","39","25","null","null","1","2","null","null","0","null","12","null","1","null","2","null","0","12","null","null","1","3","null","null","2","null","3","null","1","null","3","null","4","null","6","null","0","12","null","null","12","14","null","null","0","12","null","null","4","5","null","null","0","12","null","null","1","null","2","null","0","null","12","null","1","2","null","null","1","3","null","null","4","5","null","null","4","null","6","null","0","null","12","null","2","3","null","null","0","12","null","null","0","12","null","null","0","null","12","null","9","null","9","null",
"0500000US06005","Amador County, California","3292","369","null","null","3021","360","null","null","0","26","null","null","22","null","37","null","0","null","26","null","22","27","null","null","21","20","null","null","53","null","48","null","65","null","52","null","5","null","8","null","22","24","null","null","38","42","null","null","0","26","null","null","68","60","null","null","22","28","null","null","151","null","121","null","125","null","72","null","179","90","null","null","520","166","null","null","883","244","null","null","403","null","115","null","374","null","137","null","34","29","null","null","14","17","null","null","0","26","null","null","0","null","26","null","271","null","89","null",
"0500000US06007","Butte County, California","35439","1020","null","null","33751","1037","null","null","0","29","null","null","63","null","59","null","91","null","45","null","214","100","null","null","345","105","null","null","270","null","95","null","277","null","86","null","297","null","128","null","528","185","null","null","630","189","null","null","848","209","null","null","1166","217","null","null","1472","282","null","null","1536","null","304","null","1506","null","296","null","3556","404","null","null","3601","385","null","null","7357","602","null","null","4323","null","381","null","4132","null","431","null","971","197","null","null","329","156","null","null","133","118","null","null","106","null","90","null","1688","null","288","null",
"0500000US06009","Calaveras County, California","3891","416","null","null","3552","403","null","null","0","26","null","null","0","null","26","null","91","null","81","null","18","26","null","null","33","31","null","null","26","null","32","null","54","null","51","null","0","null","26","null","26","23","null","null","106","71","null","null","44","43","null","null","139","96","null","null","131","92","null","null","43","null","44","null","68","null","75","null","222","115","null","null","263","125","null","null","389","138","null","null","847","null","269","null","641","null","192","null","235","99","null","null","88","65","null","null","40","50","null","null","48","null","63","null","339","null","116","null",
"0500000US06011","Colusa County, California","2742","259","null","null","2516","241","null","null","0","23","null","null","0","null","23","null","0","null","23","null","70","66","null","null","9","14","null","null","56","null","39","null","86","null","63","null","56","null","43","null","96","74","null","null","88","59","null","null","75","45","null","null","145","76","null","null","80","50","null","null","145","null","82","null","89","null","53","null","340","115","null","null","170","82","null","null","614","151","null","null","259","null","104","null","104","null","43","null","10","15","null","null","12","21","null","null","0","23","null","null","12","null","14","null","226","null","84","null",
"0500000US06013","Contra Costa County, California","134749","2097","null","null","130580","2012","null","null","254","114","null","null","249","null","102","null","218","null","108","null","939","243","null","null","1320","315","null","null","1261","null","275","null","903","null","272","null","594","null","178","null","875","216","null","null","903","240","null","null","574","185","null","null","568","171","null","null","754","231","null","null","858","null","203","null","868","null","241","null","3310","451","null","null","4166","517","null","null","14783","984","null","null","17013","null","922","null","36786","null","1386","null","24254","1143","null","null","11099","705","null","null","4418","412","null","null","3613","null","420","null","4169","null","517","null",
"0500000US06015","Del Norte County, California","3684","414","null","null","3417","411","null","null","4","10","null","null","18","null","25","null","0","null","23","null","24","26","null","null","49","39","null","null","57","null","43","null","71","null","55","null","156","null","96","null","27","26","null","null","107","60","null","null","134","88","null","null","92","51","null","null","189","111","null","null","210","null","100","null","269","null","138","null","485","146","null","null","306","111","null","null","552","154","null","null","450","null","142","null","167","null","81","null","50","49","null","null","0","23","null","null","0","23","null","null","0","null","23","null","267","null","99","null",
"0500000US06017","El Dorado County, California","16182","741","null","null","15063","751","null","null","0","29","null","null","0","null","29","null","95","null","74","null","32","33","null","null","191","93","null","null","190","null","97","null","48","null","45","null","49","null","43","null","146","80","null","null","181","118","null","null","227","106","null","null","340","139","null","null","296","146","null","null","459","null","182","null","658","null","208","null","1264","290","null","null","1260","243","null","null","2624","397","null","null","1959","null","370","null","2969","null","381","null","1079","231","null","null","659","204","null","null","223","80","null","null","114","null","98","null","1119","null","254","null",
