"GEO_ID","NAME","B25063_001E","B25063_001EA","B25063_001M","B25063_001MA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003M","B25063_003MA","B25063_003EA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005M","B25063_005MA","B25063_005EA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007EA","B25063_007M","B25063_007MA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009M","B25063_009MA","B25063_009EA","B25063_010E","B25063_010M","B25063_010MA","B25063_010EA","B25063_011E","B25063_011M","B25063_011MA","B25063_011EA","B25063_012E","B25063_012EA","B25063_012M","B25063_012MA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014M","B25063_014MA","B25063_014EA","B25063_015E","B25063_015M","B25063_015MA","B25063_015EA","B25063_016E","B25063_016M","B25063_016MA","B25063_016EA","B25063_017E","B25063_017M","B25063_017MA","B25063_017EA","B25063_018E","B25063_018EA","B25063_018M","B25063_018MA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021M","B25063_021MA","B25063_021EA","B25063_022E","B25063_022M","B25063_022MA","B25063_022EA","B25063_023E","B25063_023EA","B25063_023M","B25063_023MA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA",
"0500000US06049","Modoc County, California","1242","null","190","null","1065","null","184","null","0","17","null","null","2","4","null","null","3","5","null","null","14","18","null","null","23","null","23","null","9","null","17","null","73","55","null","null","47","32","null","null","98","69","null","null","163","null","81","null","62","null","42","null","58","48","null","null","42","32","null","null","18","21","null","null","78","58","null","null","104","null","61","null","102","null","86","null","61","53","null","null","37","38","null","null","26","29","null","null","45","null","49","null","177","null","89","null",
"0500000US06051","Mono County, California","2338","null","328","null","1940","null","331","null","0","19","null","null","0","19","null","null","0","19","null","null","15","25","null","null","2","null","4","null","0","null","19","null","22","26","null","null","81","79","null","null","0","19","null","null","81","null","86","null","0","null","19","null","0","19","null","null","32","39","null","null","57","61","null","null","114","104","null","null","108","null","88","null","236","null","104","null","470","170","null","null","324","145","null","null","173","96","null","null","225","null","152","null","398","null","157","null",
"0500000US06053","Monterey County, California","63030","null","1085","null","61108","null","1034","null","164","91","null","null","30","26","null","null","126","87","null","null","324","132","null","null","455","null","149","null","426","null","156","null","456","128","null","null","533","162","null","null","472","143","null","null","624","null","166","null","639","null","164","null","748","172","null","null","1364","297","null","null","1096","219","null","null","1566","257","null","null","4218","null","471","null","5831","null","591","null","13740","793","null","null","8969","553","null","null","11177","680","null","null","8150","null","622","null","1922","null","294","null",
"0500000US06055","Napa County, California","19462","null","683","null","18544","null","667","null","0","29","null","null","39","42","null","null","10","16","null","null","96","77","null","null","242","null","94","null","156","null","75","null","104","62","null","null","147","63","null","null","162","102","null","null","192","null","94","null","143","null","77","null","233","100","null","null","72","41","null","null","387","129","null","null","411","140","null","null","811","null","160","null","1396","null","287","null","3403","429","null","null","3163","419","null","null","4284","425","null","null","3093","null","402","null","918","null","208","null",
"0500000US06057","Nevada County, California","11223","null","761","null","10458","null","741","null","0","29","null","null","8","14","null","null","10","16","null","null","134","91","null","null","101","null","56","null","91","null","72","null","88","76","null","null","115","74","null","null","214","109","null","null","273","null","156","null","180","null","102","null","150","96","null","null","326","143","null","null","334","127","null","null","358","165","null","null","734","null","225","null","912","null","255","null","1381","287","null","null","1888","364","null","null","2024","371","null","null","1137","null","281","null","765","null","176","null",
"0500000US06059","Orange County, California","411262","null","3416","null","401647","null","3226","null","368","152","null","null","334","140","null","null","568","153","null","null","2187","315","null","null","3253","null","357","null","1838","null","336","null","1838","297","null","null","2102","276","null","null","1962","333","null","null","1834","null","270","null","1633","null","289","null","2015","325","null","null","2267","297","null","null","2369","347","null","null","2868","429","null","null","8830","null","639","null","17048","null","884","null","64178","1926","null","null","84155","1944","null","null","114161","2282","null","null","85839","null","2245","null","9615","null","723","null",
"0500000US06061","Placer County, California","39053","null","1022","null","37693","null","1047","null","39","46","null","null","80","59","null","null","36","38","null","null","211","88","null","null","175","null","96","null","240","null","93","null","240","95","null","null","306","143","null","null","171","70","null","null","310","null","136","null","376","null","116","null","483","153","null","null","589","234","null","null","966","184","null","null","833","197","null","null","2968","null","458","null","3574","null","442","null","7480","547","null","null","6441","515","null","null","7523","604","null","null","4652","null","560","null","1360","null","229","null",
"0500000US06063","Plumas County, California","2722","null","313","null","2568","null","315","null","0","19","null","null","5","8","null","null","48","38","null","null","96","73","null","null","15","null","14","null","7","null","8","null","54","47","null","null","118","85","null","null","104","92","null","null","100","null","79","null","73","null","57","null","66","54","null","null","167","109","null","null","176","99","null","null","261","115","null","null","244","null","98","null","128","null","77","null","446","171","null","null","192","103","null","null","191","91","null","null","77","null","75","null","154","null","65","null",
"0500000US06065","Riverside County, California","228689","null","2786","null","219768","null","2737","null","267","116","null","null","385","153","null","null","498","171","null","null","1656","316","null","null","2249","null","334","null","1587","null","252","null","2013","297","null","null","2387","371","null","null","2258","370","null","null","2986","null","372","null","3581","null","399","null","4425","500","null","null","5232","568","null","null","6229","540","null","null","6724","516","null","null","17393","null","952","null","20215","null","1057","null","44219","1150","null","null","32412","1174","null","null","39656","1605","null","null","23396","null","1219","null","8921","null","643","null",
"0500000US06067","Sacramento County, California","223980","null","2450","null","217791","null","2447","null","315","101","null","null","707","177","null","null","1010","234","null","null","2156","315","null","null","2457","null","343","null","1224","null","219","null","1659","292","null","null","1603","226","null","null","1802","316","null","null","2557","null","359","null","3373","null","345","null","5838","645","null","null","8943","726","null","null","9650","717","null","null","11226","843","null","null","26790","null","1294","null","23322","null","1082","null","44159","1377","null","null","30718","1157","null","null","28906","1200","null","null","9376","null","696","null","6189","null","595","null",
"0500000US06069","San Benito County, California","6530","null","394","null","6225","null","382","null","0","29","null","null","55","68","null","null","0","29","null","null","72","66","null","null","59","null","42","null","56","null","54","null","100","77","null","null","124","84","null","null","22","25","null","null","29","null","24","null","30","null","37","null","108","61","null","null","176","79","null","null","91","54","null","null","269","140","null","null","312","null","112","null","520","null","151","null","1171","257","null","null","880","181","null","null","1476","220","null","null","675","null","190","null","305","null","110","null",
"0500000US06071","San Bernardino County, California","230066","null","2215","null","222117","null","2186","null","370","158","null","null","454","165","null","null","720","218","null","null","1407","251","null","null","1912","null","318","null","1122","null","204","null","1981","335","null","null","1875","383","null","null","2462","361","null","null","2823","null","368","null","3469","null","455","null","5129","527","null","null","6984","654","null","null","7381","645","null","null","9575","755","null","null","18526","null","991","null","24065","null","1121","null","51177","1522","null","null","33181","1347","null","null","34111","1294","null","null","13393","null","900","null","7949","null","649","null",
"0500000US06073","San Diego County, California","496822","null","3657","null","484581","null","3605","null","635","167","null","null","798","194","null","null","926","190","null","null","2636","315","null","null","4612","null","414","null","2834","null","319","null","2669","380","null","null","2700","414","null","null","2777","340","null","null","3015","null","372","null","3803","null","486","null","4440","543","null","null","5321","615","null","null","7691","565","null","null","10787","694","null","null","32247","null","1304","null","37477","null","1304","null","101704","2123","null","null","76715","1998","null","null","104631","2027","null","null","76163","null","1809","null","12241","null","697","null",
"0500000US06075","San Francisco County, California","218950","null","2338","null","213186","null","2226","null","803","202","null","null","1041","262","null","null","615","154","null","null","3465","483","null","null","5222","null","503","null","2337","null","341","null","1785","293","null","null","3038","384","null","null","3012","389","null","null","3434","null","485","null","3378","null","428","null","3230","504","null","null","4046","538","null","null","3322","394","null","null","3632","608","null","null","8281","null","740","null","8256","null","616","null","24714","1320","null","null","24130","1098","null","null","44797","1292","null","null","60648","null","1541","null","5764","null","596","null",
"0500000US06077","San Joaquin County, California","89883","null","1581","null","85749","null","1616","null","125","77","null","null","47","32","null","null","273","110","null","null","482","131","null","null","667","null","165","null","453","null","123","null","926","193","null","null","826","192","null","null","1346","227","null","null","1425","null","279","null","2600","null","370","null","2778","385","null","null","3086","375","null","null","4321","480","null","null","4227","503","null","null","8360","null","603","null","9229","null","615","null","16696","862","null","null","10871","766","null","null","12333","875","null","null","4678","null","465","null","4134","null","405","null",
"0500000US06079","San Luis Obispo County, California","42506","null","1035","null","40168","null","950","null","0","29","null","null","11","19","null","null","37","59","null","null","251","109","null","null","393","null","143","null","233","null","86","null","232","112","null","null","278","164","null","null","468","172","null","null","449","null","141","null","435","null","160","null","512","169","null","null","747","197","null","null","893","287","null","null","1070","236","null","null","3163","null","466","null","3355","null","439","null","8938","676","null","null","6673","585","null","null","7656","695","null","null","4374","null","419","null","2338","null","349","null",
"0500000US06081","San Mateo County, California","104623","null","1873","null","101732","null","1874","null","33","25","null","null","44","49","null","null","311","133","null","null","384","120","null","null","514","null","159","null","272","null","90","null","214","101","null","null","478","164","null","null","500","164","null","null","529","null","160","null","314","null","120","null","404","164","null","null","579","149","null","null","764","198","null","null","772","178","null","null","2446","null","338","null","2997","null","378","null","14108","905","null","null","19389","982","null","null","28438","1180","null","null","28242","null","1097","null","2891","null","329","null",
"0500000US06083","Santa Barbara County, California","67141","null","1301","null","64575","null","1274","null","85","55","null","null","228","120","null","null","168","90","null","null","541","187","null","null","710","null","201","null","390","null","124","null","478","180","null","null","515","153","null","null","368","109","null","null","640","null","164","null","883","null","249","null","769","186","null","null","1115","246","null","null","989","251","null","null","1376","229","null","null","4246","null","425","null","4194","null","488","null","11139","623","null","null","9645","668","null","null","14358","772","null","null","11738","null","722","null","2566","null","333","null",
"0500000US06085","Santa Clara County, California","259010","null","2420","null","253258","null","2410","null","428","129","null","null","458","180","null","null","589","197","null","null","1750","282","null","null","2603","null","373","null","1325","null","259","null","1167","233","null","null","2097","314","null","null","1582","234","null","null","1628","null","313","null","1780","null","260","null","1960","291","null","null","2010","308","null","null","2027","304","null","null","2191","349","null","null","5717","null","551","null","10354","null","712","null","33693","1271","null","null","44087","1474","null","null","69400","1778","null","null","66412","null","1738","null","5752","null","520","null",
"0500000US06087","Santa Cruz County, California","38497","null","1103","null","37125","null","1109","null","14","19","null","null","102","106","null","null","98","59","null","null","469","158","null","null","626","null","172","null","634","null","225","null","343","146","null","null","407","152","null","null","465","160","null","null","395","null","120","null","288","null","116","null","575","167","null","null","709","178","null","null","675","201","null","null","419","176","null","null","1530","null","314","null","2208","null","408","null","5585","548","null","null","5599","481","null","null","8930","700","null","null","7054","null","682","null","1372","null","262","null",
"0500000US06089","Shasta County, California","24728","null","930","null","23434","null","880","null","53","59","null","null","33","29","null","null","214","127","null","null","257","131","null","null","404","null","128","null","253","null","80","null","431","147","null","null","439","155","null","null","518","180","null","null","654","null","207","null","654","null","205","null","940","254","null","null","1291","239","null","null","1342","257","null","null","1354","260","null","null","2487","null","356","null","2073","null","305","null","4364","497","null","null","2565","385","null","null","2158","297","null","null","950","null","228","null","1294","null","285","null",
"0500000US06091","Sierra County, California","278","null","99","null","234","null","93","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","41","null","44","null","0","null","12","null","0","12","null","null","4","8","null","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","18","18","null","null","10","14","null","null","2","null","4","null","26","null","26","null","99","60","null","null","21","34","null","null","0","12","null","null","13","null","22","null","44","null","43","null",
"0500000US06093","Siskiyou County, California","7237","null","357","null","6595","null","347","null","14","21","null","null","62","59","null","null","57","45","null","null","104","70","null","null","187","null","62","null","133","null","64","null","132","77","null","null","258","87","null","null","193","60","null","null","322","null","121","null","323","null","97","null","322","126","null","null","451","124","null","null","438","154","null","null","291","88","null","null","573","null","150","null","788","null","183","null","959","192","null","null","402","132","null","null","285","125","null","null","301","null","103","null","642","null","112","null",
