"GEO_ID","NAME","B25063_001E","B25063_001EA","B25063_001M","B25063_001MA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003M","B25063_003MA","B25063_003EA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005M","B25063_005MA","B25063_005EA","B25063_006E","B25063_006EA","B25063_006M","B25063_006MA","B25063_007E","B25063_007EA","B25063_007M","B25063_007MA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009M","B25063_009MA","B25063_009EA","B25063_010E","B25063_010M","B25063_010MA","B25063_010EA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012EA","B25063_012M","B25063_012MA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014M","B25063_014MA","B25063_014EA","B25063_015E","B25063_015M","B25063_015MA","B25063_015EA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018EA","B25063_018M","B25063_018MA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021M","B25063_021MA","B25063_021EA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023EA","B25063_023M","B25063_023MA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA",
"0500000US06057","Nevada County, California","11088","null","698","null","10470","null","706","null","0","95","null","null","0","95","null","null","20","23","null","null","137","null","74","null","47","null","32","null","155","null","128","null","90","61","null","null","147","100","null","null","218","null","86","null","175","null","116","null","83","null","61","null","218","123","null","null","237","118","null","null","520","null","210","null","195","null","107","null","695","null","213","null","1320","null","321","null","1766","354","null","null","1331","317","null","null","2116","null","409","null","1000","null","245","null","618","null","168","null",
"0500000US06059","Orange County, California","391720","null","3576","null","382440","null","3557","null","204","83","null","null","214","94","null","null","608","178","null","null","2117","null","327","null","2856","null","384","null","1692","null","284","null","1857","373","null","null","1740","263","null","null","1864","null","352","null","2022","null","300","null","1684","null","279","null","1983","299","null","null","2045","313","null","null","2857","null","328","null","3003","null","430","null","10361","null","721","null","17556","null","864","null","66111","1775","null","null","82804","1859","null","null","105142","null","2232","null","73720","null","1967","null","9280","null","653","null",
"0500000US06061","Placer County, California","36197","null","1078","null","34884","null","1121","null","12","18","null","null","15","25","null","null","83","59","null","null","267","null","136","null","213","null","92","null","195","null","75","null","257","111","null","null","317","117","null","null","120","null","66","null","308","null","147","null","448","null","140","null","651","185","null","null","515","182","null","null","1004","null","263","null","1390","null","337","null","2498","null","378","null","3503","null","381","null","7424","693","null","null","5201","484","null","null","6756","null","550","null","3707","null","533","null","1313","null","321","null",
"0500000US06063","Plumas County, California","2842","null","367","null","2618","null","364","null","0","95","null","null","0","95","null","null","58","48","null","null","59","null","61","null","61","null","49","null","0","null","95","null","36","44","null","null","138","99","null","null","172","null","115","null","183","null","128","null","62","null","62","null","97","63","null","null","219","103","null","null","132","null","110","null","159","null","99","null","237","null","118","null","202","null","114","null","306","137","null","null","310","172","null","null","157","null","101","null","30","null","37","null","224","null","103","null",
"0500000US06065","Riverside County, California","207511","null","2930","null","199630","null","2934","null","221","116","null","null","332","136","null","null","578","167","null","null","1473","null","275","null","2279","null","379","null","1864","null","312","null","2057","356","null","null","2069","260","null","null","2590","null","366","null","3092","null","406","null","3263","null","414","null","4221","524","null","null","4616","530","null","null","6362","null","596","null","6679","null","608","null","17068","null","936","null","18754","null","900","null","39515","1280","null","null","28781","1336","null","null","33169","null","1448","null","20647","null","1284","null","7881","null","547","null",
"0500000US06067","Sacramento County, California","211373","null","2446","null","205543","null","2477","null","394","149","null","null","552","157","null","null","1030","247","null","null","2294","null","321","null","2446","null","323","null","1354","null","298","null","1361","259","null","null","1624","305","null","null","1876","null","298","null","2544","null","347","null","3474","null","440","null","5372","531","null","null","7930","583","null","null","9998","null","705","null","12260","null","837","null","25410","null","1080","null","22404","null","1130","null","42723","1763","null","null","26375","1159","null","null","26401","null","1323","null","7721","null","694","null","5830","null","553","null",
"0500000US06069","San Benito County, California","6084","null","477","null","5703","null","434","null","8","15","null","null","8","14","null","null","58","61","null","null","56","null","70","null","106","null","78","null","0","null","95","null","170","80","null","null","21","24","null","null","30","null","35","null","58","null","52","null","130","null","74","null","47","29","null","null","70","44","null","null","196","null","129","null","116","null","71","null","303","null","126","null","608","null","155","null","1072","243","null","null","910","203","null","null","1144","null","239","null","592","null","189","null","381","null","175","null",
"0500000US06071","San Bernardino County, California","214198","null","2355","null","206540","null","2199","null","273","120","null","null","571","214","null","null","621","209","null","null","1201","null","220","null","1877","null","329","null","1171","null","212","null","1503","291","null","null","2106","404","null","null","2459","null","327","null","2858","null","419","null","3933","null","473","null","4878","511","null","null","6117","578","null","null","7895","null","771","null","8366","null","690","null","18907","null","974","null","21804","null","1345","null","45632","1413","null","null","30231","1366","null","null","31508","null","1411","null","12629","null","960","null","7658","null","561","null",
"0500000US06073","San Diego County, California","476270","null","3640","null","463203","null","3869","null","360","136","null","null","455","188","null","null","821","222","null","null","2608","null","400","null","4582","null","488","null","3011","null","412","null","2316","344","null","null","2501","309","null","null","3458","null","417","null","3430","null","423","null","4552","null","521","null","5052","596","null","null","5845","533","null","null","8849","null","768","null","12165","null","788","null","34959","null","1517","null","38381","null","1266","null","95137","2265","null","null","74262","2190","null","null","96198","null","1951","null","64261","null","1847","null","13067","null","692","null",
"0500000US06075","San Francisco County, California","212864","null","2138","null","206945","null","2092","null","361","158","null","null","796","274","null","null","727","209","null","null","3243","null","402","null","5359","null","497","null","2150","null","316","null","2073","330","null","null","2693","323","null","null","3981","null","543","null","3871","null","508","null","3762","null","481","null","3458","430","null","null","3739","483","null","null","3586","null","409","null","4057","null","462","null","9350","null","679","null","9945","null","647","null","26040","1275","null","null","25900","1168","null","null","42801","null","1386","null","49053","null","1749","null","5919","null","564","null",
