"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003EA","B25063_003M","B25063_003MA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005EA","B25063_005M","B25063_005MA","B25063_006E","B25063_006EA","B25063_006M","B25063_006MA","B25063_007E","B25063_007EA","B25063_007M","B25063_007MA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009M","B25063_009MA","B25063_009EA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014EA","B25063_014M","B25063_014MA","B25063_015E","B25063_015M","B25063_015MA","B25063_015EA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017M","B25063_017MA","B25063_017EA","B25063_018E","B25063_018M","B25063_018MA","B25063_018EA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021M","B25063_021MA","B25063_021EA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA",
"0500000US06085","Santa Clara County, California","264611","2334","null","null","258835","null","2348","null","374","null","156","null","459","149","null","null","569","null","189","null","1469","null","231","null","2411","null","335","null","1638","null","269","null","1282","275","null","null","2151","null","281","null","1470","null","228","null","1569","298","null","null","2019","null","288","null","1858","null","289","null","1802","273","null","null","2023","null","307","null","2195","292","null","null","4997","477","null","null","9063","null","677","null","30490","1378","null","null","41985","1393","null","null","71398","null","1718","null","77613","1863","null","null","5776","null","485","null",
"0500000US06087","Santa Cruz County, California","39470","1165","null","null","38136","null","1119","null","21","null","19","null","97","114","null","null","102","null","63","null","418","null","128","null","443","null","124","null","538","null","206","null","411","161","null","null","279","null","128","null","466","null","176","null","329","111","null","null","488","null","163","null","406","null","164","null","586","218","null","null","706","null","232","null","641","185","null","null","1388","259","null","null","1768","null","373","null","5795","608","null","null","5906","596","null","null","9365","null","651","null","7983","562","null","null","1334","null","263","null",
"0500000US06089","Shasta County, California","25274","841","null","null","24147","null","862","null","54","null","62","null","31","30","null","null","144","null","79","null","268","null","111","null","323","null","95","null","255","null","101","null","436","151","null","null","420","null","161","null","448","null","159","null","660","237","null","null","733","null","172","null","863","null","235","null","1267","280","null","null","1554","null","288","null","1287","242","null","null","2503","349","null","null","2609","null","380","null","4427","437","null","null","2474","380","null","null","2474","null","361","null","917","197","null","null","1127","null","217","null",
"0500000US06091","Sierra County, California","313","124","null","null","263","null","111","null","0","null","12","null","0","12","null","null","0","null","12","null","0","null","12","null","25","null","36","null","0","null","12","null","0","12","null","null","38","null","44","null","0","null","12","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","13","null","14","null","0","12","null","null","11","9","null","null","41","null","43","null","90","66","null","null","23","35","null","null","9","null","13","null","13","21","null","null","50","null","41","null",
"0500000US06093","Siskiyou County, California","7152","374","null","null","6498","null","369","null","3","null","4","null","70","59","null","null","85","null","55","null","110","null","65","null","165","null","67","null","223","null","100","null","131","84","null","null","207","null","76","null","204","null","79","null","259","104","null","null","272","null","95","null","320","null","107","null","389","95","null","null","465","null","136","null","355","110","null","null","624","147","null","null","744","null","177","null","1017","193","null","null","378","106","null","null","269","null","94","null","208","95","null","null","654","null","124","null",
"0500000US06095","Solano County, California","56706","1189","null","null","54625","null","1200","null","51","null","63","null","20","24","null","null","134","null","79","null","347","null","127","null","607","null","163","null","336","null","121","null","238","87","null","null","436","null","141","null","425","null","163","null","644","189","null","null","538","null","193","null","501","null","188","null","555","175","null","null","802","null","164","null","1315","284","null","null","3301","419","null","null","4308","null","449","null","11267","648","null","null","9215","677","null","null","12405","null","720","null","7180","670","null","null","2081","null","281","null",
"0500000US06097","Sonoma County, California","75516","1535","null","null","72119","null","1601","null","91","null","58","null","133","91","null","null","341","null","165","null","721","null","206","null","736","null","165","null","615","null","173","null","355","121","null","null","556","null","150","null","686","null","192","null","630","163","null","null","779","null","236","null","581","null","176","null","520","169","null","null","1135","null","254","null","1371","299","null","null","3071","433","null","null","5423","null","580","null","15749","862","null","null","12402","850","null","null","15927","null","791","null","10297","733","null","null","3397","null","464","null",
"0500000US06099","Stanislaus County, California","71992","1603","null","null","68339","null","1516","null","68","null","50","null","202","93","null","null","118","null","83","null","637","null","157","null","828","null","180","null","695","null","174","null","562","144","null","null","692","null","174","null","833","null","220","null","1183","209","null","null","1700","null","290","null","2117","null","338","null","2698","385","null","null","3031","null","400","null","3412","413","null","null","7655","601","null","null","8320","null","622","null","15132","1031","null","null","8958","795","null","null","7252","null","640","null","2246","370","null","null","3653","null","414","null",
"0500000US06101","Sutter County, California","12988","604","null","null","12284","null","588","null","35","null","44","null","17","19","null","null","16","null","23","null","54","null","44","null","203","null","84","null","180","null","80","null","112","53","null","null","134","null","76","null","199","null","119","null","287","117","null","null","472","null","157","null","844","null","194","null","592","153","null","null","847","null","172","null","749","198","null","null","1430","236","null","null","1130","null","228","null","2143","284","null","null","1332","291","null","null","1267","null","242","null","241","91","null","null","704","null","171","null",
"0500000US06103","Tehama County, California","7422","493","null","null","6737","null","496","null","0","null","29","null","55","57","null","null","0","null","29","null","86","null","54","null","196","null","91","null","127","null","69","null","90","37","null","null","253","null","116","null","208","null","103","null","197","88","null","null","321","null","128","null","384","null","151","null","365","151","null","null","409","null","167","null","319","132","null","null","1077","266","null","null","733","null","200","null","952","191","null","null","486","156","null","null","419","null","196","null","60","47","null","null","685","null","199","null",
"0500000US06105","Trinity County, California","1627","226","null","null","1390","null","206","null","27","null","31","null","6","9","null","null","2","null","5","null","8","null","12","null","68","null","65","null","12","null","18","null","98","105","null","null","0","null","19","null","38","null","35","null","34","31","null","null","111","null","76","null","74","null","53","null","42","47","null","null","137","null","84","null","35","28","null","null","177","74","null","null","58","null","42","null","277","118","null","null","92","65","null","null","82","null","67","null","12","24","null","null","237","null","109","null",
"0500000US06107","Tulare County, California","56732","1255","null","null","53654","null","1178","null","86","null","42","null","178","103","null","null","186","null","91","null","570","null","171","null","909","null","199","null","935","null","244","null","1223","232","null","null","1455","null","281","null","1553","null","224","null","2281","325","null","null","2582","null","351","null","3130","null","365","null","3386","430","null","null","3196","null","367","null","3554","468","null","null","6263","543","null","null","5115","null","561","null","8983","670","null","null","4413","419","null","null","2713","null","413","null","943","288","null","null","3078","null","325","null",
"0500000US06109","Tuolumne County, California","6809","582","null","null","6280","null","560","null","66","null","77","null","74","98","null","null","1","null","2","null","82","null","51","null","59","null","36","null","45","null","47","null","56","55","null","null","162","null","134","null","129","null","76","null","186","81","null","null","255","null","149","null","152","null","94","null","318","175","null","null","261","null","152","null","349","182","null","null","754","220","null","null","803","null","295","null","1303","280","null","null","682","157","null","null","485","null","146","null","58","46","null","null","529","null","156","null",
"0500000US06111","Ventura County, California","95192","1499","null","null","92450","null","1534","null","206","null","110","null","155","134","null","null","458","null","131","null","937","null","199","null","1009","null","204","null","886","null","240","null","603","154","null","null","568","null","179","null","568","null","166","null","735","166","null","null","691","null","168","null","749","null","196","null","1036","250","null","null","952","null","230","null","1137","223","null","null","3182","348","null","null","4455","null","509","null","13517","558","null","null","14722","779","null","null","24274","null","1012","null","21610","1053","null","null","2742","null","364","null",
"0500000US06113","Yolo County, California","33773","808","null","null","32709","null","820","null","43","null","39","null","78","54","null","null","63","null","41","null","309","null","125","null","413","null","145","null","282","null","136","null","420","169","null","null","539","null","190","null","259","null","106","null","489","189","null","null","505","null","193","null","923","null","244","null","898","219","null","null","1208","null","305","null","1190","235","null","null","2954","339","null","null","3209","null","367","null","6684","536","null","null","4935","432","null","null","4784","null","452","null","2524","349","null","null","1064","null","204","null",
"0500000US06115","Yuba County, California","10352","550","null","null","9570","null","519","null","35","null","50","null","143","78","null","null","60","null","46","null","56","null","43","null","152","null","90","null","162","null","90","null","102","60","null","null","156","null","88","null","66","null","40","null","316","124","null","null","544","null","182","null","509","null","190","null","483","150","null","null","552","null","138","null","447","163","null","null","1191","297","null","null","729","null","189","null","1331","284","null","null","1090","218","null","null","1192","null","229","null","254","95","null","null","782","null","201","null",
