"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003EA","B25063_003M","B25063_003MA","B25063_004E","B25063_004M","B25063_004MA","B25063_004EA","B25063_005E","B25063_005EA","B25063_005M","B25063_005MA","B25063_006E","B25063_006EA","B25063_006M","B25063_006MA","B25063_007E","B25063_007EA","B25063_007M","B25063_007MA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009M","B25063_009MA","B25063_009EA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014EA","B25063_014M","B25063_014MA","B25063_015E","B25063_015M","B25063_015MA","B25063_015EA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017M","B25063_017MA","B25063_017EA","B25063_018E","B25063_018M","B25063_018MA","B25063_018EA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021M","B25063_021MA","B25063_021EA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA",
"0500000US06019","Fresno County, California","137063","2050","null","null","131226","null","1994","null","664","null","181","null","597","184","null","null","789","null","195","null","1374","null","235","null","1931","null","332","null","1647","null","257","null","1692","294","null","null","2505","null","317","null","2650","null","399","null","3659","429","null","null","4673","null","599","null","6268","null","595","null","6931","612","null","null","8339","null","696","null","8738","675","null","null","15576","948","null","null","13289","null","861","null","22974","1143","null","null","13567","713","null","null","10048","null","753","null","3315","401","null","null","5837","null","507","null",
"0500000US06021","Glenn County, California","3669","298","null","null","3378","null","294","null","17","null","28","null","6","7","null","null","4","null","6","null","87","null","63","null","126","null","92","null","131","null","77","null","154","91","null","null","105","null","71","null","144","null","72","null","260","152","null","null","137","null","74","null","247","null","114","null","174","106","null","null","307","null","146","null","269","155","null","null","262","92","null","null","140","null","59","null","499","175","null","null","181","87","null","null","63","null","43","null","65","56","null","null","291","null","92","null",
"0500000US06023","Humboldt County, California","24009","803","null","null","22631","null","813","null","25","null","25","null","46","50","null","null","62","null","42","null","130","null","60","null","443","null","158","null","243","null","106","null","310","97","null","null","450","null","154","null","471","null","124","null","746","198","null","null","779","null","183","null","1306","null","223","null","1334","256","null","null","1318","null","263","null","1086","193","null","null","2582","356","null","null","2482","null","334","null","3580","412","null","null","2343","411","null","null","2232","null","319","null","663","205","null","null","1378","null","232","null",
"0500000US06025","Imperial County, California","20817","781","null","null","19539","null","746","null","24","null","39","null","77","46","null","null","151","null","75","null","300","null","100","null","665","null","198","null","458","null","149","null","418","145","null","null","706","null","200","null","809","null","195","null","896","235","null","null","837","null","200","null","1150","null","224","null","1132","228","null","null","1519","null","287","null","1407","274","null","null","1974","331","null","null","1477","null","331","null","2895","371","null","null","1381","251","null","null","1077","null","254","null","186","104","null","null","1278","null","247","null",
"0500000US06027","Inyo County, California","2884","254","null","null","2459","null","249","null","26","null","25","null","0","19","null","null","0","null","19","null","30","null","32","null","38","null","38","null","62","null","71","null","17","15","null","null","42","null","34","null","55","null","39","null","81","58","null","null","137","null","89","null","90","null","88","null","174","89","null","null","147","null","83","null","187","77","null","null","411","152","null","null","157","null","68","null","381","111","null","null","148","63","null","null","231","null","108","null","45","35","null","null","425","null","109","null",
"0500000US06029","Kern County, California","110403","1776","null","null","105279","null","1771","null","271","null","133","null","155","95","null","null","309","null","121","null","676","null","187","null","1227","null","244","null","1109","null","266","null","1386","306","null","null","1955","null","303","null","2450","null","390","null","3665","415","null","null","4382","null","556","null","5473","null","520","null","6155","558","null","null","6682","null","642","null","6680","552","null","null","11539","788","null","null","10024","null","759","null","19050","1025","null","null","10045","834","null","null","9085","null","616","null","2961","388","null","null","5124","null","587","null",
"0500000US06031","Kings County, California","19750","744","null","null","18506","null","761","null","99","null","70","null","55","51","null","null","79","null","66","null","79","null","44","null","353","null","118","null","337","null","128","null","224","128","null","null","307","null","120","null","341","null","121","null","583","186","null","null","803","null","191","null","789","null","225","null","1031","239","null","null","1468","null","295","null","1220","260","null","null","1983","325","null","null","1877","null","349","null","3025","394","null","null","1873","264","null","null","1561","null","290","null","419","167","null","null","1244","null","217","null",
"0500000US06033","Lake County, California","9976","703","null","null","9408","null","664","null","35","null","45","null","5","10","null","null","17","null","19","null","168","null","128","null","133","null","97","null","187","null","88","null","137","78","null","null","243","null","137","null","280","null","150","null","263","130","null","null","356","null","143","null","448","null","205","null","575","169","null","null","278","null","128","null","435","186","null","null","935","251","null","null","1003","null","269","null","1550","327","null","null","1371","289","null","null","799","null","208","null","190","106","null","null","568","null","162","null",
"0500000US06035","Lassen County, California","3573","353","null","null","3306","null","332","null","0","null","26","null","0","26","null","null","43","null","42","null","61","null","47","null","131","null","80","null","80","null","63","null","30","20","null","null","80","null","64","null","93","null","73","null","27","33","null","null","137","null","94","null","118","null","66","null","161","80","null","null","166","null","84","null","248","127","null","null","274","120","null","null","302","null","148","null","775","187","null","null","367","127","null","null","115","null","49","null","98","52","null","null","267","null","90","null",
"0500000US06037","Los Angeles County, California","1738476","5351","null","null","1694352","null","5367","null","3337","null","401","null","2641","314","null","null","3560","null","410","null","13677","null","795","null","21259","null","945","null","11384","null","665","null","9475","691","null","null","13010","null","793","null","11086","null","780","null","16148","832","null","null","18123","null","916","null","21875","null","1003","null","31326","1145","null","null","38149","null","1237","null","47554","1360","null","null","118910","2233","null","null","151545","null","2357","null","354863","3974","null","null","279840","3276","null","null","308802","null","3302","null","217788","2811","null","null","44124","null","1427","null",
"0500000US06039","Madera County, California","16793","892","null","null","15069","null","794","null","66","null","84","null","129","71","null","null","23","null","31","null","206","null","94","null","225","null","101","null","153","null","76","null","230","112","null","null","249","null","130","null","311","null","142","null","534","189","null","null","535","null","149","null","662","null","181","null","699","175","null","null","605","null","163","null","700","218","null","null","1568","265","null","null","1728","null","360","null","3360","434","null","null","1707","309","null","null","909","null","181","null","470","169","null","null","1724","null","355","null",
"0500000US06041","Marin County, California","38544","1112","null","null","37298","null","1025","null","41","null","40","null","199","113","null","null","155","null","140","null","255","null","123","null","422","null","138","null","295","null","121","null","295","133","null","null","223","null","129","null","154","null","80","null","341","141","null","null","194","null","85","null","241","null","112","null","170","79","null","null","334","null","124","null","227","94","null","null","663","166","null","null","1172","null","240","null","4070","401","null","null","5723","540","null","null","10958","null","670","null","11166","758","null","null","1246","null","296","null",
"0500000US06043","Mariposa County, California","1980","320","null","null","1788","null","309","null","112","null","78","null","0","19","null","null","19","null","23","null","66","null","65","null","30","null","39","null","0","null","19","null","31","35","null","null","98","null","69","null","89","null","68","null","51","43","null","null","37","null","32","null","20","null","28","null","167","113","null","null","10","null","17","null","89","60","null","null","196","110","null","null","99","null","68","null","345","136","null","null","220","114","null","null","88","null","60","null","21","36","null","null","192","null","104","null",
"0500000US06045","Mendocino County, California","14558","637","null","null","13228","null","614","null","2","null","4","null","100","71","null","null","135","null","86","null","189","null","86","null","358","null","171","null","292","null","114","null","276","124","null","null","445","null","144","null","330","null","124","null","381","145","null","null","370","null","145","null","438","null","161","null","506","178","null","null","545","null","148","null","314","107","null","null","1061","239","null","null","1213","null","232","null","2560","314","null","null","1591","279","null","null","1344","null","229","null","778","211","null","null","1330","null","268","null",
"0500000US06047","Merced County, California","36206","852","null","null","33821","null","907","null","9","null","14","null","102","69","null","null","158","null","94","null","352","null","123","null","372","null","121","null","485","null","141","null","579","150","null","null","614","null","153","null","1011","null","240","null","1308","261","null","null","1585","null","239","null","1911","null","269","null","2077","324","null","null","1777","null","295","null","2120","321","null","null","3505","373","null","null","3681","null","585","null","6671","516","null","null","3178","427","null","null","1866","null","340","null","460","169","null","null","2385","null","287","null",
"0500000US06049","Modoc County, California","1073","222","null","null","948","null","207","null","0","null","17","null","12","17","null","null","3","null","7","null","16","null","22","null","1","null","2","null","11","null","19","null","57","53","null","null","64","null","46","null","37","null","33","null","153","78","null","null","35","null","23","null","62","null","64","null","54","47","null","null","21","null","25","null","74","58","null","null","145","71","null","null","86","null","73","null","43","37","null","null","29","28","null","null","0","null","17","null","45","49","null","null","125","null","70","null",
"0500000US06051","Mono County, California","2307","334","null","null","1980","null","318","null","0","null","19","null","27","47","null","null","0","null","19","null","14","null","22","null","5","null","13","null","0","null","19","null","18","22","null","null","70","null","81","null","23","null","39","null","117","109","null","null","0","null","19","null","33","null","50","null","24","40","null","null","108","null","93","null","101","94","null","null","182","104","null","null","140","null","87","null","527","177","null","null","349","139","null","null","124","null","80","null","118","108","null","null","327","null","155","null",
"0500000US06053","Monterey County, California","63026","1173","null","null","61291","null","1193","null","188","null","96","null","85","58","null","null","35","null","31","null","245","null","116","null","465","null","130","null","406","null","132","null","484","150","null","null","474","null","154","null","429","null","129","null","579","171","null","null","523","null","142","null","708","null","167","null","1266","283","null","null","1098","null","220","null","1511","230","null","null","4084","418","null","null","5811","null","484","null","13410","740","null","null","9777","696","null","null","11292","null","808","null","8421","604","null","null","1735","null","268","null",
"0500000US06055","Napa County, California","19634","642","null","null","18651","null","613","null","10","null","12","null","35","33","null","null","11","null","17","null","90","null","61","null","221","null","84","null","174","null","80","null","127","69","null","null","162","null","85","null","134","null","69","null","275","111","null","null","117","null","68","null","315","null","136","null","71","50","null","null","231","null","108","null","365","134","null","null","887","156","null","null","1320","null","239","null","3358","401","null","null","2829","337","null","null","4525","null","472","null","3394","341","null","null","983","null","212","null",
"0500000US06057","Nevada County, California","11221","726","null","null","10512","null","693","null","0","null","29","null","9","15","null","null","0","null","29","null","79","null","60","null","116","null","64","null","63","null","68","null","55","52","null","null","263","null","120","null","155","null","97","null","286","143","null","null","227","null","128","null","172","null","92","null","166","78","null","null","346","null","133","null","578","191","null","null","732","196","null","null","1003","null","254","null","1326","282","null","null","1933","346","null","null","2033","null","344","null","970","230","null","null","709","null","226","null",
"0500000US06059","Orange County, California","419139","3286","null","null","408888","null","3311","null","409","null","149","null","409","153","null","null","555","null","147","null","2331","null","321","null","3554","null","446","null","1692","null","322","null","1643","305","null","null","2258","null","329","null","1857","null","274","null","1709","275","null","null","1539","null","301","null","1678","null","249","null","2263","371","null","null","2279","null","285","null","2598","371","null","null","8068","617","null","null","17025","null","881","null","61980","1589","null","null","85509","1764","null","null","118306","null","2308","null","91226","2040","null","null","10251","null","740","null",
"0500000US06061","Placer County, California","39534","981","null","null","38198","null","992","null","44","null","44","null","109","87","null","null","3","null","8","null","236","null","92","null","152","null","60","null","202","null","80","null","185","63","null","null","201","null","106","null","138","null","63","null","247","84","null","null","321","null","102","null","571","null","143","null","657","206","null","null","782","null","188","null","1026","282","null","null","2771","313","null","null","3507","null","385","null","7254","564","null","null","6488","515","null","null","8416","null","637","null","4888","584","null","null","1336","null","214","null",
"0500000US06063","Plumas County, California","2433","302","null","null","2272","null","301","null","0","null","19","null","7","11","null","null","53","null","34","null","104","null","72","null","9","null","10","null","15","null","21","null","82","74","null","null","65","null","46","null","86","null","69","null","95","72","null","null","60","null","46","null","49","null","42","null","72","53","null","null","176","null","92","null","188","94","null","null","309","119","null","null","133","null","64","null","388","122","null","null","183","78","null","null","159","null","80","null","39","45","null","null","161","null","69","null",
