"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002M","B25063_002MA","B25063_002EA","B25063_003E","B25063_003M","B25063_003MA","B25063_003EA","B25063_004E","B25063_004EA","B25063_004M","B25063_004MA","B25063_005E","B25063_005EA","B25063_005M","B25063_005MA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007M","B25063_007MA","B25063_007EA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009EA","B25063_009M","B25063_009MA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011M","B25063_011MA","B25063_011EA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013M","B25063_013MA","B25063_013EA","B25063_014E","B25063_014M","B25063_014MA","B25063_014EA","B25063_015E","B25063_015M","B25063_015MA","B25063_015EA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018M","B25063_018MA","B25063_018EA","B25063_019E","B25063_019M","B25063_019MA","B25063_019EA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024M","B25063_024MA","B25063_024EA","B25063_025E","B25063_025M","B25063_025MA","B25063_025EA","B25063_026E","B25063_026EA","B25063_026M","B25063_026MA","B25063_027E","B25063_027EA","B25063_027M","B25063_027MA",
"0500000US06019","Fresno County, California","141823","1943","null","null","136103","1903","null","null","696","183","null","null","520","null","188","null","669","null","163","null","1018","226","null","null","2055","301","null","null","1577","null","283","null","1858","null","385","null","2197","null","265","null","2427","334","null","null","3020","401","null","null","3984","440","null","null","4780","518","null","null","6581","617","null","null","6931","null","651","null","8632","null","655","null","16493","892","null","null","15101","936","null","null","26351","1108","null","null","14809","null","775","null","12264","null","816","null","2944","439","null","null","466","157","null","null","432","156","null","null","298","null","115","null","5720","null","548","null",
"0500000US06021","Glenn County, California","4212","388","null","null","3858","374","null","null","3","5","null","null","11","null","11","null","59","null","70","null","57","62","null","null","84","71","null","null","107","null","78","null","128","null","78","null","46","null","31","null","200","119","null","null","287","119","null","null","201","138","null","null","186","89","null","null","122","69","null","null","235","null","98","null","405","null","149","null","369","161","null","null","340","156","null","null","677","203","null","null","252","null","131","null","63","null","43","null","2","4","null","null","24","37","null","null","0","23","null","null","0","null","23","null","354","null","122","null",
"0500000US06023","Humboldt County, California","23466","779","null","null","21957","776","null","null","21","26","null","null","12","null","30","null","26","null","37","null","105","52","null","null","439","153","null","null","181","null","99","null","406","null","168","null","320","null","121","null","366","110","null","null","526","194","null","null","625","163","null","null","878","223","null","null","1095","250","null","null","1342","null","211","null","1428","null","301","null","2928","414","null","null","1947","340","null","null","3410","363","null","null","2182","null","304","null","2619","null","327","null","884","201","null","null","166","110","null","null","40","49","null","null","11","null","18","null","1509","null","259","null",
"0500000US06025","Imperial County, California","19691","815","null","null","18447","754","null","null","69","55","null","null","30","null","24","null","221","null","138","null","255","112","null","null","675","209","null","null","230","null","106","null","514","null","170","null","652","null","196","null","688","192","null","null","775","232","null","null","590","149","null","null","967","245","null","null","1042","215","null","null","1066","null","213","null","1356","null","244","null","2028","370","null","null","1613","290","null","null","2667","417","null","null","1645","null","335","null","1163","null","263","null","180","92","null","null","0","29","null","null","7","10","null","null","14","null","23","null","1244","null","250","null",
"0500000US06027","Inyo County, California","2917","258","null","null","2627","253","null","null","29","25","null","null","0","null","19","null","16","null","22","null","43","31","null","null","22","19","null","null","15","null","20","null","62","null","47","null","70","null","67","null","84","52","null","null","58","36","null","null","181","101","null","null","231","131","null","null","141","70","null","null","103","null","59","null","90","null","47","null","224","118","null","null","362","135","null","null","362","121","null","null","150","null","59","null","308","null","99","null","45","31","null","null","4","5","null","null","20","33","null","null","7","null","13","null","290","null","66","null",
"0500000US06029","Kern County, California","113429","1820","null","null","108464","1804","null","null","318","151","null","null","200","null","108","null","244","null","107","null","608","190","null","null","846","194","null","null","1066","null","244","null","1274","null","236","null","1488","null","274","null","2365","352","null","null","3009","454","null","null","4263","488","null","null","4277","494","null","null","5847","593","null","null","5875","null","619","null","6948","null","648","null","11744","779","null","null","11622","872","null","null","19579","1041","null","null","12048","null","885","null","10568","null","855","null","3143","455","null","null","725","279","null","null","187","85","null","null","220","null","107","null","4965","null","513","null",
"0500000US06031","Kings County, California","20424","746","null","null","19239","721","null","null","61","54","null","null","109","null","78","null","68","null","50","null","159","73","null","null","354","127","null","null","343","null","143","null","174","null","75","null","376","null","172","null","333","139","null","null","581","192","null","null","477","145","null","null","753","200","null","null","781","251","null","null","1121","null","253","null","1128","null","259","null","2476","399","null","null","1801","336","null","null","3725","417","null","null","2143","null","293","null","1851","null","299","null","329","129","null","null","23","33","null","null","73","62","null","null","0","null","29","null","1185","null","189","null",
"0500000US06033","Lake County, California","8965","631","null","null","8350","603","null","null","31","39","null","null","88","null","64","null","117","null","92","null","136","109","null","null","158","83","null","null","240","null","107","null","54","null","39","null","189","null","112","null","224","141","null","null","289","116","null","null","198","117","null","null","261","100","null","null","417","174","null","null","320","null","130","null","338","null","133","null","1002","239","null","null","795","220","null","null","1494","299","null","null","915","null","241","null","982","null","287","null","90","63","null","null","12","19","null","null","0","29","null","null","0","null","29","null","615","null","167","null",
"0500000US06035","Lassen County, California","3211","296","null","null","2934","283","null","null","0","26","null","null","27","null","34","null","10","null","11","null","64","36","null","null","60","37","null","null","46","null","24","null","24","null","19","null","82","null","49","null","20","21","null","null","158","85","null","null","86","65","null","null","143","78","null","null","78","43","null","null","129","null","60","null","179","null","96","null","247","84","null","null","270","89","null","null","704","145","null","null","300","null","102","null","235","null","84","null","4","6","null","null","3","5","null","null","32","27","null","null","33","null","38","null","277","null","103","null",
"0500000US06037","Los Angeles County, California","1782834","7178","null","null","1737852","7068","null","null","3664","499","null","null","2200","null","271","null","3393","null","390","null","9103","721","null","null","21930","948","null","null","13380","null","827","null","9053","null","694","null","11359","null","852","null","11017","635","null","null","14143","758","null","null","14754","804","null","null","19216","921","null","null","22434","848","null","null","27743","null","995","null","35171","null","1361","null","96123","1781","null","null","128065","2409","null","null","341849","3343","null","null","290985","null","3308","null","365596","null","4394","null","166519","2707","null","null","69876","1873","null","null","34748","1417","null","null","25531","null","1090","null","44982","null","1284","null",
