"GEO_ID","NAME","B25063_001E","B25063_001EA","B25063_001M","B25063_001MA","B25063_002E","B25063_002M","B25063_002MA","B25063_002EA","B25063_003E","B25063_003M","B25063_003MA","B25063_003EA","B25063_004E","B25063_004EA","B25063_004M","B25063_004MA","B25063_005E","B25063_005M","B25063_005MA","B25063_005EA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007EA","B25063_007M","B25063_007MA","B25063_008E","B25063_008M","B25063_008MA","B25063_008EA","B25063_009E","B25063_009M","B25063_009MA","B25063_009EA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011M","B25063_011MA","B25063_011EA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013M","B25063_013MA","B25063_013EA","B25063_014E","B25063_014M","B25063_014MA","B25063_014EA","B25063_015E","B25063_015EA","B25063_015M","B25063_015MA","B25063_016E","B25063_016M","B25063_016MA","B25063_016EA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018EA","B25063_018M","B25063_018MA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA",
"0500000US06083","Santa Barbara County, California","65036","null","1399","null","61969","1286","null","null","38","36","null","null","77","null","57","null","233","105","null","null","430","124","null","null","731","null","177","null","490","132","null","null","577","179","null","null","488","null","155","null","595","188","null","null","729","201","null","null","573","142","null","null","1020","254","null","null","934","null","223","null","1313","270","null","null","1620","null","292","null","4361","null","516","null","4621","null","494","null","11576","677","null","null","9742","null","650","null","12382","null","689","null","9439","769","null","null","3067","null","406","null",
"0500000US06085","Santa Clara County, California","243348","null","3138","null","236810","3160","null","null","414","113","null","null","279","null","114","null","356","115","null","null","1855","308","null","null","2648","null","392","null","1186","239","null","null","1209","243","null","null","1678","null","264","null","1907","310","null","null","1541","287","null","null","2128","340","null","null","2227","306","null","null","1935","null","319","null","2714","416","null","null","2791","null","428","null","11089","null","742","null","14046","null","899","null","42104","1181","null","null","43161","null","1311","null","58270","null","1766","null","43272","1496","null","null","6538","null","677","null",
"0500000US06087","Santa Cruz County, California","37924","null","1269","null","36126","1261","null","null","48","62","null","null","91","null","68","null","139","71","null","null","578","184","null","null","592","null","164","null","744","193","null","null","279","116","null","null","422","null","170","null","451","172","null","null","318","119","null","null","436","159","null","null","743","214","null","null","836","null","210","null","635","166","null","null","875","null","236","null","2222","null","346","null","2339","null","354","null","5949","613","null","null","5825","null","612","null","7828","null","650","null","4776","508","null","null","1798","null","342","null",
"0500000US06089","Shasta County, California","23526","null","863","null","22008","863","null","null","35","50","null","null","94","null","78","null","113","75","null","null","316","156","null","null","480","null","160","null","357","135","null","null","484","175","null","null","354","null","147","null","536","205","null","null","575","189","null","null","822","215","null","null","1451","313","null","null","1538","null","321","null","1341","258","null","null","1149","null","246","null","2382","null","377","null","2052","null","346","null","3857","469","null","null","1904","null","275","null","1230","null","207","null","938","263","null","null","1518","null","321","null",
"0500000US06091","Sierra County, California","286","null","84","null","270","85","null","null","0","132","null","null","0","null","132","null","0","132","null","null","21","35","null","null","32","null","24","null","17","26","null","null","0","132","null","null","0","null","132","null","0","132","null","null","7","12","null","null","0","132","null","null","5","10","null","null","7","null","13","null","68","52","null","null","0","null","132","null","3","null","4","null","39","null","35","null","45","33","null","null","0","null","132","null","26","null","41","null","0","132","null","null","16","null","21","null",
"0500000US06093","Siskiyou County, California","6999","null","452","null","6263","433","null","null","14","23","null","null","14","null","16","null","86","49","null","null","193","72","null","null","169","null","75","null","167","90","null","null","247","98","null","null","199","null","63","null","362","128","null","null","443","113","null","null","457","132","null","null","282","118","null","null","324","null","118","null","298","102","null","null","308","null","117","null","578","null","151","null","582","null","163","null","702","162","null","null","225","null","97","null","362","null","142","null","251","101","null","null","736","null","133","null",
"0500000US06095","Solano County, California","47564","null","1183","null","45522","1145","null","null","0","132","null","null","75","null","71","null","216","106","null","null","334","105","null","null","526","null","155","null","388","137","null","null","308","115","null","null","471","null","143","null","462","162","null","null","586","201","null","null","356","122","null","null","661","182","null","null","602","null","173","null","902","213","null","null","1487","null","257","null","3016","null","313","null","4320","null","476","null","10335","722","null","null","6827","null","617","null","9556","null","779","null","4094","466","null","null","2042","null","264","null",
"0500000US06097","Sonoma County, California","69246","null","1124","null","65860","1192","null","null","99","68","null","null","177","null","129","null","342","144","null","null","550","136","null","null","856","null","225","null","510","185","null","null","340","131","null","null","412","null","135","null","433","135","null","null","883","197","null","null","581","166","null","null","888","234","null","null","731","null","178","null","1501","309","null","null","1658","null","315","null","5171","null","556","null","6187","null","469","null","14448","778","null","null","10686","null","757","null","12803","null","882","null","6604","519","null","null","3386","null","430","null",
"0500000US06099","Stanislaus County, California","62015","null","1553","null","59253","1471","null","null","173","87","null","null","106","null","88","null","188","102","null","null","658","206","null","null","804","null","192","null","825","204","null","null","571","153","null","null","732","null","169","null","900","223","null","null","1027","191","null","null","1846","330","null","null","2451","346","null","null","2496","null","343","null","3271","407","null","null","3231","null","389","null","7404","null","623","null","7174","null","596","null","11083","667","null","null","7577","null","642","null","5437","null","557","null","1299","247","null","null","2762","null","376","null",
"0500000US06101","Sutter County, California","11993","null","526","null","11362","514","null","null","38","62","null","null","27","null","32","null","15","24","null","null","99","80","null","null","201","null","116","null","236","106","null","null","144","77","null","null","214","null","91","null","268","119","null","null","340","135","null","null","649","200","null","null","497","179","null","null","756","null","159","null","725","200","null","null","811","null","228","null","1173","null","242","null","1215","null","268","null","1620","282","null","null","1356","null","328","null","846","null","221","null","132","68","null","null","631","null","162","null",
"0500000US06103","Tehama County, California","8194","null","497","null","7508","487","null","null","13","22","null","null","47","null","43","null","75","79","null","null","134","74","null","null","180","null","89","null","228","115","null","null","223","135","null","null","375","null","169","null","216","94","null","null","192","72","null","null","451","140","null","null","429","137","null","null","392","null","156","null","558","177","null","null","588","null","212","null","838","null","245","null","643","null","158","null","1272","284","null","null","298","null","123","null","302","null","153","null","54","35","null","null","686","null","153","null",
"0500000US06105","Trinity County, California","1561","null","236","null","1401","221","null","null","0","132","null","null","18","null","26","null","3","5","null","null","42","49","null","null","13","null","15","null","106","82","null","null","0","132","null","null","25","null","30","null","23","18","null","null","101","66","null","null","69","39","null","null","100","65","null","null","193","null","111","null","75","51","null","null","76","null","64","null","232","null","120","null","98","null","66","null","108","83","null","null","76","null","81","null","29","null","31","null","14","15","null","null","160","null","59","null",
"0500000US06107","Tulare County, California","51583","null","1160","null","48482","1090","null","null","107","70","null","null","74","null","51","null","300","119","null","null","461","131","null","null","1025","null","207","null","877","222","null","null","1379","208","null","null","1835","null","310","null","2651","365","null","null","2837","381","null","null","3029","409","null","null","3581","444","null","null","2852","null","415","null","2974","421","null","null","2698","null","359","null","5229","null","505","null","4065","null","540","null","6737","617","null","null","3230","null","394","null","1997","null","358","null","544","162","null","null","3101","null","313","null",
"0500000US06109","Tuolumne County, California","6612","null","523","null","6147","558","null","null","23","27","null","null","27","null","31","null","38","34","null","null","62","39","null","null","270","null","130","null","142","116","null","null","97","68","null","null","242","null","125","null","91","53","null","null","256","131","null","null","224","123","null","null","355","180","null","null","264","null","134","null","145","102","null","null","199","null","108","null","633","null","219","null","537","null","195","null","1270","250","null","null","586","null","176","null","557","null","179","null","129","94","null","null","465","null","193","null",
"0500000US06111","Ventura County, California","88853","null","1681","null","85635","1680","null","null","189","108","null","null","187","null","106","null","407","130","null","null","919","200","null","null","1093","null","262","null","647","182","null","null","763","225","null","null","829","null","202","null","758","190","null","null","846","275","null","null","763","205","null","null","1465","321","null","null","1382","null","282","null","1171","273","null","null","1560","null","290","null","3819","null","415","null","4245","null","471","null","13427","720","null","null","14758","null","834","null","21386","null","1164","null","15021","882","null","null","3218","null","383","null",
"0500000US06113","Yolo County, California","31838","null","1106","null","30678","1067","null","null","25","28","null","null","9","null","14","null","122","72","null","null","377","147","null","null","382","null","169","null","351","147","null","null","318","149","null","null","390","null","151","null","496","168","null","null","771","246","null","null","661","229","null","null","1016","266","null","null","1059","null","269","null","1101","248","null","null","1157","null","238","null","3076","null","386","null","3015","null","429","null","6137","636","null","null","3905","null","461","null","4443","null","441","null","1867","392","null","null","1160","null","263","null",
"0500000US06115","Yuba County, California","9536","null","540","null","8456","560","null","null","60","79","null","null","27","null","30","null","28","36","null","null","47","47","null","null","273","null","135","null","52","40","null","null","141","84","null","null","287","null","110","null","177","102","null","null","460","170","null","null","343","124","null","null","495","153","null","null","726","null","164","null","605","174","null","null","499","null","158","null","850","null","187","null","705","null","198","null","1230","264","null","null","624","null","188","null","716","null","195","null","111","55","null","null","1080","null","200","null",
