"GEO_ID","NAME","B25063_001E","B25063_001EA","B25063_001M","B25063_001MA","B25063_002E","B25063_002M","B25063_002MA","B25063_002EA","B25063_003E","B25063_003M","B25063_003MA","B25063_003EA","B25063_004E","B25063_004EA","B25063_004M","B25063_004MA","B25063_005E","B25063_005M","B25063_005MA","B25063_005EA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007EA","B25063_007M","B25063_007MA","B25063_008E","B25063_008M","B25063_008MA","B25063_008EA","B25063_009E","B25063_009M","B25063_009MA","B25063_009EA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011M","B25063_011MA","B25063_011EA","B25063_012E","B25063_012M","B25063_012MA","B25063_012EA","B25063_013E","B25063_013M","B25063_013MA","B25063_013EA","B25063_014E","B25063_014M","B25063_014MA","B25063_014EA","B25063_015E","B25063_015EA","B25063_015M","B25063_015MA","B25063_016E","B25063_016M","B25063_016MA","B25063_016EA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018EA","B25063_018M","B25063_018MA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020M","B25063_020MA","B25063_020EA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023M","B25063_023MA","B25063_023EA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA",
"0500000US06019","Fresno County, California","127704","null","1765","null","121889","1777","null","null","218","118","null","null","677","null","203","null","1019","270","null","null","1633","313","null","null","1937","null","261","null","2225","324","null","null","2708","375","null","null","2909","null","403","null","3474","417","null","null","4236","477","null","null","5969","551","null","null","6494","608","null","null","7551","null","607","null","8180","600","null","null","8812","null","659","null","15223","null","837","null","10960","null","732","null","18090","989","null","null","9702","null","739","null","7819","null","554","null","2053","319","null","null","5815","null","466","null",
"0500000US06021","Glenn County, California","3142","null","315","null","2780","301","null","null","2","4","null","null","0","null","132","null","31","44","null","null","96","55","null","null","59","null","39","null","58","45","null","null","72","58","null","null","109","null","58","null","144","67","null","null","126","70","null","null","122","59","null","null","172","81","null","null","306","null","134","null","167","102","null","null","123","null","57","null","253","null","101","null","274","null","142","null","359","166","null","null","155","null","102","null","107","null","88","null","45","36","null","null","362","null","120","null",
"0500000US06023","Humboldt County, California","23036","null","774","null","21385","787","null","null","26","25","null","null","79","null","50","null","126","90","null","null","294","135","null","null","355","null","117","null","282","126","null","null","338","120","null","null","465","null","161","null","568","163","null","null","928","238","null","null","1165","253","null","null","1535","283","null","null","1463","null","327","null","1169","200","null","null","1222","null","281","null","2486","null","312","null","1371","null","244","null","3269","414","null","null","1953","null","373","null","1868","null","285","null","423","124","null","null","1651","null","263","null",
"0500000US06025","Imperial County, California","20525","null","763","null","19361","722","null","null","8","13","null","null","67","null","48","null","407","157","null","null","483","148","null","null","692","null","194","null","855","214","null","null","607","179","null","null","785","null","237","null","918","221","null","null","1023","212","null","null","1181","270","null","null","1530","365","null","null","1735","null","392","null","1283","248","null","null","1160","null","245","null","1642","null","287","null","1352","null","305","null","1861","338","null","null","1038","null","260","null","639","null","188","null","95","70","null","null","1164","null","220","null",
"0500000US06027","Inyo County, California","2873","null","301","null","2403","279","null","null","15","25","null","null","0","null","132","null","6","9","null","null","68","61","null","null","23","null","23","null","29","33","null","null","65","40","null","null","26","null","23","null","138","68","null","null","131","71","null","null","64","45","null","null","118","67","null","null","150","null","88","null","220","103","null","null","173","null","69","null","166","null","87","null","332","null","118","null","269","94","null","null","140","null","58","null","144","null","76","null","126","104","null","null","470","null","127","null",
"0500000US06029","Kern County, California","95773","null","1891","null","91249","1894","null","null","49","43","null","null","339","null","134","null","279","109","null","null","626","181","null","null","1462","null","296","null","1330","299","null","null","1623","296","null","null","2899","null","423","null","3247","398","null","null","3951","422","null","null","5210","560","null","null","5433","558","null","null","6534","null","653","null","6191","611","null","null","5316","null","529","null","11003","null","721","null","8279","null","704","null","13012","709","null","null","7123","null","696","null","5364","null","477","null","1979","286","null","null","4524","null","360","null",
"0500000US06031","Kings County, California","17868","null","761","null","16209","749","null","null","26","31","null","null","18","null","24","null","62","46","null","null","234","99","null","null","301","null","137","null","214","100","null","null","87","50","null","null","650","null","199","null","662","197","null","null","908","252","null","null","618","189","null","null","709","178","null","null","812","null","201","null","1268","325","null","null","1235","null","279","null","2010","null","320","null","1136","null","279","null","2897","515","null","null","1198","null","255","null","960","null","245","null","204","87","null","null","1659","null","258","null",
"0500000US06033","Lake County, California","8278","null","606","null","7431","570","null","null","46","76","null","null","67","null","106","null","122","96","null","null","130","96","null","null","142","null","105","null","214","114","null","null","157","90","null","null","196","null","125","null","301","162","null","null","106","78","null","null","281","157","null","null","338","156","null","null","473","null","190","null","161","111","null","null","596","null","230","null","854","null","280","null","726","null","256","null","1006","233","null","null","982","null","284","null","493","null","208","null","40","38","null","null","847","null","225","null",
"0500000US06035","Lassen County, California","3731","null","430","null","3393","404","null","null","0","132","null","null","28","null","46","null","3","5","null","null","130","113","null","null","15","null","14","null","35","40","null","null","80","57","null","null","170","null","130","null","14","13","null","null","69","51","null","null","73","56","null","null","268","156","null","null","307","null","153","null","100","58","null","null","158","null","137","null","259","null","131","null","379","null","129","null","666","272","null","null","210","null","116","null","325","null","166","null","104","99","null","null","338","null","155","null",
"0500000US06037","Los Angeles County, California","1665798","null","5835","null","1624346","5942","null","null","3276","426","null","null","2271","null","333","null","3976","439","null","null","16652","848","null","null","19466","null","892","null","11476","632","null","null","10145","783","null","null","14486","null","742","null","16702","774","null","null","22801","981","null","null","26753","1055","null","null","34172","1395","null","null","42053","null","1516","null","53062","1674","null","null","63124","null","1692","null","148818","null","2633","null","161468","null","2856","null","343900","3780","null","null","234186","null","3216","null","247553","null","3590","null","148006","3220","null","null","41452","null","1344","null",
"0500000US06039","Madera County, California","15554","null","788","null","14151","770","null","null","0","132","null","null","70","null","75","null","69","70","null","null","115","63","null","null","304","null","132","null","347","145","null","null","245","115","null","null","321","null","150","null","484","130","null","null","401","133","null","null","619","196","null","null","707","176","null","null","715","null","221","null","1070","248","null","null","633","null","186","null","1516","null","296","null","1597","null","332","null","2261","346","null","null","1472","null","291","null","1033","null","264","null","172","66","null","null","1403","null","235","null",
"0500000US06041","Marin County, California","37007","null","923","null","35973","935","null","null","74","78","null","null","194","null","120","null","97","82","null","null","332","126","null","null","388","null","158","null","181","100","null","null","164","98","null","null","302","null","146","null","274","124","null","null","366","149","null","null","214","107","null","null","276","104","null","null","292","null","144","null","294","141","null","null","470","null","179","null","737","null","195","null","1420","null","285","null","4800","557","null","null","6674","null","620","null","9430","null","708","null","8994","630","null","null","1034","null","254","null",
"0500000US06043","Mariposa County, California","2314","null","338","null","2019","356","null","null","0","132","null","null","0","null","132","null","60","76","null","null","119","94","null","null","47","null","56","null","121","116","null","null","127","92","null","null","164","null","118","null","60","54","null","null","39","43","null","null","39","35","null","null","161","92","null","null","114","null","77","null","215","153","null","null","61","null","57","null","194","null","150","null","206","null","112","null","142","87","null","null","63","null","49","null","46","null","77","null","41","46","null","null","295","null","163","null",
"0500000US06045","Mendocino County, California","12773","null","679","null","11823","612","null","null","54","63","null","null","6","null","10","null","94","70","null","null","141","85","null","null","311","null","158","null","289","127","null","null","358","136","null","null","331","null","144","null","262","96","null","null","173","95","null","null","472","167","null","null","422","191","null","null","726","null","217","null","739","210","null","null","576","null","185","null","1089","null","259","null","1099","null","210","null","2100","335","null","null","1085","null","235","null","1082","null","257","null","414","149","null","null","950","null","200","null",
"0500000US06047","Merced County, California","32451","null","1026","null","29992","1012","null","null","27","33","null","null","74","null","51","null","86","68","null","null","416","151","null","null","404","null","165","null","572","168","null","null","475","168","null","null","984","null","249","null","1256","279","null","null","1619","304","null","null","1807","343","null","null","1976","330","null","null","1809","null","267","null","1900","372","null","null","1654","null","315","null","3197","null","364","null","2702","null","362","null","4887","500","null","null","2622","null","401","null","1320","null","256","null","205","92","null","null","2459","null","339","null",
"0500000US06049","Modoc County, California","1187","null","169","null","1076","168","null","null","0","132","null","null","16","null","26","null","20","21","null","null","15","25","null","null","22","null","27","null","46","41","null","null","35","32","null","null","74","null","43","null","212","85","null","null","84","52","null","null","72","49","null","null","61","38","null","null","17","null","20","null","27","29","null","null","33","null","33","null","156","null","81","null","67","null","55","null","34","32","null","null","30","null","29","null","30","null","27","null","25","38","null","null","111","null","50","null",
"0500000US06051","Mono County, California","2305","null","421","null","2122","427","null","null","0","132","null","null","0","null","132","null","0","132","null","null","35","58","null","null","4","null","6","null","0","132","null","null","76","113","null","null","8","null","13","null","73","72","null","null","0","132","null","null","27","45","null","null","32","54","null","null","52","null","55","null","17","28","null","null","130","null","124","null","273","null","146","null","276","null","159","null","496","172","null","null","356","null","166","null","138","null","91","null","129","112","null","null","183","null","112","null",
"0500000US06053","Monterey County, California","58232","null","1354","null","56115","1328","null","null","111","85","null","null","54","null","46","null","124","74","null","null","451","168","null","null","769","null","178","null","473","170","null","null","465","135","null","null","462","null","150","null","469","152","null","null","876","228","null","null","774","178","null","null","1051","227","null","null","1335","null","235","null","1534","271","null","null","2446","null","357","null","4960","null","507","null","6008","null","547","null","11538","727","null","null","7467","null","582","null","9250","null","568","null","5498","528","null","null","2117","null","347","null",
"0500000US06055","Napa County, California","17183","null","719","null","16368","696","null","null","0","132","null","null","6","null","11","null","33","43","null","null","199","92","null","null","212","null","81","null","113","67","null","null","143","76","null","null","109","null","72","null","141","96","null","null","198","98","null","null","187","83","null","null","324","143","null","null","478","null","180","null","380","133","null","null","574","null","197","null","1306","null","318","null","1092","null","222","null","3193","411","null","null","2764","null","380","null","3025","null","362","null","1891","308","null","null","815","null","177","null",
"0500000US06057","Nevada County, California","10724","null","702","null","10183","696","null","null","0","132","null","null","11","null","18","null","17","20","null","null","150","78","null","null","49","null","45","null","174","150","null","null","90","78","null","null","114","null","56","null","218","124","null","null","163","106","null","null","175","143","null","null","106","82","null","null","297","null","150","null","405","153","null","null","253","null","138","null","919","null","276","null","1122","null","278","null","1745","322","null","null","1371","null","328","null","2136","null","385","null","668","211","null","null","541","null","139","null",
"0500000US06059","Orange County, California","385471","null","3191","null","376298","3180","null","null","134","57","null","null","143","null","70","null","684","204","null","null","2259","353","null","null","2956","null","467","null","1722","310","null","null","1873","331","null","null","1687","null","284","null","1718","290","null","null","1851","269","null","null","2057","318","null","null","2012","324","null","null","2228","null","335","null","2928","452","null","null","3776","null","434","null","11630","null","724","null","20679","null","1022","null","70817","1585","null","null","82364","null","1830","null","99491","null","2340","null","63289","1856","null","null","9173","null","703","null",
"0500000US06061","Placer County, California","34947","null","1128","null","33760","1073","null","null","14","21","null","null","14","null","22","null","50","43","null","null","222","105","null","null","329","null","116","null","170","68","null","null","227","122","null","null","256","null","107","null","174","100","null","null","387","160","null","null","424","148","null","null","536","182","null","null","878","null","260","null","917","247","null","null","1237","null","291","null","2497","null","318","null","3991","null","498","null","7558","696","null","null","4969","null","525","null","5622","null","492","null","3288","449","null","null","1187","null","235","null",
