"GEO_ID","NAME","B25063_001E","B25063_001M","B25063_001MA","B25063_001EA","B25063_002E","B25063_002EA","B25063_002M","B25063_002MA","B25063_003E","B25063_003EA","B25063_003M","B25063_003MA","B25063_004E","B25063_004EA","B25063_004M","B25063_004MA","B25063_005E","B25063_005EA","B25063_005M","B25063_005MA","B25063_006E","B25063_006M","B25063_006MA","B25063_006EA","B25063_007E","B25063_007EA","B25063_007M","B25063_007MA","B25063_008E","B25063_008EA","B25063_008M","B25063_008MA","B25063_009E","B25063_009EA","B25063_009M","B25063_009MA","B25063_010E","B25063_010EA","B25063_010M","B25063_010MA","B25063_011E","B25063_011EA","B25063_011M","B25063_011MA","B25063_012E","B25063_012EA","B25063_012M","B25063_012MA","B25063_013E","B25063_013EA","B25063_013M","B25063_013MA","B25063_014E","B25063_014EA","B25063_014M","B25063_014MA","B25063_015E","B25063_015EA","B25063_015M","B25063_015MA","B25063_016E","B25063_016EA","B25063_016M","B25063_016MA","B25063_017E","B25063_017EA","B25063_017M","B25063_017MA","B25063_018E","B25063_018M","B25063_018MA","B25063_018EA","B25063_019E","B25063_019EA","B25063_019M","B25063_019MA","B25063_020E","B25063_020EA","B25063_020M","B25063_020MA","B25063_021E","B25063_021EA","B25063_021M","B25063_021MA","B25063_022E","B25063_022EA","B25063_022M","B25063_022MA","B25063_023E","B25063_023EA","B25063_023M","B25063_023MA","B25063_024E","B25063_024EA","B25063_024M","B25063_024MA","B25063_025E","B25063_025EA","B25063_025M","B25063_025MA","B25063_026E","B25063_026M","B25063_026MA","B25063_026EA","B25063_027E","B25063_027EA","B25063_027M","B25063_027MA",
"0500000US06029","Kern County, California","112443","2211","null","null","107202","null","2092","null","102","null","58","null","186","null","95","null","284","null","128","null","552","168","null","null","622","null","236","null","890","null","277","null","965","null","308","null","1141","null","280","null","2228","null","595","null","2220","null","427","null","2600","null","435","null","3269","null","448","null","4367","null","600","null","5295","null","610","null","5097","null","642","null","12561","1085","null","null","11910","null","1007","null","20902","null","1209","null","14856","null","1027","null","12757","null","1098","null","3212","null","504","null","593","null","185","null","346","null","185","null","247","121","null","null","5241","null","769","null",
"0500000US06031","Kings County, California","20236","897","null","null","19069","null","905","null","8","null","13","null","132","null","166","null","114","null","83","null","45","36","null","null","272","null","109","null","166","null","100","null","167","null","101","null","114","null","66","null","359","null","116","null","276","null","128","null","460","null","230","null","561","null","215","null","587","null","228","null","748","null","211","null","829","null","256","null","1881","330","null","null","2328","null","417","null","4128","null","559","null","2747","null","419","null","2645","null","387","null","274","null","136","null","50","null","55","null","72","null","68","null","106","131","null","null","1167","null","228","null",
"0500000US06033","Lake County, California","8232","616","null","null","7769","null","599","null","31","null","46","null","57","null","66","null","137","null","76","null","128","126","null","null","224","null","134","null","116","null","64","null","129","null","71","null","226","null","181","null","109","null","71","null","194","null","99","null","211","null","136","null","175","null","82","null","349","null","186","null","132","null","71","null","328","null","159","null","611","207","null","null","609","null","214","null","1062","null","272","null","970","null","298","null","1346","null","289","null","481","null","235","null","144","null","81","null","0","null","31","null","0","31","null","null","463","null","153","null",
"0500000US06035","Lassen County, California","2881","316","null","null","2602","null","286","null","0","null","28","null","7","null","8","null","16","null","16","null","6","10","null","null","35","null","31","null","67","null","43","null","47","null","28","null","61","null","41","null","38","null","37","null","76","null","42","null","113","null","66","null","154","null","74","null","89","null","42","null","186","null","100","null","55","null","31","null","284","95","null","null","241","null","100","null","571","null","127","null","280","null","105","null","207","null","103","null","30","null","30","null","0","null","28","null","4","null","7","null","35","36","null","null","279","null","106","null",
"0500000US06037","Los Angeles County, California","1798032","6624","null","null","1751439","null","6870","null","3863","null","562","null","1730","null","292","null","2202","null","437","null","5680","585","null","null","24363","null","1164","null","11978","null","826","null","9596","null","811","null","8060","null","793","null","10629","null","950","null","10146","null","707","null","11154","null","838","null","12994","null","815","null","14362","null","889","null","16444","null","988","null","19882","null","1032","null","58715","1790","null","null","79426","null","2453","null","270718","null","3775","null","273360","null","3796","null","443379","null","4295","null","236205","null","3702","null","114397","null","2744","null","58685","null","1878","null","53471","1932","null","null","46593","null","2016","null",
"0500000US06039","Madera County, California","15209","848","null","null","14189","null","823","null","0","null","31","null","148","null","113","null","53","null","45","null","0","31","null","null","159","null","78","null","222","null","98","null","133","null","79","null","187","null","222","null","136","null","95","null","257","null","132","null","232","null","123","null","255","null","121","null","454","null","184","null","660","null","260","null","678","null","233","null","1279","277","null","null","1308","null","273","null","3442","null","562","null","2399","null","525","null","1828","null","368","null","266","null","152","null","38","null","38","null","10","null","15","null","45","57","null","null","1020","null","223","null",
"0500000US06041","Marin County, California","38181","1222","null","null","36944","null","1214","null","46","null","46","null","43","null","43","null","245","null","254","null","350","255","null","null","409","null","188","null","209","null","129","null","255","null","110","null","203","null","115","null","160","null","98","null","180","null","98","null","231","null","139","null","228","null","122","null","154","null","93","null","171","null","92","null","242","null","126","null","381","162","null","null","270","null","96","null","1425","null","290","null","2243","null","323","null","8483","null","775","null","7504","null","602","null","4869","null","552","null","3576","null","467","null","5067","606","null","null","1237","null","236","null",
"0500000US06043","Mariposa County, California","2326","376","null","null","2064","null","342","null","40","null","34","null","37","null","44","null","0","null","21","null","43","55","null","null","28","null","28","null","41","null","34","null","44","null","44","null","45","null","38","null","36","null","44","null","0","null","21","null","19","null","28","null","54","null","56","null","75","null","73","null","57","null","44","null","46","null","35","null","249","117","null","null","203","null","133","null","385","null","162","null","155","null","86","null","279","null","164","null","123","null","79","null","13","null","21","null","87","null","117","null","5","8","null","null","262","null","177","null",
"0500000US06045","Mendocino County, California","13553","745","null","null","12457","null","691","null","3","null","10","null","11","null","10","null","77","null","51","null","201","112","null","null","454","null","259","null","242","null","104","null","138","null","71","null","221","null","100","null","305","null","141","null","253","null","179","null","233","null","130","null","163","null","82","null","263","null","143","null","271","null","144","null","289","null","122","null","652","198","null","null","838","null","270","null","3002","null","456","null","1651","null","284","null","2284","null","318","null","657","null","192","null","155","null","81","null","49","null","46","null","45","51","null","null","1096","null","227","null",
"0500000US06047","Merced County, California","38826","912","null","null","35916","null","982","null","11","null","18","null","39","null","47","null","39","null","35","null","236","133","null","null","257","null","111","null","402","null","123","null","307","null","126","null","330","null","113","null","481","null","112","null","505","null","153","null","1127","null","265","null","934","null","258","null","1347","null","296","null","1866","null","333","null","1291","null","257","null","3201","525","null","null","3776","null","513","null","8350","null","538","null","5398","null","593","null","4917","null","527","null","803","null","239","null","145","null","87","null","17","null","19","null","137","93","null","null","2910","null","455","null",
