"GEO_ID","NAME","B03002_001E","B03002_001EA","B03002_001M","B03002_001MA","B03002_002E","B03002_002M","B03002_002MA","B03002_002EA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004EA","B03002_004M","B03002_004MA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017M","B03002_017MA","B03002_017EA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"0500000US06047","Merced County, California","265001","null","*****","*****","112526","*****","*****","null","78119","227","null","null","8221","null","294","null","807","null","185","null","19377","460","null","null","500","212","null","null","523","null","270","null","4979","null","586","null","159","null","102","null","4820","575","null","null","152475","*****","*****","null","77120","null","2748","null","681","353","null","null","1058","null","349","null","466","null","244","null","37","43","null","null","66342","null","2827","null","6771","886","null","null","4634","null","754","null","2137","null","488","null",
"0500000US06049","Modoc County, California","9033","null","*****","*****","7698","*****","*****","null","7014","7","null","null","82","null","52","null","367","null","91","null","110","95","null","null","8","7","null","null","5","null","7","null","112","null","54","null","7","null","15","null","105","53","null","null","1335","*****","*****","null","1137","null","135","null","0","17","null","null","12","null","12","null","20","null","25","null","0","17","null","null","61","null","56","null","105","96","null","null","0","null","17","null","105","null","96","null",
"0500000US06051","Mono County, California","14051","null","*****","*****","10186","*****","*****","null","9254","6","null","null","74","null","55","null","317","null","100","null","167","149","null","null","0","19","null","null","0","null","19","null","374","null","186","null","3","null","6","null","371","186","null","null","3865","*****","*****","null","2663","null","546","null","16","26","null","null","67","null","75","null","0","null","19","null","0","19","null","null","1064","null","492","null","55","76","null","null","55","null","76","null","0","null","19","null",
"0500000US06053","Monterey County, California","430201","null","*****","*****","183117","*****","*****","null","133626","264","null","null","10653","null","385","null","1085","null","242","null","24480","609","null","null","1983","126","null","null","662","null","311","null","10628","null","754","null","299","null","177","null","10329","768","null","null","247084","*****","*****","null","166984","null","4146","null","835","271","null","null","2088","null","505","null","715","null","230","null","93","60","null","null","69515","null","4081","null","6854","873","null","null","3477","null","551","null","3377","null","544","null",
"0500000US06055","Napa County, California","140823","null","*****","*****","93659","*****","*****","null","75647","207","null","null","2849","null","165","null","426","null","134","null","10735","272","null","null","250","106","null","null","471","null","210","null","3281","null","372","null","243","null","133","null","3038","380","null","null","47164","*****","*****","null","27472","null","1485","null","94","68","null","null","795","null","577","null","196","null","123","null","17","20","null","null","16803","null","1403","null","1787","462","null","null","1096","null","321","null","691","null","359","null",
"0500000US06057","Nevada County, California","98639","null","*****","*****","89620","*****","*****","null","84469","123","null","null","472","null","146","null","876","null","156","null","1246","177","null","null","57","51","null","null","100","null","104","null","2400","null","295","null","89","null","65","null","2311","296","null","null","9019","*****","*****","null","6504","null","714","null","23","31","null","null","252","null","262","null","35","null","38","null","18","18","null","null","1586","null","619","null","601","235","null","null","369","null","198","null","232","null","114","null",
"0500000US06059","Orange County, California","3132211","null","*****","*****","2061658","*****","*****","null","1314672","1006","null","null","47971","null","1102","null","6475","null","612","null","596998","2205","null","null","8847","503","null","null","5903","null","1031","null","80792","null","2623","null","3363","null","533","null","77429","2534","null","null","1070553","*****","*****","null","660077","null","7576","null","3548","566","null","null","6463","null","952","null","5015","null","610","null","705","239","null","null","356939","null","7349","null","37806","1985","null","null","20814","null","1315","null","16992","null","1407","null",
"0500000US06061","Placer County, California","370571","null","*****","*****","320667","*****","*****","null","275220","209","null","null","5162","null","334","null","1252","null","193","null","24485","632","null","null","529","152","null","null","335","null","148","null","13684","null","806","null","493","null","228","null","13191","775","null","null","49904","*****","*****","null","33194","null","1394","null","311","129","null","null","705","null","301","null","377","null","166","null","56","93","null","null","11200","null","1426","null","4061","578","null","null","1812","null","419","null","2249","null","461","null",
"0500000US06063","Plumas County, California","18754","null","*****","*****","17176","*****","*****","null","15697","135","null","null","26","null","24","null","352","null","144","null","171","60","null","null","190","167","null","null","91","null","135","null","649","null","167","null","0","null","19","null","649","167","null","null","1578","*****","*****","null","1103","null","170","null","0","19","null","null","65","null","44","null","0","null","19","null","0","19","null","null","250","null","130","null","160","96","null","null","55","null","57","null","105","null","84","null",
"0500000US06065","Riverside County, California","2323892","null","*****","*****","1220924","*****","*****","null","865631","744","null","null","137779","null","1630","null","9407","null","740","null","139108","1503","null","null","6262","430","null","null","3749","null","718","null","58988","null","2335","null","2891","null","614","null","56097","2283","null","null","1102968","*****","*****","null","604663","null","7972","null","7246","873","null","null","10798","null","1182","null","3959","null","649","null","653","184","null","null","432273","null","7985","null","43376","2381","null","null","25348","null","1769","null","18028","null","1452","null",
"0500000US06067","Sacramento County, California","1479300","null","*****","*****","1146333","*****","*****","null","685952","1043","null","null","141420","null","1739","null","6047","null","578","null","220310","1802","null","null","15090","616","null","null","5681","null","1267","null","71833","null","2316","null","3806","null","794","null","68027","2291","null","null","332967","*****","*****","null","190533","null","3860","null","5044","698","null","null","5086","null","849","null","3925","null","579","null","410","185","null","null","98711","null","3627","null","29258","2003","null","null","13223","null","1391","null","16035","null","1475","null",
"0500000US06069","San Benito County, California","58051","null","*****","*****","24187","*****","*****","null","20984","20","null","null","416","null","84","null","176","null","94","null","1447","144","null","null","89","44","null","null","78","null","71","null","997","null","188","null","5","null","6","null","992","189","null","null","33864","*****","*****","null","27678","null","783","null","24","26","null","null","269","null","150","null","70","null","54","null","21","33","null","null","4012","null","691","null","1790","470","null","null","968","null","358","null","822","null","293","null",
"0500000US06071","San Bernardino County, California","2106754","null","*****","*****","1017650","*****","*****","null","642786","636","null","null","170376","null","1959","null","6840","null","675","null","138751","1611","null","null","6368","366","null","null","4417","null","832","null","48112","null","2874","null","2761","null","662","null","45351","2700","null","null","1089104","*****","*****","null","663796","null","7637","null","10357","1259","null","null","10670","null","1574","null","3581","null","765","null","565","222","null","null","352287","null","7650","null","47848","2770","null","null","24651","null","1781","null","23197","null","2022","null",
"0500000US06073","San Diego County, California","3253356","null","*****","*****","2177037","*****","*****","null","1519704","890","null","null","154251","null","1525","null","11833","null","937","null","369052","2307","null","null","14043","704","null","null","5543","null","1045","null","102611","null","3149","null","3350","null","668","null","99261","3100","null","null","1076319","*****","*****","null","790342","null","7331","null","9677","975","null","null","9744","null","1292","null","7341","null","944","null","875","238","null","null","201586","null","5851","null","56754","3038","null","null","25806","null","1884","null","30948","null","2179","null",
"0500000US06075","San Francisco County, California","850282","null","*****","*****","720384","*****","*****","null","350088","468","null","null","43758","null","846","null","1427","null","246","null","285040","1626","null","null","2922","310","null","null","4217","null","785","null","32932","null","1639","null","1384","null","352","null","31548","1626","null","null","129898","*****","*****","null","59267","null","2310","null","1849","411","null","null","1495","null","419","null","2807","null","527","null","246","130","null","null","55469","null","2439","null","8765","839","null","null","4589","null","637","null","4176","null","573","null",
"0500000US06077","San Joaquin County, California","714860","null","*****","*****","425531","*****","*****","null","242025","292","null","null","47799","null","1006","null","1917","null","337","null","103998","1237","null","null","3697","251","null","null","906","null","261","null","25189","null","1754","null","1099","null","464","null","24090","1714","null","null","289329","*****","*****","null","160991","null","3977","null","2075","462","null","null","2591","null","538","null","2513","null","486","null","298","143","null","null","82341","null","3701","null","38520","2438","null","null","8271","null","964","null","30249","null","2542","null",
"0500000US06079","San Luis Obispo County, California","278680","null","*****","*****","217585","*****","*****","null","194201","85","null","null","5188","null","355","null","1004","null","216","null","10070","439","null","null","256","135","null","null","106","null","68","null","6760","null","652","null","259","null","153","null","6501","614","null","null","61095","*****","*****","null","43944","null","1683","null","328","236","null","null","946","null","374","null","305","null","151","null","0","28","null","null","13063","null","1555","null","2509","458","null","null","1119","null","296","null","1390","null","346","null",
"0500000US06081","San Mateo County, California","754748","null","*****","*****","565443","*****","*****","null","305123","483","null","null","17479","null","561","null","845","null","182","null","201128","1195","null","null","10395","369","null","null","2761","null","666","null","27712","null","1293","null","1506","null","462","null","26206","1214","null","null","189305","*****","*****","null","99338","null","3078","null","1054","299","null","null","1595","null","415","null","2798","null","658","null","220","104","null","null","74093","null","2935","null","10207","942","null","null","5499","null","738","null","4708","null","660","null",
"0500000US06083","Santa Barbara County, California","439395","null","*****","*****","244374","*****","*****","null","201836","170","null","null","7622","null","391","null","1400","null","188","null","22305","561","null","null","573","158","null","null","359","null","139","null","10279","null","738","null","179","null","89","null","10100","749","null","null","195021","*****","*****","null","123828","null","3388","null","1256","526","null","null","2762","null","613","null","1037","null","361","null","195","145","null","null","57498","null","3260","null","8445","1001","null","null","4346","null","708","null","4099","null","657","null",
