"GEO_ID","NAME","B03002_001E","B03002_001EA","B03002_001M","B03002_001MA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"0500000US06071","San Bernardino County, California","2162532","null","*****","*****","999494","null","*****","*****","596262","null","1514","null","166814","2622","null","null","7125","null","587","null","155280","null","1800","null","6058","513","null","null","4942","null","1472","null","63013","null","3408","null","4935","null","1107","null","58078","null","3335","null","1163038","*****","*****","null","616218","null","7307","null","9709","null","1200","null","11244","null","1649","null","4637","789","null","null","730","null","289","null","381456","null","7984","null","139044","null","5646","null","109812","4687","null","null","29232","2666","null","null",
"0500000US06073","San Diego County, California","3323970","null","*****","*****","2197704","null","*****","*****","1492165","null","1720","null","153310","2242","null","null","11828","null","688","null","388801","null","3248","null","12508","835","null","null","7871","null","1602","null","131221","null","4528","null","6702","null","1193","null","124519","null","4288","null","1126266","*****","*****","null","721443","null","8364","null","10732","null","1214","null","12545","null","1873","null","9725","1138","null","null","1219","null","363","null","215717","null","7368","null","154885","null","6567","null","117141","6128","null","null","37744","2532","null","null",
"0500000US06075","San Francisco County, California","874784","null","*****","*****","741919","null","*****","*****","348449","null","913","null","42803","901","null","null","1796","null","316","null","297279","null","2112","null","3022","235","null","null","4778","null","1111","null","43792","null","2306","null","3187","null","764","null","40605","null","2249","null","132865","*****","*****","null","44027","null","2189","null","2127","null","627","null","2004","null","716","null","3060","708","null","null","157","null","98","null","62580","null","2989","null","18910","null","1773","null","13341","1684","null","null","5569","793","null","null",
"0500000US06077","San Joaquin County, California","751615","null","*****","*****","438230","null","*****","*****","230857","null","592","null","50920","1126","null","null","1447","null","283","null","116618","null","2038","null","4228","283","null","null","2043","null","564","null","32117","null","2485","null","2918","null","1034","null","29199","null","2364","null","313385","*****","*****","null","156308","null","3975","null","2196","null","631","null","3248","null","756","null","2828","570","null","null","369","null","176","null","74357","null","3967","null","74079","null","4079","null","31005","3168","null","null","43074","2758","null","null",
"0500000US06079","San Luis Obispo County, California","282517","null","*****","*****","218242","null","*****","*****","192959","null","484","null","4476","423","null","null","1166","null","198","null","9996","null","540","null","258","104","null","null","546","null","213","null","8841","null","807","null","1342","null","517","null","7499","null","798","null","64275","*****","*****","null","40338","null","1457","null","389","null","180","null","1217","null","419","null","563","234","null","null","0","null","31","null","11889","null","1172","null","9879","null","1332","null","7860","1244","null","null","2019","512","null","null",
"0500000US06081","San Mateo County, California","765623","null","*****","*****","581133","null","*****","*****","295172","null","632","null","16772","702","null","null","1021","null","249","null","222208","null","1856","null","9398","650","null","null","4058","null","966","null","32504","null","1944","null","3192","null","711","null","29312","null","1674","null","184490","*****","*****","null","74752","null","3267","null","1332","null","350","null","2896","null","809","null","2819","519","null","null","213","null","122","null","77292","null","3967","null","25186","null","2534","null","17751","2260","null","null","7435","984","null","null",
"0500000US06083","Santa Barbara County, California","444895","null","*****","*****","241688","null","*****","*****","195329","null","392","null","7910","450","null","null","1596","null","251","null","23789","null","619","null","349","107","null","null","1041","null","298","null","11674","null","763","null","692","null","252","null","10982","null","711","null","203207","*****","*****","null","124218","null","3292","null","564","null","268","null","3345","null","673","null","889","251","null","null","179","null","152","null","42400","null","2873","null","31612","null","2851","null","26046","2789","null","null","5566","936","null","null",
"0500000US06085","Santa Clara County, California","1924379","null","*****","*****","1442278","null","*****","*****","589644","null","904","null","44917","1163","null","null","3063","null","470","null","720355","null","2334","null","6310","601","null","null","5631","null","947","null","72358","null","2743","null","5249","null","960","null","67109","null","2735","null","482101","*****","*****","null","211737","null","4847","null","2462","null","551","null","6927","null","1127","null","4500","955","null","null","639","null","203","null","184337","null","5729","null","71499","null","4196","null","53867","3618","null","null","17632","1883","null","null",
"0500000US06087","Santa Cruz County, California","273170","null","*****","*****","181294","null","*****","*****","155409","null","328","null","2610","333","null","null","305","null","121","null","12944","null","477","null","295","120","null","null","847","null","260","null","8884","null","649","null","574","null","246","null","8310","null","583","null","91876","*****","*****","null","40372","null","2679","null","862","null","409","null","1403","null","453","null","619","210","null","null","189","null","120","null","38131","null","2844","null","10300","null","1598","null","7887","1514","null","null","2413","515","null","null",
"0500000US06089","Shasta County, California","179267","null","*****","*****","160701","null","*****","*****","141585","null","468","null","1871","189","null","null","3613","null","390","null","5720","null","349","null","233","129","null","null","248","null","135","null","7431","null","625","null","725","null","423","null","6706","null","572","null","18566","*****","*****","null","11001","null","757","null","41","null","35","null","807","null","248","null","52","49","null","null","48","null","47","null","3677","null","711","null","2940","null","504","null","2318","426","null","null","622","275","null","null",
