"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012EA","B03002_012M","B03002_012MA","B03002_013E","B03002_013M","B03002_013MA","B03002_013EA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015M","B03002_015MA","B03002_015EA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017M","B03002_017MA","B03002_017EA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"0500000US06019","Fresno County, California","971616","*****","*****","null","462174","null","*****","*****","293677","575","null","null","45217","755","null","null","4197","518","null","null","96128","913","null","null","1316","null","199","null","1799","null","620","null","19840","null","1287","null","1197","438","null","null","18643","1143","null","null","509442","null","*****","*****","323645","5505","null","null","2498","515","null","null","5587","810","null","null","1838","501","null","null","631","371","null","null","156560","null","5101","null","18683","null","1934","null","8658","1276","null","null","10025","1265","null","null",
"0500000US06021","Glenn County, California","27935","*****","*****","null","16528","null","*****","*****","14663","4","null","null","212","79","null","null","468","91","null","null","729","108","null","null","82","null","81","null","0","null","23","null","374","null","134","null","2","4","null","null","372","134","null","null","11407","null","*****","*****","8528","658","null","null","8","11","null","null","73","61","null","null","0","23","null","null","31","47","null","null","2542","null","693","null","225","null","136","null","33","39","null","null","192","145","null","null",
"0500000US06023","Humboldt County, California","135490","*****","*****","null","120504","null","*****","*****","101460","218","null","null","1389","217","null","null","6196","490","null","null","3886","287","null","null","360","null","177","null","362","null","200","null","6851","null","582","null","242","168","null","null","6609","587","null","null","14986","null","*****","*****","7886","770","null","null","220","142","null","null","846","401","null","null","40","68","null","null","58","88","null","null","4956","null","874","null","980","null","319","null","338","142","null","null","642","275","null","null",
"0500000US06025","Imperial County, California","179957","*****","*****","null","29849","null","*****","*****","20372","119","null","null","4109","318","null","null","1087","153","null","null","2263","195","null","null","152","null","15","null","138","null","114","null","1728","null","426","null","36","34","null","null","1692","422","null","null","150108","null","*****","*****","96816","3019","null","null","676","275","null","null","892","442","null","null","321","158","null","null","109","99","null","null","44703","null","2734","null","6591","null","1158","null","3800","775","null","null","2791","819","null","null",
"0500000US06027","Inyo County, California","18195","*****","*****","null","14301","null","*****","*****","11557","15","null","null","172","28","null","null","1956","67","null","null","270","61","null","null","34","null","4","null","15","null","14","null","297","null","88","null","3","5","null","null","294","89","null","null","3894","null","*****","*****","3128","227","null","null","2","4","null","null","137","69","null","null","2","4","null","null","0","19","null","null","394","null","177","null","231","null","153","null","190","151","null","null","41","45","null","null",
"0500000US06029","Kern County, California","878744","*****","*****","null","419837","null","*****","*****","310638","420","null","null","45024","785","null","null","4214","455","null","null","39808","849","null","null","1029","null","179","null","996","null","402","null","18128","null","1416","null","1381","607","null","null","16747","1245","null","null","458907","null","*****","*****","349558","5332","null","null","3054","796","null","null","5525","1538","null","null","1455","350","null","null","591","445","null","null","87407","null","4758","null","11317","null","1203","null","6746","993","null","null","4571","748","null","null",
"0500000US06031","Kings County, California","150183","*****","*****","null","69468","null","*****","*****","49728","110","null","null","8916","371","null","null","1200","145","null","null","5463","420","null","null","332","null","50","null","211","null","131","null","3618","null","596","null","136","97","null","null","3482","560","null","null","80715","null","*****","*****","49389","1974","null","null","681","269","null","null","1059","247","null","null","231","182","null","null","35","37","null","null","26631","null","1970","null","2689","null","565","null","1043","316","null","null","1646","433","null","null",
"0500000US06033","Lake County, California","64095","*****","*****","null","51650","null","*****","*****","45957","45","null","null","1362","164","null","null","2045","190","null","null","920","174","null","null","32","null","36","null","90","null","88","null","1244","null","303","null","33","30","null","null","1211","307","null","null","12445","null","*****","*****","3884","686","null","null","131","101","null","null","156","104","null","null","33","35","null","null","1","3","null","null","7861","null","729","null","379","null","189","null","205","119","null","null","174","120","null","null",
"0500000US06035","Lassen County, California","31470","*****","*****","null","25641","null","*****","*****","20812","20","null","null","2708","61","null","null","913","92","null","null","462","40","null","null","219","null","36","null","16","null","18","null","511","null","111","null","26","28","null","null","485","114","null","null","5829","null","*****","*****","4803","211","null","null","40","33","null","null","55","31","null","null","1","2","null","null","0","26","null","null","849","null","211","null","81","null","44","null","63","38","null","null","18","22","null","null",
"0500000US06037","Los Angeles County, California","10105722","*****","*****","null","5212143","null","*****","*****","2676982","1326","null","null","799579","2518","null","null","19915","985","null","null","1442577","3080","null","null","24950","null","697","null","28960","null","1931","null","219180","null","4288","null","13676","986","null","null","205504","4218","null","null","4893579","null","*****","*****","2555853","18257","null","null","29402","2005","null","null","48296","2852","null","null","17931","1237","null","null","2741","522","null","null","2072124","null","20706","null","167232","null","4976","null","94523","3589","null","null","72709","3233","null","null",
"0500000US06039","Madera County, California","154440","*****","*****","null","66588","null","*****","*****","54145","145","null","null","4753","344","null","null","1647","263","null","null","3035","219","null","null","190","null","45","null","351","null","177","null","2467","null","481","null","178","128","null","null","2289","458","null","null","87852","null","*****","*****","64245","2207","null","null","185","121","null","null","909","477","null","null","268","186","null","null","34","56","null","null","19730","null","1937","null","2481","null","719","null","1730","566","null","null","751","398","null","null",
"0500000US06041","Marin County, California","260814","*****","*****","null","219423","null","*****","*****","186382","569","null","null","5463","431","null","null","391","133","null","null","14754","413","null","null","301","null","128","null","2663","null","626","null","9469","null","658","null","309","147","null","null","9160","632","null","null","41391","null","*****","*****","17516","1449","null","null","296","224","null","null","298","187","null","null","158","85","null","null","191","184","null","null","20116","null","1538","null","2816","null","629","null","1494","442","null","null","1322","420","null","null",
"0500000US06043","Mariposa County, California","17658","*****","*****","null","15788","null","*****","*****","14309","14","null","null","215","127","null","null","416","193","null","null","168","78","null","null","56","null","56","null","0","null","19","null","624","null","194","null","9","14","null","null","615","192","null","null","1870","null","*****","*****","1406","171","null","null","0","19","null","null","51","47","null","null","0","19","null","null","0","19","null","null","309","null","133","null","104","null","88","null","52","61","null","null","52","58","null","null",
"0500000US06045","Mendocino County, California","87497","*****","*****","null","66095","null","*****","*****","57682","58","null","null","560","94","null","null","2853","313","null","null","1495","168","null","null","186","null","27","null","245","null","153","null","3074","null","385","null","54","45","null","null","3020","379","null","null","21402","null","*****","*****","14696","1091","null","null","60","46","null","null","850","461","null","null","14","23","null","null","0","29","null","null","4399","null","923","null","1383","null","365","null","424","210","null","null","959","311","null","null",
"0500000US06047","Merced County, California","267390","*****","*****","null","111740","null","*****","*****","77092","253","null","null","8007","380","null","null","797","165","null","null","19593","533","null","null","380","null","228","null","486","null","267","null","5385","null","731","null","120","90","null","null","5265","720","null","null","155650","null","*****","*****","76557","2888","null","null","614","306","null","null","1029","458","null","null","631","326","null","null","76","57","null","null","69980","null","2998","null","6763","null","1070","null","4841","916","null","null","1922","495","null","null",
