"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012EA","B03002_012M","B03002_012MA","B03002_013E","B03002_013M","B03002_013MA","B03002_013EA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015M","B03002_015MA","B03002_015EA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017M","B03002_017MA","B03002_017EA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"0500000US06073","San Diego County, California","3283665","*****","*****","null","2188207","null","*****","*****","1517153","1001","null","null","154599","1656","null","null","11725","805","null","null","376669","2549","null","null","13122","null","657","null","6531","null","1105","null","108408","null","3098","null","2838","701","null","null","105570","2995","null","null","1095458","null","*****","*****","808281","7852","null","null","9972","1177","null","null","9339","1367","null","null","7485","996","null","null","1060","293","null","null","201109","null","5856","null","58212","null","2955","null","25946","1913","null","null","32266","2149","null","null",
"0500000US06075","San Francisco County, California","864263","*****","*****","null","732314","null","*****","*****","353000","425","null","null","43961","824","null","null","1435","285","null","null","292694","1470","null","null","2925","null","320","null","4369","null","903","null","33930","null","1645","null","1432","366","null","null","32498","1603","null","null","131949","null","*****","*****","55266","2446","null","null","1693","406","null","null","1871","597","null","null","2653","517","null","null","301","147","null","null","60431","null","2740","null","9734","null","974","null","5378","762","null","null","4356","577","null","null",
"0500000US06077","San Joaquin County, California","724153","*****","*****","null","428547","null","*****","*****","240170","274","null","null","48175","1043","null","null","1668","335","null","null","106817","1213","null","null","3781","null","308","null","874","null","253","null","27062","null","1637","null","1397","610","null","null","25665","1590","null","null","295606","null","*****","*****","164636","4349","null","null","2258","532","null","null","2636","524","null","null","2542","639","null","null","452","167","null","null","79662","null","4133","null","43420","null","2711","null","7893","1044","null","null","35527","2606","null","null",
"0500000US06079","San Luis Obispo County, California","280119","*****","*****","null","217945","null","*****","*****","194355","102","null","null","4958","391","null","null","1237","198","null","null","9998","418","null","null","280","null","184","null","109","null","69","null","7008","null","662","null","253","143","null","null","6755","636","null","null","62174","null","*****","*****","46229","1485","null","null","435","213","null","null","804","344","null","null","278","127","null","null","0","29","null","null","11695","null","1457","null","2733","null","500","null","1311","363","null","null","1422","371","null","null",
"0500000US06081","San Mateo County, California","763450","*****","*****","null","573405","null","*****","*****","304751","570","null","null","17457","655","null","null","985","238","null","null","207572","1016","null","null","10554","null","391","null","2650","null","582","null","29436","null","1352","null","1517","436","null","null","27919","1357","null","null","190045","null","*****","*****","92967","3465","null","null","1120","296","null","null","1626","399","null","null","3244","812","null","null","243","111","null","null","79581","null","3867","null","11264","null","1219","null","5722","829","null","null","5542","902","null","null",
"0500000US06083","Santa Barbara County, California","442996","*****","*****","null","244440","null","*****","*****","200723","238","null","null","7469","449","null","null","1287","213","null","null","23003","580","null","null","494","null","101","null","536","null","204","null","10928","null","835","null","238","104","null","null","10690","818","null","null","198556","null","*****","*****","130104","3067","null","null","838","402","null","null","2582","549","null","null","924","357","null","null","238","226","null","null","55373","null","3154","null","8497","null","1102","null","3920","658","null","null","4577","808","null","null",
"0500000US06085","Santa Clara County, California","1911226","*****","*****","null","1412973","null","*****","*****","622266","846","null","null","45479","956","null","null","3104","351","null","null","667561","1975","null","null","6264","null","437","null","4509","null","946","null","63790","null","2456","null","3995","662","null","null","59795","2281","null","null","498253","null","*****","*****","247364","5991","null","null","2835","568","null","null","6169","1032","null","null","3950","582","null","null","1174","425","null","null","206369","null","6211","null","30392","null","1971","null","15685","1287","null","null","14707","1483","null","null",
"0500000US06087","Santa Cruz County, California","273263","*****","*****","null","182167","null","*****","*****","157988","277","null","null","2204","221","null","null","436","223","null","null","12022","379","null","null","165","null","80","null","460","null","190","null","8892","null","562","null","249","217","null","null","8643","476","null","null","91096","null","*****","*****","53128","2599","null","null","220","116","null","null","1071","352","null","null","525","190","null","null","96","66","null","null","32326","null","2681","null","3730","null","661","null","2024","504","null","null","1706","404","null","null",
"0500000US06089","Shasta County, California","178919","*****","*****","null","161701","null","*****","*****","143919","207","null","null","1951","258","null","null","3917","460","null","null","5195","345","null","null","124","null","128","null","106","null","67","null","6489","null","656","null","332","198","null","null","6157","652","null","null","17218","null","*****","*****","11619","787","null","null","56","40","null","null","487","209","null","null","115","87","null","null","29","36","null","null","3605","null","735","null","1307","null","306","null","795","261","null","null","512","169","null","null",
"0500000US06091","Sierra County, California","2885","179","null","null","2595","null","170","null","2509","163","null","null","4","6","null","null","28","27","null","null","0","12","null","null","0","null","12","null","0","null","12","null","54","null","42","null","0","12","null","null","54","42","null","null","290","null","58","null","288","57","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","1","null","3","null","1","null","3","null","0","12","null","null","1","3","null","null",
"0500000US06093","Siskiyou County, California","43530","*****","*****","null","38312","null","*****","*****","33587","19","null","null","669","81","null","null","1262","156","null","null","686","95","null","null","127","null","44","null","35","null","44","null","1946","null","199","null","28","21","null","null","1918","196","null","null","5218","null","*****","*****","3477","260","null","null","6","7","null","null","249","104","null","null","1","3","null","null","34","38","null","null","655","null","183","null","796","null","221","null","269","134","null","null","527","174","null","null",
"0500000US06095","Solano County, California","434981","*****","*****","null","322883","null","*****","*****","169436","314","null","null","59862","865","null","null","1101","236","null","null","64546","957","null","null","3698","null","249","null","927","null","343","null","23313","null","1419","null","737","207","null","null","22576","1438","null","null","112098","null","*****","*****","59915","2599","null","null","1890","501","null","null","1005","311","null","null","1886","377","null","null","120","98","null","null","38589","null","2334","null","8693","null","938","null","4173","765","null","null","4520","693","null","null",
"0500000US06097","Sonoma County, California","500943","*****","*****","null","368925","null","*****","*****","319805","562","null","null","6972","500","null","null","2602","390","null","null","19321","648","null","null","1453","null","218","null","2416","null","536","null","16356","null","812","null","325","170","null","null","16031","821","null","null","132018","null","*****","*****","57596","3024","null","null","876","296","null","null","3148","987","null","null","284","188","null","null","224","195","null","null","59685","null","3259","null","10205","null","1230","null","4978","973","null","null","5227","826","null","null",
"0500000US06099","Stanislaus County, California","535684","*****","*****","null","294868","null","*****","*****","232230","419","null","null","13607","605","null","null","2234","418","null","null","28680","802","null","null","3433","null","357","null","889","null","440","null","13795","null","1059","null","649","281","null","null","13146","1078","null","null","240816","null","*****","*****","168431","3295","null","null","1514","479","null","null","1555","313","null","null","808","350","null","null","237","140","null","null","59077","null","3043","null","9194","null","1093","null","5372","851","null","null","3822","693","null","null",
"0500000US06101","Sutter County, California","95583","*****","*****","null","66673","null","*****","*****","45239","81","null","null","1768","220","null","null","644","128","null","null","14467","527","null","null","351","null","32","null","163","null","122","null","4041","null","551","null","274","202","null","null","3767","502","null","null","28910","null","*****","*****","21972","1003","null","null","202","156","null","null","260","129","null","null","98","63","null","null","188","186","null","null","4022","null","710","null","2168","null","548","null","556","206","null","null","1612","446","null","null",
"0500000US06103","Tehama County, California","63247","*****","*****","null","47931","null","*****","*****","43779","62","null","null","376","89","null","null","951","245","null","null","907","103","null","null","25","null","26","null","26","null","33","null","1867","null","274","null","83","85","null","null","1784","273","null","null","15316","null","*****","*****","10592","845","null","null","3","7","null","null","554","368","null","null","0","29","null","null","2","4","null","null","3479","null","726","null","686","null","310","null","400","217","null","null","286","218","null","null",
"0500000US06105","Trinity County, California","13037","*****","*****","null","12100","null","*****","*****","10796","12","null","null","104","88","null","null","557","170","null","null","141","56","null","null","118","null","164","null","14","null","12","null","370","null","162","null","1","2","null","null","369","162","null","null","937","null","*****","*****","488","278","null","null","0","19","null","null","2","4","null","null","20","38","null","null","0","19","null","null","402","null","310","null","25","null","23","null","10","12","null","null","15","18","null","null",
"0500000US06107","Tulare County, California","458809","*****","*****","null","166942","null","*****","*****","135372","677","null","null","5973","254","null","null","3029","288","null","null","14622","739","null","null","526","null","101","null","711","null","683","null","6709","null","802","null","284","145","null","null","6425","777","null","null","291867","null","*****","*****","226539","3543","null","null","1204","449","null","null","2758","635","null","null","1459","1067","null","null","103","86","null","null","52108","null","3159","null","7696","null","1055","null","4238","854","null","null","3458","751","null","null",
"0500000US06109","Tuolumne County, California","53899","*****","*****","null","47514","null","*****","*****","43565","37","null","null","924","135","null","null","713","169","null","null","593","130","null","null","114","null","42","null","39","null","37","null","1566","null","267","null","6","11","null","null","1560","267","null","null","6385","null","*****","*****","3616","436","null","null","51","51","null","null","218","112","null","null","16","18","null","null","41","42","null","null","1597","null","397","null","846","null","245","null","390","180","null","null","456","164","null","null",
"0500000US06111","Ventura County, California","847834","*****","*****","null","489590","null","*****","*****","391128","256","null","null","13416","535","null","null","2439","340","null","null","59513","889","null","null","1212","null","173","null","873","null","234","null","21009","null","1119","null","562","159","null","null","20447","1119","null","null","358244","null","*****","*****","285882","3696","null","null","1389","372","null","null","4490","1024","null","null","1473","382","null","null","446","259","null","null","48640","null","3023","null","15924","null","1512","null","6380","806","null","null","9544","1247","null","null",
"0500000US06113","Yolo County, California","212605","*****","*****","null","145818","null","*****","*****","101045","217","null","null","4705","336","null","null","548","173","null","null","28880","715","null","null","848","null","169","null","412","null","226","null","9380","null","891","null","329","148","null","null","9051","911","null","null","66787","null","*****","*****","41796","1688","null","null","596","347","null","null","785","331","null","null","258","89","null","null","63","40","null","null","19425","null","1654","null","3864","null","675","null","1729","406","null","null","2135","467","null","null",
"0500000US06115","Yuba County, California","74644","*****","*****","null","54165","null","*****","*****","42018","56","null","null","2407","238","null","null","721","172","null","null","4700","346","null","null","257","null","45","null","126","null","112","null","3936","null","431","null","29","37","null","null","3907","440","null","null","20479","null","*****","*****","12583","1034","null","null","77","75","null","null","312","155","null","null","123","109","null","null","43","52","null","null","5143","null","872","null","2198","null","512","null","921","345","null","null","1277","419","null","null",
