"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002M","B03002_002MA","B03002_002EA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012EA","B03002_012M","B03002_012MA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017M","B03002_017MA","B03002_017EA","B03002_018E","B03002_018M","B03002_018MA","B03002_018EA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"0500000US06081","San Mateo County, California","739837","*****","*****","null","552202","*****","*****","null","304779","null","509","null","18352","652","null","null","994","243","null","null","189837","null","1199","null","10176","360","null","null","2742","757","null","null","25322","null","1327","null","1214","null","324","null","24108","1300","null","null","187635","null","*****","*****","112359","null","3486","null","1151","361","null","null","1530","null","446","null","2812","null","537","null","287","168","null","null","59155","3549","null","null","10341","1152","null","null","5616","null","773","null","4725","755","null","null",
"0500000US06083","Santa Barbara County, California","431555","*****","*****","null","242812","*****","*****","null","201923","null","250","null","6934","376","null","null","2041","239","null","null","20899","null","548","null","657","131","null","null","583","188","null","null","9775","null","687","null","179","null","131","null","9596","672","null","null","188743","null","*****","*****","117567","null","3550","null","1537","526","null","null","2331","null","489","null","839","null","319","null","175","138","null","null","58328","3503","null","null","7966","975","null","null","4454","null","748","null","3512","576","null","null",
"0500000US06085","Santa Clara County, California","1841569","*****","*****","null","1349023","*****","*****","null","627346","null","555","null","44910","647","null","null","3766","453","null","null","606174","null","1837","null","6185","483","null","null","3595","626","null","null","57047","null","2250","null","3850","null","718","null","53197","2287","null","null","492546","null","*****","*****","279990","null","4780","null","3750","901","null","null","5892","null","973","null","4742","null","646","null","554","239","null","null","170832","5062","null","null","26786","1724","null","null","14743","null","1302","null","12043","1112","null","null",
"0500000US06087","Santa Cruz County, California","267203","*****","*****","null","179797","*****","*****","null","156915","null","270","null","2269","209","null","null","879","258","null","null","11036","null","517","null","369","123","null","null","343","171","null","null","7986","null","758","null","599","null","376","null","7387","627","null","null","87406","null","*****","*****","58917","null","2143","null","190","100","null","null","731","null","309","null","650","null","216","null","15","23","null","null","23741","2025","null","null","3162","563","null","null","1865","null","441","null","1297","347","null","null",
"0500000US06089","Shasta County, California","178520","*****","*****","null","162612","*****","*****","null","145485","null","261","null","1692","209","null","null","3650","375","null","null","4397","null","383","null","317","84","null","null","216","169","null","null","6855","null","607","null","188","null","178","null","6667","582","null","null","15908","null","*****","*****","10074","null","781","null","67","64","null","null","564","null","259","null","65","null","52","null","9","16","null","null","3809","778","null","null","1320","317","null","null","715","null","218","null","605","248","null","null",
"0500000US06091","Sierra County, California","3019","190","null","null","2736","173","null","null","2636","null","173","null","4","5","null","null","21","22","null","null","3","null","4","null","16","22","null","null","0","12","null","null","56","null","51","null","0","null","12","null","56","51","null","null","283","null","62","null","157","null","69","null","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","126","102","null","null","0","12","null","null","0","null","12","null","0","12","null","null",
"0500000US06093","Siskiyou County, California","44261","*****","*****","null","39338","*****","*****","null","34749","null","13","null","565","98","null","null","1207","170","null","null","627","null","124","null","134","15","null","null","6","9","null","null","2050","null","223","null","8","null","8","null","2042","222","null","null","4923","null","*****","*****","3365","null","194","null","9","10","null","null","119","null","63","null","0","null","26","null","99","105","null","null","646","155","null","null","685","145","null","null","146","null","73","null","539","130","null","null",
"0500000US06095","Solano County, California","421624","*****","*****","null","316759","*****","*****","null","169041","null","275","null","57919","1029","null","null","1389","206","null","null","61667","null","960","null","3562","234","null","null","1126","548","null","null","22055","null","1454","null","805","null","289","null","21250","1475","null","null","104865","null","*****","*****","57628","null","2555","null","1591","555","null","null","951","null","293","null","1566","null","391","null","92","63","null","null","35644","2453","null","null","7393","1053","null","null","4476","null","770","null","2917","616","null","null",
"0500000US06097","Sonoma County, California","491790","*****","*****","null","366116","*****","*****","null","320735","null","356","null","6594","485","null","null","3213","436","null","null","19295","null","666","null","1555","184","null","null","1238","394","null","null","13486","null","948","null","293","null","133","null","13193","929","null","null","125674","null","*****","*****","66309","null","2997","null","896","315","null","null","2906","null","983","null","516","null","251","null","318","211","null","null","48028","2955","null","null","6701","988","null","null","3061","null","571","null","3640","802","null","null",
"0500000US06099","Stanislaus County, California","522794","*****","*****","null","297781","*****","*****","null","237248","null","545","null","13055","472","null","null","2541","314","null","null","26684","null","986","null","3539","223","null","null","1108","562","null","null","13606","null","1207","null","979","null","397","null","12627","1149","null","null","225013","null","*****","*****","159380","null","3530","null","1401","404","null","null","1710","null","443","null","897","null","350","null","334","183","null","null","51338","3429","null","null","9953","1099","null","null","5228","null","828","null","4725","735","null","null",
"0500000US06101","Sutter County, California","95067","*****","*****","null","67136","*****","*****","null","46558","null","87","null","1744","185","null","null","793","206","null","null","13848","null","441","null","303","65","null","null","164","102","null","null","3726","null","484","null","327","null","178","null","3399","465","null","null","27931","null","*****","*****","18698","null","954","null","181","166","null","null","457","null","260","null","56","null","53","null","0","29","null","null","6925","847","null","null","1614","413","null","null","572","null","183","null","1042","332","null","null",
"0500000US06103","Tehama County, California","63284","*****","*****","null","48745","*****","*****","null","44728","null","60","null","286","136","null","null","1093","224","null","null","798","null","136","null","70","38","null","null","21","22","null","null","1749","null","334","null","103","null","87","null","1646","314","null","null","14539","null","*****","*****","10244","null","849","null","29","45","null","null","455","null","312","null","7","null","10","null","0","29","null","null","2985","742","null","null","819","294","null","null","481","null","214","null","338","198","null","null",
"0500000US06105","Trinity County, California","13515","*****","*****","null","12555","*****","*****","null","11235","null","20","null","110","86","null","null","374","170","null","null","152","null","51","null","74","100","null","null","14","20","null","null","596","null","199","null","0","null","19","null","596","199","null","null","960","null","*****","*****","682","null","144","null","0","19","null","null","13","null","22","null","7","null","9","null","0","19","null","null","102","74","null","null","156","111","null","null","13","null","19","null","143","113","null","null",
"0500000US06107","Tulare County, California","451108","*****","*****","null","172086","*****","*****","null","141322","null","261","null","5997","305","null","null","3241","327","null","null","14268","null","607","null","462","127","null","null","352","251","null","null","6444","null","728","null","175","null","97","null","6269","728","null","null","279022","null","*****","*****","224501","null","3363","null","1887","557","null","null","2498","null","580","null","714","null","388","null","45","57","null","null","39988","2978","null","null","9389","1406","null","null","5058","null","1190","null","4331","792","null","null",
"0500000US06109","Tuolumne County, California","54347","*****","*****","null","48299","*****","*****","null","44017","null","504","null","998","126","null","null","769","165","null","null","725","null","82","null","71","60","null","null","383","508","null","null","1336","null","202","null","20","null","21","null","1316","201","null","null","6048","null","*****","*****","3816","null","304","null","20","20","null","null","137","null","68","null","45","null","42","null","37","38","null","null","1513","309","null","null","480","163","null","null","186","null","99","null","294","131","null","null",
"0500000US06111","Ventura County, California","835790","*****","*****","null","491270","*****","*****","null","397118","null","320","null","13499","494","null","null","2194","328","null","null","57102","null","880","null","1137","184","null","null","682","261","null","null","19538","null","1110","null","795","null","291","null","18743","1060","null","null","344520","null","*****","*****","252160","null","3938","null","1536","392","null","null","3767","null","706","null","1377","null","367","null","247","195","null","null","70316","3802","null","null","15117","1413","null","null","7681","null","1053","null","7436","1003","null","null",
"0500000US06113","Yolo County, California","204162","*****","*****","null","140913","*****","*****","null","99540","null","263","null","4605","342","null","null","963","255","null","null","26535","null","723","null","1023","83","null","null","432","189","null","null","7815","null","866","null","495","null","232","null","7320","858","null","null","63249","null","*****","*****","35250","null","1639","null","709","355","null","null","1150","null","334","null","419","null","167","null","141","122","null","null","21278","1591","null","null","4302","677","null","null","2436","null","621","null","1866","371","null","null",
"0500000US06115","Yuba County, California","73059","*****","*****","null","53878","*****","*****","null","41919","null","328","null","2261","267","null","null","762","224","null","null","5109","null","246","null","251","74","null","null","315","336","null","null","3261","null","456","null","11","null","15","null","3250","455","null","null","19181","null","*****","*****","9214","null","887","null","117","147","null","null","382","null","189","null","40","null","49","null","6","9","null","null","7157","941","null","null","2265","474","null","null","1560","null","460","null","705","277","null","null",
