"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002M","B03002_002MA","B03002_002EA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012EA","B03002_012M","B03002_012MA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017M","B03002_017MA","B03002_017EA","B03002_018E","B03002_018M","B03002_018MA","B03002_018EA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"0500000US06019","Fresno County, California","948844","*****","*****","null","462930","*****","*****","null","300279","null","601","null","45398","628","null","null","4635","413","null","null","90465","null","1053","null","1291","143","null","null","1762","581","null","null","19100","null","1301","null","1890","null","667","null","17210","1291","null","null","485914","null","*****","*****","255688","null","5700","null","2878","580","null","null","5255","null","939","null","1631","null","411","null","419","334","null","null","199729","5617","null","null","20314","1914","null","null","11627","null","1426","null","8687","1257","null","null",
"0500000US06021","Glenn County, California","28019","*****","*****","null","17113","*****","*****","null","15244","null","48","null","217","48","null","null","497","74","null","null","658","null","121","null","77","70","null","null","22","35","null","null","398","null","117","null","19","null","31","null","379","112","null","null","10906","null","*****","*****","8614","null","517","null","32","41","null","null","63","null","47","null","0","null","23","null","29","44","null","null","1718","473","null","null","450","242","null","null","315","null","204","null","135","116","null","null",
"0500000US06023","Humboldt County, California","134876","*****","*****","null","120936","*****","*****","null","102908","null","105","null","1581","205","null","null","6849","512","null","null","3053","null","349","null","422","77","null","null","279","130","null","null","5844","null","692","null","157","null","88","null","5687","706","null","null","13940","null","*****","*****","7687","null","599","null","174","133","null","null","665","null","319","null","4","null","7","null","0","29","null","null","3939","610","null","null","1471","403","null","null","899","null","318","null","572","209","null","null",
"0500000US06025","Imperial County, California","177026","*****","*****","null","32936","*****","*****","null","22957","null","109","null","4802","123","null","null","1289","204","null","null","2385","null","178","null","92","52","null","null","115","104","null","null","1296","null","311","null","108","null","94","null","1188","285","null","null","144090","null","*****","*****","97869","null","2592","null","403","140","null","null","1188","null","508","null","238","null","114","null","60","66","null","null","37232","2438","null","null","7100","1143","null","null","4311","null","911","null","2789","703","null","null",
"0500000US06027","Inyo County, California","18439","*****","*****","null","14709","*****","*****","null","11951","null","100","null","192","14","null","null","1937","67","null","null","240","null","41","null","35","5","null","null","72","100","null","null","282","null","86","null","1","null","2","null","281","86","null","null","3730","null","*****","*****","3316","null","140","null","10","10","null","null","68","null","45","null","10","null","22","null","24","36","null","null","231","113","null","null","71","51","null","null","42","null","42","null","29","29","null","null",
"0500000US06029","Kern County, California","857730","*****","*****","null","425360","*****","*****","null","319419","null","378","null","45563","1097","null","null","5496","493","null","null","36612","null","775","null","915","194","null","null","1153","359","null","null","16202","null","1298","null","1099","null","428","null","15103","1211","null","null","432370","null","*****","*****","313033","null","4371","null","2849","760","null","null","5116","null","1154","null","1274","null","366","null","163","129","null","null","96472","3795","null","null","13463","1304","null","null","7392","null","919","null","6071","985","null","null",
"0500000US06031","Kings County, California","151390","*****","*****","null","72479","*****","*****","null","52180","null","149","null","9412","263","null","null","1141","162","null","null","5285","null","347","null","325","69","null","null","373","190","null","null","3763","null","450","null","171","null","103","null","3592","415","null","null","78911","null","*****","*****","54742","null","1687","null","431","167","null","null","881","null","271","null","245","null","149","null","26","41","null","null","19914","1662","null","null","2672","521","null","null","1612","null","486","null","1060","284","null","null",
"0500000US06033","Lake County, California","64209","*****","*****","null","52608","*****","*****","null","46876","null","162","null","1430","109","null","null","1861","230","null","null","762","null","140","null","139","78","null","null","135","157","null","null","1405","null","300","null","34","null","41","null","1371","296","null","null","11601","null","*****","*****","4715","null","823","null","67","55","null","null","415","null","220","null","5","null","10","null","33","50","null","null","5864","837","null","null","502","213","null","null","297","null","161","null","205","116","null","null",
"0500000US06035","Lassen County, California","33356","*****","*****","null","27316","*****","*****","null","22024","null","132","null","2852","139","null","null","960","111","null","null","485","null","91","null","218","4","null","null","103","123","null","null","674","null","189","null","57","null","52","null","617","181","null","null","6040","null","*****","*****","2107","null","423","null","53","81","null","null","207","null","84","null","25","null","31","null","14","14","null","null","3235","379","null","null","399","125","null","null","338","null","123","null","61","36","null","null",
"0500000US06037","Los Angeles County, California","9974203","*****","*****","null","5173712","*****","*****","null","2711665","null","1600","null","802132","2642","null","null","18207","1056","null","null","1377333","null","3502","null","23921","594","null","null","24807","1707","null","null","215647","null","4558","null","15138","null","1139","null","200509","4362","null","null","4800491","null","*****","*****","2617668","null","18660","null","30121","1826","null","null","36202","null","2498","null","17016","null","1435","null","2153","461","null","null","1925133","20825","null","null","172198","5343","null","null","96368","null","3583","null","75830","3409","null","null",
"0500000US06039","Madera County, California","152452","*****","*****","null","68443","*****","*****","null","56174","null","156","null","4927","191","null","null","1661","334","null","null","3008","null","239","null","212","29","null","null","306","162","null","null","2155","null","477","null","139","null","97","null","2016","478","null","null","84009","null","*****","*****","69656","null","1466","null","455","205","null","null","626","null","235","null","327","null","223","null","42","47","null","null","9948","1233","null","null","2955","725","null","null","1720","null","423","null","1235","553","null","null",
"0500000US06041","Marin County, California","256802","*****","*****","null","216388","*****","*****","null","185603","null","289","null","6459","343","null","null","412","123","null","null","14464","null","518","null","537","75","null","null","1251","379","null","null","7662","null","643","null","271","null","139","null","7391","621","null","null","40414","null","*****","*****","18372","null","1365","null","454","294","null","null","262","null","169","null","101","null","79","null","56","47","null","null","18413","1487","null","null","2756","727","null","null","1667","null","587","null","1089","381","null","null",
"0500000US06043","Mariposa County, California","17946","*****","*****","null","16217","*****","*****","null","14790","null","19","null","155","76","null","null","451","178","null","null","232","null","74","null","74","82","null","null","0","19","null","null","515","null","189","null","0","null","19","null","515","189","null","null","1729","null","*****","*****","1060","null","184","null","0","19","null","null","147","null","160","null","0","null","19","null","0","19","null","null","399","173","null","null","123","88","null","null","53","null","64","null","70","68","null","null",
"0500000US06045","Mendocino County, California","87612","*****","*****","null","67280","*****","*****","null","58871","null","124","null","631","125","null","null","3093","267","null","null","1560","null","165","null","184","11","null","null","332","164","null","null","2609","null","313","null","47","null","35","null","2562","308","null","null","20332","null","*****","*****","13270","null","1106","null","74","51","null","null","1076","null","317","null","10","null","13","null","2","5","null","null","5204","1019","null","null","696","253","null","null","418","null","224","null","278","122","null","null",
"0500000US06047","Merced County, California","261609","*****","*****","null","114339","*****","*****","null","79818","null","258","null","8676","307","null","null","922","199","null","null","19477","null","464","null","519","132","null","null","615","313","null","null","4312","null","613","null","338","null","159","null","3974","580","null","null","147270","null","*****","*****","88976","null","2622","null","439","166","null","null","1102","null","306","null","365","null","131","null","53","55","null","null","50334","2584","null","null","6001","915","null","null","3908","null","694","null","2093","542","null","null",
"0500000US06049","Modoc County, California","9335","*****","*****","null","7990","*****","*****","null","7301","null","17","null","108","100","null","null","220","106","null","null","38","null","35","null","0","17","null","null","0","17","null","null","323","null","121","null","17","null","26","null","306","120","null","null","1345","null","*****","*****","1095","null","115","null","0","17","null","null","16","null","21","null","14","null","18","null","0","17","null","null","131","84","null","null","89","65","null","null","0","null","17","null","89","65","null","null",
"0500000US06051","Mono County, California","14193","*****","*****","null","10350","*****","*****","null","9519","null","12","null","47","32","null","null","348","124","null","null","116","null","84","null","132","103","null","null","0","19","null","null","188","null","120","null","5","null","12","null","183","119","null","null","3843","null","*****","*****","2474","null","479","null","16","20","null","null","32","null","42","null","0","null","19","null","0","19","null","null","1270","485","null","null","51","41","null","null","30","null","27","null","21","32","null","null",
"0500000US06053","Monterey County, California","424927","*****","*****","null","185026","*****","*****","null","135763","null","204","null","10907","394","null","null","1251","222","null","null","25653","null","581","null","2049","111","null","null","445","251","null","null","8958","null","689","null","397","null","176","null","8561","640","null","null","239901","null","*****","*****","184076","null","3106","null","919","275","null","null","2910","null","700","null","844","null","193","null","134","83","null","null","44373","2862","null","null","6645","795","null","null","3442","null","616","null","3203","488","null","null",
"0500000US06055","Napa County, California","139253","*****","*****","null","93316","*****","*****","null","76531","null","107","null","2853","131","null","null","344","153","null","null","10201","null","385","null","346","85","null","null","222","146","null","null","2819","null","441","null","176","null","132","null","2643","398","null","null","45937","null","*****","*****","31012","null","1474","null","139","109","null","null","352","null","219","null","161","null","110","null","10","16","null","null","12132","1460","null","null","2131","456","null","null","1492","null","392","null","639","245","null","null",
"0500000US06057","Nevada County, California","98606","*****","*****","null","89855","*****","*****","null","84772","null","116","null","344","115","null","null","948","159","null","null","1446","null","219","null","151","53","null","null","70","83","null","null","2124","null","338","null","162","null","106","null","1962","324","null","null","8751","null","*****","*****","6563","null","497","null","14","19","null","null","30","null","27","null","30","null","44","null","14","14","null","null","1562","423","null","null","538","188","null","null","348","null","152","null","190","88","null","null",
"0500000US06059","Orange County, California","3086331","*****","*****","null","2035560","*****","*****","null","1323581","null","820","null","47072","1038","null","null","6264","515","null","null","569625","null","2563","null","8735","564","null","null","5183","883","null","null","75100","null","3137","null","3229","null","525","null","71871","3205","null","null","1050771","null","*****","*****","619094","null","8464","null","3694","697","null","null","5588","null","745","null","4036","null","568","null","737","319","null","null","381822","8909","null","null","35800","2039","null","null","20551","null","1454","null","15249","1300","null","null",
"0500000US06061","Placer County, California","361518","*****","*****","null","313718","*****","*****","null","270962","null","269","null","4504","331","null","null","1681","245","null","null","22855","null","787","null","574","178","null","null","487","193","null","null","12655","null","896","null","480","null","212","null","12175","856","null","null","47800","null","*****","*****","32547","null","1354","null","148","70","null","null","691","null","262","null","462","null","201","null","127","90","null","null","10266","1102","null","null","3559","634","null","null","1993","null","507","null","1566","399","null","null",
"0500000US06063","Plumas County, California","19286","*****","*****","null","17692","*****","*****","null","16295","null","19","null","135","91","null","null","454","175","null","null","198","null","49","null","160","172","null","null","0","19","null","null","450","null","129","null","0","null","19","null","450","129","null","null","1594","null","*****","*****","978","null","232","null","0","19","null","null","79","null","49","null","0","null","19","null","0","19","null","null","239","169","null","null","298","149","null","null","85","null","74","null","213","114","null","null",
"0500000US06065","Riverside County, California","2266899","*****","*****","null","1211872","*****","*****","null","868743","null","919","null","133798","1736","null","null","10236","693","null","null","134734","null","1568","null","6160","422","null","null","3811","801","null","null","54390","null","2485","null","3467","null","756","null","50923","2318","null","null","1055027","null","*****","*****","611789","null","8211","null","7552","971","null","null","11809","null","1580","null","3804","null","646","null","992","394","null","null","376121","8085","null","null","42960","2468","null","null","25051","null","1947","null","17909","1737","null","null",
"0500000US06067","Sacramento County, California","1450277","*****","*****","null","1130343","*****","*****","null","686482","null","987","null","140377","1475","null","null","6878","532","null","null","211277","null","2015","null","13978","601","null","null","4411","1016","null","null","66940","null","2402","null","3494","null","751","null","63446","2377","null","null","319934","null","*****","*****","179423","null","4196","null","5859","821","null","null","5498","null","873","null","3584","null","641","null","555","229","null","null","97525","3746","null","null","27490","1600","null","null","12504","null","1358","null","14986","1220","null","null",
"0500000US06069","San Benito County, California","56888","*****","*****","null","24231","*****","*****","null","21125","null","36","null","483","74","null","null","246","83","null","null","1108","null","233","null","71","79","null","null","23","37","null","null","1175","null","249","null","88","null","93","null","1087","219","null","null","32657","null","*****","*****","27008","null","913","null","91","81","null","null","167","null","137","null","97","null","69","null","13","22","null","null","4186","821","null","null","1095","303","null","null","664","null","286","null","431","171","null","null",
"0500000US06071","San Bernardino County, California","2078586","*****","*****","null","1028413","*****","*****","null","660447","null","640","null","170307","1770","null","null","7479","728","null","null","133270","null","1277","null","6465","326","null","null","4801","925","null","null","45644","null","2345","null","2210","null","542","null","43434","2238","null","null","1050173","null","*****","*****","645783","null","9711","null","9960","1440","null","null","11041","null","1709","null","3224","null","702","null","707","387","null","null","334230","9219","null","null","45228","2834","null","null","23519","null","1754","null","21709","2103","null","null",
"0500000US06073","San Diego County, California","3183143","*****","*****","null","2143391","*****","*****","null","1510851","null","695","null","150600","1505","null","null","11620","726","null","null","351811","null","2059","null","13400","737","null","null","4679","785","null","null","100430","null","2828","null","3747","null","551","null","96683","2761","null","null","1039752","null","*****","*****","748643","null","6485","null","9716","1025","null","null","9709","null","1272","null","6187","null","779","null","943","309","null","null","210586","5787","null","null","53968","2608","null","null","24656","null","1678","null","29312","2035","null","null",
"0500000US06075","San Francisco County, California","829072","*****","*****","null","702548","*****","*****","null","343368","null","433","null","45653","711","null","null","1680","328","null","null","276094","null","1332","null","3409","187","null","null","4109","765","null","null","28235","null","1445","null","1069","null","280","null","27166","1399","null","null","126524","null","*****","*****","66877","null","2605","null","1958","663","null","null","1444","null","456","null","2180","null","516","null","157","104","null","null","45431","2791","null","null","8477","833","null","null","4686","null","674","null","3791","569","null","null",
"0500000US06077","San Joaquin County, California","701050","*****","*****","null","422527","*****","*****","null","244319","null","252","null","47251","966","null","null","2585","345","null","null","100212","null","1249","null","3757","202","null","null","848","262","null","null","23555","null","1743","null","963","null","387","null","22592","1721","null","null","278523","null","*****","*****","161139","null","3115","null","3126","604","null","null","3449","null","769","null","2257","null","564","null","223","140","null","null","79633","2984","null","null","28696","2201","null","null","7304","null","944","null","21392","2159","null","null",
"0500000US06079","San Luis Obispo County, California","274184","*****","*****","null","215295","*****","*****","null","192262","null","328","null","5372","348","null","null","1021","178","null","null","9902","null","453","null","85","58","null","null","364","324","null","null","6289","null","564","null","223","null","104","null","6066","576","null","null","58889","null","*****","*****","39699","null","1929","null","419","253","null","null","1024","null","346","null","303","null","142","null","0","29","null","null","14796","1611","null","null","2648","555","null","null","1089","null","282","null","1559","465","null","null",
