"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012EA","B03002_012M","B03002_012MA","B03002_013E","B03002_013M","B03002_013MA","B03002_013EA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017M","B03002_017MA","B03002_017EA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"0500000US06019","Fresno County, California","908830","*****","*****","null","462103","null","*****","*****","308759","null","587","null","43673","779","null","null","4844","585","null","null","83715","null","995","null","1093","149","null","null","2470","680","null","null","17549","null","1351","null","1694","498","null","null","15855","1352","null","null","446727","null","*****","*****","247767","5227","null","null","2031","467","null","null","4432","null","827","null","1538","365","null","null","63","53","null","null","172942","null","5085","null","17954","1308","null","null","10372","null","1134","null","7582","null","807","null",
"0500000US06021","Glenn County, California","27935","*****","*****","null","17946","null","*****","*****","16033","null","36","null","197","70","null","null","616","107","null","null","629","null","144","null","9","18","null","null","32","36","null","null","430","null","159","null","3","7","null","null","427","159","null","null","9989","null","*****","*****","4982","610","null","null","0","132","null","null","135","null","127","null","0","132","null","null","0","132","null","null","4360","null","629","null","512","265","null","null","418","null","252","null","94","null","73","null",
"0500000US06023","Humboldt County, California","133058","*****","*****","null","120807","null","*****","*****","104123","null","136","null","1414","145","null","null","7369","382","null","null","2855","null","266","null","417","39","null","null","220","145","null","null","4409","null","466","null","54","50","null","null","4355","460","null","null","12251","null","*****","*****","5987","570","null","null","63","66","null","null","331","null","127","null","23","31","null","null","0","132","null","null","4037","null","476","null","1810","387","null","null","1417","null","374","null","393","null","157","null",
"0500000US06025","Imperial County, California","168052","*****","*****","null","35373","null","*****","*****","24627","null","143","null","5413","155","null","null","1689","124","null","null","2419","null","138","null","179","118","null","null","191","142","null","null","855","null","204","null","100","83","null","null","755","200","null","null","132679","null","*****","*****","91757","2338","null","null","411","175","null","null","1070","null","374","null","279","128","null","null","0","132","null","null","35488","null","2241","null","3674","645","null","null","2409","null","501","null","1265","null","397","null",
"0500000US06027","Inyo County, California","18434","*****","*****","null","15124","null","*****","*****","12442","null","133","null","176","23","null","null","1855","104","null","null","255","null","46","null","0","132","null","null","120","138","null","null","276","null","121","null","9","16","null","null","267","117","null","null","3310","null","*****","*****","1451","286","null","null","2","5","null","null","29","null","25","null","5","12","null","null","13","23","null","null","1682","null","312","null","128","69","null","null","71","null","50","null","57","null","48","null",
"0500000US06029","Kern County, California","815693","*****","*****","null","426937","null","*****","*****","327013","null","404","null","44029","893","null","null","4987","536","null","null","30995","null","651","null","840","156","null","null","1498","510","null","null","17575","null","1298","null","1526","445","null","null","16049","1083","null","null","388756","null","*****","*****","210397","5006","null","null","1244","344","null","null","3380","null","648","null","1102","352","null","null","107","85","null","null","158252","null","4937","null","14274","1470","null","null","9546","null","1243","null","4728","null","670","null",
"0500000US06031","Kings County, California","151122","*****","*****","null","76396","null","*****","*****","55385","null","106","null","10931","376","null","null","1445","135","null","null","5546","null","299","null","142","97","null","null","354","158","null","null","2593","null","547","null","195","93","null","null","2398","546","null","null","74726","null","*****","*****","51949","1719","null","null","552","232","null","null","486","null","203","null","264","165","null","null","0","132","null","null","19205","null","1625","null","2270","507","null","null","1653","null","465","null","617","null","193","null",
"0500000US06033","Lake County, California","64371","*****","*****","null","53866","null","*****","*****","48392","null","39","null","1367","108","null","null","1302","405","null","null","676","null","144","null","268","286","null","null","38","44","null","null","1823","null","435","null","21","30","null","null","1802","436","null","null","10505","null","*****","*****","6833","763","null","null","11","17","null","null","128","null","88","null","9","15","null","null","0","132","null","null","3031","null","763","null","493","245","null","null","201","null","169","null","292","null","167","null",
"0500000US06035","Lassen County, California","35081","*****","*****","null","29107","null","*****","*****","23606","null","138","null","2849","301","null","null","1129","237","null","null","642","null","147","null","201","90","null","null","171","149","null","null","509","null","187","null","8","14","null","null","501","183","null","null","5974","null","*****","*****","1380","351","null","null","140","152","null","null","154","null","107","null","15","18","null","null","0","132","null","null","3967","null","353","null","318","119","null","null","184","null","80","null","134","null","85","null",
"0500000US06037","Los Angeles County, California","9758256","*****","*****","null","5158998","null","*****","*****","2772785","null","1437","null","826481","2547","null","null","17423","1084","null","null","1324132","null","3308","null","24351","712","null","null","29308","1807","null","null","164518","null","4347","null","13290","1151","null","null","151228","4271","null","null","4599258","null","*****","*****","2189125","18396","null","null","26299","1721","null","null","30371","null","1931","null","15942","1328","null","null","2457","605","null","null","2190069","null","20842","null","144995","4561","null","null","97032","null","3631","null","47963","null","2729","null",
"0500000US06039","Madera County, California","147738","*****","*****","null","71019","null","*****","*****","58687","null","118","null","5318","151","null","null","1474","293","null","null","2715","null","186","null","163","51","null","null","94","76","null","null","2568","null","390","null","204","114","null","null","2364","386","null","null","76719","null","*****","*****","58900","1828","null","null","336","176","null","null","911","null","447","null","223","166","null","null","0","132","null","null","13427","null","1707","null","2922","844","null","null","1769","null","471","null","1153","null","592","null",
"0500000US06041","Marin County, California","248601","*****","*****","null","212772","null","*****","*****","184583","null","231","null","7054","322","null","null","386","83","null","null","13885","null","404","null","455","86","null","null","632","235","null","null","5777","null","505","null","285","121","null","null","5492","497","null","null","35829","null","*****","*****","15464","1592","null","null","416","241","null","null","298","null","225","null","94","68","null","null","14","18","null","null","17874","null","1673","null","1669","419","null","null","1005","null","268","null","664","null","284","null",
"0500000US06043","Mariposa County, California","18290","*****","*****","null","16591","null","*****","*****","15252","null","132","null","99","70","null","null","297","158","null","null","208","null","44","null","59","53","null","null","0","132","null","null","676","null","180","null","0","132","null","null","676","180","null","null","1699","null","*****","*****","1258","234","null","null","0","132","null","null","78","null","60","null","0","132","null","null","0","132","null","null","275","null","202","null","88","82","null","null","51","null","75","null","37","null","41","null",
"0500000US06045","Mendocino County, California","87487","*****","*****","null","69019","null","*****","*****","61160","null","94","null","619","110","null","null","3769","322","null","null","1501","null","115","null","183","24","null","null","60","62","null","null","1727","null","381","null","37","43","null","null","1690","381","null","null","18468","null","*****","*****","12036","931","null","null","243","209","null","null","428","null","283","null","83","99","null","null","0","132","null","null","4749","null","832","null","929","338","null","null","510","null","250","null","419","null","223","null",
"0500000US06047","Merced County, California","250699","*****","*****","null","115921","null","*****","*****","82907","null","295","null","8902","305","null","null","1286","334","null","null","18253","null","387","null","469","172","null","null","485","257","null","null","3619","null","629","null","308","184","null","null","3311","589","null","null","134778","null","*****","*****","83135","2709","null","null","879","357","null","null","1247","null","470","null","415","172","null","null","56","49","null","null","44955","null","2605","null","4091","673","null","null","2787","null","515","null","1304","null","416","null",
"0500000US06049","Modoc County, California","9605","*****","*****","null","8344","null","*****","*****","7610","null","132","null","96","63","null","null","337","109","null","null","124","null","132","null","25","31","null","null","0","132","null","null","152","null","92","null","0","132","null","null","152","92","null","null","1261","null","*****","*****","860","164","null","null","0","132","null","null","8","null","15","null","0","132","null","null","0","132","null","null","322","null","159","null","71","66","null","null","31","null","29","null","40","null","57","null",
"0500000US06051","Mono County, California","13905","*****","*****","null","10421","null","*****","*****","9644","null","95","null","102","109","null","null","379","162","null","null","34","null","44","null","115","134","null","null","0","132","null","null","147","null","128","null","61","95","null","null","86","86","null","null","3484","null","*****","*****","1724","535","null","null","16","30","null","null","295","null","373","null","3","6","null","null","0","132","null","null","1278","null","486","null","168","108","null","null","43","null","40","null","125","null","102","null",
"0500000US06053","Monterey County, California","407435","*****","*****","null","188567","null","*****","*****","139535","null","330","null","12089","316","null","null","1158","169","null","null","24523","null","603","null","1736","210","null","null","1105","356","null","null","8421","null","735","null","572","204","null","null","7849","710","null","null","218868","null","*****","*****","144862","3046","null","null","1002","354","null","null","2454","null","688","null","1030","372","null","null","49","45","null","null","63133","null","3264","null","6338","747","null","null","3761","null","594","null","2577","null","486","null",
"0500000US06055","Napa County, California","134051","*****","*****","null","92977","null","*****","*****","78109","null","144","null","2848","93","null","null","606","150","null","null","8519","null","317","null","362","69","null","null","304","172","null","null","2229","null","375","null","115","68","null","null","2114","366","null","null","41074","null","*****","*****","30268","1222","null","null","95","134","null","null","546","null","326","null","242","145","null","null","91","99","null","null","8339","null","1175","null","1493","373","null","null","1057","null","319","null","436","null","222","null",
"0500000US06057","Nevada County, California","98186","*****","*****","null","90273","null","*****","*****","85681","null","85","null","370","94","null","null","836","204","null","null","1247","null","188","null","127","52","null","null","67","51","null","null","1945","null","276","null","226","128","null","null","1719","285","null","null","7913","null","*****","*****","5278","594","null","null","62","75","null","null","625","null","459","null","31","42","null","null","86","123","null","null","1465","null","472","null","366","185","null","null","218","null","131","null","148","null","129","null",
"0500000US06059","Orange County, California","2965525","*****","*****","null","1991626","null","*****","*****","1349803","null","1077","null","45009","922","null","null","7309","527","null","null","517048","null","1745","null","8957","506","null","null","9363","1106","null","null","54137","null","1965","null","3765","500","null","null","50372","1952","null","null","973899","null","*****","*****","489873","7513","null","null","3352","607","null","null","5695","null","952","null","4220","691","null","null","608","261","null","null","442101","null","8071","null","28050","1820","null","null","18035","null","1388","null","10015","null","1016","null",
"0500000US06061","Placer County, California","336477","*****","*****","null","295271","null","*****","*****","259985","null","193","null","4220","285","null","null","2415","336","null","null","19406","null","609","null","699","132","null","null","736","228","null","null","7810","null","832","null","140","75","null","null","7670","820","null","null","41206","null","*****","*****","24184","1345","null","null","282","198","null","null","672","null","321","null","391","117","null","null","166","117","null","null","12277","null","1243","null","3234","575","null","null","2285","null","492","null","949","null","292","null",
