"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012EA","B03002_012M","B03002_012MA","B03002_013E","B03002_013M","B03002_013MA","B03002_013EA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017M","B03002_017MA","B03002_017EA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"0500000US06085","Santa Clara County, California","1739396","*****","*****","null","1283029","null","*****","*****","636231","null","649","null","41704","734","null","null","4603","408","null","null","542920","null","2098","null","5963","368","null","null","6099","927","null","null","45509","null","2180","null","3628","682","null","null","41881","2053","null","null","456367","null","*****","*****","243009","6058","null","null","2727","628","null","null","5302","null","1165","null","4287","749","null","null","534","230","null","null","178285","null","5855","null","22223","1799","null","null","13797","null","1507","null","8426","null","984","null",
"0500000US06087","Santa Cruz County, California","256901","*****","*****","null","177801","null","*****","*****","156672","null","219","null","2380","191","null","null","587","125","null","null","10148","null","390","null","390","104","null","null","596","207","null","null","7028","null","481","null","192","118","null","null","6836","480","null","null","79100","null","*****","*****","57617","1890","null","null","44","37","null","null","547","null","294","null","408","180","null","null","28","31","null","null","17648","null","1832","null","2808","482","null","null","1532","null","308","null","1276","null","359","null",
"0500000US06089","Shasta County, California","176906","*****","*****","null","162744","null","*****","*****","146929","null","212","null","1451","169","null","null","3652","553","null","null","4344","null","293","null","261","46","null","null","206","209","null","null","5901","null","619","null","46","36","null","null","5855","624","null","null","14162","null","*****","*****","9387","652","null","null","19","27","null","null","341","null","152","null","70","73","null","null","19","32","null","null","2800","null","587","null","1526","328","null","null","913","null","259","null","613","null","190","null",
"0500000US06091","Sierra County, California","3366","177","null","null","3102","null","165","null","3042","null","160","null","37","25","null","null","9","14","null","null","5","null","10","null","0","132","null","null","0","132","null","null","9","null","12","null","0","132","null","null","9","12","null","null","264","null","54","null","84","50","null","null","0","132","null","null","0","null","132","null","0","132","null","null","0","132","null","null","168","null","83","null","12","18","null","null","12","null","18","null","0","null","132","null",
"0500000US06093","Siskiyou County, California","44690","*****","*****","null","40236","null","*****","*****","35854","null","50","null","575","127","null","null","1248","194","null","null","564","null","77","null","98","25","null","null","29","45","null","null","1868","null","240","null","28","21","null","null","1840","244","null","null","4454","null","*****","*****","2923","320","null","null","2","5","null","null","103","null","79","null","0","132","null","null","2","5","null","null","616","null","165","null","808","276","null","null","293","null","114","null","515","null","248","null",
"0500000US06095","Solano County, California","410042","*****","*****","null","315210","null","*****","*****","171126","null","578","null","59514","835","null","null","1933","266","null","null","58114","null","1014","null","3333","241","null","null","2437","771","null","null","18753","null","1405","null","784","282","null","null","17969","1387","null","null","94832","null","*****","*****","40936","2071","null","null","1270","472","null","null","645","null","222","null","963","364","null","null","130","104","null","null","42579","null","2301","null","8309","910","null","null","5022","null","737","null","3287","null","679","null",
"0500000US06097","Sonoma County, California","474047","*****","*****","null","361963","null","*****","*****","320480","null","215","null","6629","418","null","null","3809","399","null","null","18438","null","511","null","1355","223","null","null","655","206","null","null","10597","null","831","null","460","246","null","null","10137","818","null","null","112084","null","*****","*****","64241","2430","null","null","368","168","null","null","1648","null","456","null","326","195","null","null","99","91","null","null","40772","null","2431","null","4630","783","null","null","2878","null","638","null","1752","null","453","null",
"0500000US06099","Stanislaus County, California","509682","*****","*****","null","302699","null","*****","*****","245803","null","277","null","13230","475","null","null","3126","420","null","null","26026","null","618","null","3101","157","null","null","696","276","null","null","10717","null","953","null","836","291","null","null","9881","889","null","null","206983","null","*****","*****","139331","2928","null","null","1011","332","null","null","1868","null","615","null","656","265","null","null","344","227","null","null","54292","null","2755","null","9481","1197","null","null","5582","null","871","null","3899","null","773","null",
"0500000US06101","Sutter County, California","93420","*****","*****","null","67475","null","*****","*****","48648","null","94","null","1452","176","null","null","613","136","null","null","12424","null","510","null","286","41","null","null","188","136","null","null","3864","null","518","null","80","53","null","null","3784","515","null","null","25945","null","*****","*****","12965","1218","null","null","53","47","null","null","617","null","258","null","109","81","null","null","9","16","null","null","10149","null","1110","null","2043","521","null","null","1241","null","445","null","802","null","274","null",
"0500000US06103","Tehama County, California","62575","*****","*****","null","49558","null","*****","*****","45764","null","44","null","374","98","null","null","1008","172","null","null","693","null","91","null","70","34","null","null","49","41","null","null","1600","null","219","null","30","28","null","null","1570","221","null","null","13017","null","*****","*****","6749","831","null","null","0","132","null","null","380","null","199","null","62","76","null","null","2","4","null","null","4948","null","760","null","876","269","null","null","671","null","246","null","205","null","130","null",
"0500000US06105","Trinity County, California","13701","*****","*****","null","12809","null","*****","*****","11482","null","33","null","54","48","null","null","220","90","null","null","161","null","14","null","44","41","null","null","22","33","null","null","826","null","101","null","16","25","null","null","810","107","null","null","892","null","*****","*****","602","197","null","null","0","132","null","null","9","null","15","null","5","8","null","null","0","132","null","null","229","null","190","null","47","39","null","null","15","null","24","null","32","null","32","null",
"0500000US06107","Tulare County, California","429404","*****","*****","null","176346","null","*****","*****","146711","null","238","null","5362","293","null","null","3251","346","null","null","13894","null","410","null","336","139","null","null","726","290","null","null","6066","null","623","null","524","195","null","null","5542","599","null","null","253058","null","*****","*****","185458","3127","null","null","932","315","null","null","1811","null","533","null","775","292","null","null","18","37","null","null","57626","null","3035","null","6438","970","null","null","4132","null","788","null","2306","null","484","null",
"0500000US06109","Tuolumne County, California","56074","*****","*****","null","50334","null","*****","*****","45999","null","463","null","1238","121","null","null","762","185","null","null","525","null","111","null","109","27","null","null","379","461","null","null","1322","null","259","null","65","55","null","null","1257","250","null","null","5740","null","*****","*****","2884","345","null","null","37","38","null","null","76","null","56","null","33","34","null","null","4","7","null","null","1852","null","335","null","854","244","null","null","627","null","191","null","227","null","154","null",
"0500000US06111","Ventura County, California","809080","*****","*****","null","493476","null","*****","*****","405113","null","401","null","13043","502","null","null","1952","277","null","null","54081","null","784","null","1303","204","null","null","1558","376","null","null","16426","null","1067","null","1175","362","null","null","15251","982","null","null","315604","null","*****","*****","154732","4473","null","null","1489","402","null","null","7929","null","1318","null","1652","447","null","null","108","87","null","null","136082","null","4687","null","13612","1468","null","null","8859","null","1140","null","4753","null","938","null",
"0500000US06113","Yolo County, California","196418","*****","*****","null","138455","null","*****","*****","100763","null","170","null","4408","351","null","null","1124","163","null","null","24964","null","542","null","959","61","null","null","529","207","null","null","5708","null","631","null","246","108","null","null","5462","614","null","null","57963","null","*****","*****","30578","1752","null","null","202","153","null","null","923","null","349","null","333","156","null","null","94","99","null","null","21233","null","1669","null","4600","558","null","null","2470","null","471","null","2130","null","459","null",
"0500000US06115","Yuba County, California","71160","*****","*****","null","54088","null","*****","*****","42363","null","283","null","1749","331","null","null","966","227","null","null","4823","null","352","null","248","57","null","null","332","283","null","null","3607","null","564","null","48","54","null","null","3559","576","null","null","17072","null","*****","*****","6929","894","null","null","24","37","null","null","361","null","198","null","51","55","null","null","0","132","null","null","8315","null","1002","null","1392","439","null","null","636","null","280","null","756","null","348","null",
