"GEO_ID","NAME","B03002_001E","B03002_001EA","B03002_001M","B03002_001MA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009M","B03002_009MA","B03002_009EA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012EA","B03002_012M","B03002_012MA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015M","B03002_015MA","B03002_015EA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"0500000US06039","Madera County, California","149611","null","*****","*****","70574","null","*****","*****","58157","null","138","null","4735","587","null","null","1707","null","279","null","2735","null","210","null","755","null","585","null","106","null","85","null","2379","438","null","null","196","112","null","null","2183","null","418","null","79037","null","*****","*****","62888","null","1617","null","227","132","null","null","834","366","null","null","245","null","163","null","0","null","95","null","12046","null","1270","null","2797","null","840","null","1522","540","null","null","1275","563","null","null",
"0500000US06041","Marin County, California","250666","null","*****","*****","213322","null","*****","*****","184503","null","220","null","6957","307","null","null","364","null","102","null","13924","null","499","null","507","null","77","null","591","null","208","null","6476","656","null","null","276","128","null","null","6200","null","653","null","37344","null","*****","*****","15830","null","1428","null","524","322","null","null","429","294","null","null","68","null","53","null","4","null","9","null","18637","null","1462","null","1852","null","395","null","1185","337","null","null","667","277","null","null",
"0500000US06043","Mariposa County, California","18290","null","*****","*****","16563","null","*****","*****","15209","null","4","null","180","58","null","null","288","null","144","null","200","null","57","null","46","null","46","null","0","null","95","null","640","173","null","null","2","4","null","null","638","null","173","null","1727","null","*****","*****","1148","null","226","null","0","95","null","null","47","47","null","null","0","null","95","null","4","null","9","null","458","null","249","null","70","null","85","null","43","76","null","null","27","30","null","null",
"0500000US06045","Mendocino County, California","87525","null","*****","*****","68561","null","*****","*****","60561","null","88","null","737","101","null","null","3584","null","397","null","1449","null","150","null","200","null","123","null","97","null","69","null","1933","469","null","null","29","40","null","null","1904","null","461","null","18964","null","*****","*****","12035","null","941","null","212","199","null","null","689","335","null","null","105","null","124","null","2","null","4","null","5030","null","809","null","891","null","281","null","570","220","null","null","321","173","null","null",
"0500000US06047","Merced County, California","253606","null","*****","*****","115632","null","*****","*****","82235","null","236","null","8925","257","null","null","1182","null","208","null","18640","null","458","null","487","null","139","null","447","null","250","null","3716","582","null","null","399","175","null","null","3317","null","490","null","137974","null","*****","*****","87994","null","2504","null","912","345","null","null","1435","450","null","null","264","null","118","null","30","null","25","null","43446","null","2328","null","3893","null","690","null","2558","528","null","null","1335","411","null","null",
"0500000US06049","Modoc County, California","9587","null","*****","*****","8297","null","*****","*****","7570","null","95","null","108","57","null","null","321","null","93","null","73","null","56","null","8","null","13","null","0","null","95","null","217","104","null","null","2","4","null","null","215","null","105","null","1290","null","*****","*****","822","null","184","null","0","95","null","null","6","12","null","null","0","null","95","null","0","null","95","null","389","null","186","null","73","null","66","null","15","20","null","null","58","65","null","null",
"0500000US06051","Mono County, California","14016","null","*****","*****","10403","null","*****","*****","9623","null","87","null","121","114","null","null","398","null","175","null","74","null","78","null","47","null","69","null","0","null","95","null","140","115","null","null","54","87","null","null","86","null","102","null","3613","null","*****","*****","1690","null","532","null","59","86","null","null","235","293","null","null","4","null","8","null","0","null","95","null","1459","null","580","null","166","null","107","null","33","35","null","null","133","96","null","null",
"0500000US06053","Monterey County, California","411385","null","*****","*****","186950","null","*****","*****","138147","null","230","null","11908","295","null","null","1278","null","189","null","24396","null","676","null","1826","null","183","null","843","null","293","null","8552","730","null","null","485","150","null","null","8067","null","742","null","224435","null","*****","*****","158117","null","3248","null","940","295","null","null","2548","733","null","null","1023","null","318","null","115","null","89","null","55513","null","3076","null","6179","null","859","null","3348","632","null","null","2831","548","null","null",
"0500000US06055","Napa County, California","135377","null","*****","*****","92774","null","*****","*****","77582","null","101","null","2635","196","null","null","454","null","181","null","8944","null","295","null","371","null","70","null","238","null","164","null","2550","354","null","null","85","40","null","null","2465","null","350","null","42603","null","*****","*****","32415","null","1368","null","75","96","null","null","528","304","null","null","265","null","174","null","70","null","87","null","7454","null","1274","null","1796","null","484","null","1046","321","null","null","750","358","null","null",
"0500000US06057","Nevada County, California","98392","null","*****","*****","90207","null","*****","*****","85453","null","80","null","455","102","null","null","743","null","198","null","1340","null","181","null","128","null","56","null","58","null","49","null","2030","270","null","null","234","107","null","null","1796","null","259","null","8185","null","*****","*****","5443","null","735","null","67","92","null","null","441","467","null","null","30","null","44","null","60","null","78","null","1727","null","566","null","417","null","162","null","278","151","null","null","139","101","null","null",
