"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004M","B03002_004MA","B03002_004EA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009M","B03002_009MA","B03002_009EA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015M","B03002_015MA","B03002_015EA","B03002_016E","B03002_016M","B03002_016MA","B03002_016EA","B03002_017E","B03002_017M","B03002_017MA","B03002_017EA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021M","B03002_021MA","B03002_021EA",
"0500000US06035","Lassen County, California","32645","*****","*****","null","26659","null","*****","*****","21526","64","null","null","2758","111","null","null","928","91","null","null","468","37","null","null","232","null","16","null","17","21","null","null","730","150","null","null","75","66","null","null","655","140","null","null","5986","*****","*****","null","2919","null","429","null","31","26","null","null","97","50","null","null","25","41","null","null","17","18","null","null","2530","null","424","null","367","92","null","null","313","88","null","null","54","34","null","null",
"0500000US06037","Los Angeles County, California","10038388","*****","*****","null","5196069","null","*****","*****","2703547","1637","null","null","801739","2815","null","null","18726","923","null","null","1401289","4077","null","null","24657","null","844","null","27178","2091","null","null","218933","4673","null","null","15493","1552","null","null","203440","4359","null","null","4842319","*****","*****","null","2642769","null","19313","null","29052","1788","null","null","40614","2361","null","null","17073","1246","null","null","2419","422","null","null","1939495","null","21019","null","170897","4615","null","null","95411","3299","null","null","75486","3096","null","null",
"0500000US06039","Madera County, California","153187","*****","*****","null","67942","null","*****","*****","55593","139","null","null","4941","251","null","null","1615","246","null","null","3027","226","null","null","212","null","55","null","306","153","null","null","2248","449","null","null","85","80","null","null","2163","446","null","null","85245","*****","*****","null","69489","null","1690","null","372","165","null","null","710","246","null","null","225","152","null","null","51","58","null","null","11837","null","1454","null","2561","656","null","null","1740","507","null","null","821","385","null","null",
"0500000US06041","Marin County, California","258349","*****","*****","null","217474","null","*****","*****","185975","328","null","null","6181","359","null","null","455","188","null","null","14532","504","null","null","428","null","134","null","1614","457","null","null","8289","639","null","null","271","141","null","null","8018","603","null","null","40875","*****","*****","null","18943","null","1468","null","402","270","null","null","340","187","null","null","149","78","null","null","194","203","null","null","18199","null","1390","null","2648","590","null","null","1682","549","null","null","966","281","null","null",
"0500000US06043","Mariposa County, California","17789","*****","*****","null","15986","null","*****","*****","14539","16","null","null","192","87","null","null","417","158","null","null","231","66","null","null","25","null","39","null","0","19","null","null","582","151","null","null","10","16","null","null","572","150","null","null","1803","*****","*****","null","1038","null","177","null","0","19","null","null","155","185","null","null","0","19","null","null","0","19","null","null","469","null","168","null","141","113","null","null","50","58","null","null","91","95","null","null",
"0500000US06045","Mendocino County, California","87544","*****","*****","null","66851","null","*****","*****","58376","124","null","null","538","102","null","null","2977","282","null","null","1669","169","null","null","194","null","13","null","309","169","null","null","2788","344","null","null","49","42","null","null","2739","343","null","null","20693","*****","*****","null","14136","null","984","null","47","36","null","null","1041","347","null","null","28","40","null","null","2","6","null","null","4455","null","964","null","984","335","null","null","630","291","null","null","354","155","null","null",
"0500000US06047","Merced County, California","263885","*****","*****","null","113663","null","*****","*****","78992","297","null","null","8353","342","null","null","646","199","null","null","19443","534","null","null","505","null","111","null","600","388","null","null","5124","628","null","null","298","158","null","null","4826","574","null","null","150222","*****","*****","null","82439","null","2717","null","667","342","null","null","1141","272","null","null","461","214","null","null","41","41","null","null","59175","null","2909","null","6298","981","null","null","4087","771","null","null","2211","523","null","null",
"0500000US06049","Modoc County, California","9184","*****","*****","null","7839","null","*****","*****","7149","17","null","null","47","30","null","null","320","80","null","null","86","75","null","null","3","null","7","null","0","17","null","null","234","84","null","null","2","6","null","null","232","85","null","null","1345","*****","*****","null","1133","null","103","null","0","17","null","null","10","11","null","null","14","19","null","null","0","17","null","null","96","null","61","null","92","72","null","null","0","17","null","null","92","72","null","null",
"0500000US06051","Mono County, California","14146","*****","*****","null","10284","null","*****","*****","9405","5","null","null","59","45","null","null","233","159","null","null","155","152","null","null","2","null","4","null","0","19","null","null","430","253","null","null","2","5","null","null","428","253","null","null","3862","*****","*****","null","2489","null","457","null","19","25","null","null","21","34","null","null","0","19","null","null","0","19","null","null","1241","null","424","null","92","94","null","null","48","60","null","null","44","63","null","null",
"0500000US06053","Monterey County, California","428441","*****","*****","null","184547","null","*****","*****","135021","161","null","null","10981","364","null","null","1232","223","null","null","25223","694","null","null","1962","null","118","null","480","241","null","null","9648","866","null","null","350","189","null","null","9298","843","null","null","243894","*****","*****","null","179056","null","3709","null","966","257","null","null","2070","508","null","null","852","190","null","null","139","81","null","null","54161","null","3375","null","6650","932","null","null","3248","581","null","null","3402","771","null","null",
