"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002M","B03002_002MA","B03002_002EA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004EA","B03002_004M","B03002_004MA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010M","B03002_010MA","B03002_010EA","B03002_011E","B03002_011EA","B03002_011M","B03002_011MA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013EA","B03002_013M","B03002_013MA","B03002_014E","B03002_014M","B03002_014MA","B03002_014EA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019EA","B03002_019M","B03002_019MA","B03002_020E","B03002_020M","B03002_020MA","B03002_020EA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"0500000US06019","Fresno County, California","978130","*****","*****","null","462223","*****","*****","null","291455","523","null","null","44474","null","862","null","4458","null","429","null","97991","1054","null","null","1104","null","228","null","1864","551","null","null","20877","null","1519","null","958","310","null","null","19919","null","1523","null","515907","*****","*****","null","335982","null","5480","null","2898","596","null","null","6503","null","1231","null","2026","null","481","null","666","null","426","null","149386","null","5081","null","18446","null","1461","null","7664","883","null","null","10782","null","1228","null",
"0500000US06021","Glenn County, California","27897","*****","*****","null","16393","*****","*****","null","14507","4","null","null","223","null","81","null","414","null","106","null","820","51","null","null","17","null","23","null","0","23","null","null","412","null","156","null","2","4","null","null","410","null","156","null","11504","*****","*****","null","8620","null","755","null","32","44","null","null","256","null","196","null","0","null","23","null","34","null","54","null","2416","null","744","null","146","null","95","null","19","22","null","null","127","null","92","null",
"0500000US06023","Humboldt County, California","135768","*****","*****","null","120408","*****","*****","null","101305","187","null","null","1342","null","206","null","5919","null","497","null","4049","311","null","null","369","null","134","null","258","160","null","null","7166","null","603","null","109","103","null","null","7057","null","606","null","15360","*****","*****","null","7479","null","740","null","243","165","null","null","878","null","353","null","111","null","107","null","67","null","100","null","5520","null","777","null","1062","null","366","null","264","161","null","null","798","null","312","null",
"0500000US06025","Imperial County, California","180216","*****","*****","null","29197","*****","*****","null","19773","112","null","null","3906","null","336","null","1076","null","184","null","2376","181","null","null","307","null","181","null","120","105","null","null","1639","null","391","null","41","39","null","null","1598","null","395","null","151019","*****","*****","null","96044","null","2582","null","685","330","null","null","725","null","317","null","308","null","199","null","112","null","98","null","47242","null","2480","null","5903","null","1048","null","3358","709","null","null","2545","null","764","null",
"0500000US06027","Inyo County, California","18085","*****","*****","null","14158","*****","*****","null","11389","26","null","null","160","null","37","null","1944","null","53","null","289","62","null","null","35","null","4","null","28","26","null","null","313","null","101","null","1","2","null","null","312","null","101","null","3927","*****","*****","null","3168","null","241","null","1","2","null","null","157","null","64","null","1","null","4","null","0","null","19","null","294","null","118","null","306","null","189","null","249","194","null","null","57","null","43","null",
"0500000US06029","Kern County, California","883053","*****","*****","null","417211","*****","*****","null","307030","368","null","null","45053","null","953","null","4202","null","502","null","40273","1075","null","null","1153","null","172","null","1039","408","null","null","18461","null","1518","null","1450","686","null","null","17011","null","1319","null","465842","*****","*****","null","356562","null","4147","null","3126","686","null","null","5286","null","1067","null","1569","null","433","null","545","null","459","null","86079","null","4064","null","12675","null","1309","null","7506","1017","null","null","5169","null","818","null",
"0500000US06031","Kings County, California","150075","*****","*****","null","68921","*****","*****","null","49058","154","null","null","8784","null","460","null","1227","null","162","null","5737","394","null","null","285","null","94","null","204","140","null","null","3626","null","640","null","177","133","null","null","3449","null","605","null","81154","*****","*****","null","49371","null","1726","null","903","350","null","null","1064","null","272","null","209","null","179","null","52","null","61","null","26767","null","1704","null","2788","null","676","null","1223","439","null","null","1565","null","490","null",
"0500000US06033","Lake County, California","64148","*****","*****","null","51318","*****","*****","null","45623","30","null","null","1426","null","112","null","2090","null","173","null","642","187","null","null","30","null","32","null","142","153","null","null","1365","null","301","null","17","19","null","null","1348","null","301","null","12830","*****","*****","null","3840","null","709","null","136","104","null","null","336","null","254","null","19","null","24","null","0","null","29","null","7906","null","824","null","593","null","322","null","297","190","null","null","296","null","178","null",
"0500000US06035","Lassen County, California","31185","*****","*****","null","25351","*****","*****","null","20528","23","null","null","2695","null","58","null","847","null","110","null","436","56","null","null","205","null","76","null","22","25","null","null","618","null","146","null","59","53","null","null","559","null","136","null","5834","*****","*****","null","5144","null","206","null","43","38","null","null","30","null","27","null","1","null","2","null","0","null","26","null","568","null","203","null","48","null","34","null","38","31","null","null","10","null","13","null",
"0500000US06037","Los Angeles County, California","10098052","*****","*****","null","5204449","*****","*****","null","2659052","1372","null","null","795505","null","2821","null","20307","null","1145","null","1451560","3419","null","null","24821","null","688","null","29924","1674","null","null","223280","null","4544","null","13567","1124","null","null","209713","null","4572","null","4893603","*****","*****","null","2527807","null","15644","null","28482","1963","null","null","50220","null","2715","null","18408","null","1258","null","3108","null","548","null","2091178","null","18067","null","174400","null","5293","null","99736","3512","null","null","74664","null","3235","null",
