"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002M","B03002_002MA","B03002_002EA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004EA","B03002_004M","B03002_004MA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013M","B03002_013MA","B03002_013EA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"0500000US06067","Sacramento County, California","1524553","*****","*****","null","1171235","*****","*****","null","681829","1010","null","null","144695","null","1853","null","5554","null","490","null","235434","null","2024","null","17026","null","513","null","5074","1216","null","null","81623","null","2609","null","2566","null","650","null","79057","2419","null","null","353318","*****","*****","null","192076","3911","null","null","5196","null","787","null","4557","null","749","null","4013","null","560","null","374","null","157","null","114848","null","3309","null","32254","1973","null","null","14918","null","1175","null","17336","null","1313","null",
"0500000US06069","San Benito County, California","60376","*****","*****","null","24295","*****","*****","null","20703","52","null","null","454","null","80","null","186","null","113","null","1754","null","172","null","36","null","23","null","101","75","null","null","1061","null","211","null","70","null","52","null","991","213","null","null","36081","*****","*****","null","28542","1115","null","null","37","null","48","null","257","null","131","null","50","null","49","null","21","null","24","null","5037","null","959","null","2137","490","null","null","815","null","306","null","1322","null","449","null",
"0500000US06071","San Bernardino County, California","2149031","*****","*****","null","1003157","*****","*****","null","613066","544","null","null","169340","null","1904","null","7783","null","661","null","150165","null","1552","null","6160","null","530","null","3624","716","null","null","53019","null","2826","null","2790","null","647","null","50229","2713","null","null","1145874","*****","*****","null","702172","7682","null","null","9952","null","1320","null","9999","null","1478","null","4167","null","772","null","678","null","288","null","364976","null","6810","null","53930","3220","null","null","28871","null","2154","null","25059","null","2013","null",
"0500000US06073","San Diego County, California","3316073","*****","*****","null","2198556","*****","*****","null","1510756","943","null","null","156084","null","2085","null","12474","null","896","null","385657","null","2443","null","12747","null","726","null","6560","1069","null","null","114278","null","3148","null","2793","null","510","null","111485","3098","null","null","1117517","*****","*****","null","834911","7163","null","null","10666","null","1367","null","10050","null","1482","null","9085","null","1002","null","1120","null","276","null","192169","null","5473","null","59516","3418","null","null","26634","null","1891","null","32882","null","2467","null",
"0500000US06075","San Francisco County, California","874961","*****","*****","null","741647","*****","*****","null","354423","401","null","null","43782","null","858","null","1634","null","371","null","298108","null","1567","null","2934","null","364","null","3626","729","null","null","37140","null","1936","null","1703","null","348","null","35437","1957","null","null","133314","*****","*****","null","51633","2287","null","null","1774","null","418","null","1589","null","541","null","2910","null","605","null","254","null","126","null","63581","null","2442","null","11573","1132","null","null","6516","null","894","null","5057","null","629","null",
"0500000US06077","San Joaquin County, California","742603","*****","*****","null","435140","*****","*****","null","236509","252","null","null","50030","null","1071","null","1697","null","351","null","112885","null","1113","null","4055","null","357","null","956","288","null","null","29008","null","1562","null","1737","null","707","null","27271","1442","null","null","307463","*****","*****","null","182779","4008","null","null","1901","null","502","null","3009","null","658","null","2646","null","560","null","510","null","211","null","64428","null","3932","null","52190","2770","null","null","7155","null","858","null","45035","null","2711","null",
"0500000US06079","San Luis Obispo County, California","282165","*****","*****","null","218631","*****","*****","null","194375","177","null","null","4909","null","420","null","1510","null","246","null","9969","null","426","null","265","null","109","null","400","173","null","null","7203","null","703","null","208","null","95","null","6995","688","null","null","63534","*****","*****","null","46748","1495","null","null","410","null","212","null","948","null","503","null","327","null","145","null","0","null","29","null","11867","null","1470","null","3234","600","null","null","1374","null","315","null","1860","null","509","null",
"0500000US06081","San Mateo County, California","767423","*****","*****","null","580175","*****","*****","null","301123","494","null","null","16718","null","574","null","1158","null","254","null","217287","null","1349","null","10092","null","436","null","3012","564","null","null","30785","null","1620","null","1904","null","613","null","28881","1546","null","null","187248","*****","*****","null","87195","3793","null","null","1066","null","262","null","1844","null","459","null","2864","null","568","null","274","null","126","null","81298","null","3652","null","12707","1251","null","null","6322","null","989","null","6385","null","701","null",
"0500000US06083","Santa Barbara County, California","444829","*****","*****","null","242992","*****","*****","null","197993","222","null","null","8409","null","418","null","1601","null","309","null","23882","null","548","null","387","null","127","null","603","214","null","null","10117","null","789","null","321","null","141","null","9796","762","null","null","201837","*****","*****","null","146785","3131","null","null","575","null","198","null","3043","null","796","null","967","null","336","null","194","null","153","null","41838","null","2939","null","8435","1067","null","null","3397","null","742","null","5038","null","804","null",
"0500000US06085","Santa Clara County, California","1927470","*****","*****","null","1436492","*****","*****","null","607903","840","null","null","45259","null","925","null","3366","null","402","null","699290","null","2061","null","6229","null","499","null","5505","922","null","null","68940","null","2148","null","3686","null","743","null","65254","2124","null","null","490978","*****","*****","null","249189","5019","null","null","2733","null","453","null","6331","null","856","null","3591","null","528","null","1042","null","376","null","196889","null","5246","null","31203","1895","null","null","15439","null","1268","null","15764","null","1358","null",
"0500000US06087","Santa Cruz County, California","273962","*****","*****","null","181982","*****","*****","null","156897","200","null","null","2491","null","266","null","401","null","153","null","12504","null","441","null","198","null","94","null","601","203","null","null","8890","null","532","null","230","null","119","null","8660","530","null","null","91980","*****","*****","null","47969","2821","null","null","413","null","186","null","1104","null","374","null","630","null","302","null","139","null","110","null","37529","null","2832","null","4196","644","null","null","1944","null","463","null","2252","null","481","null",
"0500000US06089","Shasta County, California","179212","*****","*****","null","161237","*****","*****","null","143013","166","null","null","2030","null","227","null","3912","null","455","null","5745","null","357","null","244","null","119","null","178","108","null","null","6115","null","645","null","181","null","115","null","5934","640","null","null","17975","*****","*****","null","12111","726","null","null","58","null","46","null","920","null","272","null","53","null","51","null","10","null","14","null","3429","null","656","null","1394","365","null","null","693","null","265","null","701","null","236","null",
"0500000US06091","Sierra County, California","3040","161","null","null","2716","129","null","null","2662","119","null","null","2","null","5","null","29","null","33","null","0","null","12","null","0","null","12","null","0","12","null","null","23","null","21","null","0","null","12","null","23","21","null","null","324","65","null","null","301","66","null","null","0","null","12","null","22","null","29","null","0","null","12","null","0","null","12","null","0","null","12","null","1","3","null","null","0","null","12","null","1","null","3","null",
"0500000US06093","Siskiyou County, California","43468","*****","*****","null","38001","*****","*****","null","33081","43","null","null","684","null","99","null","1389","null","176","null","696","null","104","null","124","null","55","null","51","50","null","null","1976","null","233","null","26","null","15","null","1950","233","null","null","5467","*****","*****","null","3766","253","null","null","11","null","18","null","229","null","82","null","12","null","11","null","33","null","35","null","585","null","175","null","831","188","null","null","265","null","148","null","566","null","158","null",
"0500000US06095","Solano County, California","441829","*****","*****","null","324960","*****","*****","null","168060","432","null","null","59652","null","986","null","1254","null","259","null","66247","null","961","null","3911","null","239","null","1635","577","null","null","24201","null","1485","null","795","null","265","null","23406","1460","null","null","116869","*****","*****","null","64377","2560","null","null","1874","null","531","null","961","null","341","null","1953","null","398","null","190","null","138","null","38711","null","2564","null","8803","883","null","null","3781","null","542","null","5022","null","691","null",
"0500000US06097","Sonoma County, California","499772","*****","*****","null","366203","*****","*****","null","316022","642","null","null","7399","null","519","null","2343","null","400","null","20082","null","706","null","1483","null","259","null","2239","650","null","null","16635","null","889","null","507","null","255","null","16128","864","null","null","133569","*****","*****","null","57645","2881","null","null","870","null","304","null","2052","null","537","null","361","null","164","null","123","null","65","null","62392","null","2987","null","10126","1058","null","null","5307","null","831","null","4819","null","837","null",
"0500000US06099","Stanislaus County, California","543194","*****","*****","null","291935","*****","*****","null","227369","248","null","null","15311","null","489","null","2481","null","440","null","29284","null","860","null","3625","null","307","null","747","308","null","null","13118","null","1147","null","769","null","297","null","12349","1032","null","null","251259","*****","*****","null","188542","3343","null","null","1236","null","419","null","1937","null","463","null","723","null","223","null","336","null","161","null","49039","null","3004","null","9446","1026","null","null","5472","null","834","null","3974","null","737","null",
"0500000US06101","Sutter County, California","96109","*****","*****","null","66361","*****","*****","null","44412","19","null","null","1684","null","189","null","625","null","141","null","14914","null","541","null","376","null","27","null","148","138","null","null","4202","null","577","null","108","null","76","null","4094","583","null","null","29748","*****","*****","null","21881","928","null","null","143","null","143","null","253","null","107","null","134","null","77","null","172","null","222","null","4582","null","691","null","2583","666","null","null","638","null","219","null","1945","null","586","null",
"0500000US06103","Tehama County, California","63912","*****","*****","null","47954","*****","*****","null","43679","15","null","null","472","null","40","null","890","null","261","null","967","null","130","null","15","null","21","null","11","17","null","null","1920","null","288","null","13","null","15","null","1907","288","null","null","15958","*****","*****","null","11116","934","null","null","58","null","85","null","365","null","243","null","0","null","29","null","13","null","21","null","3459","null","842","null","947","312","null","null","525","null","296","null","422","null","192","null",
"0500000US06105","Trinity County, California","12700","*****","*****","null","11773","*****","*****","null","10427","32","null","null","127","null","102","null","698","null","172","null","210","null","22","null","28","null","36","null","51","33","null","null","232","null","110","null","1","null","2","null","231","109","null","null","927","*****","*****","null","497","198","null","null","0","null","19","null","18","null","26","null","16","null","27","null","0","null","19","null","377","null","206","null","19","26","null","null","19","null","26","null","0","null","19","null",
"0500000US06107","Tulare County, California","461898","*****","*****","null","163653","*****","*****","null","131716","669","null","null","5785","null","375","null","2784","null","347","null","14949","null","635","null","624","null","85","null","1002","684","null","null","6793","null","819","null","310","null","153","null","6483","774","null","null","298245","*****","*****","null","208746","4004","null","null","1416","null","585","null","3334","null","705","null","1741","null","1379","null","142","null","111","null","73947","null","3505","null","8919","1227","null","null","5240","null","917","null","3679","null","700","null",
"0500000US06109","Tuolumne County, California","54045","*****","*****","null","47428","*****","*****","null","43341","47","null","null","948","null","106","null","763","null","195","null","732","null","104","null","123","null","33","null","42","42","null","null","1479","null","268","null","22","null","27","null","1457","266","null","null","6617","*****","*****","null","4106","420","null","null","36","null","40","null","202","null","100","null","22","null","23","null","0","null","29","null","1364","null","347","null","887","285","null","null","430","null","190","null","457","null","194","null",
"0500000US06111","Ventura County, California","847263","*****","*****","null","485662","*****","*****","null","384818","308","null","null","14297","null","500","null","2017","null","337","null","60710","null","992","null","1421","null","217","null","1138","328","null","null","21261","null","1189","null","652","null","204","null","20609","1138","null","null","361601","*****","*****","null","293840","3760","null","null","1297","null","383","null","4743","null","1033","null","1480","null","435","null","277","null","155","null","43089","null","2805","null","16875","1671","null","null","6564","null","925","null","10311","null","1266","null",
"0500000US06113","Yolo County, California","217352","*****","*****","null","148648","*****","*****","null","101452","164","null","null","5279","null","442","null","663","null","225","null","30155","null","818","null","883","null","183","null","362","176","null","null","9854","null","1030","null","319","null","140","null","9535","983","null","null","68704","*****","*****","null","49165","1616","null","null","568","null","403","null","643","null","290","null","307","null","144","null","72","null","64","null","14144","null","1549","null","3805","714","null","null","1359","null","365","null","2446","null","633","null",
"0500000US06115","Yuba County, California","76360","*****","*****","null","54797","*****","*****","null","42145","52","null","null","2554","null","320","null","594","null","182","null","5075","null","301","null","296","null","37","null","136","125","null","null","3997","null","501","null","57","null","43","null","3940","493","null","null","21563","*****","*****","null","15871","899","null","null","67","null","58","null","342","null","175","null","126","null","118","null","55","null","69","null","3445","null","777","null","1657","492","null","null","358","null","182","null","1299","null","464","null",
