"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002M","B03002_002MA","B03002_002EA","B03002_003E","B03002_003M","B03002_003MA","B03002_003EA","B03002_004E","B03002_004EA","B03002_004M","B03002_004MA","B03002_005E","B03002_005EA","B03002_005M","B03002_005MA","B03002_006E","B03002_006EA","B03002_006M","B03002_006MA","B03002_007E","B03002_007EA","B03002_007M","B03002_007MA","B03002_008E","B03002_008M","B03002_008MA","B03002_008EA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013M","B03002_013MA","B03002_013EA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018EA","B03002_018M","B03002_018MA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"0500000US06019","Fresno County, California","984521","*****","*****","null","462157","*****","*****","null","289650","412","null","null","44209","null","1047","null","4651","null","567","null","99480","null","1025","null","1207","null","204","null","1732","641","null","null","21228","null","1636","null","851","null","318","null","20377","1614","null","null","522364","*****","*****","null","350335","4319","null","null","2573","null","419","null","7005","null","1257","null","2377","null","498","null","413","null","347","null","140505","null","4458","null","19156","1538","null","null","8391","null","888","null","10765","null","1206","null",
"0500000US06021","Glenn County, California","27976","*****","*****","null","16296","*****","*****","null","14398","4","null","null","193","null","109","null","391","null","96","null","825","null","249","null","11","null","13","null","0","23","null","null","478","null","187","null","2","null","4","null","476","187","null","null","11680","*****","*****","null","8287","700","null","null","37","null","48","null","291","null","179","null","0","null","23","null","0","null","23","null","2898","null","707","null","167","93","null","null","70","null","52","null","97","null","71","null",
"0500000US06023","Humboldt County, California","135940","*****","*****","null","120218","*****","*****","null","101078","161","null","null","1336","null","177","null","6264","null","569","null","4073","null","320","null","432","null","121","null","177","141","null","null","6858","null","675","null","56","null","82","null","6802","674","null","null","15722","*****","*****","null","7479","811","null","null","170","null","106","null","582","null","204","null","123","null","118","null","56","null","84","null","5530","null","779","null","1782","469","null","null","531","null","268","null","1251","null","416","null",
"0500000US06025","Imperial County, California","180701","*****","*****","null","28529","*****","*****","null","19228","93","null","null","3882","null","302","null","1104","null","155","null","2367","null","187","null","240","null","159","null","114","93","null","null","1594","null","364","null","11","null","14","null","1583","366","null","null","152172","*****","*****","null","98430","2936","null","null","607","null","305","null","808","null","310","null","313","null","174","null","69","null","75","null","47025","null","2739","null","4920","876","null","null","2866","null","635","null","2054","null","692","null",
"0500000US06027","Inyo County, California","17977","*****","*****","null","13957","*****","*****","null","11173","33","null","null","141","null","39","null","1828","null","83","null","325","null","80","null","34","null","4","null","35","33","null","null","421","null","114","null","1","null","2","null","420","113","null","null","4020","*****","*****","null","2997","267","null","null","12","null","21","null","200","null","89","null","25","null","35","null","0","null","19","null","357","null","179","null","429","197","null","null","231","null","170","null","198","null","177","null",
"0500000US06029","Kern County, California","887641","*****","*****","null","414267","*****","*****","null","303225","285","null","null","45761","null","805","null","4303","null","527","null","40730","null","998","null","1115","null","164","null","873","332","null","null","18260","null","1336","null","1424","null","621","null","16836","1292","null","null","473374","*****","*****","null","356922","4572","null","null","2789","null","675","null","4666","null","1200","null","1370","null","443","null","563","null","426","null","94292","null","4446","null","12772","1334","null","null","7289","null","1068","null","5483","null","962","null",
"0500000US06031","Kings County, California","150691","*****","*****","null","68575","*****","*****","null","48537","179","null","null","8779","null","482","null","1282","null","111","null","5565","null","391","null","241","null","97","null","239","180","null","null","3932","null","621","null","111","null","120","null","3821","600","null","null","82116","*****","*****","null","53525","2036","null","null","863","null","426","null","1149","null","355","null","252","null","176","null","36","null","44","null","24080","null","2011","null","2211","562","null","null","979","null","342","null","1232","null","439","null",
"0500000US06033","Lake County, California","64195","*****","*****","null","50971","*****","*****","null","45258","12","null","null","1331","null","163","null","1926","null","218","null","684","null","196","null","42","null","40","null","111","146","null","null","1619","null","371","null","18","null","19","null","1601","371","null","null","13224","*****","*****","null","4131","774","null","null","116","null","111","null","384","null","238","null","39","null","46","null","0","null","29","null","7798","null","919","null","756","426","null","null","322","null","186","null","434","null","355","null",
"0500000US06035","Lassen County, California","30818","*****","*****","null","24974","*****","*****","null","20164","24","null","null","2612","null","96","null","844","null","89","null","427","null","71","null","247","null","50","null","45","41","null","null","635","null","128","null","53","null","53","null","582","132","null","null","5844","*****","*****","null","5160","183","null","null","74","null","62","null","20","null","16","null","1","null","3","null","0","null","26","null","465","null","148","null","124","60","null","null","65","null","45","null","59","null","46","null",
"0500000US06037","Los Angeles County, California","10081570","*****","*****","null","5193136","*****","*****","null","2641770","1343","null","null","790252","null","2958","null","20831","null","1021","null","1454769","null","3676","null","24597","null","752","null","32413","2235","null","null","228504","null","5193","null","12628","null","1192","null","215876","4867","null","null","4888434","*****","*****","null","2526673","20454","null","null","30226","null","1992","null","52562","null","3040","null","18452","null","1143","null","3123","null","567","null","2083135","null","21995","null","174263","4915","null","null","103325","null","3658","null","70938","null","2605","null",
