"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_001MA","B03002_001EA","B03002_002E","B03002_002EA","B03002_002M","B03002_002MA","B03002_003E","B03002_003EA","B03002_003M","B03002_003MA","B03002_004E","B03002_004EA","B03002_004M","B03002_004MA","B03002_005E","B03002_005M","B03002_005MA","B03002_005EA","B03002_006E","B03002_006M","B03002_006MA","B03002_006EA","B03002_007E","B03002_007M","B03002_007MA","B03002_007EA","B03002_008E","B03002_008EA","B03002_008M","B03002_008MA","B03002_009E","B03002_009EA","B03002_009M","B03002_009MA","B03002_010E","B03002_010EA","B03002_010M","B03002_010MA","B03002_011E","B03002_011M","B03002_011MA","B03002_011EA","B03002_012E","B03002_012M","B03002_012MA","B03002_012EA","B03002_013E","B03002_013M","B03002_013MA","B03002_013EA","B03002_014E","B03002_014EA","B03002_014M","B03002_014MA","B03002_015E","B03002_015EA","B03002_015M","B03002_015MA","B03002_016E","B03002_016EA","B03002_016M","B03002_016MA","B03002_017E","B03002_017EA","B03002_017M","B03002_017MA","B03002_018E","B03002_018M","B03002_018MA","B03002_018EA","B03002_019E","B03002_019M","B03002_019MA","B03002_019EA","B03002_020E","B03002_020EA","B03002_020M","B03002_020MA","B03002_021E","B03002_021EA","B03002_021M","B03002_021MA",
"0500000US06055","Napa County, California","137837","*****","*****","null","92895","null","*****","*****","76851","null","77","null","2771","null","129","null","477","143","null","null","9516","316","null","null","327","98","null","null","144","null","96","null","2809","null","391","null","104","null","75","null","2705","376","null","null","44942","*****","*****","null","31347","1332","null","null","173","null","223","null","523","null","298","null","285","null","156","null","24","null","30","null","10722","1290","null","null","1868","506","null","null","1251","null","379","null","617","null","271","null",
"0500000US06057","Nevada County, California","98509","*****","*****","null","89911","null","*****","*****","84987","null","96","null","329","null","127","null","796","189","null","null","1439","193","null","null","108","66","null","null","70","null","90","null","2182","null","294","null","95","null","70","null","2087","282","null","null","8598","*****","*****","null","6085","677","null","null","83","null","94","null","63","null","114","null","31","null","43","null","48","null","47","null","1692","585","null","null","596","297","null","null","444","null","272","null","152","null","95","null",
"0500000US06059","Orange County, California","3051771","*****","*****","null","2018892","null","*****","*****","1327507","null","985","null","45900","null","973","null","6163","573","null","null","555650","2177","null","null","9138","535","null","null","5967","null","1169","null","68567","null","2501","null","3337","null","541","null","65230","2306","null","null","1032879","*****","*****","null","585236","7315","null","null","3936","null","590","null","5497","null","756","null","3934","null","545","null","961","null","407","null","399190","6994","null","null","34125","2310","null","null","20255","null","1911","null","13870","null","1285","null",
"0500000US06061","Placer County, California","355924","*****","*****","null","309499","null","*****","*****","268514","null","268","null","4147","null","430","null","1805","251","null","null","21953","696","null","null","537","187","null","null","691","null","216","null","11852","null","904","null","433","null","191","null","11419","869","null","null","46425","*****","*****","null","31043","1494","null","null","170","null","89","null","665","null","216","null","403","null","160","null","118","null","106","null","10568","1358","null","null","3458","570","null","null","2005","null","402","null","1453","null","386","null",
"0500000US06063","Plumas County, California","19586","*****","*****","null","17995","null","*****","*****","16628","null","19","null","238","null","63","null","373","155","null","null","149","96","null","null","259","206","null","null","0","null","19","null","348","null","152","null","0","null","19","null","348","152","null","null","1591","*****","*****","null","1156","208","null","null","0","null","19","null","59","null","51","null","0","null","19","null","0","null","19","null","214","155","null","null","162","120","null","null","40","null","43","null","122","null","98","null",
"0500000US06065","Riverside County, California","2228528","*****","*****","null","1202985","null","*****","*****","867859","null","936","null","131246","null","1510","null","10085","690","null","null","130179","1484","null","null","6124","444","null","null","5238","null","1018","null","52254","null","1929","null","2959","null","600","null","49295","1973","null","null","1025543","*****","*****","null","607222","6718","null","null","7635","null","1048","null","11990","null","1490","null","3918","null","771","null","962","null","422","null","351704","7160","null","null","42112","2900","null","null","25334","null","2106","null","16778","null","1730","null",
"0500000US06067","Sacramento County, California","1435207","*****","*****","null","1122410","null","*****","*****","688052","null","797","null","139014","null","1755","null","7207","596","null","null","206253","1702","null","null","13925","516","null","null","4042","null","896","null","63917","null","2702","null","2639","null","522","null","61278","2722","null","null","312797","*****","*****","null","172775","4296","null","null","5603","null","771","null","5300","null","908","null","3486","null","605","null","507","null","254","null","98245","4231","null","null","26881","1879","null","null","12288","null","1129","null","14593","null","1431","null",
"0500000US06069","San Benito County, California","56115","*****","*****","null","24185","null","*****","*****","21025","null","189","null","477","null","59","null","188","65","null","null","1060","178","null","null","0","29","null","null","181","null","192","null","1254","null","211","null","117","null","113","null","1137","210","null","null","31930","*****","*****","null","25747","986","null","null","257","null","229","null","343","null","223","null","90","null","66","null","0","null","29","null","4293","821","null","null","1200","400","null","null","690","null","316","null","510","null","231","null",
"0500000US06071","San Bernardino County, California","2056915","*****","*****","null","1030319","null","*****","*****","667933","null","844","null","170307","null","1669","null","7723","620","null","null","129480","1344","null","null","6302","390","null","null","4639","null","966","null","43935","null","2196","null","2269","null","576","null","41666","2119","null","null","1026596","*****","*****","null","626742","6748","null","null","9065","null","1251","null","11128","null","1430","null","3473","null","686","null","565","null","285","null","328166","6425","null","null","47457","2723","null","null","25275","null","2036","null","22182","null","1986","null",
"0500000US06073","San Diego County, California","3138265","*****","*****","null","2122903","null","*****","*****","1505595","null","751","null","150348","null","1514","null","11081","755","null","null","342729","2173","null","null","13343","632","null","null","4894","null","795","null","94913","null","2749","null","4049","null","591","null","90864","2759","null","null","1015362","*****","*****","null","735450","6580","null","null","8495","null","1024","null","10714","null","1194","null","6222","null","765","null","1068","null","353","null","202156","5290","null","null","51257","2612","null","null","23219","null","1695","null","28038","null","2100","null",
